Fields,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,Planning Status,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
LLDC1,http://opendatacommunities.org/doc/dev-corp/london-legacy,London Legacy Development Corporation,LLDC1,,"PDZ8.1 (Bridgewater Road), and PDZ8.4 (Warton Road).",http://www.queenelizabetholympicpark.co.uk/-/media/lldc/planning/brownfield-register/lldc1.ashx?la=en,ETRS89,-0.008506472,51.53442379,538221.25,183691.16,2.9,Owned by a public authority,Yes,Permissioned,Outline planning permission,28/09/2012,Planning Application - 11/90621/OUTODA (Outline Permission),No,300,"Part of mixed use development within the Queen Elizabeth Olympic Park, comprising up to 763,500m2 of floorspace in various use classes. Outline permission has been granted for approximately 300 residential units on the part of the site known as PDZ8.1 & 8.4",,No,,,,,,30-Nov-17,30-Nov-17,,,
LLDC2,http://opendatacommunities.org/doc/dev-corp/london-legacy,London Legacy Development Corporation,LLDC2,,"PDZ12, and adjacent to, Rick Roberts Way",http://www.queenelizabetholympicpark.co.uk/-/media/lldc/planning/brownfield-register/lldc2.ashx?la=en,ETRS89,-0.003976,51.533663,538489,183572,3.34,Mixed ownership,Yes,Permissioned,Outline planning permission,28/09/2012,Planning Application - 11/90621/OUTODA (Outline Permission),No,400,"Part of outline permission for mixed use development within the Queen Elizabeth Olympic Park, comprising up to 763,500m2 of floorspace in various use classes.  Outline permission has been granted for approximately 400 residential units, retail and community floorspace on the part of the site known as PDZ12.","Retail floorspace of up to 550sqm and community facilities (D1) of up to 11,660sqm",No,,,, ,,30-Nov-17,30-Nov-17,,,
