organisation,documentation-url,resource-url,data-gov-uk,start-date,end-date,esd-dataset
local-authority-eng:ASH,https://www.ashfield.gov.uk/residents/planning-building-control-and-land-charges/forward-planning/brownfield-register/,https://www.ashfield.gov.uk/media/3811/ashfield-bflr.csv,2b734ed1-0007-4606-a1c4-13a495cb1991,2017-12-18,2019-11-25,
local-authority-eng:ASH,https://www.ashfield.gov.uk/residents/planning-building-control-and-land-charges/forward-planning/brownfield-register/,https://www.ashfield.gov.uk/media/3811/ashfield-blfr.csv,2b734ed1-0007-4606-a1c4-13a495cb1991,2017-12-18,,
local-authority-eng:AYL,,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/aylesbury_vale_brownfield_register_2017-12-19_rev1%20%282%29.csv,,,,
local-authority-eng:BAB,,http://www.babergh.gov.uk/assets/Planning-Policy/BMSDC-BrownfieldRegister-2017-12-21.csv,,,,
local-authority-eng:BAE,https://data.bassetlaw.gov.uk/brownfield-register/,http://data.bassetlaw.gov.uk/media/751005/BrownfieldLandRegister2017.csv,75054751-2707-454e-83db-acaaff4209f6,2017-12-13,2019-02-11,
local-authority-eng:BAE,https://data.bassetlaw.gov.uk/brownfield-register/,https://data.bassetlaw.gov.uk/media/5183/brownfieldlandregister2017.csv,75054751-2707-454e-83db-acaaff4209f6,2019-02-11,,
local-authority-eng:BAI,http://www.basildon.gov.uk/blr,http://www.basildon.gov.uk/CHttpHandler.ashx?id=7800&p=0,,,2019-11-28,
local-authority-eng:BAI,https://www.basildon.gov.uk/article/6342/Brownfield-Land-Register-BLR-,https://www.basildon.gov.uk/media/8751/Basildon-Council-Brownfield-Land-Register-Part-1-2018/CSV/Basildon_Council_-_Brownfield_Land_Register_Part_1_2018.csv,,,,
local-authority-eng:BAN,https://www.basingstoke.gov.uk/brownfield-register,https://www.basingstoke.gov.uk/content/page/55024/Brownfield%20Land%20Register.csv,,,2018-11-28,
local-authority-eng:BAN,https://www.basingstoke.gov.uk/brownfield-register,http://www3.basingstoke.gov.uk/OpenMetadataFiles/Brownfield%20Sites/basingstoke_brownfieldregister_2017_12_20_rev1.csv,971862e9-f72e-4414-9039-03b8cffd32ac,2017-12-20,,
local-authority-eng:BAN,https://www.basingstoke.gov.uk/brownfield-register,http://www3.basingstoke.gov.uk/OpenMetadataFiles/Brownfield%20Sites/basingstoke_brownfieldregister_2018_12_31_rev1.csv,971862e9-f72e-4414-9039-03b8cffd32ac,2018-12-31,,
local-authority-eng:BAN,https://www.basingstoke.gov.uk/brownfield-register,https://www.basingstoke.gov.uk/content/page/55024/Basingstoke%20and%20Deane%20Brownfield%20Land%20Register%20May%202019.csv,971862e9-f72e-4414-9039-03b8cffd32ac,2019-05-01,,
local-authority-eng:BAR,,https://data.barrowbc.gov.uk/dataset/3f587e30-a91e-4d0e-9525-a660706df8c0/resource/af1eb832-575e-46a0-a615-666daa5ab196/download/barrow-in-furnessbrownfieldregister2017-12-20rev1.csv,,,,
local-authority-eng:BAS,,http://www.bathnes.gov.uk/sites/default/files/sitedocuments/Planning-and-Building-Control/Planning-Policy/bathandnortheastsomerset_brownfieldregister_2017-12-31_rev1.csv,,,,
local-authority-eng:BBD,http://www.blackburn.gov.uk/Pages/Brownfield-register.aspx,http://www.blackburn.gov.uk/Brownfield/blackburnwithdarwen_brownfieldregister_2017-12-20_rev1.csv,,2017-12-20,2019-11-28,
local-authority-eng:BBD,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/brownfield-register,https://theshuttle.org.uk/wp-content/uploads/blackburnwithdarwen_brownfieldregister_2017-12-20_rev1.csv,f659a66f-4f02-4621-b2ea-bf556e79f7b4,2017-12-20,,
local-authority-eng:BDF,https://www.bedford.gov.uk/planning-and-building/planning-policy-its-purpose/brownfield-land-register/,https://www.bedford.gov.uk/environment_and_planning/planning_town_and_country/planning_policy__its_purpose/idoc.ashx?docid=a72bd551-72ae-4c1f-ab27-eee73f3c52ae&version=-1,,,2019-11-01,
local-authority-eng:BDF,https://www.bedford.gov.uk/planning-and-building/planning-policy-its-purpose/brownfield-land-register/,https://bbcdevwebfiles.blob.core.windows.net/webfiles/Planning%20and%20Building/Bedford%20brownfield%20register%2020181220.xlsx,,,,
local-authority-eng:BDG,https://data.london.gov.uk/dataset/brownfield-land-register,https://data.london.gov.uk/download/brownfield-land-register/dd05e60b-e922-4ca6-8e29-784d694e5a39/London%20Brownfield%20Register.csv,,,,
local-authority-eng:BEN,,https://www.brent.gov.uk/media/16409507/brent_brownfieldregister_2017-12-20_rev1.csv,,,,
local-authority-eng:BEX,,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/bexley_brownfieldregister_2017-12-07_rev1_0.csv,,,,
local-authority-eng:BIR,,https://www.birmingham.gov.uk/download/downloads/id/9037/brownfield_register.csv,,,,
local-authority-eng:BLA,,http://www.blaby.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=14453,,,2019-10-21,
local-authority-eng:BLA,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,https://www.blaby.gov.uk/media/1757/brownfield-land.csv,,2019-10-30,,
local-authority-eng:BMH,,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/bournemouth-brownfieldregister-2017-12-31-rev1.csv.csv,,,2019-03-31,
local-authority-eng:BMH,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/Other-Planning-Documents/brownfield-land-register.aspx,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/2018Register.csv,355d7f7b-9c83-47c6-8c3d-d3e286b78627,2019-01-07,,
local-authority-eng:BNE,,https://files.datapress.com/barnet/dataset/brownfield-land-register/2017-12-19T09:58:04.45/Brownfield%20Land%20Register%20-%20Barnet.csv,,,2019-02-26,
local-authority-eng:BNE,https://open.barnet.gov.uk/dataset/brownfield-land-register,https://open.barnet.gov.uk/download/brownfield-land-register/d449098a-44b8-47cb-96ab-45465b0a11e4/Brownfield%20Land%20Register%20-%20Barnet%202018.csv,466d6c5d-1dbc-4192-b4c8-a5902336a4b2,2019-02-26,,
local-authority-eng:BNH,,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/Brighton%26Hove_City_Council_Brownfield_Land_Register_1912017_Post%20Consult_0.csv,,,,
local-authority-eng:BNS,,https://www.barnsley.gov.uk/media/7342/brownfield-register-2017-08-11.csv,,,,
local-authority-eng:BOL,https://www.bolton.gov.uk/planning-policy-strategy/brownfield-register,http://www.bolton.gov.uk/sites/DocumentCentre/Documents/bolton_brownfieldregister_2017-12-19_rev1.csv.csv,f028605b-2c33-4ac1-a52a-a44b3cadd686,,2019-11-25,
local-authority-eng:BOL,https://www.bolton.gov.uk/planning-policy-strategy/brownfield-register,https://www.bolton.gov.uk/downloads/file/1400/brownfield-land-register-december-2017,,,,
local-authority-eng:BOS,,http://www.bolsover.gov.uk/images/LIVE/B/bolsover_brownfield_register_2017_10_31.csv,,,,
local-authority-eng:BOT,,http://www.boston.gov.uk/CHttpHandler.ashx?id=22192&p=0,,,2019-11-24,
local-authority-eng:BOT,https://www.mybostonuk.com/development-management/brownfield-land-register/?highlight=brownfield,http://www.mybostonuk.com/wp-content/uploads/2019/04/Brownfield-Land-Register.csv,,2019-04-01,,
local-authority-eng:BPC,,,,,,
local-authority-eng:BPL,,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Documents/Brownfield-Register-CSV-24KB.csv,,,,
local-authority-eng:BRA,,https://www.braintree.gov.uk/download/downloads/id/7439/bdc_brownfield_land_register_2017.csv,,2019-10-21,2019-10-20,
local-authority-eng:BRA,https://www.braintree.gov.uk/downloads/file/8194/braintree_district_council_brownfield_land_register_2018,http://www.braintree.gov.uk/download/downloads/id/8194/braintree_district_council_brownfield_land_register_2018.csv,,,,
local-authority-eng:BRC,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/brownfield-register,https://files.bracknell-forest.gov.uk/sites/bracknell/documents/brownfield-register-%202017.csv,,,2019-10-20,
local-authority-eng:BRC,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/brownfield-register,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-2017.xlsx,f780f0d5-bfeb-47be-811a-7787c2d5f60f,2018-01-22,2019-11-30,
local-authority-eng:BRC,,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-2018.xlsx,f780f0d5-bfeb-47be-811a-7787c2d5f60f,,,
local-authority-eng:BRD,https://www.bradford.gov.uk/planning-and-building-control/planning-policy/the-brownfield-register/,https://files.datapress.com/leeds/dataset/bradford-brownfield-register/2017-12-12T13:17:30.67/Bradford_brownfieldregister_2017-12-01_rev1.csv,,,2019-02-01,
local-authority-eng:BRD,https://www.bradford.gov.uk/planning-and-building-control/planning-policy/the-brownfield-register/,https://datahub.bradford.gov.uk/opendata/brownfield_register/Brownfield%20Register%202017.csv,,2019-02-01,,
local-authority-eng:BRD,https://www.bradford.gov.uk/planning-and-building-control/planning-policy/the-brownfield-register/,https://datahub.bradford.gov.uk/opendata/brownfield_register/Brownfield%20Register%202018.csv,,2019-02-01,,
local-authority-eng:BRE,,https://www.breckland.gov.uk/media/7298/Brownfield-Land-Register/CSV/Brownfield_Land_Register.csv,,,,
local-authority-eng:BRM,,http://www.bromsgrove.gov.uk/media/3410731/Brownfield-Land-Register-Bromsgrove.csv,,,,
local-authority-eng:BRO,,https://www.broadland.gov.uk/download/downloads/id/3836/broadland_brownfield_sites_register.csv,,,,
local-authority-eng:BRT,,https://www.broxtowe.gov.uk/media/4239/broxtowe_brownfieldregister_2017-12-13_rev1.csv,,,,
local-authority-eng:BRW,,http://www.brentwood.gov.uk/pdf/29122017084910000000.xlsm,,,,
local-authority-eng:BRX,,https://www.broxbourne.gov.uk/sites/default/files/Documents/Planning/pp_Brownfield_Register_15_12_17.xlsx,,,2019-11-29,
local-authority-eng:BRX,https://ex.broxbourne.gov.uk/resident/brownfield-register,https://ex.broxbourne.gov.uk/sites/default/files/documents/Communications/Brownfield%20Register%20-%202019.xlsx,,,,
local-authority-eng:BRY,,http://www.bromley.gov.uk/download/downloads/id/3318/brownfield_land_register.csv,,,,
local-authority-eng:BST,,https://www.bristol.gov.uk/documents/20182/931857/bristol_brownfieldregister_2017-12-19_rev1/e528c997-e4c8-4ea1-90a3-636370f1995e,,,,
local-authority-eng:BUN,,https://www.burnley.gov.uk/sites/default/files/burnley_brownfieldregister_2018-02-28_rev1_0.csv,,,2019-10-20,
local-authority-eng:BUN,https://www.burnley.gov.uk/residents/planning/planning-policy/brownfield-land-register,https://www.burnley.gov.uk/sites/default/files/Burnley%27s%20Brownfield%20Land%20Register%2027-02-19.csv,71caa325-1683-4d10-aff7-2284bd892c5b,2019-02-27,,
local-authority-eng:BUR,,http://www.bury.gov.uk/CHttpHandler.ashx?id=19009&p=0,,,,
local-authority-eng:CAB,https://www.cambridge.gov.uk/brownfield-land-register,https://www.cambridge.gov.uk/sites/default/files/brownfield-land-register.csv,,,2019-11-24,
local-authority-eng:CAB,https://www.cambridge.gov.uk/brownfield-land-register,,,,2019-11-24,
local-authority-eng:CAN,,https://www.cannockchasedc.gov.uk/sites/default/files/cannockchase_brownfieldregister_2017-12-01_rev1.csv,,,,
local-authority-eng:CAR,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,https://s3.eu-west-2.amazonaws.com/digital-land/brownfield-sites/CAR-2017-07-23.csv,,,,
local-authority-eng:CAS,https://www.castlepoint.gov.uk/brownfield-land-register,https://s3.eu-west-2.amazonaws.com/digital-land/brownfield-sites/castlepoint_brownfieldregister_2017-12-01_rev1.csv,,,,
local-authority-eng:CAT,,https://www2.canterbury.gov.uk/media/1544546/Canterbury-brownfield-register-2017.csv,,,,
local-authority-eng:CBF,,http://www.centralbedfordshire.gov.uk/Images/brownfield-register-jan-2018_tcm3-26973.csv,,,2018-11-29,
