organisation,documentation-url,resource-url,data-gov-uk,start-date,end-date,esd-dataset
local-authority-eng:ECA,https://www.eastcambs.gov.uk/local-development-framework/brownfield-land-register,https://www.eastcambs.gov.uk/sites/default/files/East_Cambridgeshire_District_Council_brownfieldregister_2017-12-12_rev1.csv,,2017-12-12,,
local-authority-eng:ECA,https://www.eastcambs.gov.uk/local-development-framework/brownfield-land-register,https://www.eastcambs.gov.uk/sites/default/files/east_cambridgeshire_brownfieldregister_2018-12-12_rev1.csv,8ea9755b-a9c3-499f-a9e5-7c7ee27754ba,2017-12-12,,
local-authority-eng:ECA,https://www.eastcambs.gov.uk/local-development-framework/brownfield-land-register,https://www.eastcambs.gov.uk/sites/default/files/east_cambridgeshire_brownfieldregister_2018-12-12_rev1.csv,,2018-12-12,,
local-authority-eng:EDE,https://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/,http://eastdevon.gov.uk/transparency/brownfields/east-devon_brownfieldregister_2017-11-17_rev1.csv,,,,
local-authority-eng:EDE,https://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/,http://eastdevon.gov.uk/media/2542014/2018EDDCBrownfieldLandRegisterFinalCSVweb.csv,,,,
local-authority-eng:EDE,https://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/,http://eastdevon.gov.uk/media/2542014/2018EDDCBrownfieldLandRegisterFinalCSVweb.csv,,,,
local-authority-eng:EDE,https://eastdevon.gov.uk/planning/planning-policy/housing-issues/brownfield-land/,https://eastdevon.gov.uk/media/3437875/2019eddcbrownfieldlandregisterfinalcsvweb.csv,,,,
local-authority-eng:EDN,https://www.eden.gov.uk/planning-and-building/planning-policy/brownfield-land-register/,https://www.eden.gov.uk/media/4516/brownfield_land_register_web.xlsx,,,2019-11-25,
local-authority-eng:EDN,https://www.eden.gov.uk/planning-and-building/planning-policy/brownfield-land-register/,https://www.eden.gov.uk/media/4921/brownfield_land_register_july2018.xlsx,,,2019-11-25,
local-authority-eng:EDN,https://www.eden.gov.uk/planning-and-building/planning-policy/brownfield-land-register/,https://www.eden.gov.uk/media/5201/brownfield-land-register-2018.xlsx,,,,
local-authority-eng:EDO,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/christchurch-and-east-dorset-brownfield-land-registers.aspx,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/pdfs/brownfield-land-registers/east-dorset-brownfield-register-2017.12.19-rev1-excel.csv,,,2019-03-31,
local-authority-eng:EDO,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/east-dorset/local-development-framework/christchurch-and-east-dorset-brownfield-land-registers.aspx,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/east-dorset/local-development-framework/pdfs/brownfield-land-registers/east-dorset-brownfieldregister-2018-12-20-rev1.csv,,2018-12-20,,
local-authority-eng:EHA,,https://www.easthants.gov.uk/brownfield-register-2017-part-1-csv-17-kb,,,2019-10-20,
local-authority-eng:EHA,https://www.easthants.gov.uk/brownfield-land-register,https://www.easthants.gov.uk/sites/default/files/documents/Brownfield%20register%202019%20Part%201.csv,,,,
local-authority-eng:EHE,https://www.eastherts.gov.uk/brownfieldregister,https://www.eastherts.gov.uk/media/32459/Brownfield-Register/spreadsheet/Brownfield_Land_Register-_Excel.xlsx,,,,
local-authority-eng:ELI,,https://www.e-lindsey.gov.uk/media/7458/CSV-File-eastlindsey-brownfieldregister-2017-05-22-rev1/CSV/eastlindsey_brownfieldregister_2017-05-22_rev1.csv,,,,
local-authority-eng:ELM,https://www.elmbridge.gov.uk/planning/planning-policy/brownfield-land-register/,http://www.elmbridge.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=4071,,,2019-11-01,
local-authority-eng:ELM,https://www.elmbridge.gov.uk/planning/planning-policy/brownfield-land-register/,https://www.elmbridge.gov.uk/_resources/assets/attachment/full/0/5674.csv,,,,
local-authority-eng:ENF,,https://new.enfield.gov.uk/services/planning/planning-policy/local-plan/planning-policy-information-enfield-blr-part-1.xlsx,,,2019-10-20,
local-authority-eng:ENF,https://new.enfield.gov.uk/services/planning/local-plan/#9,https://new.enfield.gov.uk/services/planning/local-plan/planning-policy-information-enfield-blr-part-1.xlsx,,,,
local-authority-eng:ENO,,http://www.nnjpu.org.uk/docs/BrownfieldLandRegisterTemplate%20-%202017%20Update%20-%20ONLINE%20VERSION.xlsm,,,,
local-authority-eng:EPP,http://www.efdclocalplan.org/brownfield-land-register/,http://www.efdclocalplan.org/wp-content/uploads/2018/03/Brownfield-Register.xlsx,,,,
local-authority-eng:EPS,,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/BrownfieldLandRegisterTemplate%20CSV.csv,,,,
local-authority-eng:ERE,,https://erewash.gov.uk/media/EBC/web-files/planning/erewash_brownfieldlandregister_2017-12-05_rev1.csv,,,,
local-authority-eng:ERY,,http://www2.eastriding.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=679410,,,,
local-authority-eng:ESK,https://www.eastsuffolk.gov.uk/planning/brownfield-land-register/,http://www.eastsuffolk.gov.uk/assets/Planning/Brownfield-Land-Register/East-Suffolk-Brownfield-Land-Register.csv,,,2019-11-24,
local-authority-eng:ESK,https://www.eastsuffolk.gov.uk/planning/brownfield-land-register/,https://www.eastsuffolk.gov.uk/assets/Planning/Brownfield-Land-Register/East-Suffolk-Brownfield-Land-Register.csv,,2019-11-01,,
local-authority-eng:EST,,http://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/planningpolicy/brownfield/ESBC_Brownfield-Register.csv,,,,
local-authority-eng:EXE,,https://exeter.gov.uk/media/2596/pilot-brownfield-register.xlsx,,,,
local-authority-eng:FAR,,http://www.fareham.gov.uk/PDF/planning/Brownfield/FBC_Brownfield_Land_Register_Part1.csv,,,,
local-authority-eng:FEN,,http://www.fenland.gov.uk/CHttpHandler.ashx?id=14426&p=0,,,,
local-authority-eng:FOE,,http://www.fdean.gov.uk/media/5465/dclg-brownfield-land-register.csv,,,,
local-authority-eng:FOR,,https://www.westsuffolk.gov.uk/planning/Planning_Policies/upload/2017-12-13-Brownfield-land-register-csv-2.csv,,,2019-03-31,
local-authority-eng:FYL,http://www.fylde.gov.uk/council/planning-policy--local-plan-/local-development-framework/brownfield-register/,https://new.fylde.gov.uk/wp-content/uploads/2019/06/Fylde-Council-Brownfield-Land-Register.pdf,,2019-06-01,,
local-authority-eng:GAT,https://www.gateshead.gov.uk/article/3017/Brownfield-Register-December-2017,https://www.gateshead.gov.uk/media/6902/Gateshead-brownfield-register/excel/gateshead-brownfieldregister-2017-12-21-rev1.csv.csv,,,,
local-authority-eng:GED,https://www.gedling.gov.uk/shlaa/,https://www.gedling.gov.uk/media/gedlingboroughcouncil/documents/planningpolicy/brownfieldregister/gedling_brownfieldregister_2017-08-31_rev1.csv,,2017-08-31,2018-08-31,
local-authority-eng:GED,https://www.gedling.gov.uk/shlaa/,https://www.gedling.gov.uk/media/gedlingboroughcouncil/documents/planningpolicy/brownfieldregister/gedling_brownfieldregister_2018-08-31_rev1.csv,1d30c576-a0f1-422c-adcd-be757fade46b,2018-08-31,,
local-authority-eng:GLA,https://data.london.gov.uk/dataset/brownfield-land-register,https://data.london.gov.uk/download/brownfield-land-register/dd05e60b-e922-4ca6-8e29-784d694e5a39/London%20Brownfield%20Register.csv,de1d9987-0d31-474c-a3a5-18a33885153c,,,
local-authority-eng:GLO,,http://www.gloucester.gov.uk/Documents/GloucesterBFLR.csv,44cfef8f-66fa-4e48-80c2-81a70aad95d0,2017-12-21,2019-11-25,
local-authority-eng:GLO,https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,http://www.gloucester.gov.uk/Documents/gloucester_brownfieldregister_2017-12-31_rev1.csv,44cfef8f-66fa-4e48-80c2-81a70aad95d0,2017-12-31,2019-10-25,
local-authority-eng:GLO,https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,https://www.gloucester.gov.uk/media/2236/gloucester_brownfieldregister_2017-12-31_rev1.csv,128a6bd2-79fd-40a4-8244-e5352f6d2229,2017-12-31,,
local-authority-eng:GLO,https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,https://www.gloucester.gov.uk/media/2874/gloucester-bflr-2018-csv.csv,,2018-12-01,,
local-authority-eng:GOS,,http://www.gosport.gov.uk/files/GBCBrownfieldLandRegister.csv,,,,
local-authority-eng:GRA,,https://www.gravesham.gov.uk/__data/assets/excel_doc/0009/449568/Gravesham_BrownfieldLandRegister.xlsm,,,,
local-authority-eng:GRE,,http://www.royalgreenwich.gov.uk/download/downloads/id/3572/brownfield_land_register_csv,,,,
local-authority-eng:GRT,,https://www.guildford.gov.uk/media/26733/Guildford-Borough-Council-Brownfield-Land-Register-December-2017-csv-format-/CSV/guildford_brownfieldregister_2017_12_12_rev11,,,,
local-authority-eng:GRY,,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2608&p=0,,,,
local-authority-eng:HAA,,https://www.havant.gov.uk/havant-brownfield-register-2017-pdf-18-kb,,,,
local-authority-eng:HAE,,http://hambleton.gov.uk/download/downloads/id/3686/brownfield_register.csv,,,,
local-authority-eng:HAG,,https://www.harrogate.gov.uk/download/downloads/id/3132/12-12-2017_harrogate_brownfield_register_rev_1.csv,,,,
local-authority-eng:HAL,,http://inspire.halton.gov.uk/data/halton_brownfieldregister_2017-12-31_rev1.csv,,,,
local-authority-eng:HAO,,http://www.harborough.gov.uk/download/downloads/id/3772/final_appendix_a_part_1_brownfield_land_register.xlsx,,,2019-10-20,
local-authority-eng:HAO,https://www.harborough.gov.uk/directory_record/3032/brownfield_land_register,http://www.harborough.gov.uk/download/downloads/id/3806/appendix_a_harborough_brownfield_land_register.xlsx,,,,
local-authority-eng:HAR,,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/harlow_brownfieldregister_2017-12-31_rev1.csv,,,,
local-authority-eng:HAS,https://www.hastings.gov.uk/planning/policy/BrownfieldRegister/,http://www.hastings.gov.uk/content/planning/planning_policy/pdfs/hastings_brownfieldregister_2017-12-15_rev1.csv,,2017-12-15,2019-10-20,
local-authority-eng:HAS,https://www.hastings.gov.uk/planning/policy/BrownfieldRegister/,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/hastings_brownfieldregister_2018-12-17_rev1.csv,ad33e371-18d4-4147-b416-3b612c641968,,,
local-authority-eng:HAT,,https://www.hart.gov.uk/sites/default/files/4_The_Council/Policies_and_published_documents/Planning_policy/hart_brownfieldregister_2017-12-22_rev1.csv,,,,
local-authority-eng:HAV,https://www.havering.gov.uk/downloads/file/2999/brownfield_land_register_csv_file,https://www.havering.gov.uk/download/downloads/id/2999/brownfield_land_register_csv_file.csv,,,,
local-authority-eng:HCK,,https://www.hackney.gov.uk/media/10019/brownfield-land-register/spreadsheet/hackney-brownfield-register,,,2019-11-24,
local-authority-eng:HCK,https://hackney.gov.uk/brownfield-land-register,,855e4367-d25c-4ed4-adab-e5b078714364,2019-06-25,2019-10-20,
local-authority-eng:HEF,,https://www.herefordshire.gov.uk/download/downloads/id/13144/brownfield_sites_register_2018.csv,,,,
local-authority-eng:HER,https://www.hertsmere.gov.uk/Planning--Building-Control/Planning-Policy/Brownfield-land-register.aspx,https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Planning-Policy/hertsmere-brownfieldregister-2017-12-22-rev1-correction2018-03.xlsx,,,,
local-authority-eng:HIG,,https://www.highpeak.gov.uk/media/2795/Brownfield-Register-CSV/Excel/High_Peak_Brownfield_Land_CSV_3.csv,,,,
local-authority-eng:HIL,,https://www.hillingdon.gov.uk/media/38639/CSV-file/xls/hillingdon_brownfieldregister_2017-12-31_rev1.csv,,,2019-10-20,
local-authority-eng:HIL,https://archive.hillingdon.gov.uk/article/33204/Brownfield-Land-Register,https://archive.hillingdon.gov.uk/media/38639/CSV-file/xls/hillingdon_brownfieldregister_2017-12-31_rev1.csv,,,,
local-authority-eng:HIN,,https://www.hinckley-bosworth.gov.uk/download/downloads/id/5936/brownfield_register_2017.csv,,,,
local-authority-eng:HMF,,http://files.datapress.com/london/dataset/brownfield-land-register/2017-12-21T14:21:59.58/London_Brownfield_Land_Register_20171221_.csv,,,2019-02-10,
local-authority-eng:HMF,https://www.lbhf.gov.uk/planning/planning-policy/brownfield-register,https://data.london.gov.uk/download/brownfield-land-register/dd05e60b-e922-4ca6-8e29-784d694e5a39/London%20Brownfield%20Register.csv,,2019-02-10,,
local-authority-eng:HNS,http://data.hounslow.gov.uk/Download/planning/brownfield-land,http://data.hounslow.gov.uk/download/planning/brownfield-land/brownfield-register-2017-12-22/CSV?version=16/07/2018,1d30c576-a0f1-422c-adcd-be757fade46b,,2019-10-20,
local-authority-eng:HOR,https://www.horsham.gov.uk/planningpolicy/planning-policy/housing-land-availability/brownfield-land-register,https://www.horsham.gov.uk/__data/assets/excel_doc/0006/49434/horsham_brownfieldregister_2017-12-31_rev1a.xlsx,,,2019-10-20,
local-authority-eng:HOR,https://beta.horsham.gov.uk/planning/planning-policy/strategic-housing-and-economic-land-availability-assessment-shelaa/brownfield-land-register,https://beta.horsham.gov.uk/__data/assets/file/0005/67721/horsham-brownfield-register.csv,,,,
local-authority-eng:HPL,,https://www.hartlepool.gov.uk/download/downloads/id/3889/brownfield_land_register_-_part_1.xlsm,,,,
local-authority-eng:HRW,,http://www.harrow.gov.uk/download/downloads/id/10631/harrow_s_brownfield_land_register,,,2019-10-20,
local-authority-eng:HRW,https://www.harrow.gov.uk/planning-developments/brownfield-land-register?documentId=12722&categoryId=210273,https://data.london.gov.uk/download/brownfield-land-register/dd05e60b-e922-4ca6-8e29-784d694e5a39/London%20Brownfield%20Register.csv,,,,
local-authority-eng:HRY,,http://www.haringey.gov.uk/sites/haringeygovuk/files/haringey_brownfield_register_final_dec_2017.csv,,,,
local-authority-eng:HUN,,http://huntingdonshire.gov.uk/media/2871/huntingdonshire_brownfieldregister_2017-12-31_rev1.csv,,,,
local-authority-eng:HYN,,https://www.hyndburnbc.gov.uk/download-package/brownfield-register/?wpdmdl=5825&ind=wlBUCiGFckA9__HMiqcwu7uOPuvjKCHR_5f8ag9Dg11re9kkxWJJyoXPXJcusnHF_JNLCPsQE9MtOUQyKjL7qw,,,,
local-authority-eng:IOS,,http://www.scilly.gov.uk/sites/default/files/document/planning/Isles%20of%20Scilly%20Brownfield%20Land%20Register%20v1.0.xlsm,,,,
local-authority-eng:IOW,https://www.iwight.com/documentlibrary/letter/b,https://www.iow.gov.uk/documentlibrary/download/brownfield-land-register-2017,,,,
local-authority-eng:IPS,,https://www.ipswich.gov.uk/sites/default/files/ipswich_brownfieldregister_20171221_1.csv,,,,
local-authority-eng:ISL,https://www.islington.gov.uk/planning/brownfield-land-register,https://www.islington.gov.uk/~/media/sharepoint-lists/public-records/planningandbuildingcontrol/information/adviceandinformation/20172018/20171124islingtonbrownfieldregister20171124rev1.csv,39b48e83-2c5d-4ca8-8f43-1e1f8c522eb8,2017-11-24,2019-10-20,
local-authority-eng:ISL,https://www.islington.gov.uk/planning/brownfield-land-register,https://www.islington.gov.uk/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/publicity/publicnotices/20182019/20181220islingtonbrownfieldregister20181219rev2.csv?la=en&hash=BD4AF465F4359F72EC98432F08F7A510EF32A002,39b48e83-2c5d-4ca8-8f43-1e1f8c522eb8,2018-12-20,,
local-authority-eng:KEC,,https://www.rbkc.gov.uk/sites/default/files/atoms/files/17-12-15%20RBKC%20BrownfieldLandRegister_CSV.csv,,,,
local-authority-eng:KET,,http://www.nnjpu.org.uk/docs/BrownfieldLandRegisterTemplate%20-%202017%20Update%20-%20ONLINE%20VERSION.xlsm,,,,
local-authority-eng:KHL,,http://hullcc-consult.limehouse.co.uk/file/4825189,,,,
local-authority-eng:KIN,,https://www.west-norfolk.gov.uk/download/downloads/id/3526/brownfield_land_register_2017_-_csv.csv,,,,
local-authority-eng:KIR,,http://www.kirklees.gov.uk/beta/planning-policy/pdf/brownfield-land-register-2017.csv,,,2019-10-20,
local-authority-eng:KIR,,http://inspire.misoportal.com/csv/files/kirklees_council/BLR_2018.csv,0769c30f-b099-4f19-bf4c-8a0b1b52a30c,2018-02-28,,
local-authority-eng:KIR,https://www.kirklees.gov.uk/beta/planning-policy/brownfield-land-register.aspx,https://www.kirklees.gov.uk/beta/planning-policy/pdf/brownfield-land-register.csv,fb18d9fe-02e6-46ab-8c35-377fdfd149cb,,,
local-authority-eng:KTT,,https://www.kingston.gov.uk/download/downloads/id/2204/kingston_brownfield_register_-_december_2017.csv,,,,
local-authority-eng:KWL,,http://www.knowsley.gov.uk/knowsleycouncil/media/Documents/Knowsley-MBC-Brownfield-register.xlsx,,,2019-10-20,
local-authority-eng:KWL,https://www.knowsley.gov.uk/residents/building-and-planning/local-plan/brownfield-register,https://www.knowsley.gov.uk/knowsleycouncil/media/Documents/Knowsley-MBC-Brownfield-register.xlsx,,,2019-11-30,
local-authority-eng:KWL,https://www.knowsley.gov.uk/residents/building-and-planning/local-plan/brownfield-register,https://www.knowsley.gov.uk/knowsleycouncil/media/Documents/Knowsley-Council-Brownfield-Register-2019.xlsx,,,,
local-authority-eng:LAC,https://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,https://www.lancaster.gov.uk/assets/attach/3838/lancastercitycouncil_brownfieldlandregister_2018-06-21_rev1.csv,b471616a-b20b-40f3-8608-5567674a49ee,,,
local-authority-eng:LBH,,https://www.lambeth.gov.uk/sites/default/files/lambeth_brownfieldregister_2017-12-15_rev1.csv,,,,
local-authority-eng:LCE,,http://directory.leicester.gov.uk/media/9719/leicester_brownfieldregister_2017-12-31_rev1.csv,,,,
local-authority-eng:LDS,https://www.leeds.gov.uk/planning/planning-policy/evidence-and-monitoring/brownfield-land-register,https://files.datapress.com/leeds/dataset/brownfield-land-register/2018-01-16T09:02:07.54/Brownfield.csv,,,,
local-authority-eng:LDS,https://www.leeds.gov.uk/planning/planning-policy/evidence-and-monitoring/brownfield-land-register,https://datamillnorth.org/download/brownfield-land-register/32a6402d-835f-4f19-94fb-68da359422db/Brownfield.csv,a9891971-a0f7-41c1-aae1-d3c6792288e0,2018-01-15,,
local-authority-eng:LDS,https://www.leeds.gov.uk/planning/planning-policy/evidence-and-monitoring/brownfield-land-register,https://datamillnorth.org/download/brownfield-land-register/0898f71c-58f3-4d97-ab4b-32ace8e72fd1/LCC_BrownfieldRegister_01_02_19.csv,a9891971-a0f7-41c1-aae1-d3c6792288e0,2019-02-01,,
local-authority-eng:LEE,https://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,http://www.lewes-eastbourne.gov.uk/_resources/assets/inline/full/0/263293.csv,d644f1cd-2029-4be6-99d0-c970f3a2d7e1,2018-01-12,2019-01-04,
local-authority-eng:LEE,https://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,https://www.lewes-eastbourne.gov.uk/_resources/assets/inline/full/0/276865.csv,,2019-01-04,,
local-authority-eng:LEW,,https://www.lewisham.gov.uk/myservices/planning/policy/Documents/BrownfieldLandRegister.csv,292889d5-fc9d-4d4b-a1ba-74b60e9d00ef,2018-01-03,2019-10-20,
local-authority-eng:LEW,https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,https://www.lewisham.gov.uk/myservices/planning/policy/Pages/Brownfield-land-register.aspx,238c0642-26dc-4464-a77f-475f04ee60e6,,,
local-authority-eng:LEW,https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,https://lewisham.gov.uk/-/media/files/imported/brownfieldlandregister-1.ashx,,,,
local-authority-eng:LIC,https://www.lincoln.gov.uk/living-in-lincoln/planning-and-building/brownfield-land-register/,https://www.lincoln.gov.uk/_resources/assets/attachment/full/0/54502.csv,12bc7fd4-cf0b-45ef-986f-3efff577c412,,2019-11-03,
local-authority-eng:LIC,https://www.lincoln.gov.uk/planning-building-control/brownfield-land-register/1,https://www.lincoln.gov.uk/downloads/file/507/brownfield-land-register-sites,,,,
local-authority-eng:LIF,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Brownfield-land-register.aspx,https://www.lichfielddc.gov.uk/Inspire-data-sets/Lichfield%20District%20Council%20Brownfield%20Land%20Register/Brownfield%20Land%20Register%202017.csv,e8e39e60-6422-4ac3-a206-e474ca4586b6,2017-12-21,2019-10-20,
local-authority-eng:LIF,https://www.lichfielddc.gov.uk/evidence-base/brownfield-land-register/1,https://www.lichfielddc.gov.uk/Inspire-data-sets/Lichfield%20District%20Council%20Brownfield%20Land%20Register/Brownfield%20Land%20Register%202017.csv,e8e39e60-6422-4ac3-a206-e474ca4586b6,2017-12-21,2019-10-20,
local-authority-eng:LIF,https://www.lichfielddc.gov.uk/evidence-base/brownfield-land-register/1,https://www.lichfielddc.gov.uk/Inspire-data-sets/Lichfield-District-Council-Brownfield-Land/Lichfield-District-Council-Brownfield-Land-Register-2018.csv,e8e39e60-6422-4ac3-a206-e474ca4586b6,2019-01-14,,
local-authority-eng:LIV,,https://liverpool.gov.uk/media/1356598/blr-lpool-part1-schedule-mandatorycols-12-12-17.csv,,,2019-10-20,
local-authority-eng:LIV,https://liverpool.gov.uk/council/strategies-plans-and-policies/environment-and-planning/plan-making-in-liverpool/evidence-monitoring-and-information/brownfield-land-register/,https://liverpool.gov.uk/media/1356598/blr-2018-schedule-no376sites-gis-data-excsiteplanurl-final-010319.xlsx,,,,
local-authority-eng:LND,,http://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Documents/city-of-london_brownfieldregister_2017-11-16_rev0.csv,,2017-11-16,2019-10-20,
local-authority-eng:LND,https://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Pages/development.aspx,https://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Documents/city-of-london_brownfieldregister_2018-11-28_update.csv,,2018-11-28,,
local-authority-eng:LUT,,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/Excel/HOU-014.csv,,,,
local-authority-eng:MAI,,http://www.maidstone.gov.uk/__data/assets/file/0009/163476/Brownfield-Land-Register-Part-1-2017.csv,,,2019-10-20,
local-authority-eng:MAI,http://www.maidstone.gov.uk/home/primary-services/planning-and-building/primary-areas/local-plan-information/tier-3-additional-areas/monitoring-reports,http://www.maidstone.gov.uk/__data/assets/file/0006/276558/Brownfield-Land-Register-Part-One-30-April-2019.csv,,,,
local-authority-eng:MAL,,http://www.maldon.gov.uk/download/downloads/id/15993/maldon_district_brownfield_land_register_part_1_2017_excel.xlsx,,,,
local-authority-eng:MAN,,http://www.manchester.gov.uk/download/downloads/id/25609/2017_manchester_brownfield_register.csv,,,2019-11-24,
local-authority-eng:MAN,https://secure.manchester.gov.uk/info/200074/planning/7293/brownfield_land_register,http://inspire.misoportal.com/csv/files/manchester_city_council/manchester_brownfield_register_31st_march_2018.csv,b35f899a-f7be-4ff8-a0eb-a508653d0b5f,2018-03-31,,
local-authority-eng:MAN,https://secure.manchester.gov.uk/info/200074/planning/7293/brownfield_land_register,http://www.manchester.gov.uk/download/downloads/id/26553/2018_manchester_brownfield_land_register.csv,b35f899a-f7be-4ff8-a0eb-a508653d0b5f,,,
local-authority-eng:MAS,https://www.mansfield.gov.uk/brownfieldregister,http://www.mansfield.gov.uk/Brownfield_Register/Mansfield_brownfieldregister_2017-12-13_rev1.csv,,,,
local-authority-eng:MAV,,https://www.malvernhills.gov.uk/documents/283188/8873213/MalvernHillsBrownfieldLandRegister2017_csv.csv/cf458998-a008-58a4-4dfd-33e1f451e5f4,,,2019-11-23,
local-authority-eng:MAV,https://www.malvernhills.gov.uk/brownfield-land-register,https://www.malvernhills.gov.uk/documents/10558/9420541/Malvern+Hills+Brownfield+Land+Register+%28csv%29.csv/21407080-5145-d508-245e-115a0fe5b6cd,,2019-11-24,,
local-authority-eng:MDB,https://www.middlesbrough.gov.uk/planning-and-housing/planning/planning-policy/brownfield-land-register,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield%20Land%20Register%20Middlesbrough%20March%202018%20update.csv,,,,
local-authority-eng:MDE,,https://www.middevon.gov.uk/media/344618/middevon_brownfieldregister_2017-12-31_rev1.xlsm,,,,
local-authority-eng:MDW,https://www.medway.gov.uk/info/200149/planning_policy/140/brownfield_land_registers,https://www.medway.gov.uk/download/downloads/id/1833/brownfield_register.csv,,,,
local-authority-eng:MEL,,https://anyfile.255bits.com/wix/download?id=2035f46e190b9f1b4fa9180991d28a90,,,2019-10-20,
local-authority-eng:MEL,https://www.meltonplan.co.uk/brownfieldregister,http://www.melton.gov.uk/download/downloads/id/4413/melton_brownfieldlandregister_2019-22-02_rev1.csv,4f682a5c-db0e-4256-bdd8-98158d8c5483,2018-02-22,,
local-authority-eng:MEL,https://www.meltonplan.co.uk/brownfieldregister,http://www.melton.gov.uk/download/downloads/id/4414/melton_brownfieldlandregister_2018-22-02_rev1.csv,4f682a5c-db0e-4256-bdd8-98158d8c5483,2019-02-22,,
local-authority-eng:MEN,,http://www.mendip.gov.uk/CHttpHandler.ashx?id=17256&p=0,,,2019-11-19,
local-authority-eng:MEN,https://www.mendip.gov.uk/article/7783/Development-Land-Register-of-Brownfield-Sites,https://www.mendip.gov.uk/media/17256/mendip-brownfieldregister-2017-12-10-rev1/CSV/mendip_brownfieldregister_2018-11-20_rev1.csv?m=636796831846800000,ebe70b93-0565-4023-9879-3a0618c71dac,2019-11-19,,
local-authority-eng:MIK,,https://www.milton-keynes.gov.uk/assets/attach/49208/milton-keynes_brownfieldregister_2017-12-31_rev1.csv,,,,
local-authority-eng:MOL,,https://www.molevalley.gov.uk/media.cfm?mediaid=37431,,,,
local-authority-eng:MRT,https://www2.merton.gov.uk/environment/planning/brownfield-land-register.htm,https://www2.merton.gov.uk/Merton%20Brownfield%20Register%202017%20Web%20Ready%20CSV%20Version.csv,,,,
local-authority-eng:MSS,https://www.midsussex.gov.uk/planning-building/evidence-supporting-documents/,https://www.midsussex.gov.uk/media/2619/mid-sussex-brownfield-land-register.csv,,,,
local-authority-eng:MSU,,http://www.babergh.gov.uk/assets/Planning-Policy/BMSDC-BrownfieldRegister-2017-12-21.csv,,,,
local-authority-eng:NBL,,http://opendata.northumberland.gov.uk/static/datasets/brownfield-register/brownfield-register.csv,,,,
local-authority-eng:NDE,,http://www.northdevon.gov.uk/media/378118/brownfield-land-register-december-2017.csv,,,2019-10-20,
local-authority-eng:NDE,https://www.northdevon.gov.uk/planning-and-building-control/the-brownfield-land-register/,https://www.northdevon.gov.uk/media/379152/brownfield-land-register-december-2018.xlsx,,,,
local-authority-eng:NDO,https://www.dorsetforyou.gov.uk/planning/north-dorset/planning-policy,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/north-dorset-planning-policy/pdfs/north-dorset-brownfield-register-2017-12-20.csv,673b258e-9221-42fe-91b8-5a41c6344bf5,,2019-03-31,
local-authority-eng:NDO,https://www.dorsetforyou.gov.uk/planning/north-dorset/planning-policy,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/north-dorset/pdfs/north-dorset-brownfield-register-2017-12-20.csv,673b258e-9221-42fe-91b8-5a41c6344bf5,,,
local-authority-eng:NEA,,http://www.newark-sherwooddc.gov.uk/media/newarkandsherwood/imagesandfiles/planningpolicy/pdfs/brownfieldlandregister/NewarkandSherwood_2017-12-20_rev3.xlsm,,,,
local-authority-eng:NEC,,https://www.newcastle-staffs.gov.uk/sites/default/files/IMCE/Planning/Planning_Policy/NonLocal/NULBCBrownfield%20land%20register.csv,,,,
