MBC Brownfield Land Register (2019) : Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR reference,URI,Local authority name,Site reference,Other reference,Source of the Site,Site Name,Address 1,Address 2,Coordinate referencing system,Easting,Northing,Site area (ha),Ownership status,Deliverable,Planning status,Permission type,Date granted,Description of the development,No. of dwellings granted (net),Min dwellings,Max dwellings,Non housing development,Under construction at 1 April 2018,Date first entered on the register,Date last updated on the register,,,,
BLR0011,Maidstone E07000110,Maidstone,H1(19),,LP allocation,18-21 ,Foster Street,Maidstone,Cartesian,576194,155252,0.03478,Not owned by a public authority,Yes,not permissioned,,,,,5,5,None,No,Dec-17,,,,,
BLR0012,Maidstone E07000110,Maidstone,16/505425,H1(20),LP allocation,Wren's Cross,"Upper Stone Street, ",Maidstone,Cartesian,576264,155370,0.4011,Kent County Council,Yes,permissioned,full planning permission,15/02/2017,Demolition of some existing buildings for a new development comprising of 66 No residential units. Change of use of existing Barracks building into 4 No flats. Change of use of existing Infill building into 5 No flats. Internal and external alterations of a listed building with commercial use.,75,75,75,None,Yes,Dec-17,,,,,
BLR0013,Maidstone E07000110,Maidstone,H1(22),,LP allocation,,Whitmore Street,Maidstone,Cartesian,574518,154880,0.1235,Not owned by a public authority,Yes,not permissioned,,,,,5,5,None,No,Dec-17,,,,,
BLR0014,Maidstone E07000110,Maidstone,H1(25),,LP allocation,Bridge Industrial Centre,"Wharf Road, ",Tovil,Cartesian,575182,154759,0.5147,Not owned by a public authority,Yes,not permissioned,,,,,15,15,None,No,Dec-17,,,,,
BLR0015,Maidstone E07000110,Maidstone,H1(26),,LP allocation,Tovil Working Men's Club,"Tovil Hill, ",Tovil,Cartesian,575545,154537,0.4728,Not owned by a public authority,Yes,not permissioned,,,,,20,20,None,No,Dec-17,May-19,,,,
BLR0016,Maidstone E07000110,Maidstone,H1(30),,LP allocation,Bearsted Station Goods Yard,Bearsted,Maidstone,Cartesian,579795,156134,0.5092,Not owned by a public authority,Yes,not permissioned,,,,,20,20,None,No,Dec-17,,,,,
BLR0017,Maidstone E07000110,Maidstone,H1(52),,LP allocation,Boughton Mount,"Boughton Lane, ",Boughton Monchelsea,Cartesian,576963,152266,1.83,Not owned by a public authority,Yes,not permissioned,,,,,25,25,None,No,Dec-17,,,,,
BLR0018,Maidstone E07000110,Maidstone,16/501263,H1(66),LP allocation,Bentletts Yard,"Claygate Road, ",Laddingford,Cartesian,570237,147155,1.91,Part owned Kent Highway Services,Yes,permissioned,full planning permission,31/07/2017,"Erection of 25 dwellings with associated garages, car barns and parking spaces, landscaping, tree planting and new pond, inclusive of amenity area for nature conservation and new shared surface access road off Claygate Road. ",28,25,28,None,No,Dec-17,May-19,,,,
BLR0019,Maidstone E07000110,Maidstone,H2(2),,LP Broad Location,Invicta Park Barracks,Sandling Road,Maidstone,Cartesian,575984,157439,46.73,Ministry of Defense,Yes,not permissioned,,,,,1300,1300,Unknown,No,Dec-17,,,,,
BLR0020,Maidstone E07000110,Maidstone,14/0487,H1(37),LP allocation,Kent Cottage,Grigg Lane,"Headcorn, Kent, TN27 9TD",Cartesian,584072,144487,1.6,Not owned by a public authority,Yes,completed,reserved matters,06/02/2014,"Reserved matter of landscaping pursuant to outline planning permission MA/12/1949 (Outline planning application with access, layout, scale and appearance to be determined and with landscaping as a reserved matter, for the demolition of buildings at Kent Cottage and Chance Holding to enable the construction of residential development (for 25 dwellings inclusive of 10 affordable dwellings), inclusive of retained woodland as open amenity land, enhanced landscaping including new pond, electricity sub station, foul drainage pumping station with access road off Grigg Lane).",25,25,25,None,Yes,Dec-17,Jun-18,,,,
BLR0021,Maidstone E07000110,Maidstone,14/500219,18/504921/REM,Extant consent,The Old Goods Yard,"Headcorn Road, ",Lenham,Cartesian,589288,151690,3.13,Not owned by a public authority,Yes,permissioned,outline,02/10/2015,Outline application for the demolition of existing commercial buildings and the development (and re-development) of land for residential purposes. With all matters reserved for future consideration,64,64,64,None,No,Dec-17,,,,,
BLR0022,Maidstone E07000110,Maidstone,12/0980,HO-67,Extant consent,West of ,Burial Ground Lane,Tovil,Cartesian,575033,154240,0.83,Kent Highways Service,Yes,completed,full planning permission,23/05/2013,"The development of 27 houses together with raising of land levels, new access and access road, parking, car barns and associated landscaping and footpath links",27,27,27,None,Yes,Dec-17,Jun-18,,,,
BLR0023,Maidstone E07000110,Maidstone,13/1709,,Expired consent,Gatland House,Gatland Lane,"Maidstone, Kent, ME16 8PF",Cartesian,573700,154641,0.49,Kent County Council,Yes,not permissioned,,, ,,14,14,None,No,Dec-17,Jun-18,,,,
BLR0024,Maidstone E07000110,Maidstone,15/506037,HO3-241,Extant consent,Woodford Farm,Maidstone Road,"Staplehurst, Kent, TN12 0RH",Cartesian,578088,146118,0.93,Not owned by a public authority,Yes,permissioned,full planning permission,12/05/2016,"Demolition of existing commercial buildings, hardstanding and Woodford Coach House and the erection of a replacement dwelling for Woodford Coach House and 9 dwellings with parking and landscaping",9,9,9,None,Yes,Dec-17,,,,,
BLR0025,Maidstone E07000110,Maidstone,10/0256,15/509041/REM,Extant consent,,"land at, Farleigh Hill,","Tovil, Maidstone, Kent",Cartesian,575220,154120,6.3,Not owned by a public authority,Yes,permissioned,outline,23/11/2012,"Application to extend the time limit for implementing permission MA/01/0686 being ""Outline application for the erection of dwellings with associated access with provision for community facilities and open space with all matters reserved for future consideration",272,272,272,Community facility and open space,No,Dec-17,,,,,
BLR0026,Maidstone E07000110,Maidstone,17/500419,,Extant consent,"Brenchley House, ",123 - 135 Week Street,"Maidstone, Kent, ME14 1RF",Cartesian,575973,156176,0.2,Not owned by a public authority,Yes,completed,prior notification,20/03/2017,Prior Notification for change of use of Class B1(a) (Offices) to Class C3 (Residential) for 192 flats.,192,192,192,None,Yes,Dec-17,May-19,,,,
BLR0027,Maidstone E07000110,Maidstone,09/0862,17/504568,Expired consent,"KCC Springfield Library Site, ",Sandling Road,"Maidstone, Kent",Cartesian,575623,156992,0.58,Kent County Council,Yes,not permissioned,,,,,114,114,None,No,Dec-17,May-19,,,,
BLR0028,Maidstone E07000110,Maidstone,15/505441,18/502287/REM,Extant consent,"Tovil Quarry Site, ",Straw Mill Hill,"Tovil, Kent, ME15 6FL",Cartesian,575316,154023,2.52,Not owned by a public authority,Yes,permissioned,reserved matters,24/08/2018,Outline planning application for the erection of up to 108 dwellings,108,108,108,None,No,Dec-17,,,,,
BLR0029,Maidstone E07000110,Maidstone,14/0828,H1 (32),LP allocation,Land South of ,"Ashford Road,","Harrietsham, Kent",Cartesian,586916,152511,4.75,Not owned by a public authority,Yes,completing,full planning permission,28/08/2015,"The redevelopment of land south of Ashford Road for residential development comprising the erection of 113/114 dwellings, internal access road, landscaped public open space, a LAP, a convenience store",113,113,113,Open space and convience store,Yes,Dec-17,May-19,,,,
BLR0030,Maidstone E07000110,Maidstone,14/500290,,Extant consent,"The Maidstone Studios,","New Cut Road,","Maidstone, Kent, ME14 5NZ",Cartesian,577916,156465,3.24,Not owned by a public authority,Yes,completing,full planning permission,22/12/2015,"Demolition of a number of disused temporary structures associated with Maidstone Studios and erection of 77 dwellings together with access, parking, garaging, landscaping and ancillary works on land to east of Maidstone Studios",77,77,77,None,Yes,Dec-17,,,,,
BLR0031,Maidstone E07000110,Maidstone,14/505005,,Extant consent,,59 - 71 King Street,"Maidstone, Kent, ME14 1BG",Cartesian,576354,155786,0.23,Not owned by a public authority,Yes,completed,full planning permission,29/04/2015,"Redevelopment to form 53 sheltered apartments for the elderly, including communal facilities, (category 11 type accommodation) access, car parking and landscaping",53,53,53,None,Yes,Dec-17,Jun-18,,,,
BLR0032,Maidstone E07000110,Maidstone,16/503059,,Extant consent,"Bishops Terrace, ",Bishops Way,"Maidstone, Kent, ME14",Cartesian,575867,155551,0.13,Not owned by a public authority,Yes,completed,prior notification,03/06/2016,Prior notification for the change of use of offices (Class B1A) to 44 residential units (Class C3),44,44,44,None,Yes,Dec-17,Jun-18,,,,
BLR0033,Maidstone E07000110,Maidstone,16/508694,,Extant consent,"Chaucer House,",25 Knightrider Street,"Maidstone, Kent, ME15 6ND",Cartesian,576135,155354,0.22,Not owned by a public authority,Yes,completed,prior notification,03/02/2017,Prior notification for the change of use of offices (Class B1(a)) to residential (Class C3) to provide 43no. 1 bed units.,43,43,43,None,Yes,Dec-17,Jun-18,,,,
BLR0034,Maidstone E07000110,Maidstone,14/501209,H1 (1),LP allocation,"Bridge Nursery,",London Road,"Maidstone, Kent",Cartesian,573853,157466,5.48,Not owned by a public authority,Yes,completed,full planning permission,28/07/2015,"The development of the site for 140 x two, three, four and five bed dwellings, new access road off A20, new estate roads, car parking, landscaping and amenity open space.",140,140,140,Community open space,Yes,Dec-17,Jun-19,,,,
