MBC Brownfield Land Register (2019) : Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR reference,URI,Local authority name,Site reference,Other reference,Source of the Site,Site Name,Address 1,Address 2,Coordinate referencing system,Easting,Northing,Site area (ha),Ownership status,Deliverable,Planning status,Permission type,Date granted,Description of the development,No. of dwellings granted (net),Min dwellings,Max dwellings,Non housing development,Under construction at 1 April 2018,Date first entered on the register,Date last updated on the register,,,,
BLR0072,Maidstone E07000110,Maidstone,16/503306,,Extant consent,"Ladds Court, ",Chart Hill Road,"Chart Sutton,  Kent,  ME17 3RQ",Cartesian,579615,149532,0.2,Not owned by a public authority,Yes,permissioned,full planning permission,10/08/2016,Demolition of existing sheds and erection of a pair of semi-detached dwellings and associated garages. Conversion of existing Ladds Court Oast building to five residential terraced dwellings and erection of a car barn.,7,7,7,None,No,Dec-17,,,,,
BLR0073,Maidstone E07000110,Maidstone,16/506224,,Extant consent,,80A London Road,"Maidstone, Kent, ME16 0DR",Cartesian,574872,156476,0.07,Not owned by a public authority,Yes,completed,full planning permission,25/11/2016,Demolition of existing building with erection of a replacement three storey apartment building containing 8 self contained flats together with associated landscaping and access.,7,7,7,None,Yes,Dec-17,May-19,,,,
BLR0074,Maidstone E07000110,Maidstone,16/501390,,Extant consent,,22 Lower Stone Street,"Maidstone, Kent, ME15 6LX",Cartesian,576208,155547,0.02,Not owned by a public authority,Yes,permissioned,full planning permission,05/10/2016,Conversion of Grade II listed Coach House from office (Class B1) to seven residential units (Class C3),7,7,7,None,Yes,Dec-17,May-19,,,,
BLR0075,Maidstone E07000110,Maidstone,14/505311,,Extant consent,,98-99 Florence Road,"Maidstone, Kent, ME16 8EN",Cartesian,575235,155085,0.03,Not owned by a public authority,Yes,permissioned,full planning permission,20/04/2015,Development comprising of 6no. apartments in 3 storey block with associated car parking and landscaping.,6,6,6,None,Yes,Dec-17,May-19,,,,
BLR0076,Maidstone E07000110,Maidstone,16/500374,,Extant consent,"The Forstal, ",Mount Castle Lane,"Lenham Heath, Kent, ME17 2JB",Cartesian,591224,150254,0.53,Not owned by a public authority,Yes,completed,full planning permission,15/04/2016,"Demolition of existing buildings and erection of 6 residential dwellings, together with associated access, parking, drainage works and landscaping.",6,6,6,None,Yes,Dec-17,Jun-18,,,,
BLR0077,Maidstone E07000110,Maidstone,16/507545,,Extant consent,"Naked Foods Ltd (Site 2), ",Smarden Road,"Headcorn, Kent, TN27 9TA",Cartesian,584297,144177,0.16,Not owned by a public authority,Yes,completed,full planning permission,13/01/2017,Demolition of redundant factory building. Construction of a new residential development for 6 dwellings.,6,6,6,None,Yes,Dec-17,May-19,,,,
BLR0078,Maidstone E07000110,Maidstone,14/506793,,Expired consent,,70 Bank Street,"Maidstone, Kent, ME14 1SN",Cartesian,575948,155647,0.02,Not owned by a public authority,Yes,not permissioned,,,,,6,6,None,No,Dec-17,May-19,,,,
BLR0079,Maidstone E07000110,Maidstone,15/506927,,Extant consent,,539 Loose Road,"Maidstone, ME15 9UQ",Cartesian,576369,152960,0.13,Not owned by a public authority,Yes,completed,full planning permission,22/12/2015,Conversion of first and second floors from showrooms and office to 3 one bed flats and 3 two bed flats,6,6,6,None,Yes,Dec-17,May-19,,,,
BLR0080,Maidstone E07000110,Maidstone,17/506270,,Extant consent,,509 Loose Road,"Maidstone, Kent, ME15 9UQ",Cartesian,576374,153046,0.12,Not owned by a public authority,Yes,permissioned,full planning permission,01/02/2018,"Demolition of existing vacant public house and erection of new development of flats, comprising 4 no. x 2-bedroom flats and 3 no. x 3-bedroom terraced houses together with 10 parking spaces and landscaping.",8,7,8,None,No,Dec-17,May-19,,,,
BLR0081,Maidstone E07000110,Maidstone,16/506591,,Extant consent,"Roofing Centre Group Ltd, ","Mendip House, Leeds Road","Langley, Kent, ME17 3JN",Cartesian,581233,151301,0.42,Not owned by a public authority,Yes,completed,reserved matters,23/12/2016,"Reserved Matters following Outline Permission MA/13/1373 -  Demolition of existing units on site and the erection of 6 detached houses with garaging, parking and access (Appearance, Landscaping, Layout and scale being sought)",6,6,6,None,Yes,Dec-17,May-19,,,,
BLR0082,Maidstone E07000110,Maidstone,15/500464,,Extant consent,"Land Adjoining Four Wents Orchard, ",Chartway Street,"Sutton Valence, Kent, ME17 3JA",Cartesian,581462,150173,0.49,Not owned by a public authority,Yes,completed,full planning permission,19/04/2016,Redevelopment of former garden nursery to provide 6 dwellings,6,6,6,None,Yes,Dec-17,Jun-18,,,,
BLR0083,Maidstone E07000110,Maidstone,15/507279,,Extant consent,"Radar Studio, ",Coldblow Lane,"Thurnham, Kent, ME14 3LR",Cartesian,582371,158414,0.29,Not owned by a public authority,Yes,completed,full planning permission,01/12/2015,Demolition of the existing MOD structures and construction of 5no. 4 bedroom detached dwellings with new internal road layout and associated parking and landscaping works on the former MOD transmission site at Coldblow Lane.,5,5,5,None,Yes,Dec-17,Jun-18,,,,
BLR0084,Maidstone E07000110,Maidstone,15/510727,,Extant consent,,97 Holland Road,"Maidstone, ME14 1UN",Cartesian,576655,156157,0.09,Not owned by a public authority,Yes,completed,full planning permission,17/02/2016,Demolition of vacant surgery building and erection of 5x three storey houses.,5,5,5,None,Yes,Dec-17,Jun-18,,,,
BLR0085,Maidstone E07000110,Maidstone,17/500653,,Extant consent,"Chapel Farm, ",Lenham Heath Road,"Lenham Heath, Kent, ME17 2BJ",Cartesian,590449,150379,0.06,Not owned by a public authority,Yes,permissioned,prior notification,30/03/2017,Prior notification for the change of use of Storage  Building  (Class B8) to 5 dwellinghouses (Class C3).,5,5,5,None,Yes,Dec-17,,,,,
BLR0086,Maidstone E07000110,Maidstone,15/507082,,Extant consent,"4 Clarendon Place, ",King Street,"Maidstone, Kent, ME14 1BQ",Cartesian,576482,155736,0.03,Not owned by a public authority,Yes,completed,full planning permission,22/12/2015,Subdivision of existing townhouse previously used as offices into 5 one bedroom flats.,5,5,5,None,Yes,Dec-17,Jun-18,,,,
BLR0087,Maidstone E07000110,Maidstone,14/500606,,Extant consent,"Greentops, ","Headcorn Road,","Sutton Valence, Kent, ME17 3EH",Cartesian,581423,147690,0.29,Not owned by a public authority,Yes,completing,full planning permission,13/01/2015,Demolition of x4 existing commercial buildings and existing detached bungalow 'Greentops' and redevelopment to provide x6 detached houses and garages,5,5,5,None,Yes,Dec-17,May-19,,,,
BLR0088,Maidstone E07000110,Maidstone,16/508382,18/503784,Extant consent,"Warmlake Business Estate, ",Maidstone Road,"Sutton Valence, Kent, ME17 3LQ",Cartesian,581108,150303,0.91,Not owned by a public authority,Yes,permissioned,reserved matters,03/07/2017,"Reserved matters of appearance, landscaping, layout and scale pursuant to outline permission 16/508382/OUT for redevelopment of the site consisting of the demolition of an existing commercial storage and distribution unit and external yard and the constru",8,8,8,None,No,Dec-17,May-19,,,,
BLR0089,Maidstone E07000110,Maidstone,15/505317,,Extant consent,,3 Blind Lane,"Bredhurst, Kent, ME7 3JR",Cartesian,579287,162206,0.36,Not owned by a public authority,Yes,permissioned,outline,04/02/2016,"Outline (Appearance, landscaping, layout and scale not reserved) - Demolition of existing buildings and construction of four detached chalet bungalows",4,4,4,None,No,Dec-17,,,,,
BLR0090,Maidstone E07000110,Maidstone,16/506951,,Extant consent,"Anchor Inn And Hotel, ",Hampstead Lane,"Yalding, Kent, ME18 6HG",Cartesian,568931,149796,0.27,Not owned by a public authority,Yes,permissioned,full planning permission,01/02/2017,"Demolition of bungalow, outbuildings and garages.  Part demolition and redevelopment of the Anchor Inn and the addition of two residential flats to the hotel with internal and external alterations. ",1,1,1,None,Yes,Dec-17,,,,,
BLR0091,Maidstone E07000110,Maidstone,16/500334,,Extant consent,"Tremayne, ",Church Lane,"Bearsted, Kent, ME14 4EF",Cartesian,580010,155670,0.32,Not owned by a public authority,Yes,completed,full planning permission,11/03/2016,Demolition of existing dwelling. Erection of 2x detached dwellings with new access.,1,1,1,None,Yes,Dec-17,May-19,,,,
BLR0092,Maidstone E07000110,Maidstone,10/0017,,Expired consent,,23 Gabriels Hill,"Maidstone, ME15 6HR",Cartesian,576154,155704,0.02,Not owned by a public authority,Yes,not permissioned,,,,,5,5,None,No,Dec-17,,,,,
BLR0093,Maidstone E07000110,Maidstone,09/1236,,Expired consent,,"33-37 Foley Street,","Maidstone, ME14 5BD",Cartesian,576476,156451,0.08,Not owned by a public authority,Yes,not permissioned,,,,,6,6,None,No,Dec-17,,,,,
BLR0094,Maidstone E07000110,Maidstone,12/0595,,Expired consent,,"2 and 3 Foster Street,","Maidstone, ME15 6NH",Cartesian,576266,155268,0.04,Not owned by a public authority,Yes,not permissioned,,,,,14,14,None,No,Dec-17,,,,,
BLR0095,Maidstone E07000110,Maidstone,08/2 386,,Expired consent,,25/27 Postley Road,"Maidstone, ME15 6TP",Cartesian,576193,154763,0.04,Not owned by a public authority,Yes,not permissioned,,,,,6,6,None,No,Dec-17,,,,,
BLR0096,Maidstone E07000110,Maidstone,08/1057,,Expired consent,,"11 Week Street,","Maidstone, ME14 1QW",Cartesian,576046,155809,0.04,Not owned by a public authority,Yes,not permissioned,,,,,14,14,None,No,Dec-17,,,,,
BLR0097,Maidstone E07000110,Maidstone,16/504892,,Extant consent,Headcorn Hall,"Biddenden Road,","Headcorn, Ashford, TN27 9JD",Cartesian,584525,142791,2.11,Not owned by a public authority,Yes,completing,full planning permission,10/08/2017,Application to extend the time limit for implementing permission MA/05/0347 being (Extension to and conversion of existing nursing home to form 7 no one bedroom and 7 no two bedroom flats),,14,14,None,Yes,Dec-17,Jun-18,,,,
BLR0098,Maidstone E07000110,Maidstone,10/2 161,,Expired consent,"Earl House,","27 Earl Street,","Maidstone, ME14 1PF",Cartesian,575961,155851,0.01,Not owned by a public authority,Yes,not permissioned,,,,,6,6,None,No,Dec-17,,,,,
BLR0099,Maidstone E07000110,Maidstone,10/2 106,,Expired consent,,"50 Buckland Road,","Maidstone, ME16 0SH",Cartesian,575372,155960,0.05,Not owned by a public authority,Yes,not permissioned,,,,,5,5,None,No,Dec-17,,,,,
BLR0100,Maidstone E07000110,Maidstone,10/0842,,Expired consent,,"47-51, Hartnup Street,","Maidstone, ME16 8LR",Cartesian,574153,154896,0.08,Not owned by a public authority,Yes,not permissioned,,,,,5,5,None,No,Dec-17,,,,,
BLR0101,Maidstone E07000110,Maidstone,11/1229,,Expired consent,,"1 & 2 Church Street,","Tovil, ME15 6RB",Cartesian,575443,154609,0.08,Not owned by a public authority,Yes,not permissioned,,,,,9,9,2 retail units,No,Dec-17,,,,,
BLR0102,Maidstone E07000110,Maidstone,12/2 140,,Expired consent,School House,"Ashford Road,","Harrietsham, ME17 1AJ",Cartesian,587118,152662,0.36,Not owned by a public authority,Yes,not permissioned,,,,,9,9,None,No,Dec-17,,,,,
BLR0103,Maidstone E07000110,Maidstone,17/502355,,Extant consent,,"Land at, Forest Hill,","Tovil, Kent, ME15 6FL",Cartesian,575650,154493,0.51,Not owned by a public authority,Yes,permissioned,full planning permission,11/02/2013,Construction of 22 dwellings with associated landscaping and car parking.,22,14,22,None,No,Dec-17,May-19,,,,
BLR0104,Maidstone E07000110,Maidstone,09/0154,,Expired consent,,"102 Upper Stone Street,","Maidstone, Kent, ME15 6HD",Cartesian,576354,155039,0.08,Not owned by a public authority,Yes,not permissioned,,,,,26,26,None,No,Dec-17,,,,,
BLR0105,Maidstone E07000110,Maidstone,11/2 009,,Expired consent,"RPM Installations (Kent) Ltd, The Forge, ","3-5 Farleigh Hill,","Maidstone, ME15 6RG",Cartesian,575373,154389,0.06,Not owned by a public authority,Yes,not permissioned,,,,,10,10,None,No,Dec-17,,,,,
BLR0106,Maidstone E07000110,Maidstone,11/2 128,,Expired consent,,20 Tonbridge Road,"Maidstone, Kent, ME16 8RT",Cartesian,575431,155437,0.05,Not owned by a public authority,Yes,not permissioned,,,,,5,5,None,No,Dec-17,,,,,
BLR0107,Maidstone E07000110,Maidstone,15/503091,,Expired consent,,10 Tonbridge Road,"Maidstone, ME16 8RP",Cartesian,575470,155446,0.03,Not owned by a public authority,Yes,not permissioned,,,,,5,5,None,No,Dec-17,,,,,
BLR0108,Maidstone E07000110,Maidstone,15/509762,,Expired consent,"Faith House, ","2 St Faiths Street,","Maidstone, Kent, ME14 1LL",Cartesian,576004,156030,0.08,Not owned by a public authority,Yes,not permissioned,,,,,13,13,None,No,Dec-17,,,,,
BLR0109,Maidstone E07000110,Maidstone,14/506460,,Expired consent,,"65 College Road,","Maidstone, Kent, ME15 6SX",Cartesian,575895,154952,0.11,Not owned by a public authority,Yes,not permissioned,,,,,7,7,None,No,Dec-17,,,,,
BLR0110,Maidstone E07000110,Maidstone,15/503837,,Extant consent,"Kent House,", Romney Place,"Maidstone, ME15 6LA",Cartesian,576297,155486,0.57,Not owned by a public authority,Yes,completing,prior notification,29/06/2015,Prior notification for the change of use of a building from office use to dwellinghouses,123,123,123,None,No,Dec-17,May-19,,,,
BLR0111,Maidstone E07000110,Maidstone,PN140037,18/502945/PNOCLA,Extant consent,"Sussex House,"," 21, Lower Stone Street","Maidstone, Kent, ME15 6YT",Cartesian,576248,155511,0.03,Not owned by a public authority,Yes,permissioned,prior notification,06/07/2018,"Prior notification for the change of use of 1st, 2nd and 3rd floors from offices (Use Class B1(a)) to Residential (Use Class C3) to form 12 Residential Units (6 x 2 bedroom flats and 6 x 1 bedroom flats).",,12,12,None,No,Dec-17,May-19,,,,
BLR0112,Maidstone E07000110,Maidstone,17/502112/PNOCLA,,Extant consent,,11 Queen Anne Road,"Maidstone, Kent, ME14 1XB",Cartesian,576591,155913,0.06,Not owned by a public authority,Yes,completed,prior notification,13/06/2017,Prior notification for the change of use of office building to 39 residential flats ,39,39,39,None,Yes,Dec-17,Jun-18,,,,
BLR0113,Maidstone E07000110,Maidstone,15/503786,,Extant consent,"Holbrook House, ",72 Bank Street,"Maidstone, Kent, ME14 1SN",Cartesian,575965,155648,0.03,Not owned by a public authority,Yes,completed,prior notification,30/06/2015,Prior notification for the change of use of a building from office to dwellinghouses,6,6,6,None,No,Dec-17,Jun-18,,,,
BLR0114,Maidstone E07000110,Maidstone,15/501226,,Expired consent,"Unit 4, Trumans Oast, Upper Fowle Hall Farm, ",Willow Lane,"Paddock Wood, Kent, TN12 6PF",Cartesian,569134,145733,0.39,Not owned by a public authority,Yes,not permissioned,,,,,1,1,None,No,Dec-17,,,,,
BLR0115,Maidstone E07000110,Maidstone,14/503305,,Expired consent,"Homeleigh Timber Supplies, ","Station Road,","Staplehurst, Kent, TN12 0PY",Cartesian,578528,143800,0.27,Not owned by a public authority,Yes,not permissioned,,,,,12,12,None,No,Dec-17,,,,,
BLR0116,Maidstone E07000110,Maidstone,17/505294,18/501763,Extant consent,Southfield Stables,South Lane ,Sutton Valence Maidstone Kent ME17 3AZ,Cartesian,581163,148749,0.48,Not owned by a public authority,Yes,permissioned,reserved matters,14/06/2018,"Reserved matters of landscaping pursuant to outline permission 17/505294/OUT for demolition of existing stables, horse walker, cabins/container, shed and toilet with existing caravans removed to allow for construction of access road and erection of 3 detached single storey bungalows with garaging /car barn inclusive of ecological communal garden, with access, appearance, layout and scale to be considered at this stage and landscaping reserved for future consideration.",3,3,3,None,No,Dec-17,May-19,,,,
BLR0117,Maidstone E07000110,Maidstone,17/505670,,Extant consent,Bletchingley Oast And Bletchingley Farm Industrial Estate,Pristling Lane ,Staplehurst Tonbridge Kent TN12 0HH,Cartesian,577085,141622,0.49,Not owned by a public authority,Yes,permissioned,full planning permission,06/04/2018,Change of use of vacant oasthouse and stables to 2 residential dwellings; demolition of all outbuildings and clearance of site to erect 3 no. two storey houses and 2 no. semi-detached single storey cottages,7,7,7,None,No,Dec-17,May-19,,,,
BLR0118,Maidstone E07000110,Maidstone,17/506475,,Extant consent,Medvale House,Mote Road,"Maidstone, Kent, ME15 6AH",Cartesian,576335,155429,0.18,Not owned by a public authority,Yes,permissioned,prior notification,13/02/2018,Prior notification for the change of use of office building to 81 residential flats.,81,81,81,None,No,Jun-18,,,,,
BLR0119,Maidstone E07000110,Maidstone,17/504632,,Extant consent,,Land At Brunswick Street,"Maidstone, Kent",Cartesian,576251,155201,0.5,Not owned by a public authority,Yes,permissioned,full planning permission,07/03/2018,"Proposed demolition of all existing buildings and introduction of a new 33 space public car park, together with 24 flats in a four storey block fronting Upper Stone St. A row of 6 houses constructed over 3 storeys fronting Orchard St. 2 rows of 4 houses each constructed over 3 storeys fronting Brunswick St, and George St and 9 flats in a stepped block overlooking the new pay and display car park. The development will include allocated parking and soft landscaping.",47,47,47,None,Yes,Jun-18,May-19,,,,
BLR0120,Maidstone E07000110,Maidstone,17/501835,18/502806/PNOCLA,Extant consent,,"11 Station Road,","Maidstone, Kent, ME14 1QN",Cartesian,575970,156050,0.06,Not owned by a public authority,Yes,permissioned,prior notification,17/07/2018,"Prior Notification for change of use of a building from B1a offices to 27 flats (7 x studios, 19 x one bedroom and 1 x 2 bedroom).",27,27,27,None,Yes,Jun-18,May-19,,,,
BLR0121,Maidstone E07000110,Maidstone,16/507464,,Extant consent,,"34C Gabriels Hill,","Maidstone, Kent, ME15 6JJ",Cartesian,576118,155644,0.08,Not owned by a public authority,Yes,permissioned,full planning permission,10/08/2017,Demolition of building and erection of 5 storey building for 22 flats with car parking,22,22,22,None,Yes,Jun-18,,,,,
BLR0122,Maidstone E07000110,Maidstone,16/506266,,Extant consent,Sharp House,Tovil Green,"Tovil, Kent, ME15 6RL",Cartesian,575075,154661,0.17,Not owned by a public authority,Yes,permissioned,full planning permission,19/04/2017,Erection of 13 dwellings together with associated landscaping and parking.,13,13,14,None,No,Jun-18,,,,,
BLR0123,Maidstone E07000110,Maidstone,16/506707,,Extant consent,,"57 - 59 Church Street,","Tovil, Kent, ME15 6RB",Cartesian,575400,154561,0.13,Not owned by a public authority,Yes,permissioned,full planning permission,27/09/2017,"Demolition of office building and construction of 12 dwellings (flats and houses), car parking, cycle storage and amenity space.",12,12,12,None,Yes,Jun-18,May-19,,,,
BLR0124,Maidstone E07000110,Maidstone,17/500532,,Extant consent,,33 Scott Street,"Maidstone, Kent, ME14 2TA",Cartesian,575855,156593,0.1,Not owned by a public authority,Yes,permissioned,full planning permission,05/02/2018,Demolition of 36 garages and erection of 10 no. 1 and 2 bedroom flats with creation of new access and parking.,10,10,10,None,No,Jun-18,,,,,
BLR0125,Maidstone E07000110,Maidstone,17/503772,,Extant consent,,"First Floor , 62, 63 & 64 High Street,","Maidstone, Kent, ME14 1SR",Cartesian,575898,155607,0.08,Not owned by a public authority,Yes,permissioned,full planning permission,12/09/2017,Change of use of upper floors from Nightclub (Sui Generis) to Class C3 Residential comprising 9 self-contained flats.,9,9,9,None,No,Jun-18,,,,,
BLR0126,Maidstone E07000110,Maidstone,17/504186,18/501414,Extant consent,Kent House,Romney Place,"Maidstone, Kent, ME15 6LA",Cartesian,576297,155486,0.46,Not owned by a public authority,Yes,permissioned,full planning permission,27/09/2018,"Extension to existing building to provide an additional floor for 8 new residential apartments together with associated parking, plus the introduction of an ancillary gym facility on the ground floor for use only of the occupants to residential apartments.",24,24,24,None,No,Jun-18,May-19,,,,
BLR0127,Maidstone E07000110,Maidstone,17/500405,,Extant consent,Cornwallis House,Pudding Lane,"Maidstone, Kent, ME14 1NY",Cartesian,575895,155772,0.08,Not owned by a public authority,Yes,completed,full planning permission,08/08/2017,"Extension on the two existing roof areas to the front/rear of the building into 7no. x 1no. and 2no. bedroom flats, link corridor in between the two roof levels to accommodate the stairwell, existing lift will be extended, new mezzanine level to accommodate additional the car parking for 8no vehicles.",7,7,7,None,Yes,Jun-18,May-19,,,,
BLR0128,Maidstone E07000110,Maidstone,17/504408,,Extant consent,,30 Plains Avenue,"Maidstone, Kent, ME15 7AU",Cartesian,576892,154208,0.3,Not owned by a public authority,Yes,permissioned,outline,03/01/2018,"Outline application for the demolition of 30 Plains Avenue and erection of 7no. bungalows (access, appearance, layout and scale being sort).",6,6,7,None,No,Jun-18,,,,,
BLR0129,Maidstone E07000110,Maidstone,17/500602,,Extant consent,Benaiah,"Church Lane,","Harrietsham, Kent, ME17 1BE",Cartesian,587476,152781,0.22,Not owned by a public authority,Yes,completed,full planning permission,28/04/2017,"Demolition of existing detached dwelling and erection of six dwellings; creation of new vehicular access via Church Lane; and provision of access drive, car barns, landscaping and other ancillary works.",5,6,6,None,Yes,Jun-18,May-19,,,,
BLR0130,Maidstone E07000110,Maidstone,17/502100,,Extant consent,Bredhurst Garden Centre,Dunn Street,"Bredhurst, Gillingham, Kent, ME7 3ND",Cartesian,579177,161414,1.72,Not owned by a public authority,Yes,permissioned,full planning permission,01/09/2017,"Demolition of existing wedding venue, office and other commercial buildings and erection of 4no. detached dwellings with associated parking, access, infrastructure and landscaping works.",4,4,4,None,No,Jun-18,,,,,
BLR0131,Maidstone E07000110,Maidstone,17/506568,,Extant consent,,478 Loose Road,"Maidstone, Kent, ME15 9UB",Cartesian,576357,153134,0.07,Not owned by a public authority,Yes,completed,full planning permission,01/03/2018,Conversion of a building of three self contained flats to five self contained flats with associated works including: Single storey rear extension to existing garage and conversion into a habitable space; Erection of a first floor side extension; erection of a single storey rear extension incorporating a room in roof space; Erection of a rear conservatory; Conversion of roof into a habitable space; Alterations to fenestration and pitched roof over front ground floor entrance.,2,5,5,None,No,Jun-18,May-19,,,,
BLR0132,Maidstone E07000110,Maidstone,17/501842,,Extant consent,Artists Studio And Xray Facility,Coldblow Lane,"Thurnham, Kent",Cartesian,582327,158410,0.38,Not owned by a public authority,Yes,completed,full planning permission,15/06/2017,"Demolition of the existing artist studio and X-ray facility and construction of two single-storey two bedroom contemporary residential dwellings alongside associated parking, access and landscaping works at Coldblow Lane.",2,2,2,None,Yes,Jun-18,May-19,,,,
BLR0133,Maidstone E07000110,Maidstone,17/505332,18/501587,Extant consent,Land To The Rear Of Highbourne Park,Rayners Hill,"Lenham, Kent, ME17 2PE",Cartesian,592361,152433,0.29,Not owned by a public authority,Yes,permissioned,full planning permission,15/12/2017,Demolition of existing derelict buildings and erection of a new dwelling (Alterations to 17/505332/FULL).,1,1,1,None,Yes,Jun-18,May-19,,,,
BLR0134,Maidstone E07000110,Maidstone,13/0678,,Expired consent,Friningham Manor,"Friningham,","Detling, Maidstone, Kent, ME14 3JD",Cartesian,581815,158594,0.32,Not owned by a public authority,Yes,not permissioned,,,,,3,3,None,No,Jun-18,,,,,
BLR0135,Maidstone E07000110,Maidstone,18/504236,,Extant consent,Great Thorn Farm,Marden Thorn,"Marden, Kent, TN12 9LJ",Cartesian,576027,143047,1.12,Not owned by a public authority,Yes,no application,,,"Demolition of 3 existing large pre-fabricated buildings, removal of extensive hardstanding, clearing of commercial open storage items and the removal of a building and mobile homes currently occupied as dwellings. Erection of eight replacement dwellings",8,8,8,None,No,Jun-18,,,,,
BLR0136,Maidstone E07000110,Maidstone,15/502970,,Extant consent,Springwood Road Staff Accommodation Campus,Springwood Road,Barming,Cartesian,573086,155287,1.21,Not owned by a public authority,Yes,permissioned,outline,28/09/2018,Outline application for the redevelopment of the site and the provision of 57 mixed dwelling types for private/affordable residential units with all matters reserved,57,57,57,None,No,May-19,,,,,
BLR0137,Maidstone E07000110,Maidstone,18/503186,,Extant consent,Haynes K Vehicle Repairs Centre,Waterloo Street,"Maidstone, Kent, ME15 7UH",Cartesian,576435,155029,0.08,Not owned by a public authority,Yes,permissioned,full planning permission,08/03/2019,"Demolition of existing commercial buildings and the erection of a 2.5 storey apartment building consisting of 10no. dwellings with associated parking, landscaping and amenity.",10,10,10,None,No,May-19,,,,,
BLR0138,Maidstone E07000110,Maidstone,18/504304,,Extant consent,,9 Sittingbourne Road,"Maidstone, Kent, ME14 5ET",Cartesian,576692,156146,0.13,Not owned by a public authority,Yes,permissioned,full planning permission,27/02/2019,Change of use from Adult Education Centre (Use Class D1) to 9 self-contained flats with associated works together with cycle store and bin store.,9,9,9,None,No,May-19,,,,,
BLR0139,Maidstone E07000110,Maidstone,18/504382,,Extant consent,Lower Danes,Ashford Road,"Harrietsham, Kent, ME17 1BN",Cartesian,587494,152616,0.49,Not owned by a public authority,Yes,permissioned,full planning permission,15/11/2018,"Demolition of existing buildings and erection of 9 dwellings with associated car parking, amenity areas and landscaping (mix of 3 & 4 bedrooms).",9,9,9,None,No,May-19,,,,,
BLR0140,Maidstone E07000110,Maidstone,18/505428,,Extant consent,Mulberry House,16 Northumberland Road,"Maidstone, Kent, ME15 7LJ",Cartesian,577618,153434,0.11,Not owned by a public authority,Yes,permissioned,full planning permission,17/12/2018,Replacement of existing vacant building to provide a new residential development comprising of 7no. two bedroom and 2no. one bedroom apartments with associated off road parking.,9,9,9,None,No,May-19,,,,,
BLR 0141,Maidstone E07000110,Maidstone,17/506126,,Extant consent,All Saints C Of E Primary School,College Road,"Maidstone, Kent, ME15 6YH",Cartesian,576096,155320,0.15,Not owned by a public authority,Yes,permissioned,full planning permission,01/05/2018,5 self-contained new flats in Former Archbishop Courtenay School and 3 new dwellings (1No.2-storey dwelling and 2No.3-storey dwellings with mansard roof) in former playground with associated parking and new vehicular access.,8,8,8,None,No,May-19,,,,,
BLR0142,Maidstone E07000110,Maidstone,18/506039,,Extant consent,,"48 Mote Road,","Maidstone, Kent, ME15 6ET",Cartesian,576449,155409,0.03,Not owned by a public authority,Yes,permissioned,full planning permission,14/02/2019,Conversion of the vacant ground floor bar and basement area to provide 1no. studio flat and 1no. one bedroom flat. Conversion of the existing Public House first floor into 2no. studio flats; second floor into 1no. two bedroom flat and roof space into 1no.,8,8,8,None,Yes,May-19,,,,,
BLR0143,Maidstone E07000110,Maidstone,18/503613,,Extant consent,The Poplars,Ashford Road,"Weavering, Maidstone, Kent, ME14 4AG",Cartesian,578365,155473,0.12,Not owned by a public authority,Yes,permissioned,full planning permission,06/09/2018,Demolition of an existing detached bungalow and outbuildings and erection of 8no. dwellings with associated hard and soft landscaping.,8,8,8,None,No,May-19,,,,,
BLR0144,Maidstone E07000110,Maidstone,18/501716,,Extant consent,"The Former Dairy Buildings, Blue House Farm",Warren Street,"Lenham, Maidstone, Kent, ME17 2ED",Cartesian,592742,153113,0.09,Not owned by a public authority,Yes,permissioned,prior notification,08/06/2018,Prior notification for a change of use of buildings and land within their curtilage from Light Industrial Class B1(c) to 7 dwelling houses Class C3.,7,7,7,None,No,May-19,,,,,
BLR0145,Maidstone E07000110,Maidstone,18/501928,,Extant consent,Holman House,Station Road,"Staplehurst, Tonbridge, Kent, TN12 0QQ",Cartesian,578579,144005,0.14,Not owned by a public authority,Yes,permissioned,full planning permission,28/09/2018,"Conversion of existing commercial/residential building together with single storey side extension and single storey rear extension, to provide 7no. residential apartments.",7,7,7,None,No,May-19,,,,,
BLR0146,Maidstone E07000110,Maidstone,18/501427,,Extant consent,Medway House,26-28 Medway Street,"Maidstone, Kent, ME14 1JS",Cartesian,575827,155751,0.07,Not owned by a public authority,Yes,permissioned,full planning permission,12/07/2018,Erection of a two storey extension at roof level to create 6 new one bedroom dwellings.,6,6,6,None,No,May-19,,,,,
BLR0147,Maidstone E07000110,Maidstone,18/504033,,Extant consent,"Cross At Hand Garage, ",Maidstone Road,"Staplehurst, TN12 0RH",Cartesian,578078,146218,0.31,Not owned by a public authority,Yes,permissioned,outline,23/11/2018,Outline application the demolition of existing industrial buildings and erection of a residential development (All matters reserved except access).,6,6,6,None,No,May-19,,,,,
BLR0148,Maidstone E07000110,Maidstone,17/506541,,Extant consent,The Victoria Inn,Heath Road,"East Farleigh, ME15 0LR",Cartesian,573016,151582,0.4,Not owned by a public authority,Yes,permissioned,full planning permission,22/05/2018,"Construction of 5 Local Needs Housing, including accessway, garages and landscape scheme.",5,5,5,None,No,May-19,,,,,
