OrganisationURL,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,Planning Status,PermisionType,PermissionDate,Planning history,Deliverable,NetDwellingsRangeForm,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,Last updated,EndDate,SiteInformation,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR136,"Avenue Court, 4A Victoria Avenue, Camberley, GU15 3HX",51.335006,-0.763172,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.6,Not owned by public authority,Permissioned,Planning permission granted under an order,04/01/2019,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,21,21,,,19/12/2019,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR138,"Lyon House, 2 Station Road, Frimley, Camberley, GU16 7JA",51.313153,-0.745839,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.04,Not owned by public authority,Permissioned,Planning permission granted under an order,25/05/2019,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,6,6,,,20/12/2019,20/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR52,"Flexlands School, Sandpit Hall Road, Chobham",51.3446,-0.5955,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/10.%20SLAA%202019%20Appendix%202%20-%20Chobham%20Site%20Assessments.pdf,1.4,Not owned by public authority,Permissioned,Full planning permission,15/03/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR023&activeTab=summary,Yes,14,14,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR023&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR53,"Peerless Site, Windsor Court Road, Chobham",51.3536,-0.6034,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/10.%20SLAA%202019%20Appendix%202%20-%20Chobham%20Site%20Assessments.pdf,0.9,Not owned by public authority,Permissioned,Full planning permission,28/11/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR023&activeTab=summary,Yes,5,5,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR023&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR130,"79-81 Windsor Road, Chobham, GU24 8LD",51.35387,-0.606276,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/10.%20SLAA%202019%20Appendix%202%20-%20Chobham%20Site%20Assessments.pdf,0.12,Not owned by public authority,Not permissioned,Full planning permission,25/03/2019,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR955&activeTab=summary,Yes,7,7,,,19/12/2019,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR955&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR56,"Princess Royal Barracks 1, Brunswick Road, Deepcut",51.3047,-0.701,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/12.%20SLAA%202019%20Appendix%202%20-%20Deepcut%20Site%20Assessments.pdf,44.55,Not owned by public authority,Permissioned,Outline planning permission,04/04/2014,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMYPRDR045&activeTab=summary,Yes,1197,1197,,Reserved matters applications for phases of the wider site have now come forward. It is expected that 299 dwellings are deliverable in the 0-5 year period.,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMYPRDR045&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR108,51-57 Deepcut Bridge Road,51.3074,-0.7048,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/12.%20SLAA%202019%20Appendix%202%20-%20Deepcut%20Site%20Assessments.pdf,0.11,Not owned by public authority,Not permissioned,,,,,5,5,,,18/12/2018,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/12.%20SLAA%202019%20Appendix%202%20-%20Deepcut%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR128,"Former Premier Site, Newfoundland Road, Deepcut, GU16 6RN",51.311123,-0.697482,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/12.%20SLAA%202019%20Appendix%202%20-%20Deepcut%20Site%20Assessments.pdf,0.32,Not owned by public authority,Not permissioned,,,,,10,10,,,19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/12.%20SLAA%202019%20Appendix%202%20-%20Deepcut%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR61,"The Absolute Building, Lyon Way, Frimley",31.3157,-0.7486,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/16.%20SLAA%202019%20Appendix%202%20-%20Frimley%20Site%20Assessments.pdf,0.32,Not owned by public authority,Permissioned,Planning permission granted under an order,19/10/2016,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR558&activeTab=summary,Yes,91,91,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR558&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR107,"34 & 36 Station Road, Frimey",51.3142,-0.7477,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/16.%20SLAA%202019%20Appendix%202%20-%20Frimley%20Site%20Assessments.pdf,0.12,Not owned by public authority,Not permissioned,,,,,5,5,,,18/12/2018,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/16.%20SLAA%202019%20Appendix%202%20-%20Frimley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR65,"Land west of Sturt Road Phase, Frimley Green",51.2988,-0.7298,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/15.%20SLAA%202019%20Appendix%202%20-%20Frimley%20Green%20Site%20Assessments.pdf,3.5,Not owned by public authority,Not permissioned,,,,Yes,145,145,,45 units have been assessed as being deliverable in the 0-5 year period,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/15.%20SLAA%202019%20Appendix%202%20-%20Frimley%20Green%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR106,251 Frimley Green Road,51.3029,-0.7275,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/15.%20SLAA%202019%20Appendix%202%20-%20Frimley%20Green%20Site%20Assessments.pdf,0.15,Not owned by public authority,Not permissioned,,,,,17,17,,,18/12/2018,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/15.%20SLAA%202019%20Appendix%202%20-%20Frimley%20Green%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR93,"Chobham Nurseries, Bagshot Road, GU24 8DE",51.3476,-0.6164,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2734503%27&backurl=custom/planning?,0.66,Not owned by public authority,Permissioned,Full planning permission,09/03/2016,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMSPRDR603&activeTab=summary,Yes,5,5,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMSPRDR603&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR91,33 Upper Park Road,51.3363,-0.7389,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735321%27&backurl=custom/planning?,0.13,Not owned by public authority,Permissioned,Full planning permission,19/12/2016,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR010&activeTab=summary,Yes,9,9,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR010&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR92,"Hayward House, 1 Portesbery Road, GU15 3SZ",51.3372,-0.7432,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735605%27&backurl=custom/planning?,0.029,Not owned by public authority,Permissioned,Planning permission granted under an order,23/06/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR839&activeTab=summary,Yes,9,9,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR839&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR90,"Knightway House, Park Street, GU19 5AQ",51.3616,-0.6939,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735739%27&backurl=custom/planning?,0.88,Not owned by public authority,Permissioned,Planning permission granted under an order,10/01/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR076&activeTab=summary,Yes,13,13,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR076&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR95,"SEAL HOUSE, 56 LONDON ROAD, BAGSHOT, GU19 5HL",51.3622,-0.6932,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735953%27&backurl=custom/planning?,0.34,Not owned by public authority,Permissioned,Planning permission granted under an order,17/03/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR040&activeTab=summary,Yes,16,16,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR040&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR89,"Windlesham Garden Centre, London Road, GU20 6LL",51.3824,-0.6581,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735996%27&backurl=custom/planning?,4.13,Not owned by public authority,Permissioned,Full planning permission,30/06/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR277&activeTab=summary,Yes,9,9,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR277&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR86,"Bagshot Manor, 1 Green Lane, GU19 5NL",51.3589,-0.6848,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736268%27&backurl=custom/planning?,0.91,Not owned by public authority,Permissioned,Planning permission granted under an order,10/05/2019,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR368&activeTab=summary,Yes,83,83,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR368&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR81,"Building B, Riverside Way",51.3256,-0.7615,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736666%27&backurl=custom/planning?,0.53,Not owned by public authority,Permissioned,Planning permission granted under an order,29/09/2017,https://publicaccess.surreyheath.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZMPPRDR369,Yes,52,52,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZMPPRDR369,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR80,99-103 Deepcut Bridge Road,51.3087,-0.7038,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736813%27&backurl=custom/planning?,0.15,Not owned by public authority,Permissioned,Full planning permission,11/12/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR403&activeTab=summary,Yes,6,6,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR403&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR79," Garage Block to the north of 27-32 Evergreen Road, GU16 8PU",51.3231,-0.7254,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736895%27&backurl=custom/planning?,0.05,Not owned by public authority,Permissioned,Full planning permission,15/01/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR210&activeTab=summary,Yes,6,6,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR210&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR78,"Former Post Office, 15 Updown Hill, Windlesham",51.3649,-0.6551,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737072%27&backurl=custom/planning?,0.17,Not owned by public authority,Permissioned,Full planning permission,08/03/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR465&activeTab=summary,Yes,7,7,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR465&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR77,"Doone Cottage, Potteries Lane, Mytchett, GU16 6EX",51.2916,-0.7274,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737125%27&backurl=custom/planning?,0.38,Not owned by public authority,Permissioned,Full planning permission,26/09/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR088&activeTab=summary,Yes,8,8,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR088&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR75,"Land rear of the Parade, Frimley",51.3126,-0.7254,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737442%27&backurl=custom/planning?,0.31,Not owned by public authority,Permissioned,Full planning permission,28/06/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR607&activeTab=summary,Yes,5,5,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR607&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR96,"317-319 LONDON ROAD, CAMBERLEY, GU15 3HQ",51.336,-0.7597,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737541%27&backurl=custom/planning?,0.033,Not owned by public authority,Permissioned,Full planning permission,05/07/2019,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR893&activeTab=summary,Yes,9,9,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR893&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR74,"26 Portsmouth Road, Camberley, GU15 1JX",51.3417,-0.7188,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737580%27&backurl=custom/planning?,0.16,Not owned by public authority,Permissioned,Reserved matters approval,10/08/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR588&activeTab=summary,yes,8,8,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR588&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR94,"DEEPCUT BUSINESS CENTRE, 123-127 DEEPCUT BRIDGE ROAD, DEEPCUT, CAMBERLEY, GU16 6SD",51.3096,-0.7032,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737989%27&backurl=custom/planning?,0.11,Not owned by public authority,Permissioned,Planning permission granted under an order,15/07/2019,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR915&activeTab=summary,Yes,8,8,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMOPRDR915&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR109,"Rear of 18 Park Street, GU15 3PL",51.3366,-0.7477,https://publicaccess.surreyheath.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,0.013,Not owned by public authority,Permissioned,Full planning permission,14/11/2019,https://publicaccess.surreyheath.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZMRPRDR309,Yes,8,8,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZMRPRDR309,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR123,"Land North of Oldhouse Lane, West End, GU24 9DB",51.333093,-0.635081,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/20.%20SLAA%202019%20Appendix%202%20-%20West%20End%20Site%20Assessments.pdf,2.6,Not owned by public authority,Not permissioned,,,,,18,18,,,19/12/2019,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/20.%20SLAA%202019%20Appendix%202%20-%20West%20End%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR129,"Land at Brook Nursery, 163 Guildford Road, West End, GU24 9LS",51.333404,-0.63759,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/20.%20SLAA%202019%20Appendix%202%20-%20West%20End%20Site%20Assessments.pdf,0.6,Not owned by public authority,Permissioned,Full planning permission,05/04/2019,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR499&activeTab=summary,Yes,13,13,,,19/12/2019,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR499&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR107,"34 & 36 Station Road, Frimey",51.3142,-0.7477,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,0.12,,,,,,,5,5,,No longer available,18/12/2017,18/12/2018,20/12/2019,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR103,"Land east of Frimley Road & South of, London Road, Camberley",51.3358,-0.7605,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,0.19,,,,,,,16,16,,No longer available,18/12/2017,18/12/2018,20/12/2019,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR39,"407 & 409 London Road and 9,11,13,13a Victoria Avenue, Camberley",51.3352,-0.7625,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,0.34,,,,,,,38,38,,No longer available,18/12/2017,18/12/2017,20/12/2019,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR88,"Bradley Court, 3 Knoll Road",51.338,-0.743,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736136%27&backurl=custom/planning?,0.03,,,,,,,8,8,,Completed,18/12/2017,18/12/2018,20/12/2019,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736136%27&backurl=custom/planning?,,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736136%27&backurl=custom/planning?
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR85,"Heathercot Yard, Evergreen Road, GU16 8PU",51.3227,-0.7238,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736381%27&backurl=custom/planning?,0.27,,,,,,,9,9,,Completed,18/12/2017,18/12/2018,20/12/2019,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736381%27&backurl=custom/planning?,,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736381%27&backurl=custom/planning?
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR83,"Parkgate House, 185-187 London Road, GU15 3JS",51.339,-0.7483,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736628%27&backurl=custom/planning?,0.06,,,,,,,14,14,,Completed,18/12/2017,18/12/2018,20/12/2019,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736628%27&backurl=custom/planning?,,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736628%27&backurl=custom/planning?
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR76,"329-331 London Road, GU15 3HQ",51.3362,-0.759,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737308%27&backurl=custom/planning?,0.053,,,,,,,12,12,,Completed,18/12/2017,18/12/2018,20/12/2019,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737308%27&backurl=custom/planning?,,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737308%27&backurl=custom/planning?
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR62,"Wyvern House, 55 Frimley High Street, Frimley",51.3124,-0.746,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,0.27,,,,,,,35,35,,Completed,18/12/2017,18/12/2017,20/12/2019,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736961%27&backurl=custom/planning?
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR63,"The Ridgewood Centre, Old Bisley Road, Frimley",51.3247,-0.7033,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,3.7,,,,,,,77,77,,Completed,18/12/2017,18/12/2017,20/12/2019,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2732979%27&backurl=custom/planning?
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR4,"Kennels, 79 Guildford Road, Bagshot",51.3588,-0.6826,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,0.27,,,,,,,6,6,,Completed,18/12/2017,18/12/2017,20/12/2019,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2733324%27&backurl=custom/planning?
