OrganisationURL,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,Planning Status,PermisionType,PermissionDate,Planning history,Deliverable,NetDwellingsRangeForm,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,Last updated,EndDate,SiteInformation,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR137,"Greenways, 24-26 London Road, Bagshot, GU19 5HN",51.365382,-0.69015,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,0.21,Not owned by public authority,Permissioned,Full planning permission,12/04/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR740&activeTab=summary,Yes,23,23,,,19/12/2019,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR740&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR15,"land r/o 309-315 Guildford Road, Bisley",51.3224,-0.6315,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/6.%20SLAA%202019%20Appendix%202%20-%20Bisley%20Site%20Assessments.pdf,0.12,Not owned by public authority,Not permissioned,,,,Yes,6,6,,,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/6.%20SLAA%202019%20Appendix%202%20-%20Bisley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR16,"317-319 Guildford Road, Bisley",51.322,-0.631,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/6.%20SLAA%202019%20Appendix%202%20-%20Bisley%20Site%20Assessments.pdf,0.34,Not owned by public authority,Not permissioned,,,,Yes,17,17,,,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/6.%20SLAA%202019%20Appendix%202%20-%20Bisley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR18,"Norwich House, Knoll Road, Camberley",51.3395,-0.7442,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.2,Not owned by public authority,Permissioned,Planning permission granted under an order,09/01/2019,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR164&activeTab=summary,Yes,78,78,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR164&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR19,"Burwood House Hotel, 15 London Road, Camberley",51.346,-0.7211,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.17,Not owned by public authority,Permissioned,Full planning permission,27/11/2014,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMVPRDR567&activeTab=summary,Yes,10,10,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMVPRDR567&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR20,"Sparks Garage, 2 London Road, Camberley",51.3494,-0.7133,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.1,Not owned by public authority,Permissioned,Reserved matters approval,30/08/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR849&activeTab=summary,Yes,9,10,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR849&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR22,"Central House, 75-79 Park Street, Camberley",51.3364,-0.7472,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.1,Not owned by public authority,Permissioned,Full planning permission,20/04/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR487&activeTab=summary,Yes,6,6,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR487&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR24,"Compass House 207-215 London Road, Camberley",51.3385,-0.7498,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.15,Not owned by public authority,Permissioned,Full planning permission,20/07/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR758&activeTab=summary,Yes,41,45,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR758&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR25,"15-17 Obelisk Way, Camberley",51.3385,-0.7461,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.08,Not owned by public authority,Permissioned,Reserved matters approval,18/11/2016,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR771&activeTab=summary,Yes,16,16,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMQPRDR771&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR26,"Clockhouse, 65 Park Street, Camberley",51.3366,-0.7473,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.02,Not owned by public authority,Permissioned,Full planning permission,07/07/2016,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMSPRDR286&activeTab=summary,Yes,5,5,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMSPRDR286&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR34,"Kings Court and Former Magistrates Court, High Street, Camberley",51.3369,-0.743,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.1,Not owned by public authority,Pending decision,,,https://publicaccess.surreyheath.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZMRPRDR151,Yes,81,81,,"Previously a prior notification for 30 dwellings, current application pending decision",18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZMRPRDR151,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR37,"Pembroke Broadway North, Pembroke Broadway, Camberley",51.337,-0.7455,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,1.4,Owned by a public authority,Permissioned,Full planning permission,15/02/2018,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR909&activeTab=summary,Yes,116,116,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR909&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR38,"Former Portesbery School, Portesbery Road, Camberley",51.3381,-0.7409,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,1,Owned by a public authority,Not permissioned,,,,Yes,45,45,,Part of a larger site allocated in the Camberley Town Centre AAP,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR39,"407 & 409 London Road and 9,11,13,13a Victoria Avenue, Camberley",51.3352,-0.7625,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.34,Not owned by public authority,Not permissioned,,,,Yes,62,38,,,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR40,"Peerless site n, Sullivan Road, Camberley",51.3343,-0.7612,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.17,Not owned by public authority,Not permissioned,,,,Yes,8,8,,,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR41,"Peerless Site P2, Wood Road, Camberley",51.3176,-0.7552,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.14,Not owned by public authority,Not permissioned,,,,Yes,5,5,,,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR42,"Travis Perkins, 280 Gordon Avenue, Camberley",51.3289,-0.7552,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.22,Not owned by public authority,Not permissioned,,,,Yes,15,15,,,18/12/2017,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR43,"Pembroke House, 148 Frimley Road, Camberley",51.326,-0.7553,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.18,Owned by a public authority,Permissioned,Planning permission granted under an order,22/11/2017,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR908&activeTab=summary,Yes,25,25,,,18/12/2017,19/12/2019,,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR908&activeTab=summary,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR100,Camberley Station,51.3366,-0.7437,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.45,Owned by a public authority,Not permissioned,,,,,75,75,,,18/12/2018,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR101,Camberley Centre,51.3339,-0.752,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.89,Owned by a public authority,Not permissioned,,,,,45,45,,,18/12/2018,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR102,439-445 London Road,51.3347,-0.7646,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,0.1,Not owned by public authority,Not permissioned,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,15,15,,,18/12/2018,19/12/2019,,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/8.%20SLAA%202019%20Appendix%202%20-%20Camberley%20Site%20Assessments.pdf,,
