OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningReference
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/001,,"""Former Network Rail Depot, Kings Road, Spalding""",,OSGB36,524586,323144,1.29,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,04/01/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,,42,Residential development - erection of 42 dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,,22/11/2017,01/12/2018,H16-0486-16
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/005,,"""Land immediately adjact to Spalding Library, Victoria Street, Spalding""",,OSGB36,524536,322653,0.14,Not owned by a public authority,Yes,Permissioned,Full planning permission,01/12/2017,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0601-17&from=planningSearch,,7,"""Erection of 7 apartments, including part demolition of existing brick building""",,,,,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0601-17&from=planningSearch,,22/11/2017,01/12/2018,H16-0146-16
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/006,,"""The Robin Hood Inn, 1 Bourne Road, Spalding""",,OSGB36,523661,322311,0.03,Not owned by a public authority,Yes,Permissioned,Full planning permission,19/05/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0172-16&from=planningSearch,,6,Conversion of Public House into 6 self-contained flats,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0172-16&from=planningSearch,,22/11/2017,01/12/2018,H16-0172-16
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/007,,"""Banbury Close, Spalding""",,OSGB36,524963,323602,0.35,Not owned by a public authority,Yes,Permissioned,Full planning permission,12/01/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1163-15&from=planningSearch,,10,Residential development of 10 dwellings with associated parking and garages on former builders yard,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1163-15&from=planningSearch,,22/11/2017,01/12/2018,H16-1163-15
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/009,,"""Land off Willow Walk (Former Laws Yard), Spalding""",,OSGB36,525282,323038,0.52,Not owned by a public authority,Yes,Permissioned,Full planning permission,30/07/2018,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0283-17&from=planningSearch,,20,Residential development of 20 dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0283-17&from=planningSearch,,22/11/2017,01/12/2018,H16-0283-17
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/010,,"""Former ""Glen Farrow"" premises, land off Spalding Road, Pinchbeck""",,OSGB36,524583,324674,0.37,Not owned by a public authority,Yes,Permissioned,Outline planning permission,05/02/2018,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-1187-17&from=planningSearch,,5,Demolition of vacant industrial buildings and the erection of up to 5 detached houses,,,,,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-1187-17&from=planningSearch,,22/11/2017,01/12/2018,H14-1187-17
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/011,,"""Spalding Lifestyle, Spalding Road, Pinchbeck""",,OSGB36,524735,324410,1.68,Not owned by a public authority,Yes,Not permissioned,,,,,50,,,,,,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Spalding-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network but that this should not impact upon the site's deliverability. The site is adjacent to an industrial estate which has the potential to be a bad neighbour, although there are residential properties nearby. The impact of the adjacent industrial uses on residential development might be addressed by dwelling choice, layout and the use of open space. SHLAA ref no: Pin050. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017)."" ",22/11/2017,01/12/2018,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/012,,"""36 Holbeach Road, Spalding""",,OSGB36,525621,323643,0.05,Not owned by a public authority,Yes,Permissioned,Full planning permission,11/09/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0505-17&from=planningSearch,,6,Erection of 6 two-storey dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0505-17&from=planningSearch,,22/11/2017,01/12/2018,H16-0505-17
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/CRO/003,,"""Land to the east of Crease Drove, Crowland""",,OSGB36,523767,309657,1.54,Not owned by a public authority,Yes,Permissioned,Outline planning permission,09/10/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0554-16&from=planningSearch,,50,Residential development,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0554-16&from=planningSearch,,22/11/2017,01/12/2018,H02-0554-16
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/DON/001,,"""Former Red Cow Hotel, 8 High Street, Donington""",,OSGB36,520928,335753,0.33,Not owned by a public authority,Yes,Permissioned,Full planning permission,07/12/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0314-16&from=planningSearch,,31,Proposed residential development (31 dwellings) and demolition of Tap Bar,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0314-16&from=planningSearch,,22/11/2017,01/12/2018,H04-0314-16
