OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Planning Reference Number
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Bilbrough-4,,"Village Farm, Main Street, Bilbrough",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,453073,446581,0.24,not owned by a public authority,yes,permissioned,full planning permission,2018-01-19,http://public.selby.gov.uk/online-applications/,,5,,,,5,5,,,Site in groundwater source protection zone 3,2018-08-07,2018-08-07,2017/0125/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Brotherton-2,,"Land at Pasture Lane, Brotherton",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,447995,426114,1.60,not owned by a public authority,yes,not permissioned,,,,,43,,,,43,43,,,The northern to the southern boundary on the western side of the site lies within flood zone 2. Electricity Pylons cross the site.,2016-06-22,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Brotherton-8,,"Lyndale Caravan Park, School Croft, Brotherton",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,448244,425797,0.36,not owned by a public authority,,not permissioned,,,,,13,,,,13,13,,,,2016-06-22,2018-08-07,2013/1114/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Byram-8,,"Land West of Wood Lea, Byram",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,448711,425672,0.13,owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,,,2016-06-29,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Camblesforth-4,,"Land east of Millfield Drive, Cambelsforth",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,465234,425971,0.39,unknown ownership,yes,not permissioned,,,,,8,,,,8,8,,,Entire site lies within flood zone 2 and 3 and site is in a groundwater source protection zone 3.,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Carlton-13,,"Land at Carlton Supermarket And Post Office, High Street",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,464758,424182,0.04,not owned by a public authority,yes,permissioned,full planning permission,2017-12-06,http://public.selby.gov.uk/online-applications/,,7,,,,7,7,,,"Site in groundwater source protection zone 3
",2018-08-07,2018-08-07,2017/0272/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Carlton-6,,"Oddfellows Arms, High Street, Carlton",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,464731,424103,0.16,not owned by a public authority,,not permissioned,,,,,7,,,,7,7,,,Whole site is in a groundwater protection zone 3,2016-06-22,2018-08-07,2013/0835/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Cawood-9,,"Cawood Methodist Church, Sherburn Street, Cawood",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,457264,437723,0.09,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,,,2018-08-07,2018-08-07,2014/0621/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Cliffe-3,,"Land at Bon Accord Farm, Cliffe",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,466245,431858,0.64,not owned by a public authority,yes,not permissioned,,,,,13,,,,13,13,,,Possible ground contamination on the western half of the site from farm buildings.,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Eggborough-6,,"Land at Westfield Avenue Garages B, Eggborough",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,455899,423598,0.21,owned by a public authority,yes,not permissioned,,,,,6,,,,6,6,,,,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Hambleton-8,,"Main Road Farm, Main Road",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,455332,430856,0.28,not owned by a public authority,,not permissioned,,,,,5,,,,5,5,,,Possible ground contamination from farm buildings on the eastern half of the site.,2016-06-22,2018-08-07,2012/1068/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Kellington-3,,"Land north of Manor Garth, Kellington",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,455122,424888,0.17,owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,,Entire site lies within flood zone 2.,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Osgodby-2,,"Lnd at Corner Farm, Osgodby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,464261,433708,0.20,not owned by a public authority,,not permissioned,,,,,6,,,,6,6,,,Possible ground contamination on the site from farm buildings,2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Riccall-1,,"Land rear of 31 York Road, Riccall",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,462083,438259,0.84,not owned by a public authority,yes,not permissioned,,,,,23,,,,23,23,,,Entire site lies within flood zone 2.,2018-08-07,2018-08-07,2015/0317/OUT
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Riccall-20,,"Land at Chestnut Terrace, Riccall",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461958,437610,0.14,owned by a public authority,yes,permissioned,full planning permission,2017-04-03,http://public.selby.gov.uk/online-applications/,,5,,,,5,5,,,,2018-08-07,2018-08-07,2016/1132/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-10,,"Land at Beech Tree Surgery, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,460700,431329,0.38,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,15,,,Entire site lies within flood zone 2 and is an area benefiting from flood defences.,2016-06-22,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-12,,"Land at Portholme Crescent, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461515,432089,0.46,owned by a public authority,,not permissioned,,,,,18,,,,18,18,,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences.,2016-06-22,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-13,,"Land south of Portholme Road, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461446,431859,0.95,owned by a public authority,,not permissioned,,,,,38,,,,38,38,,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible ground contamination for the northern half of the site from former rail works.,2016-06-22,2018-08-07,2012/0604/COU
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-14,,"Depot, New Millgate, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461409,432787,0.34,not owned by a public authority,,not permissioned,,,,,14,,,,14,14,,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences.,2016-06-22,2018-08-07,2014/1171/COU
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-2,,"Industrial Chemicals Ltd, Canal View, Bawtry Road, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461544,431318,6.00,not owned by a public authority,yes,permissioned,reserved matters approval,2016-07-13,http://public.selby.gov.uk/online-applications/,,300,,,,300,300,,,"Sites lies within the inner area of a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Sites lies within a health and safety executive consultation zone, however this restraint is planned to be removed by the promoter as part of the redevelopment of the site. Possible ground contamination for the northern half of the site from the former chemical works",2016-06-22,2018-08-07,2016/0189/REM
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-25,,"Land At Holme Lane, Coupland Road, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461425,432978,7.43,not owned by a public authority,yes,not permissioned,,,,,301,,,,301,301,,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible areas of ground contamination on the northern half of the site ,2016-06-22,2018-08-07,2009/0805/REM
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-26,,"Greencore, Barlby Road, Barlby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,463211,433215,7.72,not owned by a public authority,,not permissioned,,,,,309,,,,309,309,,,"Entire site lies within flood zone 2 and 3 and is an area benefiting from flood defences. Possible ground contamination from existing factory
",2018-08-07,2018-08-07,
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-28,,"21 - 23A Brook Street, Selby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,461122,432150,0.15,not owned by a public authority,yes,permissioned,full planning permission,2016-11-24,http://public.selby.gov.uk/online-applications/,,9,,,,9,9,,,Entire site lies within flood zone 2.,2018-08-07,2018-08-07,2016/0162/FUL
http://opendatacommunities.org/id/district-council/selby,Selby District Council,Selby-29,,"Council Depot, Barlby Road, Barlby",https://www.selby.gov.uk/sites/default/files/Brownfield_Register%20_Mapbook_reduced.pdf,OSGB36,462899,432930,0.58,owned by a public authority,yes,not permissioned,,,,,29,,,,29,29,,,Entire site in a floodzone 3 and is an area benefitting from flood defences.,2018-08-07,2018-08-07,
