OrganisationURI,OrganisationLabel,Site Reference,Site part of SHLAA [2012 Reference],CoordinateReferenceSystem,GeoX [East],GeoY [North],OS map reference [OSGB 1936 ? British National Grid],"Site Name, Address, Postcode ",Parish,Planning application Reference,Superseded or replaced previous planning application,Approved date,Lapse date,Application Description / Site description in SHLAA,Non-Housing development,Site Area in ha ,Hsg. No in Appl.,NET CHANGE; units developed so far,Outstanding development,Primary Source of Identification at DATE,Ownership_Status: PA_owned [Public Autho-rity]; not PA_owned; mix. ownership; unknown,Plan_Status: permissd. / pending / no application,Permission Types as required in BFLR,Development Status: extant/ commc'd./ part. compltd.,Planning History link,Mapping link [Siteplan URL],Supportg. 5+ dwellings or more than 0.25ha in size,Is the site likely available [and/or deliverable within the next 15 yrs.]?,Capable of housing development [in policy terms],First Added,Last Update,Part 2,Capacity min remaining,Capacity max remaining,Hazardous Substance[s] on site? [as identifiied in Application form],Proposed for PIP,Site Information / constrains,Notes,Site Reference
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 1,All of SNC095 +  the 'Works' from site SNC452,OSGB36 ,475851,251302,SP75851 51302,"Land West of Ashton Rd., Roade,  NN7 2LF",Roade,S/2015/0664/MAR,S/2012/0382/MAO,10/09/2015,10/09/2018,Reserved matters application pursuant to S/2012/0382/MAO: Demolition of existing buildings and residential development comprising of 292 dwellings with 0.5ha for employment and/or doctors surgery.,Yes: 0.5ha for employment and/or doctors surgery,11.10,292,21,271,"Plg, Appl.",not PA_owned,permissioned,Reserv. Matter approv.,Commenced,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data",18/12/2001,no,271,271,no,no,Reserved matters application pursuant to S/2012/0382/MAO: Demolition of existing buildings and residential development comprising of 292 dwellings with 0.5ha for employment and/or doctors surgery.,Former Pianoforte Site:vacant commercial site with more than two-thirds previously developed with less than a third Greenfield land located to the south of Roade. Site area 11.1ha with 0.5ha for employment and/or doctors surgery,BFL 1
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 2,,OSGB36,469671,247914,SP69671 47914,"Burcote Road, Outline stage, Towcester, NN12 6TF & NN12 6LX",Towcester,S/2015/2354/MAR,S/2012/1285/MAF,11/02/2016,11/02/2019,"Reserved matters application pursuant to S/2012/1285/MAF (Residential development of 90 dwellings) proposed residential development comprising 90 dwellings, garages, parking, roads, sewers together with public open space. Details for access, appearance, landscaping, layout and scale included",currently none proposed [Residential only],3.74,90,0,90,"Plg, Appl.",not PA_owned,permissioned,Reserv. Matter approv.,Extant,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,\\snclive.gov.uk\AppData\DEF_FlatFiles\planning\S-2012-1285-MAF,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,90,90,no,no,"Reserved matters application pursuant to S/2012/1285/MAF (Residential development of 90 dwellings) proposed residential development comprising 90 dwellings, garages, parking, roads, sewers together with public open space. Details for access, appearance, landscaping, layout and scale included",Burcote Road development: Hybrid Site: application for residential development [2.75 Brownfield newbuilt; 0.99 Greenfield newbuilt]; major part of site largely prepared for development,BFL 2
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 3,"no site ref. in SHLAA 2012,         [south of SNC020]",OSGB36,459023,469311,SP59023 69311,"Brackley Sawmills, Stage 2, Northampton Road, Brackley, NN13 7DL, ",Brackley,S/2014/0557/MAF,,16/07/2014,16/07/2017,"Former Brackley Sawmills : Erection of 53 dwellings with associated garaging, roads and sewers.",currently none proposed [Residential only],2.36,53,0,53,"Plg, Appl.",not PA_owned,permissioned,Full Applict. approval,Commenced,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,53,53,no,no,"Former Brackley Sawmills : Erection of 53 dwellings with associated garaging, roads and sewers.",Former Brackley Sawmills 2nd built-out stage: ,BFL 3
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 4,,OSGB36,469311,248824,SP69311 48824,"Moat Lane, Outline stage, Towcester,  NN12 6AD",Towcester,S/2012/1476/MAF,10/0102/OUTWNS --- Transfer of Powers - previous decisions made by WNDC,31/07/2013,31/07/2016,"Regeneration of Moat Lane/ Northampton Road area, including new build and change of use for shop, cafe, drinking, workshop uses; offices, council building; hotel; dwellings; new public realm works, decked car park. All matters reserved. [58 residential units as identified on the application form to this full application, sect. 21]","Yes: Various non-residential uses proposed including retail, business and other commericial uses including new council offices on site.",2.74,58,16,34,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Commenced,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,34,34,no,no,"Regeneration of Moat Lane/ Northampton Road area, including new build and change of use for shop, cafe, drinking, workshop uses; offices, council building; hotel; dwellings; new public realm works, decked car park. All matters reserved. [58 residential units as identified on the application form to this full application, sect. 21]",Originally WNDC Outline Planning Permission - Outline application for regeneration of Moat Lane; residential development is just part of an otherwise dominantly commercial development site,BFL 4
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 6,part-of SNC588 [SNC588 alr. partially built out],OSGB36,476565,239717,SP76565 39717,"Hayes Road, Deanshanger, MK19 6HP & MK19 6FA & MK19 6HR",Deanshanger,S/2014/1941/MAO,,03/11/2015,03/11/2018,"Redevelopment of the former Elementis Works site  (Site 1) for 15 custom-built detached dwellings, 3 live/work units, 7 self-contained employment units (approximately 842sq.m, use-class B1), construction of  parking spaces, areas of structured landscaping and all ancillary works, and improvements to the redundant section of Hayes Road (Outline planning application with appearance reserved for subsequent approval).","Yes: 3 live/work units, 7 self-contained employment units (approximately 842sq.m, use-class B1).",1.63,25,0,25,"Plg, Appl.",not PA_owned,permissioned,Outline Applict. Approval,Extant,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,25,25,no,no,"Redevelopment of the former Elementis Works site  (Site 1) for 15 custom-built detached dwellings, 3 live/work units, 7 self-contained employment units (approximately 842sq.m, use-class B1), construction of  parking spaces, areas of structured landscaping and all ancillary works, and improvements to the redundant section of Hayes Road (Outline planning application with appearance reserved for subsequent approval).",Redevelopment of the former Elementis Works site  (Site 1); [SNC588 partially built out previously with app. 2/2009/0411/P],BFL 6
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 7,,OSGB36,469311,248831,SP69311 48831,"Moat Lane, stage 2, Towcester, NN12 6AD",Towcester,S/2015/2925/MAF,,29/03/2016,29/03/2019,Hybrid application. The Regeneration of Moat Lane)(The original application was submitted with and Environmental Statement) to enable change of use from approved offices (B1 (a)) and light industrial (B1 (c)) units and reduction in floor space of the A3 use from 330sq m to 171sq m to create a further 17 residential units. [17 Dwellings [B1 convers.] under S/2015/2925/MAF],Comprising of two smaller commercial sites and residential site above commercial ground floor use: change of use from approved offices (B1 (a)) and light industrial (B1 (c)) units [as in S/2012/1476 /MAF] and reduction in floor space of the A3 use from 330sq m to 171sq m to create a further 17 residential units.,0.18,17,0,17,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Commenced,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,17,17,no,no,Hybrid application. The Regeneration of Moat Lane)(The original application was submitted with and Environmental Statement) to enable change of use from approved offices (B1 (a)) and light industrial (B1 (c)) units and reduction in floor space of the A3 use from 330sq m to 171sq m to create a further 17 residential units. [17 Dwellings [B1 convers.] under S/2015/2925/MAF],"Comprising of two smaller commercial sites within previous Plg. application S/2012/1476/MAF, however only the site identified under BFL7 has the residential element",BFL 7
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 8,no site ref. in SHLAA 2012,OSGB36,476445,239666,SP76445 39666,"Britannia Works,  High Street & Maltings Row, Deanshanger, MK19 6HR",Deanshanger,S/2011/0782/MAF,,16/12/2013,16/12/2016,"Change of use of existing buildings from B2 to residential and the erection of new buildings to form a total of 14 dwellings, car parking, access and landscaping.",currently none proposed [Residential only],0.28,14,0,14,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Commenced,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,14,14,no,no,"Change of use of existing buildings from B2 [0.14ha net space?] to residential and the erection of new buildings to form a total of 14 dwellings, car parking, access and landscaping.","Former Britannia Works: no site ref. in SHLAA 2012, though site is in between SNC454 & SNC588]",BFL 8
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 9,,OSGB36,459069,238452,SP59069 38452,"Brackley Sawmills, Outline stage, Brackley, NN13 5GF & NN13 5GG",Brackley,S/2014/0556/MAR,S/2010/0332/MAO or S/2014/0555/MAO?,16/07/2014,16/07/2017,"Reserved matters application pursuant to S/2014/0555/MAO (for 86 dwellings & garaging and associated roads, sewers and balancing pond).",currently none proposed [Residential only],0.49,86,72,14,"Plg, Appl.",not PA_owned,permissioned,Reserv. Matter approv.,Commenced,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,14,14,no,no,"Reserved matters application pursuant to S/2014/0555/MAO (for 86 dwellings & garaging and associated roads, sewers and balancing pond).",Former Brackley Sawmills convers. to resident.,BFL 9
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 11,no site ref. in SHLAA 2012,OSGB36,476606,239456,SP76606 39456,"The Hunters, The Green Deanshanger, MK19 6HL",Deanshanger,S/2015/0968/MAF,S/2014/0407/PA & s/2014/1840/FUL,02/07/2015,02/07/2018,Two new detached dwellings and conversion of former ambulance headquarters (Use Class B1) to 11 apartments.,currently none proposed [Residential only],0.35,13,0,13,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Extant,http://snc.planning-register.co.uk/planappsrch.aspx?pageprefix=plan,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, ","18/12/2001, ",no,13,13,no,no,Two new detached dwellings and conversion of former ambulance headquarters (Use Class B1) to 11 apartments.,Conversion of former ambulance headquarters,BFL 11
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire Council,BFL 12,largely concurrent with SHLAA SNC083,OSGB36,475593,251206,SP75593 51206,"Chaplins Yard, Stratford Road, Roade, NN7 2GB & NN7 2NJ",Roade,S/2013/1409/MAF,,02/06/2014,02/06/2017,"Hybrid application. Full application - 105 dwellings together with public open space, roads, sewers and associated works. Outline application - Offices with associated infrastructure [Former Chaplins Haulage Yard Stratford Road Roade -mayor part of the application site looks like greenfield land but had been used previously for warehousing [B8] ]",Yes; Outline 0.5 ha for offices,3.27,105,93,12,"Plg, Appl.",not PA_owned,permissioned,Full Applict. Approval,Commenced,http://snc.planning-register.co.uk/,http://snc-wml-01/wml_planningconstraints/,yes,yes,yes,"21/11/2017, 31/03/2017 for last buil-out data","18/12/2001, ",no,105,105,no,no,"Hybrid application. Full application - 105 dwellings together with public open space, roads, sewers and associated works. Outline application - Offices with associated infrastructure [Former Chaplins Haulage Yard Stratford Road Roade -mayor part of the application site looks like greenfield land but had been used previously for warehousing [B8] ]","3.27 ha for dwellings and Outline 0.5 ha for offices, Former Chaplins Haulage Yard Stratford Road Roade",BFL 12
