OrganisationURL,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,Planning Status,PermisionType,PermissionDate,MinNetDwellings,Developmentdescription,NonHousingDevelopment,NetDwellingsRangeForm,NetDwellingsRangeTo,SiteInformation,Notes,FirstAddedDate,Application ref,Last updated
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR21,"52 Park Street, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3372,-0.7481,<0.1,Not owned by public authority,Yes,Permissioned,Planning permission granted under an order,23/09/2016,8,Prior Notification for the change of use of the first and second floors from B1 (Office) to C3 (Residential) to form 6 x 2-bed flats and 2 x studio apartments.,,8,8,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735386%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR22,"Central House, 75-79 Park Street, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3364,-0.7472,<0.1,Not owned by public authority,Yes,Permissioned,Full planning permission,20/04/2017,6,"Application for a change of use of second floor of site, from 6 no. hotel apartment suites (use class C1) to 6 no. residential properties (use class C3).",,6,6,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736023%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR24,"Compass House 207-215 London Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3385,-0.7498,0.15,Not owned by public authority,Yes,Permissioned,Full planning permission,20/07/2017,41,"Prior Notification under part 3, class 0 of the General Permitted Development Order for conversion of ground, first, second and third floors from B1 (office) to C3 (dwelling) to provide 19 x studio flats, 22 x one bed flats and 4 x two bed flats.",,41,45,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736292%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR25,"15-17 Obelisk Way, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3385,-0.7461,0.08,Not owned by public authority,Yes,Permissioned,Outline,18/11/2016,16,Outline application for planning permission for the erection of a four storey building comprising of 16 residential units on the three upper floors following the demolition of existing buildings. ,Outline application for planning permission for the erection of a four storey building comprising Use Class A1-A5 on the ground floor ,16,16,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735056%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR26,"Clockhouse, 65 Park Street, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3366,-0.7473,0.02,Not owned by public authority,Yes,Permissioned,Full planning permission,07/07/2016,5,"Erection of a part third storey, part three storey rear extension to retain ground floor office use and provide residential use to the rear and above to provide in total 2 no two bedroom and 3 no one bedroom flats",,5,5,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2734708%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR34,"Kings Court and Former Magistrates Court, High Street, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3369,-0.743,0.1,Not owned by public authority,Yes,Permissioned,Planning permission granted under an order,28/09/2017,30,"Prior Notification under part 3, class 0 of the General Permitted Development Order for conversion of ground, first, second, third and fourth floors from B1 (office) to C3 (dwelling), to provide 23 x one bed flats and 7 x two bed flats.",,30,30,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736644%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR36,"1a & 1b High Street, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3397,-0.745,0.012,Not owned by public authority,Yes,Permissioned,Full planning permission,14/02/2017,6,"Erection of single storey, first floor rear and second floor extensions and change of use of part of ground floor retail unit and other alterations to provide 1 no. two bedroom and 5 no. one bedroom flats.",,6,6,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735655%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR37,"Pembroke Broadway North, Pembroke Broadway, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.337,-0.7455,1.4,Owned by a public authority,Yes,Permissioned,Full planning permission,22/11/2017,116,Conversion of the existing second and third floor levels and erection of a two storey roof extension to provide 116 residential apartments ,,116,116,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736593%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR38,"Former Portesbery School, Portesbery Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3381,-0.7409,1,Owned by a public authority,Yes,Not permissioned,,,45,,,45,45,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,Part of a larger site allocated in the Camberley Town Centre AAP,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR39,"407 & 409 London Road and 9,11,13,13a Victoria Avenue, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3352,-0.7625,0.34,Not owned by public authority,Yes,Not permissioned,,,38,,,38,38,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,,18/12/2017
