OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC001,,Land at Felixstowe Sunday Market site Sea Road,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,51.952098,1.337876,0.58,not owned by a public authority,yes,pending decision,,,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,48,Erection of building containing 48 flats over ground floor commercial units. Erection of 11 houses (includes new private access road parking and external works).,,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC002,,Old Station Works Westerfield Road Westerfield Ipswich IP6 9AB,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,52.082148,1.169579,3.65,not owned by a public authority,yes,permissioned,outline planning permission,04/11/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,35,"Outline permission for the redevelopment of the site for a mixed use scheme comprising 1,120 sqm of office floorspace 35 dwellings (12 affordable) 160sqm community floorspace publicly accessible open space and associated works.",,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC003,,Street Farm The Street Witnesham Ipswich IP6 9HG,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,52.10552,1.187713,0.71,not owned by a public authority,yes,not permissioned,,,,,20,,,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC005,,Penfold Road Felixstowe Suffolk IP11 7BP,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,51.965035,1.351361,0.12,not owned by a public authority,yes,permissioned,outline planning permission,05/12/2014,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDR31EQXK7I00,,5,Demolition of existing building and construction of 5 dwellings with access and garaging (Outline),,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC006,,38-40 Victoria Street Felixstowe Suffolk IP11 7EW,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,51.962774,1.35275,0.08,not owned by a public authority,yes,permissioned,full planning permission,12/03/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIXVW0QXFHV00,,5,Conversion of redundant buildings to new dwellings erection of new flat to site frontage and erection of car ports and associated car parking,,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC008,,Land At Junction With Garrison Lane And High Road West Felixstowe Suffolk,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,51.967572,1.346948,0.16,not owned by a public authority,yes,permissioned,outline planning permission,17/11/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,10,Residential development of ten units alterations to existing vehicular access associated external works and parking.,,,0,0,,,Built part of site only included; permitted area includes some greenfield land,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC011,,Conrad House 38 Fore Street Framlingham Woodbridge Suffolk IP13 9DF,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,52.221677,1.348407,0.1,not owned by a public authority,yes,permissioned,full planning permission,08/02/2017,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,7,Demolition of side and front extension and outbuilding. Erection of side and rear extension to provide C3 residential accommodation. Subdivision of first floor to provide additional residential unit. Change of use ground floor B1 office to C3 residential,,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC012,,Glebe House Residential Home Rectory Road Hollesley Suffolk IP12 3JS,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,52.051255,1.437237,0.97,not owned by a public authority,yes,permissioned,full planning permission,26/07/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,9,Proposed erection of 9 dwellings; Change of use of managers accommodation to a single dwelling and creation of new access to Glebe House Residential Home.,,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC015,,Hillview Church Road Otley Suffolk IP6 9NP,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,52.150628,1.218379,2.14,not owned by a public authority,yes,permissioned,reserved matters approval,05/08/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,35,Approval of Reserved Matters of DC/13/3229/OUT - Outline planning permission for redevelopment of site to include up to 35 dwellings up to 900 square metres of B1 Commercial space landscaping and  access roads. Existing buildings to be demolished.,,,0,0,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal District Council,SCDC016,,Former County Primary School Fairfield Road Saxmundham Suffolk,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,ETRS89,52.216509,1.486426,0.59,owned by a public authority,yes,permissioned,reserved matters approval,01/07/2016,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2QRTHQXI6K00,,16,Reserved matters (layout appearance scale and landscaping) for 16 dwellings.,,,0,0,,,,01/12/2017,01/12/2017
