OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes ,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,1,"Hadrian Road (land south of Metro line), Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.51719,54.99161,1.15,mixed ownership,not permissioned,,,,,18,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,2,"Cedar Grove Block, High Street East, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.5207,54.99186,0.7,mixed ownership,not permissioned,,,,,19,32,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,38,"Langdale Centre, Langdale Gardens, Howdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.49783,55.00644,1.43,owned by a public authority ,not permissioned,,,,,39,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,48,"Land at Martin Road, Howdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.50208,54.99469,0.12,not owned by a public authority ,not permissioned,,,,,4,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,58,"Howdon Green, Willington Quay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.49038,54.99292,3.54,not owned by a public authority ,permissioned,outline planning permission,10/05/2017,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K9T2DZBH09700,,83,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,63,"West Chirton South, Norham Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.48215,55.00819,28.95,mixed ownership,permissioned,reserved matters approval,17/07/2019,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?keyVal=PJVZ2YBHH3B00&activeTab=summary,yes,399,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,66,Backworth Business Park ,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.52527,55.04059,4.73,mixed ownership,pending decision,,,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PB181QBHIUW00,yes,65,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,67,"Foxhunters Industrial Estate, Hillheads Road, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45498,55.03363,2.72,mixed ownership,not permissioned,,,,,61,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,79,"201-225 High Street East, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.52648,54.99233,0.16,not owned by a public authority ,not permissioned,,,,,5,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,81,"Forest Hall Delivery Office, Station Road, Forest Hall",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.56804,55.01826,0.16,not owned by a public authority ,not permissioned,,,,,5,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,83,"Tynemouth Jubilee Infirmary, Hawkey's Lane, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45613,55.01088,1.48,owned by a public authority ,not permissioned,,,,,40,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,85,"Land at 26-37 Clive Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44391,55.00494,0.3,not owned by a public authority ,permissioned,full planning permission,09/07/2019,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PPBR07BH0GZ00,,50,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,91,"Percy Main Bus Depot, Norham Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.47775,55.00424,0.45,not owned by a public authority ,not permissioned,,,,,12,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,95,"Grieves Row, Dudley",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.59431,55.05874,1.94,not owned by a public authority ,not permissioned,,,,yes,53,88,,,22/12/2017,15/04/2020,
