Organisation URL,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,UPRN,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,"Permission
Date",Planning History,Proposed for PiP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,"Net
Dwellings
Range
From","Net
Dwellings
Range
To",Hazardous Substances,Site Information,Notes,"First
Added
Date",Last Updated Date
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,AVE_14,AVE_14,"Springfield, Mill Road, Aveley","https://thurrock.gov.uk/brownfield-map
",WGS84,100091301752,0.25021,51.50191,0.4612,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,20/10/2017,,,7,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,AVE_19,AVE_19,"Aveley Football Ground, Mill Road, Aveley","https://thurrock.gov.uk/brownfield-map
",WGS84,100091536632,0.25282,51.50342,2.4975,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,11/03/2016,,,114,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,AVE_45,AVE_45,"Adjacent 1 Park Lane, Aveley
","https://thurrock.gov.uk/brownfield-map
",WGS84,200001548126,0.2598,51.49962,0.1708,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,19/08/2016,,,9,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,AVE_46,AVE_46,"79 High Street, Aveley, RM15 4AX","https://thurrock.gov.uk/brownfield-map
",WGS84,100090746080,0.25209,51.49944,0.1417,Not owned by a  Public Authority,Yes,Not Permissioned,,,,,8,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,BEL_09,BEL_09,"The Culver Centre, Daiglen Drive, South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,100091536975,0.2846,51.50718,2.0056,Owned by a  Public Authority,Yes,Not Permissioned,,,,,220,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,BEL_11,BEL_11,"146 South Road, South Ockendon, RM15 6BX","https://thurrock.gov.uk/brownfield-map
",WGS84,100091537115,0.29217,51.515,0.1492,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,02/10/2015,,,7,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,BEL_14,BEL_14,"Bentons Farm, Mollands Lane, South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,100091632045,0.29624,51.51641,0.3567,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,11/04/2016,,,10,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,BEL_16,,"Adjacent Bentons Farm, Mollands Lane, South Ockendon","https://thurrock.gov.uk/brownfield-map
",WGS84,200001548348,0.29694,51.51637,0.3094,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,25/10/2016,,,16,,,,,,,,,30/12/2017,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,COF_11,COF_11,"Petrol Station, Lampits Hill, Corringham","https://thurrock.gov.uk/brownfield-map
",WGS84,100091632157,0.45974,51.52643,0.0937,Not owned by a  Public Authority,Yes,Not Permissioned,,,,,3,,,,,,,,,30/06/2016,30/12/2017
"http://opendatacommunities.org/id/unitary-authority/thurrock
",Thurrock,COF_13,COF_13,"Land and buildings at 19-29 Lampits Hill, Corringham","https://thurrock.gov.uk/brownfield-map
",WGS84,010090754300,0.45992,51.52614,0.1976,Not owned by a  Public Authority,Yes,Permissioned,Full Planning Permission,17/09/2015,,,8,,,,,,,,,30/06/2016,30/12/2017
