OrganisationURI,OrganisationLabel,SiteNameAddress,SiteplanURL,Easting ,Northing ,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"7 Lower Borough Walls, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,374976,164586,0.06,not owned by a public authority,yes,permissioned,full planning permission,2016-06-01,,7,,,,,,,16/00782/FUL ,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Newbridge House, Bristol Road, Chew Stoke",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,356038,161727,0.07,not owned by a public authority,yes,permissioned,full planning permission,2016-10-01,,5,,,,,,,16/00571/FUL ,2017-12-21,2018-21-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"St Augustines Surgery, 4 Station Road, Keynsham",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,365510,168894,0.08,not owned by a public authority,yes,permissioned,full planning permission,2016-11-01,,6,,,,,,,16/04660/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Parish Centre, Harley Street, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,374678,165563,0.02,not owned by a public authority,yes,permissioned,full planning permission,2014-05-14,,8,,,,,,,14/01153/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"E Block, MoD Ensleigh, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,374368,167697,0.19,not owned by a public authority,yes,permissioned,full planning permission,2016-12-01,,9,,,,,,,16/02706/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Westways Garage, Bath Road, Marksbury",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,366333,162046,0.06,not owned by a public authority,yes,permissioned,other,2015-03-23,,7,,,,,,,15/00424/ODCOU,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"The Island, Midsomer Norton",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,366347,154199,0.03,not owned by a public authority,yes,permissioned,other,2015-11-03,,10,,,,,,,15/04021/SDCOU,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Pensford Garage, New Road, Pensford",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,361963,163496,0.17,not owned by a public authority,yes,permissioned,full planning permission,2016-05-01,,9,,,,,,,15/04054/FUL ,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Old Colliery Yard, Wick Lane, Pensford",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,361963,163496,0.6,not owned by a public authority,yes,permissioned,full planning permission,2015-03-26,,7,,,,,,,14/02858/FUL,2017-12-21,2018-12-21
http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset Council,"Unit 2 Lymore Gardens, Bath",https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,373330,164035,0.05,not owned by a public authority,yes,permissioned,full planning permission,2017-02-01,,8,,,,,,,16/04261/FUL,2017-12-21,2018-12-21
