OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionTyne,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Part2,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDateBR,LastUpdatedDate,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1008,,"BT Depot, Ponteland Road, NE1 2YF",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.662791104,54.99898904,0.88,Not Owned by a Public Authority,,Not Permissioned,,,,,225,,,,225,275,,,,2018-12-17,2018-12-17,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1009,,"Walkergate Hospital, Benfield Road",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.56103361,54.98729187,2.99,Owned by a Public Authority,,Not Permissioned,,,,,36,,,,36,44,,,,2017-12-19,2018-12-18,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1026,,Gap Plant (East of Free Trade) St Lawrence Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.586263439,54.97094358,0.4,Not Owned by a Public Authority,,Not Permissioned,,,,,79,,,,79,97,,,,2017-12-19,2018-12-19,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1029,,Land between Kirk Street and Bolam Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.571903991,54.97023798,0.29,Not Owned by a Public Authority,,Not Permissioned,,,,,13,,,,13,15,,,,2018-12-17,2018-12-20,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1035,,Spillers Quay,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.584461634,54.96891628,1.54,Owned by a Public Authority,,Not Permissioned,,,,,43,,,,43,53,,,,2017-12-19,2018-12-21,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1072,,"Former scrap metal site, Saint Lawrence Road",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.572217447,54.96713062,0.93,Owned by a Public Authority,,Pending decision,,,,,45,,,,50,55,,,,2018-12-17,2018-12-22,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1076,,"Plot 12 Quayside, Ouesburn, Newcastle",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.595455729,54.97160403,0.58,Not Owned by a Public Authority,,Not Permissioned,,,,,81,,,,81,99,,,,2017-12-19,2018-12-23,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1077,,Malmo Quay,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.589356577,54.97108623,0.5,Owned by a Public Authority,,Not Permissioned,,,,,63,,,,63,77,,,,2018-12-17,2018-12-24,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1102,,CD2 - The Stack PH and land to the west,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.544741053,54.96827553,0.91,Owned by a Public Authority,,Not Permissioned,,,,,25,,,,25,31,,,,2017-12-19,2018-12-25,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1103,,"Site of 1243 - 1293 Walker Road, Walker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.555702744,54.96532216,0.49,Owned by a Public Authority,,Not Permissioned,,,,,18,,,,18,22,,,,2017-12-19,2018-12-26,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1121,,CD7 - Land at 1450-1560 Walker Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.549152742,54.96581468,0.26,Owned by a Public Authority,,Not Permissioned,,,,,9,,,,9,11,,,,2017-12-19,2018-12-27,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1124,,"Land at Felling View, Caldbeck Avenue, Caldbeck Close, Walker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.5532348,54.96225296,4.13,Owned by a Public Authority,,Not Permissioned,,,,,158,,,,158,194,,,,2017-12-19,2018-12-28,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1129,,CW2 - Lamb Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.543377694,54.97117386,1.06,Owned by a Public Authority,,Not Permissioned,,,,,27,,,,27,33,,,,2017-12-19,2018-12-29,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1140,,"Site of Byker Buildings, Byker Bank",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.588485978,54.97502643,0.28,Owned by a Public Authority,,Not Permissioned,,,,,9,,,,9,11,,,,2017-12-19,2018-12-30,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1144,,"Anglo Swedish Engineering, Glasshouse Street",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.577535429,54.96539415,0.12,Not Owned by a Public Authority,,Not Permissioned,,,,,7,,,,7,9,,,,2017-12-19,2018-12-31,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1148,,Land east of Pottery Bank (PB6 - Phase 3),https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.547497557,54.96356919,1.12,Owned by a Public Authority,,Not Permissioned,,,,,39,,,,39,47,,,,2017-12-19,2019-01-01,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1191,,Land at St Lawrence Square,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.584913656,54.97147159,0.9,Not Owned by a Public Authority,,Not Permissioned,,,,,36,,,,36,44,,,,2018-12-17,2019-01-02,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1290,,Land adjoining 9 Stepney Lane,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.601523764,54.97364509,0.14,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,17/11/2021,,,5,Change of use of second floor from office and storage accommodation ancillary to kitchen showrooms on ground and first floors (Class A1 ) to 5 bed student flat (Class C4) and alterations to elevations,,,,,,,,2017-12-19,2019-01-03,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1294,,"Land to the west of Roman Avenue, Byker",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.56282661,54.98000051,0.43,Not Owned by a Public Authority,,Not Permissioned,,,,,16,,,,16,20,,,,2017-12-19,2019-01-04,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1313,,East Pilgrim Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.609666183,54.97267737,2.08,Mixed Ownership,,Permissioned,Full planning permission,30/09/2019,,,225,"Demolition of former Police Head Quarters and construction of a 6-7 storey building for student accommodation comprising 225 student bed spaces (class C3, C4 and sui generis) with landscaped courtyards, ancillary facilities and 64 cycle spaces as amended by plans and supporting information received 13, 25, 26 and 27 July and 19, 22, 24, 25 and 31 August and 2 September 2016",,,,,,,,2018-12-17,2019-01-05,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1331,,St James Metro Station,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.620589463,54.97415103,0.9,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,04/08/2020,,,170,"Hybrid application for the comprehensive mixed use redevelopment of car parks and associated land between Strawberry Place and Gallowgate.  Detailed application for 172 student bed spaces (45 x 2-6 bed clusters) within a building of 9 storeys (with basement level plant space) (86.1m AOD) with 164sqm of ground floor commercial space (A1-5/D2), and 218 student bed spaces (49 x 2-6 bed clusters) within a building of 11 storeys (85.45m AOD)",,"Also 97sqm of ground floor commercial space (A1-5/D2) with associated cycle parking, refuse storage, public realm, access and landscape works. 
 Outline application for up to 15810sqm of office space (Class B1) within an building of up to 10 storeys (94.5m AOD) with up to 63 no. parking spaces at basement level; residential block (Class C3) consisting of up to 170 x 1 and 2 bed apartments within a building of up to 17 storeys (106.5m AOD) and 60 no. parking spaces at basement level and up to 1000sqm (GEA) of commercial space (A1-5/D2) with landscaping, layout and external appearance reserved as amended by plans received 14 March and 25 May 2016 and supplemented by information received 5, 23 and 25 May 2016
",,,,,,2018-12-17,2019-01-06,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1374,,Forth Goods Yard,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.620385677,54.96503149,2.57,Owned by a Public Authority,,Not Permissioned,,,,,225,,,,225,275,,,,2017-12-19,2019-01-07,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1398,,South of Pottery Lane,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.619486053,54.96391181,3.15,Mixed Ownership,,Not Permissioned,,,,,225,,,,225,275,,,,2018-12-17,2019-01-08,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1490,,"Calder Industrial Materials, Skinnerburn Road, Newcastle",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.623789366,54.96234241,6.2,Not Owned by a Public Authority,,Pending decision,,,,,630,,,,630,770,,,,2018-12-17,2019-01-09,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1515,,"Loadman Street, Elswick, Newcastle - Combination of 1515 and 5897",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.64375843,54.9651493,5.97,Owned by a Public Authority,Yes,Pending decision,,,,,154,,,,171,188,,,,2017-12-19,2019-01-10,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1608,,Site of 64-88 Elswick Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.633608822,54.97015373,0.2,Owned by a Public Authority,,Not Permissioned,,,,,7,,,,7,9,,,,2017-12-19,2019-01-11,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1611,,"Former Majestic Bingo Hall, Condercum Road",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.660029973,54.97163574,0.3,Owned by a Public Authority,Yes,Permissioned,Full planning permission,06/01/2017,,,5,Erection of 5 x 4 bed houses (Class C3) with associated car parking as amended.,,,,,,,,2017-12-19,2019-01-12,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1616,,Caroline Street and Maria Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.654378042,54.96896683,1.25,Owned by a Public Authority,,Not Permissioned,,,,,43,,,,43,53,,,,2018-12-17,2019-01-13,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1668,,Maranar House 28 - 30 Mosley Street Newcastle upon Tyne NE1 1DF,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.610871,54.970537,0.02,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,04/06/2018,,,11,"Conversion from office and storage accommodation to form 7 x 2 bed apartments and 4 x 1 bed apartments (Class C3), as amended by plans received 19, 21, 23 February, 30 April, 11 and 15 May 2018",,,,,,,,2018-12-17,2019-01-14,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1672,,9-17 Collingwood Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.61295038,54.96981804,0.06,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,21/06/2017,,,12,"Conversion of ground and mezzanine floor from bank (Class A2) to restaurant and bar (Class A3/A4) with associated kitchens, storage and plant at basement level.  Conversion of first to third floors from offices (Class B1) to 12 flats (Class C3) flats with associated gym, cycle storage, and refuse storage in basement.  Erection of extension to house extended fire escape, erection of 4 dormers windows and provision of roof terrace and lobby and provision of extract and ventilation",,"Conversion of ground and mezzanine floor from bank (Class A2) to restaurant and bar (Class A3/A4) with associated kitchens, storage and plant at basement level.  ",,,,,,2017-12-19,2019-01-15,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1674,,"Cuthbert House, Pilgrim Street",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.607772,54.971111,0.13,Not Owned by a Public Authority,,Permissioned,Other,11/05/2018,,,274,Notification of Prior Approval: Change of use of offices (Class B1a) to 274 residential units (Class C3),,,,,,,,2018-12-17,2019-01-16,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,1782,,"Wingrove House, Ponteland Road",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.653212418,54.9897898,0.28,Not Owned by a Public Authority,,Not Permissioned,,,,,23,,,,23,28,,,,2017-12-19,2019-01-17,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,2572,,Site of 22-140 Roundhill Avenue,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.67048639,54.99359359,1.11,Owned by a Public Authority,Yes,Pending decision,,,,,41,,,,46,51,,,,2017-12-19,2019-01-18,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,2788,,"Princes Bingo Hall, Rokeby Street",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.709941731,54.97799101,0.18,Not Owned by a Public Authority,,Not Permissioned,,,,,8,,,,8,10,,,,2017-12-19,2019-01-19,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3025,,"Centre for Ageing and Vitality
Westgate Road
Wingrove",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.644460301,54.97569829,7.58,Not Owned by a Public Authority,,Not Permissioned,,,,,90,,,,90,110,,,,2018-12-17,2019-01-20,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3027,,"Throckley Water Treatment Works, Hexham Road, Newburn",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.76292231,54.99651696,1.56,Not Owned by a Public Authority,,Not Permissioned,,,,,54,,,,54,66,,,,2017-12-19,2019-01-21,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3032,,"Salter's Road, Gosforth",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.62864099,55.00487858,1.33,Owned by a Public Authority,,Not Permissioned,,,,,52,,,,52,64,,,,2018-12-17,2019-01-22,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3038,,"Land east of Gretna Road Benwell Village, Benwell, Newcastle",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.675008711,54.97494484,0.15,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,06/07/2017,,,9,"Erection of 12 dwellings (Class C3) comprising of  5 no. houses, 7 no. flats with associated landscaping, car parking and creation of new access off Gretna Road",,,,,,,,2017-12-19,2019-01-23,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3040,,Crawhall Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.597044951,54.97465173,0.26,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,27/06/2017,,,134,"Demolition of vacant industrial and commercial buildings and erection of 134 PRS apartments (Class C3) with communal spaces, landscaped courtyard, below ground level car parking, cycle storage and external improvements including hard landscaping as supplemented by information received 15.02.2017, 13.03.2017, 05.04.2017 and 19.04.2017 and supplemented by drawings and information received 26.04.2017.",,,,,,,,2017-12-19,2019-01-24,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3051,,Newbiggin Hall shopping centre,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.686963584,55.00655061,1.22,Mixed Ownership,Yes,Pending decision,,,,,39,,,,43,47,,,,2017-12-19,2019-01-25,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3064,,Maling Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.588034056,54.97212893,0.3,Owned by a Public Authority,,Not Permissioned,,,,,31,,,,31,37,,,,2017-12-19,2019-01-26,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3069,,"GD Metal Recycling, Quality Row",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.587907115,54.97360537,1.57,Not Owned by a Public Authority,,Not Permissioned,,,,,72,,,,72,88,,,,2017-12-19,2019-01-27,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3077,,Heber Street and Brewery Offices,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.622548055,54.97313511,0.64,Not Owned by a Public Authority,,Pending decision,,,,,81,,,,90,99,,,,2017-12-19,2019-01-28,,
http://opendatacommunities.org/id/county-council/newcastle-upon-tyne,Newcastle upon Tyne,3078,,Land at Melbury Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/housing_combined_web.pdf,OSGB36,-1.587823418,54.99226975,0.63,Not Owned by a Public Authority,,Not Permissioned,,,,,5,,,,5,6,,,,2017-12-19,2019-01-29,,
