OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3,PlanningAuthority,SOURCE,STATUS
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,08/P0258,,"143 Part Of  Ground, 1st & 2nd Floors Cannon Hill Lane SW20 9BZ",https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524311,168662,0.02,,,permissioned,Full,6/24/2011,,,5,"PART SINGLE, PART DOUBLE STOREY REAR EXTENSION AND THIRD STOREY/MANSARD ROOF EXTENSION TO PROVIDE 3 X 1 BEDROOM AND 2 STUDIO FLATS WITH THE RETENTION OF TWO RETAIL UNITS AT GROUND FLOOR LEVEL, ALTERAT",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,31/12/2017,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,08/P2129,,360-364  London Road CR4 3ND,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,527446,168465,0.12,,,permissioned,Full,12/15/2009,,,14,"DEVELOPMENT OF A PART TWO, PART THREE AND PART FOUR-STOREY BUILDING COMPRISING 2 GROUND FLOOR B1 COMMERCIAL UNITS, 1 FIRST FLOOR B1 COMMERCIAL UNIT, 11 [4 X3 BEDROOM & 7 X 2 BEDROOM] SELF CONTAINED FL",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,28/01/2019,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,08/P2724,,Sita Recycling  Hallowfield Way CR4 3BQ,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,527064,168315,0.53,,,permissioned,Full,3/29/2012,,,,[REVISED PLANS HAVE BEEN RECEIVED] FORMATION OF AN 'ECO PARK' COMPRISING: AN EXTENSION TO EXISTING MATERIALS RECYCLING FACILITY WITH THE PROVISION OF NEW BUILDINGS PROVIDING A NEW ANAEROBIC DIGESTION,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,08/P3098,,1  York Road SW19 8TP,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,526043,170838,0.06,,,permissioned,Full,9/29/2009,,,8,"ERECTION OF 8 x  1 BED FLATS AND 4 x B1 UNITS,WITHIN THREE STOREY BUILDING AND ERECTION OF A TWO STOREY BUILDING ACCOMMODATING TWO CLASS B1 OFFICE UNITS WITH ASSOCIATED LANDSCAPING, 2 x CAR PARKING SP",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,31/12/2017,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,09/P0154,,421-445  London Road CR4 4BJ,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,527216,168050,0.17,,,permissioned,Outline,3/25/2009,,,,DEMOLITION OF EXISTING BUILDINGS AND ERECTION OF A NEW THREE STOREY FIRE STATION.(OUTLINE APPLICATION WITH MEANS OF ACCESS ONLY TO BE DETERMINED AT THIS STAGE),See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,09/P0196,,Land Rear Of 216 - 218  Rowan Road SW16 5HX,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,529570,169647,0.18,,,permissioned,Full,6/29/2010,,,8,"ERECTION OF A TERRACE OF 8 x 3 BEDROOM DWELLINGS TO REAR OF EXISTING LIDL STORE, WITH VEHICLE ACCESS FROM BYARDS CROFT",See development description. Search application in Merton Planning Explorer for full details.,,,,,,,28/01/2019,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,09/P0203,,8  Clement Road SW19 7RJ,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,524197,171211,0.09,,,permissioned,Full,6/25/2009,,,,DEMOLITION OF EXISTING DWELLING HOUSE AND GARAGE AND ERECTION OF A NEW DETACHED HOUSE.,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,09/P1666,,3  Windy Ridge Close SW19 5HB,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523866,171435,0.06,,,permissioned,Full,9/25/2009,,,,ERECTION OF A  TWO STOREY HOUSE WITH ADDITIONAL HABITABLE ROOMS IN THE ROOF AND BASEMENT (REDESIGN OF PREVIOUS APPROVAL 04/P2177),See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,11/P0107,,Kestral House Lower Level Garth Road SM4 4LL,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,523666,166494,0.22,,,permissioned,Full,5/23/2011,,,,CHANGE OF USE OF LOWER LEVEL FROM CLASS B1 (LIGHT INDUSTRIAL) AND STORAGE AND DISTRIBUTION TO USE FOR VEHICLE REPAIR AND REPAINTING,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
http://opendatacommunities.org/id/london-borough-council/merton,London Borough of Merton,12/P0208,,49  Vineyard Hill Road SW19 7JL,https://maps.london.gov.uk/brownfield-site-register/,ETRS89,0,0,525171,171913,0.05,,,permissioned,Full,03/12/2012,,,,DEMOLITION OF EXISTING HOUSE AND ERECTION OF 6 BEDROOM HOUSE INCLUDING ACCOMMODATION AT BASEMENT AND ROOF LEVEL,See development description. Search application in Merton Planning Explorer for full details.,,,,,,,10/01/2020,10/01/2020,,,,Merton,LDD,Lapsed
