OrganisationURI,"SiteReference
",SiteNameAddress,SitePlanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-11,"“Greenwich Millennium Village, Peartree Way & West Parkside Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,178974,540080,8.01,Not owned by a public authority,Permissioned,Outline planning permission,2012-03-30,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,1746,1746,,"“12/0022/O and subsequent reserved matters applications. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-12,"“South East London Aquatic Centre, Europe Rd Woolwich (King Henry's Dock)“",www.royalgreenwich.gov.uk/brownfieldregister,179234,542828,0.13,Not owned by a public authority,Permissioned,Full planning permission,2012-03-30,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,100,100,,"“11/1584/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-13,"“Former Westcombe Park police station, 11 Combedale Rd Westcombe Park“",www.royalgreenwich.gov.uk/brownfieldregister,178236,540200,0.10,Not owned by a public authority,Permissioned,Full planning permission,2012-09-03,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,"“12/1668/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-14,"“Warren Masterplan, Beresford St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179134,543766,14.98,Not owned by a public authority,Permissioned,Outline planning permission,2013-06-19,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,2032,2032,,"“13/0117/O and subsequent full and reserved matters applicatios. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-15,“Land adjacent to 106-116 McLeod Rd & Dahlia Rd Abbey Wood“,www.royalgreenwich.gov.uk/brownfieldregister,178594,546816,0.11,Not owned by a public authority,Not Permissioned,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,"""Permission 13/2193/O included in previous Register now lapsed""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-16,“139 Greenwich High Rd Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,177213,537852,0.03,Not owned by a public authority,Permissioned,Full planning permission,2015-01-14,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,“14/2868/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-17,“Plot M0103 (land east of Barge Walk) Peninsula Riverside Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,179522,539786,0.43,Not owned by a public authority,Permissioned,Full planning permission,2014-03-31,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,224,224,,"“13/2874/F.  Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-18,"“St Joseph's Community Hall, Pelton Rd Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,178315,539346,0.09,Not owned by a public authority,Permissioned,Full planning permission,2014-04-11,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,8,8,,"“14/0336/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-19,“Grove Market Place & 60 Eltham High St Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,174392,542612,0.43,Not owned by a public authority,Permissioned,Full planning permission,2014-05-15,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,144,144,,“13/2407/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-20,"“Former Woolwich Congregational Church, Rectory Place Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178746,543123,0.09,Not owned by a public authority,Permissioned,Full planning permission,2014-07-30,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,“14/1324/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
