OrganisationURI,"SiteReference
",SiteNameAddress,SitePlanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-50,“97-101 Powis St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,179003,543443,0.04,Not owned by a public authority,Permissioned,Full planning permission,2016-03-15,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,"""15/3660/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-51,"“Sunbury Lodge, 1 Sunbury St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179055,542985,0.26,Not owned by a public authority,Permissioned,Full planning permission,2016-03-31,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,48,48,,"""15/3555/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-52,“2-12 Blackwall Lane Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,178289,539488,0.06,Not owned by a public authority,Permissioned,Full planning permission,2016-04-25,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,18,18,,"“15/0451/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-53,“228-232 Trafalgar Rd Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,178196,539455,0.02,Not owned by a public authority,Permissioned,Full planning permission,2016-05-03,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,12,12,,"“15/1261/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-54,“29 Market St Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,178827,543357,0.10,Not owned by a public authority,Permissioned,Full planning permission,2016-05-12,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,22,22,,“14/3763/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-55,"“Plots N0205, N0206 & N0207, Peninsula Square, West Parkside Greenwich “",www.royalgreenwich.gov.uk/brownfieldregister,179936,539492,1.63,Not owned by a public authority,Permissioned,Other,2016-05-31,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,"1,007","1,007",,"""16/0186/MA. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-56,"“Old Loyal Britons PH, 62 Thames St Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,177818,538067,0.02,Not owned by a public authority,Permissioned,Full planning permission,2016-07-18,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,"“14/1636/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-57,“25-31 The Village Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,177877,541569,0.03,Not owned by a public authority,Not Permissioned,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,6,6,,"""Previous permission 16/1266/F included in 2018 Brownfield Register now lapsed."" ",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-58,"“Penhall Tyres Ltd, 700 Woolwich Rd Charlton“",www.royalgreenwich.gov.uk/brownfieldregister,178921,541928,0.06,Not owned by a public authority,Permissioned,Full planning permission,2016-08-08,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,14,14,,"“14/0289/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-59,“445 Woolwich Rd Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,178484,540963,0.04,Not owned by a public authority,Permissioned,Full planning permission,2016-09-19,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,73,73,,"“16/0132/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-60,"“Plot MO121 (land west of coal jetty), Pilot Way, Barge Walk & Olympian Way Greenwich.""",www.royalgreenwich.gov.uk/brownfieldregister,179641,539688,3.53,Not owned by a public authority,Not Permissioned,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,260,260,,"“Previous permissions 15/2104/MA included in 2018 Brownfield Register now lapsed.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-61,"“Rochester Way Social Club and adjoining open space, Rochester Way & Briset Rd Eltham“",www.royalgreenwich.gov.uk/brownfieldregister,175595,541789,0.47,Not owned by a public authority,Permissioned,Full planning permission,2016-10-20,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,29,29,,"“16/1579/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-62,"“1st & 2nd Floors, Murray's Yard, 26-28 Powis St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178948,543634,0.02,Not owned by a public authority,Permissioned,Full planning permission,2016-10-20,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,2,2,,"“16/1990/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-63,"“The Albion PH, 48 Woolwich Church St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179016,542306,0.01,Not owned by a public authority,Permissioned,Full planning permission,2017-06-19,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,40,40,,"“16/0762/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-64,“Land rear of 2-36 Bevan Rd Abbey Wood“,www.royalgreenwich.gov.uk/brownfieldregister,178255,546584,0.22,Not owned by a public authority,Permissioned,Full planning permission,2016-11-11,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,11,11,,"""16/1621/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-65,“Garages rear of 7-22 Prentiss Court Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,178590,541589,0.34,Not owned by a public authority,Permissioned,Full planning permission,2016-11-30,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,10,10,,"“16/1622/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-66,"“Queens Arms PH, 23 Burrage Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178804,544050,0.03,Not owned by a public authority,Permissioned,Full planning permission,2017-01-06,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"“16/2405/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-67,“51 Herbert Rd Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,177620,543752,0.03,Not owned by a public authority,Permissioned,Full planning permission,2018-12-21,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,7,7,,"""18/3498/F. Started.""",2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-68,"“Central Parade Building, Royal Military Academy, Academy Lane Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,177207,543077,0.07,Not owned by a public authority,Permissioned,Full planning permission,2017-01-13,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,10,10,,"“15/3725/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-69,“9 Eglinton Hill Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,177619,543785,0.02,Not owned by a public authority,Permissioned,Full planning permission,2017-01-23,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,3,3,,"“16/1529/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-70,“260-262 Green Lane Mottingham“,www.royalgreenwich.gov.uk/brownfieldregister,172612,543501,0.07,Not owned by a public authority,Permissioned,Full planning permission,2017-02-24,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,10,10,,“16/0273/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-71,“37 Greenwich High Rd Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,177029,537593,0.38,Not owned by a public authority,Permissioned,Full planning permission,2017-03-07,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,125,125,,"""16/1792/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-72,“48-60 Footscray Rd Eltham“,www.royalgreenwich.gov.uk/brownfieldregister,174102,543412,0.09,Not owned by a public authority,Permissioned,Full planning permission,2017-03-10,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,38,38,,"""15/2910/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-73,“258-260 Creek Rd Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,177687,538042,0.02,Not owned by a public authority,Permissioned,Full planning permission,2017-03-14,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,“16/3328/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-74,"“The Crown PH, 11 Court Yard Eltham“",www.royalgreenwich.gov.uk/brownfieldregister,174373,542696,0.01,Not owned by a public authority,Permissioned,Full planning permission,2017-03-17,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"“16/1256/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-75,"“Buildings 10 & 11 & Royal Carriage Square, Woolwich Arsenal Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179073,543934,1.00,Not owned by a public authority,Permissioned,Full planning permission,2017-03-24,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,146,146,,"""16/2807/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-76,"“Morris Walk (South) Estate, Prospect Vale & Maryon Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178851,542203,4.30,Owned by a public authority,Permissioned,Outline planning permission,2017-04-02,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,52,52,,"“14/0126/O. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-77,"“Lovells, Granite, Badcocks & Pipers Wharves (River Gardens), Pelton Rd & Banning St Greenwich""",www.royalgreenwich.gov.uk/brownfieldregister,178515,539144,2.84,Not owned by a public authority,Permissioned,Other,2017-04-05,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,840,840,,"“16/2552/MA. Started. Original application 06/1749/F approved 20/2/2007 for 667 dwelings. Several amendments since have increased the approved number to 840.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-78,"“Ogilby Housing Society site, Wellington St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178681,543427,0.21,Not owned by a public authority,Permissioned,Full planning permission,2017-04-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,91,91,,"""15/3295/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-79,"“The Reach, Thames Reach, Battery Rd Thamesmead“",www.royalgreenwich.gov.uk/brownfieldregister,179789,545206,0.39,Not owned by a public authority,Permissioned,Full planning permission,2017-05-09,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,66,66,,"""16/2163/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-80,“Garages adjacent to 63 & 73 Woodlands Park Rd Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,177899,539345,0.06,Not owned by a public authority,Permissioned,Full planning permission,2017-05-23,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,15,15,,"“16/1629/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-81,"“Albany House, 75 Southwood Rd Mottingham“",www.royalgreenwich.gov.uk/brownfieldregister,172779,543851,0.03,Not owned by a public authority,Permissioned,Full planning permission,2017-05-25,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"“17/0774/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-82,“29 Herbert Rd Woolwich“,www.royalgreenwich.gov.uk/brownfieldregister,177723,543824,0.01,Not owned by a public authority,Permissioned,Full planning permission,2017-07-07,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,"“16/4125/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-83,“79 Eastcombe Ave Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,177793,540542,0.03,Not owned by a public authority,Permissioned,Full planning permission,2017-07-24,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"“17/1441/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-84,"“Royal Sovereign House, 40 Beresford St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179128,543558,0.02,Not owned by a public authority,Permissioned,Full planning permission,2017-07-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,28,28,,"“15/0016/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-85,"“Glenmore Arms PH, 41 Edison Grove Plumstead“",www.royalgreenwich.gov.uk/brownfieldregister,177016,545655,0.05,Not owned by a public authority,Permissioned,Full planning permission,2017-08-04,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,4,4,,“17/1805/F. Completed in 2019.”,2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-86,"“Antigallican PH, 428 Woolwich Rd Charlton“",www.royalgreenwich.gov.uk/brownfieldregister,178487,541150,0.02,Not owned by a public authority,Permissioned,Full planning permission,2017-08-29,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,8,8,,"“15/2272/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-87,“2a Kirkham St Plumstead“,www.royalgreenwich.gov.uk/brownfieldregister,177635,545080,0.05,Not owned by a public authority,Permissioned,Full planning permission,2018-11-21,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,6,6,,"“18/2773/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-88,“3-5 Tunnel Ave Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,178358,540055,0.11,Not owned by a public authority,Permissioned,Full planning permission,2017-09-22,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,23,23,,"“16/3858/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-89,"“Island site, Thomas, Wellington, Polytechnic & Calderwood Sts Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178849,543502,0.68,Not owned by a public authority,Pending decision,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,310,310,,"“16/2480/F. Resolution to approve.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-90,"“Spray St SPD area, Spray St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,178888,543874,1.86,Not owned by a public authority,Not Permissioned,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,,455,455,,“Minimum net dwellings based on Illustrative Masterplan capacity and 2017 London SHLAA capacity.',2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-91,“Land At Harrow Manorway & Felixstowe Rd Abbey Wood“,www.royalgreenwich.gov.uk/brownfieldregister,179322,547280,2.15,Not owned by a public authority,Permissioned,Full planning permission,2018-09-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,245,245,,"""16/2878/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-92,"“Norman House, 110-114 Norman Rd Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,177216,537769,0.16,Not owned by a public authority,Permissioned,Full planning permission,2019-03-11,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,63,63,,"""16/2783/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-93,"“Woolwich Catholic Club, 81-88 Beresford St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179053,543679,0.80,Not owned by a public authority,Permissioned,Full planning permission,2017-22-12,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,59,59,,"""16/1975/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-94,“16 Sandpit Pl Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,178348,542370,0.31,Not owned by a public authority,Permissioned,Full planning permission,2018-03-23,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,32,32,,"""17/0453/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-95,"“Fred Styles House and adjacent garages, 20 Fletching Rd Charlton“",www.royalgreenwich.gov.uk/brownfieldregister,177894,541450,0.40,Not owned by a public authority,Permissioned,Full planning permission,2019-06-07,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,37,37,,"""17/1460/F. Not started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-96,"""Christchurch Way""",www.royalgreenwich.gov.uk/brownfieldregister,,,1.80,Not owned by a public authority,Permissioned,Full planning permission,2014-11-16,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,272,272,,"""14/0293/F. Started""",2018-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-97,"""The Lord Hood, 300 Creek Road, ",www.royalgreenwich.gov.uk/brownfieldregister,,,0.03,Not owned by a public authority,Permissioned,Full planning permission,2017-11-02,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,8,8,,"""15/2009/F. Not started.""",2018-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-98,"""Land adjacent to and South West of the O2 (Plot N0201)""",www.royalgreenwich.gov.uk/brownfieldregister,,,0.22,Not owned by a public authority,Permissioned,Full planning permission,2018-08-17,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,262,262,,"""15/3552/F. Not started.""",2018-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-99,"""67 Plumstead High Street""",www.royalgreenwich.gov.uk/brownfieldregister,,,0.02,Not owned by a public authority,Permissioned,Full planning permission,2018-04-10,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,8,8,,"""15/3970/F. Not started.""",2018-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-100,"""415 Footscray Road""",www.royalgreenwich.gov.uk/brownfieldregister,,,0.06,Not owned by a public authority,Permissioned,Full planning permission,2017-12-21,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,-3,-3,,"""17/0599/F. Not started.""",2018-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-101,"""The Sorting Office, 31-37 Greenwich Park Street""",www.royalgreenwich.gov.uk/brownfieldregister,,,0.04,Not owned by a public authority,Permissioned,Full planning permission,2017-11-07,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,9,9,,"""17/1377/F. Not started.""",2018-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-102,"""70 Eastcombe Avenue""",www.royalgreenwich.gov.uk/brownfieldregister,,,0.03,Not owned by a public authority,Permissioned,Full planning permission,2017-07-24,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,5,5,,"""17/1441/F. Not started.""",2018-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
