OrgainisationURL,OragisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,Last UpdatedDate
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-002,,"""St Martin's Hospital, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616725,157695,27700&scale=2000",ETRS89,1.106021,51.277165,6.39,Unknown,Yes,Not Permissioned,,,,,163,Allocated for 164 Units,,,,,,,Strategic Allocation in Local Plan,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-004,,"""Land Adjacent to Canterbury West Station, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614654,158485,27700&scale=500",ETRS89,1.076847,51.285042,0.22,Mixed ownership,Yes,Not Permissioned,,,,,20,Allocated for erection of 20 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,08/02/2018
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-005,,"""Kingsmead Depot, Kingsmead Road, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615399,158576,27700&scale=2000",ETRS89,1.087569,51.285578,3.85,Mixed ownership,Yes,Pending Decision,,,,,32,Demolition of existing buildings and erection of 40 dwellings,,,,,,,Existing Allocation in Local Plan. Full Application is pending decision,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-006,,"""Former Employment Exchange, St Johns Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614781,157530,27700&scale=500",ETRS89,1.078092,51.276419,0.08,Unknown,No,Not Permissioned,,,,,24,Allocated for 24 Dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-007,,"""Canterbury East Station (North side) Car Park, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614832,157229,27700&scale=1000",ETRS89,1.078642,51.273697,0.48,Unknown,Yes,Not Permissioned,,,,,24,Allocated for erection of 24 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-008,,"""Northgate Car Park, Norhgate, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615305,158415,27700&scale=500",ETRS89,1.086126,51.284168,0.21,Mixed ownership,No,Not Permissioned,,,,,21,Allocated for erection of 21 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-009,,"""Castle Street Car Park, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614604,157429,27700&scale=1000",ETRS89,1.075498,51.275579,0.28,Public Authority,No,Not Permissioned,,,,,54,Allocated for erection of 54 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-010,,"""BT Car park, Upper Chantry Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615338,157302,27700&scale=1000",ETRS89,1.085929,51.274162,0.43,Unknown,Yes,Not Permissioned,,,,,20,Allocated for erection of 20 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-011,,"""Holmans Meadow Car Park, Dover Street, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615144,157450,27700&scale=1000",ETRS89,1.083241,51.275564,0.54,Public Authority,No,Not Permissioned,,,,,20,Allocated for erection of 20 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-012,,"""Rosemary Lane Car Park, Rosemary Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614612,157566,27700&scale=500",ETRS89,1.075695,51.276806,0.27,Public Authority,Yes,Not Permissioned,,,,,20,Allocated for erection of 20 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-014,,"""White Horse Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614836,157794,27700&scale=1000",ETRS89,1.079038,51.278769,0.19,Mixed ownership,Yes,Not Permissioned,,,,,10,Allocated for erection of 10 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-015,,"""Ivy Lane Car Park, Ivy Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615443,157600,27700&scale=500",ETRS89,1.087611,51.276798,0.08,Public Authority,Yes,Not Permissioned,,,,,10,Allocated for erection of 10 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-016,,"""Hawks Lane Car Park, Hawks Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614823,157744,27700&scale=500",ETRS89,1.078822,51.278325,0.03,Public Authority,Yes,Not Permissioned,,,,,9,Allocated for 9 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-017,,"""St Radigunds Car Park, St Radigunds Street, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615042,158292,27700&scale=500",ETRS89,1.082287,51.283163,0.07,Public Authority,No,Not Permissioned,,,,,7,Allocated for 7 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-018,,"""The Garth, St Stephens Road, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614873,158392,27700&scale=500",ETRS89,1.079927,51.284124,0.14,Unknown,Yes,Permissioned,Full Planning Permission,23/06/2017,,,12,Proposed three storey building containing 12 two-bedroom apartments.,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-019,,"""St Johns Lane Car Park, St Johns Lane, Canterbury""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614745,157561,27700&scale=500",ETRS89,1.077595,51.276711,0.06,Mixed ownership,No,Not Permissioned,,,,,5,Allocation for erection of 5 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-020,,"""Garage Site at Kings Road/Park Road Junction, Herne Bay""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617703,168002,27700&scale=500",ETRS89,1.126311,51.369332,0.13,Unknown,No,Not Permissioned,,,,,43,Allocated for 43 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-021,,"""Land at Herne Bay Station, Herne Bay""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617030,167446,27700&scale=1000",ETRS89,1.116319,51.364598,0.58,Unknown,Yes,Not Permissioned,,,,,35,Erection of 35 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-022,,"""Central Development Area, Herne Bay""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617716,168129,27700&scale=1000",ETRS89,1.126575,51.370468,3.7,Mixed ownership,No,Not Permissioned,,,,,46,,,,46,56,,,Part Of Herne Bay Action Plan HB1,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-023,,"""Beach Street, Herne Bay""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=617697,168335,27700&scale=1000",ETRS89,1.126429,51.372324,0.33,Mixed ownership,Yes,Not Permissioned,,,,,14,,,,14,19,,,Part Of Herne Bay Action Plan HB2,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-025,,"""Tankerton Road Car Park & Garage, Whitstable""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=612346,167172,27700&scale=500",ETRS89,1.048979,51.363996,0.19,Public Authority,No,Not Permissioned,,,,,17,Allocated for 17 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
http://opendatacommunities.org/id/district-council/canterbury,Canterbury City Council,BR-026,,"""124 & Adjoining Middle Wall, Whitstable""","https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=610644,166359,27700&scale=500",ETRS89,1.024079,51.35724,0.15,Mixed ownership,No,Not Permissioned,,,,,7,Allocated for 7 dwellings,,,,,,,Existing Allocation in Local Plan ,01/11/2017,23/11/2017
