Brownfield Land Register 2020,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
OrganisationURI,SiteReference,2018SiteReference(WhereChanged),SiteNameAddress,CoordinateReferenceSystem,GeoX,GeoY,SitePlanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable ,NetDwellingsRangeFrom ,NetDwellingRangeTo,HazardousSubstances,DevelopmentDescription,Notes,AlternataiveReferences,FirstAddedDate,LastUpdatedDate,SiteStatus/EndDate
http://opendatacommunities.org/id/district-council/norwich,N/MAN/027,,"""161 Oak Street, Norwich NR3 3AY""",OSGB36,622572,309480,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C15%2F00245%2FO,0.43,Not owned by a public authority,permissioned,full planning permission ,"16.04.2015
23.11.2018",https://planning.norwich.gov.uk/online-applications/,yes,40,,,"""Outline application for demolition of existing buildings and erection of 27 flats and houses including means of access only""
18/00004/F - Demolition of existing buildings and erection of flats and houses (40 units) including associated access and landscaping",,"15/00245/O
18/00004/F",31/12/2017,22/09/2020,Started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/028,,"""Pottergate Car Park site, Norwich""",OSGB36,622781,308657,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC23,0.07,Owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/24,,20,,,"""Pottergate Car Park site forming part of a larger local plan allocation including land already developed at Fishers Lane -  Pottergate Car Park site is regarded as having capacity for a minimum of 20 dwellings""",,Allocation: CC23 ,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/029,,"""Land at Queens Road and Surrey Street, Norwich""",OSGB36,623172,307850,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC29,0.5,Not owned by a public authority,permissioned,full planning permission ,21.06.2018,"https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/30",yes,101,,,"""Redevelopment of site to provide 252 student bedroom development with associated access and landscaping.""","Note: application incorporates different area from allocation""
Proposed allocated site within GNLP for 40 dwellings (GNLP0451)
252 students beds equivilent to 101 dwellings ","17/01295/F
Allocation: CC29
18/00437/F
19/01405/MA",31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/031,,"""Merchants Court, St Georges Street, Norwich NR3 1AB""",OSGB36,623021,308953,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CBrownfield_1%2CN%2FMAN%2F031,0.19,Not owned by a public authority,permissioned,planning permission granted under an order,"25.10.2016
22.12.2017
16.02.2017
21.09.2020",https://planning.norwich.gov.uk/online-applications/,,37,,,"""Change of use of first and second floors from commercial (Class B1(a)) to residential (Class C3) to provide 17 No. apartments.""
17/01811/PDD - ""Change of use from office (Class B1(a)) to dwellinghouses (Class C3) to provide 34 units."" 
16/01268/F - 3 No. penthouse apartments, bin stores, reconfigured car parking arrangements, cycle provision and external canopy.
20/00887/PDD - Change of use of first and second floor offices (Class B1(a)) to residential (Class C3) to provide 34No. residential units.",,"17/01811/PDD
16/01285/PDD (supersedes 13/01037/PDD)
16/01268/F
20/00887/PDD
",31/12/2017,01/10/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/032,,"""St Crispins Road/Pitt Street, Norwich NR3 1DF""",OSGB36,622835,309314,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CSC1,0.75,Owned by a public authority,not permissioned,,,,,25,,,"""Former Northern City Centre Area Action Plan allocation for mixed use development to include a minimum of 25 dwellings""",,Former allocation - Northern City Centre Area Action Plan: SC1,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/033,,"""Land North West Side Of 25-27 Surrey Street, Norwich NR1 3NX""",OSGB36,623035,308043,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C16%2F00431%2FF,0.06,Owned by a public authority,permissioned,full planning permission,18.05.2016,https://planning.norwich.gov.uk/online-applications/,yes,8,,,"""Erection of eight flats""
17/01664/F - Construction of five storey building and basement including ground floor restaurant (Class A3), first floor retail space (Class A1), hotel (Class C1) and 1no. apartment (Class C3)",Proposed allocated site in GNLP,"16/00431/F
17/01664/F",31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/035,,"""Furniture Store/Land and buildings incl 70-72 Sussex Street, Norwich NR3 3DE""",OSGB36,622661,309449,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C09%2F00296%2FF,0.21,Not owned by a public authority,permissioned,full planning permission,11.06.2009,"https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/20",,17,,,"""Demolition of industrial units at the site of 70 - 72 Sussex Street and replace with a largely residential development of 9 town houses, 3 apartments and 5 duplex apartments""",Proposed allocated site within the GNLP (to be developed in conjunction with 140-154 Oak Street). ,"09/00296/F
Allocation: CC19",31/12/2017,22/09/2020,Started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/036,,"""Westwick Street car park, Norwich""",OSGB36,622560,309085,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC30,0.3,Owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/31,,30,,,"""Local plan allocation for mixed use development to include a minimum of 30 dwellings""",Proposed allocated site within GNLP for 30 units (CC30). ,Allocation: CC30,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/038,,"""St Stephens Street, Norwich""",OSGB36,622935,308084,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC27,1.5,Not owned by a public authority,permissioned,full planning permission,03.07.2017,"https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/28",yes,250,,,"""Redevelopment of St Stephens Tower for student accommodation, 702 beds (234 equivalent), with vertical extensions, demolition of ancillary structures to facilitate a new link building and landscaping.
(Allocation to provide a minimum of 250 dwellings)""",Completed 19/20,"Allocation: CC27
17/00357/F",31/12/2017,22/09/2020,Complete - 19/20
http://opendatacommunities.org/id/district-council/norwich,N/MAN/040,,"""Oak Street and Sussex Street commercial sites, 160-162 Oak Street, Norwich""",OSGB36,622631,309495,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC20,0.23,Owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/21,,15,,,"""Local plan allocation for residential development to include a minimum of 15 dwellings""",,Allocation: CC20,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MAN/042,,"""84 - 110 Ber Street Norwich
NR1 3ES""",OSGB36,623407,307912,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CBrownfield_1%2CN%2FMAN%2F042,0.62,Not owned by a public authority,permissioned,full planning permission ,23.03.2011,https://planning.norwich.gov.uk/online-applications/,,25,,,"Lind BMW Site, (84-110 & 147-153 Ber Street)& Mariners Lane Car Park, Mariners Lane, Norwich
""Demolition of garage building and redevelopment of sites for the erection of 151 flats (50 x one-bedroom, 4 x studio, 79 x two bedroom and 18 x three bedroom apartments) with 148 basement car parking spaces and secure cycle storage .""","2008 planning application has expired.
The site was originally allocated (CC2)in the adopted City of Norwich
Local Plan (2004), under policy HOU12 A34, for 25 dwellings.
Proposed allocated site in draft GNLP (GNLP2159) for 150 dwellings"," 08/00490/F, CC2 (2004 Local Plan) Proposed allocated site in draft GNLP (GNLP2159).",26/11/2018,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MIC/002,,"""Land Adjoining Lime Kiln Mews, Drayton Road, Norwich NR3 2DF""",OSGB36,622387,310013,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C15%2F00024%2FF,0.56,Not owned by a public authority,permissioned,"full planning permission
Reserved matters","17.12.2015
21.12.2018",https://planning.norwich.gov.uk/online-applications/,,29,,,"29 No. residential units and associated landscaping and highways works (revised proposal).
",19/00837/F - application pending for Development of site to provide 29 residential units with associated landscaping and highways works. ,"15/00024/F
19/00837/F",31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/MIC/004,,"""Land at Havers Road, Mile Cross, Norwich""",OSGB36,622014,310063,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR35,2.25,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/35,,100,,,"""Local plan allocation for residential development to provide in the region of 100 dwellings""","Proposed allocated site in GNLP for 80 units (R35). 
",Allocation: R35,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/MIC/005,,"""Mile Cross Depot, Mile Cross Road, Norwich NR3 2DY""",OSGB36,621519,310091,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR36,4.4,Owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/36,yes,75,,,"""Local plan allocation for mixed use development to include a minimum of 100 dwellings""
18/01290/DEM - Demolition of buildings. Demolition implemented. ",Proposed allocated site in GNLP for 170 units (R36). ,Allocation: R36,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/MIC/007,,"""81-93 Drayton Road, Norwich""",OSGB36,622193,310165,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR25,0.58,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/25,,30,,,"""Local plan allocation for residential development to include in the region of 30 dwellings""",,Allocation: R25,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/MIC/008,,"""Former Kings Arms P. H.
100 Mile Cross Road
Norwich
Norfolk
NR3 2LD""

",OSGB36,621889,310655,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CBrownfield_1%2CN%2FMIC%2F008,0.1,Not owned by a public authority,permissioned,demolition,10.12.2015,https://planning.norwich.gov.uk/online-applications/,,11,,,"""Refurbishment & extension of former pub to form 6 flats and erection of 5 new flats with associated access and parking.""                                                                   ""Demolition of former Kings Arms public house.""",Demolished in 2016. No subsequent application for development,"05/00173/F 
15/01714/DEM",26/11/2018,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/NEL/001,,"""Flordon House, 195 Unthank Road, Norwich NR2 2PQ""",OSGB36,621664,307747,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C16%2F00227%2FF,0.05,Not owned by a public authority,permissioned,full planning permission,"19.07.2016
15.02.2018",https://planning.norwich.gov.uk/online-applications/,yes,5,,,"""Conversion of office and dwelling to 5 No. flats and associated alterations""
17/01791/F - Conversion and extension to create 5 No. apartments and demolition of rear garage.",Completed 19/20,"16/00227/F
17/01791/F",31/12/2017,22/09/2020,Complete - 19/20
http://opendatacommunities.org/id/district-council/norwich,N/NEL/002,N/WEN/001,"""Norwich Community Hospital Site, Bowthorpe Road, Norwich NR2 3TU""",OSGB36,620813,309057,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR37,2.06,Owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/37,,73,,,"""Local plan allocation for housing development in the region of 80 dwellings""","Proposed allocated site in GNLP for 80 units (R37). 
18/00372/O - Outline application including matters of access for redevelopment of the site to provide a new hospital; residential care home; extra care units; key worker units; change of use of Woodlands House to provide residential units; mixed provision of ancillary office space, independent B1 space, A1 retail space; and associated car parking and landscaping (additional / revised information). pending consideration","Allocation: R37
18/00372/O",31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/NEL/003,N/WEN/003,"""Site of Earl of Leicester PH, 238 Dereham Road, Norwich NR2 3TL""",OSGB36,621293,309160,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR33,0.14,Not owned by a public authority,not permissioned,,,"https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/33",,12,,,"""Local plan allocation for residential development to provide in the region of 15 dwellings""","Permissions expired""
Proposed allocated site in GNLP for 10 units (R33). ","Allocation: R33
06/01039/F
10/00335/ET
",31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/SEW/001,,"""Site of Van Dal Shoes, Dibden Road, Norwich NR3 4RR""",OSGB36,623690,309930,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR17,0.54,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/17,,25,,,"""Local plan allocation for residential development to include a minimum of 25 dwellings""",Proposed allocated site in GNLP for 25 units (R17). ,Allocation: R17,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/SEW/002,,"""Site of 118 Magdalen Road, Norwich NR3 4AN""",OSGB36,623130,310126,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C10%2F02009%2FF,0.12,Not owned by a public authority,permissioned,full planning permission,10.02.2011,https://planning.norwich.gov.uk/online-applications/,yes,11,,,"""Mixed development including:  3 No. two bed terraced houses, 2 No. two bed apartments, 6 No. one bed apartments and ancillary works""",Completed 19/20,"10/02009/F
14/00555/MA",31/12/2017,22/09/2020,Complete - 19/20
http://opendatacommunities.org/id/district-council/norwich,N/THH/002,,"""Barrack Street Development Site, Norwich""",OSGB36,623668,309338,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CBrownfield_1%2CN%2FTHH%2F002,2.83,Not owned by a public authority,permissioned,"outline planning permission
full planning permission ","15.11.2012
04.09.2019","https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/17",yes,"200
220",,,"""Outline application with all matters reserved for the erection of up to 200 dwellings.""
18/01286/F - Demolition of existing buildings and structures; erection of 218 dwellings; conversion, refurbishment and extension of two Grade II Listed Cottages, erection of 310sqm of commercial floorspace (Class A1-A5 use) and 152sqm of Museum floorspace (D1 use), with associated works.",Proposed allocated site in GNLP for 300 dwellings (GNLP409R),"CC17a
15/01927/O
18/01286/F
",31/12/2017,22/09/2020,Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/003,,"""Land east of Bishop Bridge Road (incl 29-31 Bishop Bridge Road), Norwich""",OSGB36,"624119
","309081
",https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CBrownfield_1%2CN%2FTHH%2F003,"1.09
",Not owned by a public authority,permissioned,outline planning permission,13.12.2010,"https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/14",,50,,,"""Local plan allocation for residential development. The gasholder site is regarded as having capacity for approximately 30 dwellings. Also includes land at 29-31 Bishop Bridge Road:
06/00166/F: Redevelopment of site with 24 two-bedroom flats with associated access, parking and landscaping
08/00935/O: Outline application for the erection of 19 residential units.""",Proposed allocated site in GNLP for 80 dwellings (R14/15),"Allocation: R14
29-31 Bishop Bridge Road:
06/00166/F
08/00935/O
18/00081/DEM",31/12/2017,22/09/2020,Started by virtue of construction of access road
http://opendatacommunities.org/id/district-council/norwich,N/THH/006,,"""Utilities Site, Cremorne Lane, Norwich""",OSGB36,624790,307816,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR10,6.92,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/10,,100,,,"""Local plan allocation for mixed use development to include a minimum of 100 dwellings.""","""Application withdrawn. Developer in insolvency. Need for hazardous substance consent.""
Proposed allocated site in GNLP (Deal Ground, Utilities Site and Carrow Works (GNLP0360 & GNLP3053, R10) for 2000 dwellings. ",Allocation: R10,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/007,,"""Gas Holder site, Gas Hill, Norwich""",OSGB36,624115,308908,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR13,0.3,Owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/13,,15,,,"""Local plan allocation for residential development to include a minimum of 15 dwellings""","18/00081/DEM - Demolition of two gasholders and associated redundant infrastructure at the former gasworks - approved 09/02/2018
Proposed GNLP allocation for min of 15 homes (R13)",Allocation: R13,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/008,,"""Land adjoining Norwich City Football Club (incl Groundsmans Hut and Players Car Park) & Land North Of Carrow Quay, Kerrison Road, Norwich""",OSGB36,624224,307697,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CBrownfield_1%2CN%2FTHH%2F008,3.24,Not owned by a public authority,permissioned,full planning permission,"05.11.2013
19.02.2019","https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/16",yes,300,,,"""Part of plan allocation for mixed use development to include a minimum of 300 dwellings including land at Carrow Quay for which outline permission has already been granted for 250.""
17/01091/F: Demolition of groundman's hut and construction of 73 flats with associate parking, landscaping and highways works","""Permission for 250 flats covers part of site: land north of Carrow Quay.
Remainder of site incl groundsman's hut and players car park not permissioned.""
Proposed allocated site in GNLP for 270 units (CC16). ","13/01270/RM
11/02104/O
Allocation: CC16
17/01091/F
",31/12/2017,22/09/2020,Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/009,,"""Site of ATB Laurence Scott, Kerrison Road/Hardy Road, Norwich NR1 1JN""",OSGB36,624429,307760,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR11,4.64,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/11,,400,,,"""Local plan allocation for mixed use development to include a minimum of 400 dwellings""","""Suitable alternative accommodation for the existing use has yet to be secured.""",Allocation: R11,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/011,,"""Land at Hobrough Lane/125-129 & 131-133 King Street, Norwich NR1 1QE""",OSGB36,623602,308156,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC7,0.35,Not owned by a public authority,permissioned,full planning permission,"30.01.2009
12.07.2013

","https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/7",,20,,,"""Local plan allocation for mixed use development to include a minimum of 20 dwellings""",Proposed allocated site in GNLP for 20 units (CC7),"07/00412/F
12/02099/F

Allocation: CC7",31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/012,,"""King Street Stores, and adj land/buildings, King Street, Norwich""",OSGB36,623699,307932,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC8,0.21,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/8,,20,,,"""Local plan allocation for mixed use development to include a minimum of 20 dwellings""",Proposed allocated site in GNLP for 20 units. ,Allocation: CC8,31/12/2017,22/09/2020,Not Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/013,,"""St Annes Wharf and adjoining land, King Street, Norwich""",OSGB36,623566,308264,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC6,2.07,Not owned by a public authority,permissioned,full planning permission,09.03.2017,"https://planning.norwich.gov.uk/online-applications/

https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/6",yes,437,,,"""The demolition of existing buildings and redevelopment of the following mixes; 437 residential units""",Some units now complete,"04/00605/F
16/01893/VC
Allocation: CC6",31/12/2017,22/09/2020,Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/014,,"""191 King Street, Norwich NR1 2DF""",OSGB36,623719,307885,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C15%2F01810%2FF,0.26,Not owned by a public authority,permissioned,full planning permission,26.03.2020,https://planning.norwich.gov.uk/online-applications/,,41,,,"""Redevelopment of site to provide 41 dwellings including partial demolition of buildings with associated works.""","19/01389/F for Partial demolition of buildings, construction of 41 dwellings and associated works approved","15/01810/F
19/01389/F ",31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/THH/018,,"""Norwich Mail Centre, 13-17 Thorpe Road, Norwich NR1 1AA""",OSGB36,624123,308324,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC15,1.52,Owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/15,,150,,,"""Local plan allocation for mixed use development to include a minimum of 150 dwellings""",,Allocation: CC15,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/THH/019,,"""66 Rosary Road, Norwich""",OSGB36,624019,308603,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2C07%2F00117%2FF,0.03,Not owned by a public authority,permissioned,full planning permission,15.03.2007,https://planning.norwich.gov.uk/online-applications/,yes,6,,,"""Demolition of former Gem Printing Works and adjoining commercial units fronting St Matthews Road to allow redevelopment to create 4 No. two bedroom flats and 2 No. one bedroom flats with associated bin/cycle storage and external amenity area""",,07/00117/F,31/12/2017,22/09/2020,Started
http://opendatacommunities.org/id/district-council/norwich,N/THH/021,,"""Land at Rose Lane & Mountergate, Norwich""",OSGB36,623618,308438,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC4,3.56,Mixed ownership,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/4,,242,,,"""Local plan allocation for mixed use development to include a minimum of 300 dwellings.
58 within application completed as part of 15/00705/PDD.
Site outline excludes area of 15/00705/PDD and 14/01521/F (car park and other non-residential uses)""",Proposed allocated site in GNLP for 250 units (200 on CC4b and 50 on CC4a),"Allocation: CC4 
(part)",31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/THH/027,,"""Land at Ketts Hill and Bishop Bridge Road, Norwich""",OSGB36,624128,309166,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CR15,0.57,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/15,,30,,,"""Local plan allocation for residential development to include a minimum of 30 dwellings, most recently promoted for retail use""",,Allocation: R15,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/THH/029,,"""Land at Lower Clarence Road, Norwich""",OSGB36,624205,308188,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC13,1,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/13,,45,,,"""Local plan allocation for residential development to include a minimum of 45 dwellings""","""Currently used as car park""",Allocation: CC13,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/THH/030,,"""Busseys Garage Site, Thorpe Road and Lower Clarence Road, Norwich""",OSGB36,624290,308224,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CAlt_Ref%2CCC14,0.45,Not owned by a public authority,not permissioned,,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/14,,25,,,"""Local plan allocation for residential development to include a minimum of 25 dwellings""",,Allocation: CC14,31/12/2017,22/09/2020,Not started
http://opendatacommunities.org/id/district-council/norwich,N/THH/031,,"""Ailwyn Hall
Lower Clarence Road
Norwich
NR1 1HD""

",OSGB36,624021,308351,https://ncc.maps.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_5_0%2CBrownfield_1%2CN%2FTHH%2F031,1.085,Not owned by a public authority,permissioned,Full planning permission,06.05.2008,https://www.norwich.gov.uk/info/20199/adopted_local_plan/1544/city_centre_site_specific_allocations/13,,21,,,"""Redevelopment of site with 2/5 storey building comprising 21 flats with associated parking and bicycle storage.""",Consent granted in 2008 for 21 flats - 06/00963/F extended in 2010 10/01560/ET,06/00963/F 10/01560/ET Allocation CC13,10/12/2018,22/09/2020,Not started
