OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR001,,"""Land Bounded By Somerleyton Road, Coldharbour Lane And Railway""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.109462,51.460578,1.61,mixed ownership,yes,permissioned,full planning permission,23/03/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTFJUBO0I800|https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRAVLBOJME00,,304,"“Demolition of existing buildings (with the exception of Carlton Mansions) and redevelopment to provide a residential-led, mixed use development comprising 304 new dwellings and non-residential uses including a theatre (Sui Generis) and employment, retail and community uses (Use class B1/D1/A1/A2).”","""Flexible retail/business/community use, including Children’s Centre and Nursery; Office space (Use Class B1a); Gym changing facilities (Use Class D2, 52 sqm) and Theatre (Use class Sui Generis, 3197 sqm).""", ,,,,,Lambeth Local Plan allocated site (Site 14),15/12/2017,15/12/2017,531434,175206
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR003,,Fenwick Estate South,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.127122,51.463812,0.47,owned by a public authority,yes,permissioned,full planning permission,10/02/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,,55,"""Demolition of existing buildings and site clearance works to provide 55 social rented units (Use Class C3), a replacement community hall (Use Class D1), associated landscaping and parking.""","""Replacement community centre (Use Class D1), 294 sqm.""", ,,,,,,15/12/2017,15/12/2017,530198,175534
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR005,,12-20 Wyvil Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.126494,51.481985,0.38,not owned by a public authority,yes,permissioned,full planning permission,06/09/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,,278,"“Demolition of existing buildings and redevelopment of the site to provide a residential-led mixed-use development in a part 1/part 5/part 35/36 storey building to the North/North East and an 8 storey building to the South (fronting onto Wyvil Road) comprising 278 residential units, office and retail floorspace.”","""Use Classes B1a (office, 1917 sqm) and A1/A2/A3 (flexible retail, 334 sqm).""", ,,,,,Part of Lambeth Local Plan allocated site (Site 11),15/12/2017,15/12/2017,530190,177556
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR006,,93 King's Avenue,https://maps.london.gov.uk/brownfield-site-register,ETRS89,0.129232,51.452703,0.29,not owned by a public authority,yes,permissioned,full planning permission,27/06/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,,5,"""Redevelopment of the land to the rear of Peter's Court involving relocation of the sub-station, the demolition of the existing disused garages and erection  of five three-storey, 3 bedroom mews-style houses.""", , ,,,,,,15/12/2017,15/12/2017,530083,174295
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR007,,"""Olive Morris House, 18 Brixton Hill""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.118156,51.457805,0.28,owned by a public authority,yes,permissioned,full planning permission,15/10/2015,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMX66CBOJX200,,74,"“Demolition of the existing council offices and the erection of a part 6, part 7 storey building comprising 74 residential units (Use Class C3) along with commercial floorspace (flexible A1/B1/D1/D2 use classes) at ground and basement levels plus an energy centre, car and cycle parking and a service bay at basement level, roof level installations and associated works.“","""Flexible commerical floorspace (Use classes A1/B1/D1/D2), 1280 sqm.""", ,,,,,,15/12/2017,15/12/2017,530838,174882
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR009,,"""Texaco Garage, 36-46 Albert Embankment""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.122679,51.489298,0.19,not owned by a public authority,yes,permissioned,full planning permission,13/10/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,,166,"""Demolition of all structures associated with the petrol filling station and redevelopment of the site to provide a residential-led, mixed use development, comprising the retention and refurbishment of Vintage house and development of ground plus 24 storeys in the form of two towers, linked at ground to fifth floor, and consisting of retail/restaurant use (Use Class A1/A3), office (Use Class B1) and 166 residential units.""","""Flexible retail/restaurant (Use Class A1/A3), 156sqm; offices (Use Class B1a), 2536 sqm.""", ,,,,,,15/12/2017,15/12/2017,530434,178376
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR010,,340A Clapham Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.126674,51.469497,0.19,not owned by a public authority,yes,permissioned,full planning permission,21/06/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,,62,"“Redevelopment of the site involving demolition of existing building and erection of a building up to 9 storeys in height plus basement level to provide offices (Use Class B1) at lower ground and ground floor, a cafe (Use Class A1) at ground floor and 62 residential units (Use Class C3) at upper floor levels.”","""Use Class A3 (Café, 390 sqm) and B1a (office, 1500 sqm).""", ,,,,,,15/12/2017,15/12/2017,530213,176167
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR012,,151 Palace Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.10683,51.439295,0.09,not owned by a public authority,yes,permissioned,full planning permission,20/09/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQEK6SBOKBH00,,9,"“Demolition of the existing B1 unit and erection of a part 3 and part 4 storey building to provide a B1 unit at basement and ground level, and 9 residential dwellings above.” ","""Use Class B1a (office), 350sqm""", ,,,,,,15/12/2017,15/12/2017,531678,172844
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR014,,85 Brixton Hill,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.118721,51.454909,0.06,not owned by a public authority,yes,permissioned,full planning permission,15/06/2017,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEBQZMBOJAK00,,7,Erection of a six storey building including lower ground level and mansard roof to provide seven self contained flats., , ,,,,,,15/12/2017,15/12/2017,530807,174559
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR017,,44 Clapham Common South Side,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.138776,51.45763,1.41,not owned by a public authority,yes,permissioned,full planning permission,29/03/2018,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=OL40Z6BOKOL00&activeTab=summary,,293,"“Demolition of the existing buildings and the redevelopment of the site incorporating the erection of six buildings ranging from four to 10 storeys above ground plus landscaped gardens and public square. Mixed-use scheme comprises a waste transfer facility at basement level, B1 office accommodation, A3 café and up to 297 residential units.”","""Waste transfer unit (Use Class Sui Generis, 1164 sqm); Offices (Use Class B1a, 3696 sqm) with ancillary café (117sqm).""", ,,,,,,15/12/2017,17/12/2018,529406,174826
