OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/district-council/fenland,BLR0001,"Land at, 35 North End, Wisbech, PE13",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"310,088.08","546,023.30",0.04,not owned by a public authority,permissioned,full planning permission,12/09/2007,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=JEJ0UJHEO1000,yes,11,11,,"Erection of 2 x 2-bed houses and 9 flats with balconies comprising of 1 x 3-bed, 3 x 2-bed and 5 x 1-bed with parking under, involving demolition of existing building",19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0002,"PILGRIMS OF MARCH, DARTFORD ROAD, MARCH, PE15 8BD",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"296,996.71","541,368.09",0.32,not owned by a public authority,permissioned,full planning permission,05/07/2010,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=L07EF9HE01U00,yes,17,17,,"Erection of 17 dwellings comprising; 3 x 1-bed and 3 x 2-bed flats, 6 x 3-bed semi-detached houses, 2 x 4-bed semi-detached houses with integral single garage, 1 x 3-bed detached house and 2 x 4-bed detached houses with integral single garages involving demolition of existing buildings (renewal of planning permission F/YR06/0706/F)",19/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0003,"Davern Workwear Ltd, Elliott Road, MARCH, PE15 8QU",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"297,155.14","540,902.23",0.66,not owned by a public authority,permissioned,full planning permission,08/05/2015,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N5VNDCHE06P00,yes,18,18,,Erection of 18 dwellings comprising 2 x 3-bed; 8 x 4-bed and 8 x 5-bed dwellings with associated parking involving the demolition of the existing building,19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0004,"Land East of Davern Workwear Ltd, Elliott Road, MARCH, PE15 8QU",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"297,140.26","540,945.45",0.48,not owned by a public authority,permissioned,reserved matters approval,19/12/2014,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N1IC4EHE08000,yes,14,14,,"Erection of 14 x 3-storey dwellings comprising; 3 x 5-bed with attached single garages; 4 x 5-bed with associated parking (plot 1 with detached double garage); 3 x 4-bed and 4 x 3-bed all with associated parking, involving part demolition of existing warehouse",19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0005,"18, Westfield Road, Manea, MARCH, PE15 0LN",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"289,233.15","547,415.61",0.17,not owned by a public authority,permissioned,outline planning permission,08/05/2014,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MNAPFYHE06P00,yes,6,6,,Erection of 6 dwellings involving demolition of existing dwelling and replacement fence to No.16 (renewal of planning permission F/YR10/0254/O),19/12/2017,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0006,"100, Mill Road, Whittlesey, Cambridgeshire, PE7 1SW",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"296,860.64","527,658.66",0.49,not owned by a public authority,permissioned,full planning permission,29/04/2016,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NQ1HMYHE08000,yes,12,12,,"Erection of 12 dwellings with garages comprising; 6 x 3-bed single-storey, 4 x 3-bed 2-storey and 2 x 4-bed 2-storey, involving demolition of existing dwelling and outbuilding",19/12/2017,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0007,"4-6, Stermyn Street, WISBECH, PE13 1EQ",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"309,534.08","546,388.86",0.04,not owned by a public authority,permissioned,other,05/09/2016,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=OAIBI1HE08000,yes,9,9,,Change of use from Offices to 9 x flats,19/12/2017,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0008,"AWARE HOUSE LEARNING DEVELOPMENT AIDS LIMITED, DUKE STREET, WISBECH, CAMBRIDGESHIRE, PE13 2AE",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"309,410.77","546,635.32",0.21,not owned by a public authority,permissioned,full planning permission,28/08/2012,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=LQ64KOHE01U00,yes,10,10,,"Erection of 10 houses comprising; 4 x 2-bed semi-detached, 4 x 3-bed semi-detached and 2 x 3/4-bed semi-detached with integral car port, associated parking and landscaping including 1.8 metre high walls and close boarded fencing involving demolition of existing warehouse (renewal of planning permission F/YR08/1070/F)",19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0009,"64, Whitmore Street, 17 and 11 Windmill Street, WHITTLESEY, PE7 1HP",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"297,337.10","526,725.74",0.49,not owned by a public authority,permissioned,full planning permission,21/01/2015,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MSYJ73HE01U00,yes,30,30,,"Erection of 30no dwellings comprising of 15 x 2-storey 2-bed, 10 x 2-storey 3-bed, 1 x 2-storey 4-bed, 3 x 3-storey 3-bed and 1 x 2-bed flat with garage block below and associated parking involving demolition of existing dwelling and buildings",19/12/2017,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0010,"Site Of Former Kingswood Park Residential Home Kingswood Road March Cambridgeshire , PE15 9RT",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"295,887.07","540,955.89",0.94,not owned by a public authority,permissioned,full planning permission,19/12/2013,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MTF4I5HE0B200,yes,22,22,,"Erection of 22 dwellings: 2 x 2-storey block of flats comprising of 10 x 1-bed dwellings, and erection of 1 x single-storey 2-bed, 11 x 2-storey 2-bed dwellings, including sheds, refuse store and cycle store involving demolition of existing care home (retrospective) and works to western footpath of Kingswood Road",19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0011,"The Bell 35, KIRKGATE STREET, WISBECH",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"310,457.67","547,454.47",0.39,not owned by a public authority,permissioned,full planning permission,06/04/2010,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=KS8EA5HE08000,yes,14,14,,"Erection 14 houses comprising; 2 x 4-bed detached, 4 x 3/4-bed semi-detached, 4 x 3-bed semi-detached, 2 x 3-bed semi-detached 2 and a half-storey and 2 x 2/3-bed semi-detached with associated garages, parking, bin store and landscaping, alterations to existing accesses and demolition of existing building",19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0012,"Land South West Of Queen Street Close March Cambridgeshire , PE15 8NB",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"297,674.83","541,733.34",0.16,not owned by a public authority,permissioned,reserved matters approval,15/01/2015,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NE3PAKHE08000,yes,6,6,,"Erection of 6 x 3-storey, 3-bed dwellings with balcony to front and integral garage and 4 x 3-storey, 2-bed dwellings",19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0013,Site Of Former 54 Bridge Street Chatteris Cambridgeshire ,https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"286,916.09","539,045.22",0.11,not owned by a public authority,permissioned,reserved matters approval,10/01/2019,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=PIHLVUHE0D800,yes,5,5,,Details reserved by Condition 9 of planning permission F/YR17/1240/F (Erection of 5 x 3-storey 3-bed dwellings and 1 x 2-bed flat involving demolition of existing buildings and alteration to vehicular access) | Site Of Former 54 Bridge Street Chatteris Cambridgeshire ,19/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0014,"Nene Waterfront and Port, Wisbech",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"310,689.14","545,964.01",40.03,mixed ownership,not permissioned,,,,yes,300,300,,"Local Plan allocation for mixed-use regeneration located east of the River Nene and north of the town centre to provide housing, leisure, retail and employment. Sites around the boathouse will include leisure and retail (in addition to housing), and the area to the north (Crab Marsh) will provide employment uses. Local Plan (Policy LP8) identifies site as a broad location for growth",19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0015,"Bricklayers Arms, 9 Station Road, Whittlesey, Peterborough, Cambridgeshire, PE7 1UA
",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"296,843.53","527,160.22",0.31,not owned by a public authority,permissioned,full planning permission,14/12/2017,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=OMT4W0HE01U00,yes,33,33,,Erection of a block of flats (maximum 3-storey) comprising of 14 x 1-bed and 19 x 2-bed and refuse store involving the demolition of existing building within a Conservation Area,19/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/fenland,BLR0016,"North and south of Eastrea Road, WHITTLESEY, PE7 2AF",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,"296,933.23","528,320.25",5.84,not owned by a public authority,not permissioned,,,,yes,100,100,,"Part of a Local Plan strategic allocation. The allocation as a whole is expected to provide in the region of 500 dwellings. This southern parcel will be subject to detailed masterplanning, and could accommodate a mix of uses including residential.",19/12/2017,19/12/2019,
http://opendatacommunities.org/doc/district-council/fenland,BLR0017,"Former Westhaven Nursery, Peterborough Road, WHITTLESEY, PE7 1PD",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,297482.107,525238.0306,2.66,not owned by a public authority,permissioned,reserved matters approval,26/01/2018,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=P3FA61HE01U00,yes,68,68,,"Reserved Matters application relating to detailed matters of appearance, landscaping, layout and scale pursuant to outline permission F/YR14/0183/O - Erection of 68 x 2-storey dwellings comprising of 4 x 1-bed; 20 x 2-bed; 42 x 3-bed; 2 x 4-bed with Public Open Spaces and Play Area | Westhaven Nursery Peterborough Road Whittlesey Cambridgeshire ",19/12/2017,19/12/2019,
http://opendatacommunities.org/doc/district-council/fenland,BLR0018,"Fenland Park, Lerowe Road, WISBECH, PE13 3QL",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,310405.0814,547258.3215,1.67,not owned by a public authority,permissioned,full planning permission,20/01/2009,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=JFV3LFHEK1000,yes,83,83,,"Erection of 83 houses comprising; 19 x 4-bed houses, 35 x 3-bed houses 18 x 2-bed houses, 6 x 2-bed apartments and 5 x 1-bed apartments including Public Open Space involving demolition of existing football stands and buildings",19/12/2017,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0019,"Former 96, WESTFIELD ROAD, MANEA",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,288958.1869,546964.7948,0.39,not owned by a public authority,permissioned,full planning permission,03/01/2008,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=JR8RIYHE01K00,yes,8,8,,"Erection of 8 x 2 and a half-storey detached houses comprising; 2 x 5/6-bed with attached single garage, 1 x 5/6-bed with detached double garage, 2 x 5/6-bed with integral single garage, 1 x 4/5-bed with detached single garage and 2 x 4/5-bed with attache",19/12/2019,19/12/2019,
http://opendatacommunities.org/doc/district-council/fenland,BLR0020,"CHRISTCHURCH MEMORIAL HALL, CHURCH ROAD, CHRISTCHURCH, CAMBRIDGESHIRE, PE14 9PQ",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,296499.4928,549384.0238,0.18,not owned by a public authority,permissioned,full planning permission,23/09/2013,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=M8QTFYHE08000,yes,5,5,,"Erection of 9 x 2-storey dwellings comprising of: 2 x 2-bed, 3 x 3-bed and 4 x 4-bed dwellings with garages involving demolition of existing hall and buildings",19/12/2019,19/12/2019,
http://opendatacommunities.org/doc/district-council/fenland,BLR0021,"Phase 2 Land North Of Potential House Tydd St Giles Golf And Leisure Centre, KIRKGATE, TYDD ST GILES",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,316868.0618,543223.2939,3.06,not owned by a public authority,permissioned,full planning permission,24/12/2012,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=M9VTYFHE01U00,yes,50,50,,Change of use from golf course to siting of 50no single storey leisure homes (Part Retrospective),19/12/2019,19/12/2019,
http://opendatacommunities.org/doc/district-council/fenland,BLR0022,"Tydd St. Giles Golf & Leisure Centre, Kirkgate, Tydd St. Giles, WISBECH, PE13 5NZ",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,316718.367,543238.9566,1.66,not owned by a public authority,permissioned,full planning permission,22/01/2014,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MSV0AAHE0B200,yes,37,37,,Change of use from golf course to siting of 37no single-storey leisure homes,19/12/2019,19/12/2019,
http://opendatacommunities.org/doc/district-council/fenland,BLR0023,"35, Westfield Road, Manea, MARCH, PE15 0LS",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,288949.9731,547081.8533,0.15,not owned by a public authority,permissioned,outline planning permission,29/12/2015,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N195RIHE06P00,yes,5,5,,Erection of 5 dwellings involving demolition of existing dwelling and outbuildings,19/12/2019,19/12/2019,
http://opendatacommunities.org/doc/district-council/fenland,BLR0024,"Land South East Of Sunflower House, Gull Road, Guyhim, Cambridgeshire, PE13 4ER",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,303677.2024,539233.9076,0.29,not owned by a public authority,permissioned,full planning permission,09/03/2016,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NJVJWYHE06P00,yes,4,4,,Erection of 4 x 2-storey 4-bed dwellings with integral garages involving the demolition of existing polytunnels and outbuildings,19/12/2019,19/12/2019,
