OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/lewes,25SF,"""Land at Elm Court, Blatchington Road, Seaford""",50.775807,0.104989,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.24,not owned by a public authority,permissioned,full planning permission,2016-06-07,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,9,,,"""Erection of nine dwellings with associated infrastructure. Planning application reference LW/18/0404""",2017-12-21,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,27SF,"""Seaford Constitutional Club, Crouch Lane, Seaford""",50.7704805,0.1046368,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.31,not owned by a public authority,pending decision,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ37JDXD027,Yes,19,,,"""Alterations and extension to the Seaford Constitutional Club to provide new club facilities, 8x2 bed flats, 3x1 bed flats & 8x3 bedroom houses together with new carpark layout and landscaping""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,21SF,"""51-53 Blatchington Road, Seaford""",50.774708,0.102103,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.12,not owned by a public authority,permissioned,outline planning permission,2019-01-18,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=K5J521JD00200&activeTab=summary&previousCaseUprn=010033262911&previousCaseNumber=K5J515JD00200&keyVal=JSXWXLJD01L00,Yes,9,,,"""Conversion of existing building on Blatchington Road frontage to three houses and erection of terrace of six houses to the rear, with gardens, parking and turning areas (discontinuation of commercial use). Planning application reference LW/18/0647""",2017-12-21,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,29SF,"""Land rear of Chichester Road, Seaford""",50.775428,0.102589,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.3,not owned by a public authority,permissioned,full planning permission,,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Yes,10,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,20WV,"""Springfield Industrial Estate, Ditchling Road Wivelsfield""",50.966886,-0.093954,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,2.3,not owned by a public authority,not permissioned,full planning permission,2015-05-21,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDDJPQJDFSP00,Yes,31,,,"""Erection of 31 residential dwellings. Planning application reference LW/14/0790""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,62PT,"""Land between 330-338 South Coast Road, Peacehaven""",50.7937102,-0.011129,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.18,not owned by a public authority,pending decision,full planning permission,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MMSNAIJD1W000,,8,,,"""Erection of 8 two-storey 3 bedroomed houses; LW/19/0407""",2017-12-21,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,64PT,"""264 South Coast Road, Peacehaven""",50.792381,-0.004971,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.12,not owned by a public authority,permissioned,full planning permission,2017-05-04,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWGMTFJD1W000,Yes,31,,,"""Demolition of existing buildings and redevelopment to form 31 one and two bedroom sheltered apartments for the elderly including communal facilities, access, car parking and landscaping. Planning application reference LW/16/0841""",2017-12-21,2019-12-19,2019-12-19
http://opendatacommunities.org/id/district-council/lewes,BLR10,"""54 High Street, Newhaven""",50.793873,0.0478986,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.02,not owned by a public authority,permissioned,full planning permission,2015-05-28,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=000JXNJDLI000&activeTab=summary&previousCaseUprn=100060066333&previousCaseNumber=000HUXJDBU000&keyVal=JMX7UUJD00C00,Yes,5,,,"""Demolition of existing building and erection of three x one bedroom flats and two x two bedroom flats. Planning application reference LW/15/0071""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,BLR11,"""Garage Block, Rectory Close, Newhaven""",50.790458,0.043323,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.07,not owned by a public authority,permissioned,full planning permission,2016-02-29,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?keyVal=NZG1HAJDMCN00&activeTab=summary,Yes,5,,,"""Erection of 3 x two bedroom houses and 2 x one bedroom flats with associated car parking. Planning application reference LW/15/0996""",2017-12-21,2019-12-19,2019-12-19
http://opendatacommunities.org/id/district-council/lewes,BLR12,"""328 South Coast Road, Peacehaven""",50.793584,-0.010719,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.05,not owned by a public authority,permissioned,full planning permission,2016-08-09,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ONAJDLI000,Yes,6,,,"""Demolition of existing bungalow and erection of 3-storey block of 6 x two bedroom flats. Planning application reference LW/15/0858.""",2017-12-21,2019-12-19,2019-12-19
http://opendatacommunities.org/id/district-council/lewes,64NH,"""Unit 1 Newhaven Workshop, Beach Road Industrial Estate""",50.793224,0.049765,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,1.1,not owned by a public authority,not permissioned,,,,Yes,39,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,45PT,"""Piddinghoe Avenue Car Park, Peacehaven""",50.789465,0.008683,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.14,owned by a public authority,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001CL6JDLI000,Yes,6,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,55PP,"""Unit 5 North Lane, Newhaven""",50.790727,0.055125,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.13,not owned by a public authority,permissioned,full planning permission,2018-01-24,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=12942516,Yes,13,,,"""Redevelopment of site to provide two blocks containing 13 no. three bedroom residential apartments, together with 19 car parking spaces."" Planning application reference LW/15/0453",2018-12-11,2019-12-19,
http://opendatacommunities.org/id/district-council/lewes,56PP,"""Knights Court, South Road, Hamsey""",50.92566,-0.013911,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,0.33,not owned by a public authority,permissioned,reserved matters approval,2017-04-27,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=13030119,Yes,6,,,"""Redevelopment of the site with six residential units"". Planning application reference LW/18/0850""",2018-12-11,2019-12-19,
