OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/east-riding,55,Land at Wolfreton Upper School ,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/04252/REG4,-0.445073,53.747617,8.6,owned by a public authority,permissioned,outline planning permission,2017-04-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/04252/REG4,yes,207,207,,16/04252/REG4 - approximately 2.5ha is brownfield,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,56,Bridgeview School Hessle,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03791/REM,-0.443386,53.722677,1.35,owned by a public authority,permissioned,reserved matters approval,2018-03-08,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03791/REM,yes,26,26,,17/03791/REM,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,59,South of Lord Roberts Road,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,-0.425809,53.83986,1,owned by a public authority,not permissioned,,,,yes,16,16,,BEV-N,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,65,Land at Burlington Centre/Priory View ,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,-0.2029,54.095766,1.56,owned by a public authority,not permissioned,,,,yes,49,49,,BRID-D,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,66,Land off Grange Road,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,-0.883287,53.700998,3.04,mixed ownership,not permissioned,,,,,91,91,,GOO-F,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,70,"Ted Nicholson (Garages) Ltd, Bridlington Road",https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00139/PLF,-0.426658,54.010479,0.21,not owned by a public authority,permissioned,full planning permission,2016-05-15,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/00139/PLF,yes,9,9,,16/00139/PLF,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,71,4 And 6 Londesborough Road,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01862/PLF,-0.665737,53.865894,2.74,not owned by a public authority,permissioned,full planning permission,2016-01-11,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/01862/PLF,yes,10,10,,15/01862/PLF,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,85,Springfield Avenue,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,-0.193798,54.083988,0.32,owned by a public authority,not permissioned,,,,yes,11,11,,BF85,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,86,Hilderthorpe Road,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,-0.192691,54.082957,0.58,owned by a public authority,not permissioned,,,,yes,11,11,,BF86,2016-07-12,2018-03-31,
http://opendatacommunities.org/id/unitary-authority/east-riding,90,Land South of Holme Church Lane ,http://www2.eastriding.gov.uk/environment/planning-and-building-control/east-riding-local-plan/housing-monitoring/#latest-shlaa-online,-0.409113,53.840743,0.52,not owned by a public authority,not permissioned,,,,yes,16,16,,BEV-F,2016-07-12,2018-03-31,
