OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR01,,Land at Runton Road Cromer,https://www.north-norfolk.gov.uk/media/3778/blr01.jpg,WGS84,1.286255,52.932845,1.03,not owned by a public authority,yes,permissioned,outline planning permission,2006-06-26,,,25,,,,25,29,,,The calculation used for net minimum (and net dwelling range from) is 60% of the site area multiplied by minimum indicative density (North Norfolk Core Strategy Policy HO7) (in this case 40 dwellings per hectare). The calculation used for net dwelling range to is 70% of the site area multiplied by the same minimum indicative density.,2017-12-18,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR02,,Coach Depot Claypit Lane Fakenham,https://www.north-norfolk.gov.uk/media/3778/blr02.jpg,WGS84,0.850795,52.836309,0.2,not owned by a public authority,yes,permissioned,full planning permission,2018-09-04,https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NNORF_DCAPR_93741,,7,"Erection of 3, two storey, two bedroom dwellings; 2, two storey, three bedroom dwellings and 2, three storey, 4 bedroom dwellings",,,,,,,Planning permission reference 18/0908 renewed planning permission reference 13/0995,2017-12-18,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR03,,Maces Yard 34 - 36 Cromer Road North Walsham,https://www.north-norfolk.gov.uk/media/3778/blr03.jpg,WGS84,1.380457,52.824163,0.82,not owned by a public authority,yes,not permissioned,,,https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NNORF_DCAPR_78356¦https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NNORF_DCAPR_78329¦https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_NNORF_DCAPR_79602,,20,,,,20,23,,,The site lies within a designated residential area (North Norfolk Core Strategy Proposals Map) where the principle of residential development is accepted. The calculation used for net minimum (and net dwelling range from) is 60% of the site area multiplied by minimum indicative density (Policy HO7) (in this case 40 dwellings per hectare). The calculation used for net dwelling range to is 70% of the site area multiplied by the same minimum indicative density.,2017-12-18,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR09,,Units at Old Coal Yard Maryland Wells-next-the-Sea,https://www.north-norfolk.gov.uk/media/3778/blr09.jpg,WGS84,0.856495,52.953702,0.28,not owned by a public authority,yes,permissioned,full planning permission,2018-08-16,https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NNORF_DCAPR_92308,,9,"Erection of 9 dwellings comprising of a detached two storey dwelling, 3no. two storey terrace dwellings and 5no. three storey terrace dwelling.",,,,,,,"Planning permission reference 17/1939. Demolition of existing grain store building and erection of dwellings, with associated car parking, access and erection of external steps to facilitate means of escape.",2018-10-08,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR10,,Formerly The Shannocks 1 High Street Sheringham,https://www.north-norfolk.gov.uk/media/3778/blr10.jpg,WGS84,1.212479,52.945172,0.09,not owned by a public authority,yes,permissioned,full planning permission,2018-02-06,https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NNORF_DCAPR_90433,,10,"Erection of mixed use building comprising 10 dwellings, with associated parking and highways works",4 commercial units (Use Class A1/A2/A3/ A4/A5) each with a floor area in the region of 80 sq. metres,,,,,,Demolition of existing hotel and erection of mixed use building comprising  dwellings and 4 commercial units (Use Class A1/A2/A3/ A4/A5) with associated parking and highways works. Planning permission reference 17/0468,2018-10-10,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR12,,Land adjacent to East Coast Motors Beach Road Cromer,https://www.north-norfolk.gov.uk/media/3778/blr12.jpg,WGS84,1.294380,52.932840,0.23,not owned by a public authority,yes,not permissioned,,,,,40,,,,40,40,,,Allocation Site,2019-12-09,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR13,,Land at Jubilee Lane Cromer High Station Cromer,https://www.north-norfolk.gov.uk/media/3778/blr13.jpg,WGS84,1.308717,52.917478,1.72,not owned by a public authority,yes,not permissioned,,,,,31,,,,31,31,,,Allocation Site,2019-12-09,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR14,,Land South of Louden Road Cromer,https://www.north-norfolk.gov.uk/media/3778/blr14.jpg,WGS84,1.299163,52.930354,0.33,not owned by a public authority,yes,not permissioned,,,,,20,,,,20,20,,,Allocation Site,2019-12-09,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR15,,70 Holt Road Fakenham,https://www.north-norfolk.gov.uk/media/3778/blr15.jpg,WGS84,0.856754,52.832453,0.28,not owned by a public authority,yes,permissioned,full planning permission,2012-02-02,https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NNORF_DCAPR_76155,,6,Erection of 6 two storey dwellings,,,,,,,The site is located within the residential policy area,2019-12-09,2019-12-09,
http://opendatacommunities.org/id/district-council/north-norfolk,North Norfolk District Council,BLR16,,Land to the north of Tilia Business Park Tunstead Road Hoveton,https://www.north-norfolk.gov.uk/media/3778/blr16.jpg,WGS84,1.411064,52.719091,1.68,not owned by a public authority,yes,permissioned,outline planning permission,2018-10-17,https://idoxpa.north-norfolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_NNORF_DCAPR_85257,,28,Erection of 28 residential dwellings,,,,,,,The site is situated within an area designated for employment,2019-12-09,2019-12-09,
