SiteReference,SiteName,SiteAddress,UPRN,CoordinateReferenceSystem,GeoX,GeoY,Hectares,PlanningStatus,PlanningHistory,Constraints,OwnershipStatus,Owners,HousingEstimate,MinHomes,Events,Notes,OrganisationURI,OrganisationLabel,FirstAddedDate,LastUpdatedDate
SHLAA Site 345,130 Fore Street,"130 Fore Street, Exeter",,,,,0.03,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=64936,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=64936,Not in public ownership,,Full consent to convert upper floors of the building to 14 dwellings,3,,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 350,Corner of Summerland Street and Red Lion Lane,"Corner of Summerland Street and Red Lion Lane, Exeter",,,,,0.05,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=65340,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=65340,Not in public ownership,,Full consent for mixed use development including 28 dwellings,5,,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 378,30-32 Longbrook Street,"30-32 Longbrook Street, Exeter",,,,,0.02,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=71323,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=71323,Not in public ownership,,Full consent for mixed use development including 25 units of purpose built student accommodation,2,,See planning history and constraints columns for further information.  Consent relates to purpose built student accommodation only.  ,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA site 381,Radmore and Tucker,"Radmore and Tucker, Frog Street",,,,,0.17,Pending decision,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72227,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72227,Not in public ownership,,Full consent for 98 units of purpose built student accommodation,17,,See planning history and constraints column.  Consent relates to purpose built student accommodation,,Exeter,3026-07-14 00:00:00,2016-07-14
SHLAA Site 1906,68 Bovemoors Lane,"68 Bovemoors Lane, Exeter",,,,,0.12,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=62621,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=62621,Not in public ownership,,Full consent for 7 (net) dwellings,4 (net),,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 2084,78-84 and garage court to rear of Bovemoors Lane,"78-84 and garage court to rear of Bovemoors Lane, Exeter",,,,,0.24,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=67686,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=67686,Public ownership,,Full consent for 5 (net) dwellings,5 (net),,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 2088,Land to south east of 106 Hamlin Gardens,"Land to south east of 106 Hamlin Gardens, Exeter",,,,,0.18,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=67601,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=67601,Public ownership,,Full consent for 5 dwellings,5,,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 2089,Land rear of 94-106 Thornpark Rise,"Land rear of 94-106 Thornpark Rise, Exeter",,,,,0.32,Pending decision,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=68066,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=68066,Public ownership,,Full consent for 9 dwellings,9,,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 2159,38 Commercial Road,"38 Commercial Road, Exeter",,,,,0.11,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=70669,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=70669,Not in public ownership,,Full consent for mixed use development including 7 dwellings,7,,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 2178,9a North Street,"9a North Street, Exeter",,,,,0.03,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=71387,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=71387,Not in public ownership,,Full consent for 7 (net) dwellings,2 (net),,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 2187,Renslade House,"Renslade House, Bonhay Road",,,,,0.58,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72597,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72597,Not in public ownership,,Full consent for 364 units of purpose built student accommodation,59,,See planning history and constraints column.  Consent relates to purpose built student accommodation,,Exeter,2016-07-14 00:00:00,2016-07-14
SHLAA Site 2188,"23-26 Mary Arches Street & Quintana Gate, Bartholemew Street West",,,,,,0.17,Pending decision,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=69355; http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=68193; http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72780; ,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=69355; http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=68193; http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72780; ,Not in public ownership,,Full consent for 127 units of purpose built student accommodation,17,,See planning history and constraints columns.  Consent relates to purpose built student accommodation.,,Exeter,2016-08-01 00:00:00,2016-08-01
SHLAA Site 2194,18 Cathedral Yard,"18 Cathedral Yard, Exeter",,,,,0.02,Permissioned,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72215,http://pub.exeter.gov.uk/scripts/acolnet/planning/AcolnetCGI.gov?ACTION=UNWRAP&RIPNAME=Root.PgeResultDetail&TheSystemkey=72215,Not in public ownership,,Full consent for 5 dwellings,2,,See planning history and constraints columns for further information,,Exeter,2016-07-14 00:00:00,2016-07-14
