OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReference,AlternativeReference,AlternativeReference
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0001,,"""Land at Foksville Road, Canvey Island.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3926.pdf&ver=6630,WGS84,0.596186,51.522268,0.14,not owned by a public authority,yes,permissioned,outline planning permission,08/03/2017,https://publicaccess.castlepoint.gov.uk/online-applications/,,10,"""Demolition of existing structures and construction of three storey building comprising of 10 No. apartments with associated works.""",,,10,10,,https://publicaccess.castlepoint.gov.uk/online-applications/,Outline permission granted. Works have not commenced. Permission expires 08/03/2020. Delivery lead in time 1.5 years.  08/11/17. 12/09/18.,08/11/2017,12/09/2018,CTC/015,16/0987/OUT,S0118
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0002,,"""Vallee Casa, 62 Hill Road, Benfleet.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3928.pdf&ver=6632,WGS84,0.570424,51.559444,0.28,not owned by a public authority,,not permissioned,,,,,5,,,,5,5,,,No current planning permission. Delivery lead in time 2.5 years.  08/11/17. 12/09/18.,08/11/2017,12/09/2018,FB02 - Site 14,S0165,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0003,,"""166-168 Kiln Road, Benfleet, SS7 1SU.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3929.pdf&ver=6633,WGS84,0.588983,51.560489,0.08,not owned by a public authority,yes,not permissioned,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,2,,,,2,2,,,Previous permission for 9 flats expired 2012. Recent application refused. One existing dwelling converted. Delivery lead in time 2 years without planning permission. 14/11/17. 12/09/18.,08/11/2017,12/09/2018,17/0948/FUL,CPT/486/09/OUT,S0247
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0004,,"""1a Clarence Road, South Benfleet, Benfleet SS7 1DE.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3927.pdf&ver=6631,WGS84,0.56414,51.555214,0.11,not owned by a public authority,yes,permissioned,full planning permission,11/08/2017,https://publicaccess.castlepoint.gov.uk/online-applications/,,1,"""Demolition of existing bungalow and construction of two detached dormer bungalows.""",,,1,1,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission granted. Works have not commenced. Existing dwelling to be demolished. Permission expires 10/08/2020. Delivery lead in time 1 year.  09/11/17. 12/09/18.,09/11/2017,12/09/2018,17/00524/FUL,S0019,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0005,,"""Job Centre, 140 Furtherwick Road, Canvey Island.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3931.pdf&ver=6635,WGS84,0.592569,51.519425,0.13,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,No current planning permission. Delivery lead in time 2 years.  09/11/17. 12.09.18.,09/11/2017,12/09/2018,CTC/012,S0120,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0006,,"""84 Vicarage Hill, Benfleet SS7 1PE.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3932.pdf&ver=6636,WGS84,0.569148,51.549178,0.28,not owned by a public authority,yes,permissioned,full planning permission,24/04/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,2,"""Demolition of existing dwelling and construction of 3 No. four bed houses with associated parking and access.""",,,2,2,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission granted. Works have not commenced. Existing dwelling to be demolished. Permission expires 28/04/2019. Delivery lead in time 1 year.  09/11/17. 12/09/18.,09/11/2017,12/09/2018,15/0501/FUL,S0011,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0007,,"""240-244 High Road, Benfleet.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3930.pdf&ver=6634,WGS84,0.561664,51.553173,0.19,not owned by a public authority,yes,permissioned,full planning permission,08/12/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,19,"""Construction of 18No self contained flats with 1No retail shop and 1No detached house with attached parking.""","""Construction of 18No self contained flats with 1No retail shop and 1No detached house with attached parking.""",,19,19,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Works have commenced and 16 flats have been completed so far. 09/11/17. 12/09/18.,09/11/2017,12/09/2018,2007/18,15/0710/FUL,S0012
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0008,,"""Site adjacent to Pauls Court, Meppel Avenue, Canvey Island.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3933.pdf&ver=6637,WGS84,0.585962,51.531522,0.07,not owned by a public authority,yes,permissioned,full planning permission,11/06/2015,https://publicaccess.castlepoint.gov.uk/online-applications/,,5,"""Demolition of detached house and construction of three storey block of 6 self contained flats with parking.""",,,5,5,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Works have commenced. Existing dwelling demolished. 09/11/17. 12/09/18.,09/11/2017,12/09/2018,15/0250/FUL,S0048,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0010,,"""20 Haresland Close, Hadleigh, SS7 2UT.""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3936.pdf&ver=6640,WGS84,0.618843,51.565675,0.56,not owned by a public authority,,not permissioned,,,,,3,,,,3,3,,,No current planning permission. Lead in time 1.5 years. Existing dwelling would need to be demolished. NPPF applied in terms of suitable capacity for the site. 14/11/17. 12/09/18.,09/11/2017,12/09/2018,2012/1,S0139,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0011,,"""109 Long Road, Canvey Island""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3934.pdf&ver=6638,WGS84,0.585778,51.520163,0.2,not owned by a public authority,yes,permissioned,full planning permission,07/12/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,7,"""Demolition of existing house and erection of three storey block of eight self-contained flats with associated parking and landscaping, clossure of existing vehicular accesses and formation fo new vehicular access to Long Road.""",,,7,7,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Works have not commenced. Permission expires 07/12/2018. Delivery lead in time 1 year. 14/11/17. 12/09/18.,14/11/2017,12/09/2018,15/0595/FUL,S0046,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0012,,"""The Island Site, High Street / London Road, Hadleigh""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3938.pdf&ver=6642,WGS84,0.607009,51.55394,0.59,owned by a public authority,,not permissioned,,,,,54,,,,54,54,,,No current planning permission. Lead in time 2 years. 14/11/17. 12/09/18.,14/11/2017,12/09/2018,2013/8,S0050,
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0013,,"""88 High Street, Hadleigh""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3935.pdf&ver=6639,WGS84,0.953219,52.044769,0.02,not owned by a public authority,yes,permissioned,full planning permission,15/12/2016,https://publicaccess.castlepoint.gov.uk/online-applications/,,4,"""Conversion of ground floor, two storey side extension, loft conversion including rear dormer and alterations to fenestration to provide 5 No. flats.""",,,4,4,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission. Works have commenced. Flat to be demolished as part of works. 14/11/17. 12/09/18.,14/11/2017,12/09/2018,16/0729/FUL,16/0527/CPA,S0063
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0014,,"""Admiral Jellico Public House, 283 High Street, Canvey Island""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3937.pdf&ver=6641,WGS84,0.610645,51.518853,0.33,not owned by a public authority,yes,pending decision,,,https://publicaccess.castlepoint.gov.uk/online-applications/,,40,"""Demolition of existing building, replacement with 40 Unit Residential Flats with parking and access and facilities.""",,,40,40,,https://publicaccess.castlepoint.gov.uk/online-applications/,Full planning permission pending decision. No. of dwellings proposed increased from 2017 BLR from 15. Lead in time 2 years without permission. 14/11/17. 12/09/18.,14/11/2017,12/09/2018,2007/152,18/0391/FUL,S0112
http://opendatacommunities.org/id/district-council/castle-point,Castle Point Borough Council,CP0015,,"""Outpatients centre, Long Road, Canvey Island""",https://www.castlepoint.gov.uk/download.cfm?doc=docm93jijm4n3939.pdf&ver=6643,WGS84,0.581945,51.520382,0.3,owned by a public authority,,not permissioned,,,,,10,,,,10,10,,,No current planning permission. Delivery lead in time 2.5 years.  14/11/17. 12/09/18.,14/11/2017,12/09/2018,2007/164,S0108,
