OBJECTID,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,GlobalID,AlternativeReferences,Shape_Length,Shape_Area
12,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000008,,"Former Pegasus/Hamptons Site, Coldecott Road, Oulton Broad, Suffolk",https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M96Z8STBT0000,ETRS89,1.70860656,52.4770342,1.692730392,not owned by a public authority,Yes,permissioned,full planning permission,14/07/2014 00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=M96Z8STBT0000&activeTab=summary,,76,"Re-development of former Pegasus Boatyard to provide 76 dwellings, new boatyard buildings, office, moorings and new access road. Policy Number OUL2 and Planning Application Number BA/2012/0271/FUL.","Office, moorings, viewing platform.",,76,76,Yes,,Was allocated in 2014 Site Specific Local Plan and allocated in emerging Local Plan policy OUL2. Details of the application (BA/2012/0271/FUL),23/11/2017 00:00,20/12/2018 00:00,{49417F14-6BE7-4E55-93A4-B5CDC35910A3},Pegasus,0.006749259,2.24E-06
13,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000001,,Derbys Quay Bridge Wharf Gillingham Dam Gillingham Beccles Norfolk NR34 0PA,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MOJ2UJTB00200,ETRS89,1.56087065,52.46446404,0.030226977,not owned by a public authority,Yes,permissioned,full planning permission,08/08/2014 00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MOJ2UJTB00200,,2,Application to extend time limit of previous PP - BA/2010/0124/FUL for the conversion of offices and stores into two first floor holiday studio flats,,,2,2,,,Planning application number: BA/2013/0171/EXT8W extends time limit for BA/2010/0124/FUL.,23/11/2017 00:00,20/12/2018 00:00,{8674122E-623E-417B-85D1-FA3D69496C90},BA/2013/0171/EXT8W,0.00109843,3.99E-08
14,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000010,,"Hedera House, The Street, Thurne, Norfolk",https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9TEYTB01W00,ETRS89,1.55486941,52.68643922,0.773047199,not owned by a public authority,Yes,permissioned,outline planning permission,12/09/2017 00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=ON9TEYTB01W00&activeTab=summary,,16,Outline application to redevelop Hedera House to form 6 residential dwellings and 10 new holiday cottages. Policy number THU1. Planning Application number: BA/2017/0103/OUT,,,16,16,,,Allocated in Sites Specifics Local Plan 2014 and draft allocated in emerging new Local Plan Policy THU1. Details of the planning application: BA/2017/0103/OUT ,23/11/2017 00:00,20/12/2018 00:00,{4DE79176-3D16-4913-9142-228D6C12981C},Thurne,0.00486236,1.03E-06
15,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000007,,"Building next to Kings Head Hotel, Station Road, Hoveton.",https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.40903057,52.71272392,0.028126291,not owned by a public authority,Yes,not permissioned,,,,,0,Allocated in emerging Local Plan for holiday accommodation. Policy HOV3.,,,0,,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017 00:00,20/12/2018 00:00,{CDAF4EE7-675B-4F90-B97C-E368C6FDDB9A},Hoveton,0.001293494,3.74E-08
18,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000003,,The Valley House Low Road Mettingham Suffolk NR35 1TS,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZUKQATBFTZ00,ETRS89,1.4723358,52.46542258,2.564210696,not owned by a public authority,Yes,permissioned,full planning permission,30/06/2016 00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZUKQATBFTZ00,,4,Conversion of existing barns and outbuildings to form new residential units and erection of a new stable block.,,,4,4,,,BA/2014/0239/FUL withdrawn. BA/2003/6138/HISTAP  Approved subject to conditions. ,23/11/2017 00:00,20/12/2018 00:00,{9DE73567-A3E0-4A82-B63B-D7D3CE973826},BA/2015/0426/FUL,0.010964416,3.39E-06
20,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000006,,"Former Waterside Rooms, Station Road, Hoveton.",https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.40878048,52.71285389,0.100347016,not owned by a public authority,Yes,not permissioned,,,,,0,Allocated in emerging Local Plan for A3 and A4 uses and an element of residential may be acceptable. Policy HOV3.,Allocated in emerging Local Plan for A3 and A4 uses and an element of residential may be acceptable. Policy HOV3.,,0,,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017 00:00,20/12/2018 00:00,{4CD0D5E3-767B-447B-8B74-ED0CFED35111},Hoveton,0.001935388,1.33E-07
21,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000005,,"Old Broads Hotel Site, Station Road, Hoveton",https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.4084046,52.7136625,0.113170914,not owned by a public authority,Yes,not permissioned,,,,,0,Allocated in emerging Local Plan for A3 and A4 land uses and an element of residential may be acceptable. Policy HOV3.,Allocated in emerging Local Plan for A3 and A4 land uses and an element of residential may be acceptable. Policy HOV3.,,0,,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017 00:00,20/12/2018 00:00,{46AD818C-96A5-4AF5-9AB8-4ACC8A26A604},Hoveton,0.001722236,1.50E-07
22,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000011,,Utilities Site,http://www.broads-authority.gov.uk/__data/assets/pdf_file/0008/995570/12_NORWICH-new.pdf,ETRS89,1.32357245,52.62297243,4.487685626,not owned by a public authority,,not permissioned,,,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR28G3TB01U00,,120,"Withdrawn application was described as: Full planning permission for demolition works and the development, on the Utilities site, of a biomass fuelled energy centre (49.9 MWe installed capacity), associated fuel storage, offloading facilities and railway works, district heating network centre and associated utilities linkages to the Carrow Works; 435 units of student accommodation; commercial units; boat moorings, landscaping and public realm provision; controlled access to Hardy Road and new vehicular access via the Deal Ground with new vehicular bridges over the River Wensum and River Yare; together with associated infrastructure works and all enabling and preparatory works. Outline planning permission (with all matters reserved) for demolition works and provision of 120 residential dwellings; 282 units of student accommodation; research centre; data centre; education centre; offices and training buildings; a new pedestrian and cycle access to Cremorne Lane; boat moorings, landscaping and public realm provision; together with associated infrastructure works and all enabling and preparatory works.","Not on this site, but nearby other land uses will be developed as part of the wider scheme.",,120,120,Yes,,Allocated in Sites Specific Local Plan 2014 and emerging Local Plan Policy Number NOR1. Previous application withdrawn (BA/2015/0225/FUL). Potential for hazardarous substances to be present on the site.,23/11/2017 00:00,20/12/2018 00:00,{BFC132C6-AEF1-4C12-9704-55CCAF08A8C9},Utilities Site,0.017767094,5.95E-06
24,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000012,,Old School House St Olaves Road Herringfleet NR32 5QT,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0VWNNTBGTD00,ETRS89,1.64130892,52.52377443,0.04851721,not owned by a public authority,Yes,permissioned,full planning permission,17/05/2018 00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0VWNNTBGTD00,,1,Extension and change of use to dwelling.,,,1,1,,,Planning application number: BA/2017/0484/FUL ,20/12/2018 00:00,20/12/2018 00:00,{737C48E8-E69A-487A-8D94-7B3D6C028908},BA/2017/0484/FUL ,0.001115617,6.42E-08
26,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000013,,The Old Stables Hall Farm Hall Lane Postwick NR13 5HQ,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OR7OJATBGJA00,ETRS89,1.388568312,52.6147909,1.317553505,not owned by a public authority,Yes,permissioned,full planning permission,24/08/2017 00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OR7OJATBGJA00,,1,"The conversion of a redundant agricultural building to a single dwelling, including associated building and landscaping works and the change of use of an existing dwelling to provide a dedicated tourism use.",,,1,1,,,Planning application number: BA/2017/0191/FUL,20/12/2018 00:00,20/12/2018 00:00,{C5981E0F-A504-40A3-968E-80F472950F88},BA/2017/0191/FUL,0.025156809,1.75E-06
