OrganisationURI,OrganisationLabel,"SiteReference
",PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-01,,"?Thomas St phases 3 & 4, Thomas St, Woolwich New Rd & Wellington St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,"543575, 543397","178738, 178601",1.82,Unknown ownership,Yes,Permissioned,Outline planning permission,2007-07-27,,,701,"?06/1751/O. Comprehensive mixed use development comprising up to 960 residential dwellings, civic offices, retail, food/drink use, office/community use, including police neighbourhood office, associated access, landscaping, and highway works.""","?Retail, food/drink use, office/community use, including Police Neighbourhood Office.""",,,,,,"""Of the 960 total dwellings permitted, 259 dwellings completed 14/03/2014 in Phase 1 (10/2440/R).""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-02,,"""64 Plumstead High Street, Plumstead""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,545095,178671,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,2007-10-29,,,7,?17/1285/F. Conversion and extension of the former Edwardian industrial building into a mixed-use building with commercial ground floor and 7 residential dwellings over upper floors (7x2-bed).?,"""Commercial ground floor.""",,,,,,"""Started. Previous permission 07/2002/F included in 2017 Brownfield Register.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-03,,"?Former Greenwich District Hospital site, Vanbrugh Hill Greenwich""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539598,178181,2.20,Unknown ownership,Yes,Permissioned,Full planning permission,2009-03-31,,,645,"?08/0688/F. Redevelopment for mixed use purposes comprising 645 residential units, a community building (D1/D2) retail (A1/A2/A3), a flexible retail/microbrewery (A1/A2/A3/SG) and creative industry uses (B1) creation of new open spaces alteration and addition to existing highways arrangements and new pedestrain routes together with assoicated works including landscaping and the provision of parking serciving and plant areas.?","?Community building (D1/D2), retail (A1/A2/A3), a flexible retail/microbrewery (A1/A2/A3/SG) and creative industry uses (B1).?",,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-05,,"?Kidbrooke Village Phase 2, Kidbrooke Park Rd Kidbrooke?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540685,175438,5.04,Unknown ownership,Yes,Permissioned,Reserved matters approval,2010-03-24,,,595,"?09/2269/R. Submission of Reserved Matters (Access, Appearance, Landscaping, Layout and Scale) pursuant to Condition 1 of Outline planning permission dated 24th June 2009 (Ref. 08/2782/O) for the erection of 595 residential units, including 170 extra care units, and 90.9 m� of community floorspace (Use Class D1),  associated car parking, cycle parking and servicing,  a children?s' play area, and creation of public open space to be provided as part of the approved Kidbrooke Masterplan.""","?170 extra care units, and 90.9 m� of community floorspace (Use Class D1)?",,,,,,"?Started""",2017-12-22,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-06,,?92-94 Shooters Hill Rd Charlton?,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540786,177026,0.07,Unknown ownership,Yes,Permissioned,Full planning permission,2010-08-02,,,3,?10/0032/F. Demolition of existing building and construction of a new four storey block of 9 flats comprising ( 6 x 2- & 3 x 3-brm) flats.?,,,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-07,,"?Former Millers PH & newsagent, 83-87 Greenwich High Rd Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537735,177131,0.03,Unknown ownership,Yes,Not Permissioned,,,,,3,"?Demolition of existing building with retail or commercial at ground floor level (A1/2/3/4 or B1) and esidential above.""","?Retail or commercial at ground floor level (A1/2/3/4 or B1).""",,,,,,"""Previous permission 11/0848/F included in 2017 Brownfield Register lapsed."" ",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-08,,"""Enderby Wharf (former Alcatel Site), Christchurch Way""",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539402,178712,3.60,Unknown ownership,Yes,Permissioned,Full planning permission,2014-11-10,,,770,"?13/3025/MA. Redevelopment of the site comprising the provision of a new jetty in the River Thames to provide docking for cruise liners and the Thames Clipper, a Cruise Liner Terminal, a 251 room hotel with conference, restaurant ancillary facilities (Use Class C1); skills academy (Use Class D1); 770 residential units (Use Class C3); commercial (Use Class B1); a cr�che (Use Class D1) a gymnasium (Use Class D2); conversion and extension of Enderby House to provide tourist, community and retail facilities (Use Classes A1, A3, A4, B1, D1 and D2); the provision of vehicular access with associated servicing facilities; car, motorcycle and bicycle parking, provision of landscaping and public realm (including improvements to the Thames Walk); improvements to the river wall and other works within the river, including dredging, the provision of tidal gardens, piling, the provision of a pontoon and brow, and associated works.""","""New jetty in the River Thames to provide docking for cruise liners and the Thames Clipper, a Cruise Liner Terminal, a 251 room hotel with conference, restaurant ancillary facilities (Use Class C1); skills academy (Use Class D1); commercial (Use Class B1); a cr�che (Use Class D1) a gymnasium (Use Class D2); conversion and extension of Enderby House to provide tourist, community and retail facilities (Use Classes A1, A3, A4, B1, D1 and D2).?",,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-09,,"?Hilton's Wharf, 30-52 Norman Rd Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537790,177505,0.13,Unknown ownership,Yes,Permissioned,Full planning permission,2012-03-27,,,85,"?10/2354/F. Demolition of existing buildings and construction of 85 residential units, 1250 m� of commercial (B1) floorspace and 2 live/work units in a part 7-/part 8-/part 9-storey building, underground car parking and associated access, landscaping and open space.?","?1,250 m� of commercial (B1) floorspace and 2 live/work units.?",,,,,,"?Started""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-10,,"?Mast Quay Phase 2, Woolwich Church St Woolwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543051,179240,0.76,Unknown ownership,Yes,Permissioned,Full planning permission,2012-03-29,,,218,?10/0161/F. Mixed use development comprising of 218 residential units and 738 m� commercial floor space with associated car parking and landscaping and podium deck. (phase 2). (This site is adjacent to two Listed Buildings).?,?738 m� commercial floor space?,,,,,,"?Not started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-11,,"?Greenwich Millennium Village, Peartree Way & West Parkside Greenwich?",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540080,178974,8.01,Unknown ownership,Yes,Permissioned,Outline planning permission,2012-03-30,,,1746,"?12/0022/O. A mixed use development comprising: up to a total of 1,746 Class C3 residential units; up to a total of 1,190 m� (GEA) Flexible Class A1 (shops) and/or A2 (financial and professional services) and/or A3 (restaurants and cafes) and/or A4 (drinking establishments); up to a total of 4,462 m� (GEA) business space for B1(a) (offices) and/or B1(b) (research and development) and/or B1(c) (light industry); up to 500 m� (GEA) Class D1 for a children's nursery; up to a total of 750 m� (GEA) Class D2 for community space and a management facility; up to a total of 992 m� (GEA) for two energy centres; associated open space, hard and soft landscaping, car parking and servicing, highways and transport works and ancillary works; with all matters reserved for future approval except for access (Outline Application). In addition to the matters set out above, full details (access, appearance, landscaping, layout, scale) in relation to the first sub-phase, being Parcel 1, located to the north and east of the site for 459 residential units,; a 365 m� energy centre, associated open space, hard and soft landscaping, car parking and servicing, highways and transport works and ancillary works.?","?Up to 1,190 m� (GEA) Flexible Class A1 (shops) and/or A2 (financial and professional services) and/or A3 (restaurants and cafes) and/or A4 (drinking establishments); up to a total of 4,462 m� (GEA) business space for B1(a) (offices) and/or B1(b) (research and development) and/or B1(c) (light industry); up to 500 m� (GEA) Class D1 for a children's nursery; up to a total of 750 m� (GEA) Class D2 for community space and a management facility; up to a total of 992 m� (GEA) for two energy centres.?",,,,,,"?Started.""",2017-12-22,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
