,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SIteInformation,Notes,Firstaddeddate,Last updated date,SHLAA&Local Allocation ref,Notes
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/011,,Former Hewden Hire site Two Waters Road Hemel Hempstead,https://goo.gl/,ETRS89,51.74095016,-0.473794603,0.30,not owned by a public authority,yes,permissioned,full planning permission,2016-08-25,http://www.dacorum.gov.uk/brownfield-land-register,,36,Housing led development,N/A,,,,,,,2017-12-31,2018-08-16,H/5,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/012,,Leverstock Green Tennis Club Grasmere Close Hemel Hempstead,https://goo.gl/,ETRS89,51.74529217,-0.438129878,1.16,not owned by a public authority,yes,not permissioned,,,,,25,Housing led development,,,,,,,,2017-12-31,2018-08-16,H/6,4/00518/15/PRE
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/013,,233 London Road Hemel Hempstead,https://goo.gl/,ETRS89,51.73888652,-0.47206825,0.11,not owned by a public authority,yes,not permissioned,,,http://www.dacorum.gov.uk/brownfield-land-register,,10,Housing led development,,,,,,,,2017-12-31,2018-12-31,H/8,Application has expired
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/014,,Apsley Paper Trail land London Road,https://goo.gl/,ETRS89,51.7338959,-0.462418196,0.31,owned by a public authority,yes,not permissioned,,,,,31,Housing led development,,,,,,,,2017-12-31,2018-08-16,H/9,4/00675/14/PRE
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,DBC/015,,The Point (former petrol filling station) Two Waters Road Hemel Hempstead,https://goo.gl/,ETRS89,51.74555097,-0.472857213,0.15,owned by a public authority,yes,not permissioned,,,,,25,Housing led development,,,,,,,,2017-12-31,2018-08-16,CH32/H/10,4/02158/13/PRE
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/016,,Former Martindale School Boxted Road Hemel Hempstead,https://goo.gl/,ETRS89,51.76075142,-0.498281545,1.41,owned by a public authority,yes,permissioned,full planning permission,2015-02-27,http://www.dacorum.gov.uk/brownfield-land-register,,66,Housing led development,,,,,,,,2017-12-31,2018-08-16,H/12,Full application resolved to be granted subject to s106
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/017,,Frogmore Road Hemel Hempstead,https://goo.gl/,ETRS89,51.73814976,-0.466589606,2.93,not owned by a public authority,yes,not permissioned,,,http://www.dacorum.gov.uk/brownfield-land-register,,100,Housing led development,,,,,,,,2017-12-31,2018-08-16,H/13, 4/03226/16/PRE
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/018,,Corner of High Street / Swing Gate Lane Berkhamsted,https://goo.gl/,ETRS89,51.7574193,-0.556028506,0.10,owned by a public authority,yes,permissioned,full planning permission,2015-06-29,http://www.dacorum.gov.uk/brownfield-land-register,,11,Housing led development,,,,,,,,2017-12-31,2018-08-16,BE1/H/14,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/019,,Western Road Tring,https://goo.gl/,ETRS89,51.79205221,-0.668470337,0.47,not owned by a public authority,yes,not permissioned,,,,,25,Housing led development,,,,,,,,2017-12-31,2018-08-16,H/16,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/020,,Depot land Langdon Street Tring,https://goo.gl/,ETRS89,51.79192804,-0.66386312,0.22,not owned by a public authority,yes,permissioned,full planning permission,2016-05-18,http://www.dacorum.gov.uk/brownfield-land-register,,10,Housing led development,,,,,,,,2017-12-31,2018-08-16,H/17,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/021,,Watling Street (rear of Hicks Road/High Street) Markyate,https://goo.gl/,ETRS89,51.83658719,-0.458571996,0.27,not owned by a public authority,yes,permissioned,full planning permission,2015-11-02,http://www.dacorum.gov.uk/brownfield-land-register,,10,Housing led development,,,,,,,Retrospective application for retention of mobile home granted approval,2017-12-31,2018-08-16,WA40 & H/20,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/022,,Garden Scene Nursery Chapel Croft Chipperfield,https://goo.gl/,ETRS89,51.70739067,-0.491148546,0.81,not owned by a public authority,yes,not permissioned,,,http://www.dacorum.gov.uk/brownfield-land-register,,12,Housing led development,,,,,,,,2017-12-31,2018-08-16,BOV56 & H/21,4/00780/14/PRE 4/02659/06/PRE 4/00369/93/4 refer to simmonds nursery
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/023,,Bourne End Mills Bourne End Lane,https://goo.gl/,ETRS89,51.74295745,-0.526102047,3.98,not owned by a public authority,yes,permissioned,reserved matters approval,2017-07-17,http://www.dacorum.gov.uk/brownfield-land-register,,45,Housing led development,,,,,,,,2017-12-31,2018-08-16,BOV65,Hybrid application granted outline / part full permission on 9/03/16
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/024,,St Mary's Convent Green End Road Boxmoor,https://goo.gl/,ETRS89,51.74706522,-0.491941821,0.81,not owned by a public authority,yes,permissioned,full planning permission,2016-06-13,http://www.dacorum.gov.uk/brownfield-land-register,,20,Housing led development,,,,,,,,2017-12-31,2018-08-16,BOX/2,LBC granted 13/06/16
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/025,,Former Sappi Nash Mills,https://goo.gl/,ETRS89,51.72869804,-0.451430478,6.67,not owned by a public authority,yes,permissioned,full planning permission,2015-10-19,http://www.dacorum.gov.uk/brownfield-land-register,,38,Housing led development,,,,,,,,2017-12-31,2018-08-16,NM13,"Part permissioned as applications not recived for part of site to south of Red Lion Lane. CoU of Blocks I and K granted 2/04/13. 450 dwellings plus care home, community use, A3, B1 and Day Nursery, etc granted 12/05/10"
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/026,,"St Francis De Sales
Preparatory School
Aylesbury Road",https://goo.gl/,ETRS89,51.8314748,-0.699308714,0.69,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,40,Housing led development,,,,,,,,2017-12-31,2018-08-16,TW/4,Query whether this constitutes previously developed land
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/027,,"Chipperfield Garden Centre, Chipperfield",https://goo.gl/,ETRS89,51.71278045,-0.507454317,3.22,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,71,Housing led development,,,,,,,,17/08/2018,,,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/028,,"Hemel Hempstead Garden Centre, Great gaddesden",https://goo.gl/,ETRS89,51.79204019,-0.506740695,2.44,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,74,Housing led development,,,,,,,,17/08/2018,,,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/029,,"Marchmont Farm, Link Road, Hemel",https://goo.gl/,ETRS89,51.76703657,-0.473398963,0.65,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,6,Housing led development,,,,,,,,17/08/2018,,,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/030,,"Former Bobsleigh Hotel, Bovingdon",https://goo.gl/,ETRS89,51.72836965,-0.526586308,1.40,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,,Housing led development,,,,,,,,17/08/2018,,,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/031,,"Caddington Hall, Markyate",https://goo.gl/,ETRS89,51.84389551,-0.452066594,4.65,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,10,Housing led development,,,,,,,,17/08/2018,,,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/032,,"Dacre House, Hillfield Road",https://goo.gl/,ETRS89,51.75300742,-0.470114268,0.05,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,5,Housing led development,,,,,,,,17/08/2018,,,
http://opendatacommunities.org/id/district-council/dacorum,Dacorum Borough Council,BLR/033,,Leys Road (No 121),https://goo.gl/,ETRS89,51.7427229,-0.456608866,0.15,not owned by a public authority,yes,not permissioned,full planning permission,,http://www.dacorum.gov.uk/brownfield-land-register,,3,Housing led development,,,,,,,,17/08/2018,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
