Reference,Planning Reference,Site_Name,Site_Address,Plan,Easting,Northing,Reference_System,Area,Local_Authority,URI,Ownership,Deliverable,Planning_Status,Date_Permission,Type_Permission,Description,Dwelling_Range,Min_Capacity,Non_Resi_Dev,Register_Date,Updated_Date,Comments
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SITES TO BE REMOVED FROM THE BROWNFIELD REGISTER MAP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BUILT Sites on 2017 Brownfield Register built or commenced at March 2019,,,,,,,,,,,,,,,,,,,,,,
UBLR/17/006,UTT/15/1544/FUL,Kings Head,"North Street, Great Dunmow, CM6 1BA",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,562763,222267,OSGB1936,0.103,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2015-07-25,Full planning permission,Change of use from hotet/bar/restuarant to mixed use bar/restaurant and residential,,5,412 sqm A4 use,2017-12-12,,
UBLR/17/010,UTT/16/2632/FUL,14 Cambridge Road,"Stansted Mountfitchet, CM24 8BZ",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,551091,225168,OSGB1936,0.453,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-02-13,Full planning permission,"Mixed use development comprising 10 no. dwellings, ground floor retail unit with independent 1st floor office and 1.5 storey commercial building ",,10,97sqm A1 and 97sqm A2,2017-12-12,,
UBLR/17/012,UTT/16/3549/FUL,Whitehall Hotel,Church End Broxted CM6 2BZ,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,557923,227408,OSGB1936,0.406,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-04-25,Full planning permission,"Restoration, conversion and extension of former hotel and associated buildings to provide 10 dwellings.",,10,,2017-12-12,,
UBLR/17/015,UTT/17/1037/FUL,Foxglove Farm,"Dunmow Road, Hatfield Heath, CM22 7BL",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,552935,215514,OSGB1936,0.507,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-08-01,Full planning permission,Conversion of farm house and outbuildings into five dwellings,,5,,2017-12-12,,
UBLR/17/014,UTT/17/1304/FUL,The Three Colts,"86 Cambridge Road, Stansted, CM22 7BL",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,551267,225512,OSGB1936,0.192,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-07-03,Full planning permission,Change of use and conversion of a disused Public House to a single dwelling. The erection of five new dwellings .,,6,,2017-12-12,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
