EASTING,NORTHING,SITENAME,COORDREFER,HECTARES,PLANSTATUS,PLANHISTOR,OWNERSHIP,NOTES,FIRSTADDED,LASTUPDATE,LATITUDE,LONGITUDE,ORGANISATI,ORGANISA_1,PREVIOUSLY,SITEPLANUR,DELIVERABL,PERMTYPE,PERMDATE,PROPFORPIP,MINNETDWEL,DEVDESCR,NONHOUSING,SITEINFORM,PART2,NETRANGEFR,NETRANGETO,SITEREF,HAZSUB,SHAPE_AREA,SHAPE_LEN
"367,562.75","403,362.86",Rosedale Avenue/Water Street  Atherton,OSGB36,0.8,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=367262.74719751,403512.86244514,367862.74719751,403212.86244514,27700",Not owned by a public authority, ,01/04/2016, ,53.525937,-2.490765,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0035", , , , ,24, , , , , , ,SHLAA0035,,"8,012.96",479.8050737
"358,981.69","405,984.51",Land at Coop Street Scholes Wigan,OSGB36,0.26,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358681.69494255,406134.50558968,359281.69494255,405834.50558968,27700",Not owned by a public authority, ,01/04/2016, ,53.548896,-2.620541,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0056", , , , ,9, , , , , , ,SHLAA0056,,"2,594.02",210.8611424
"357,917.79","404,587.85",Shanghai Palace Poolstock Wigan,OSGB36,0.27,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357617.78661438,404737.85330783,358217.78661438,404437.85330783,27700",Not owned by a public authority,A/16/83089 refers,01/04/2016,31/07/2017,53.536259,-2.63641,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0253",Yes,Full planning permission,23/05/2017, ,23,"Erect 23 three bedroomed dwellings""""", , , , , ,SHLAA0253,,"2,732.52",226.1942878
"367,542.18","403,964.27",Hag Fold Working Mens Club Formby Avenue Atherton,OSGB36,0.16,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=367242.18176581,404114.26570447,367842.18176581,403814.26570447,27700",Not owned by a public authority,A/15/81742 Reserved Matters to A/12/77491 Outline,01/04/2016, ,53.531341,-2.491138,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0229",Yes,Reserved matters permission,28/01/2016, ,6,"Erect 4 two bedroomed and 2 three bedroomed dwellings""""", , , , , ,SHLAA0229,,"1,629.48",202.0846906
"355,558.35","406,001.87",Corner Kitt Green Road and Pembroke Road Wigan,OSGB36,0.15,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=355258.35248975,406151.8732061,355858.35248975,405851.8732061,27700",Not owned by a public authority, ,01/04/2016, ,53.548773,-2.672208,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0018", , , , ,8, , , , , , ,SHLAA0018,,"1,485.35",160.7667033
"362,330.89","404,550.91",Open land east of 57 Lancaster Road Hindley,OSGB36,0.13,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=362030.89298463,404700.91344297,362630.89298463,404400.91344297,27700",Not owned by a public authority, ,01/04/2016, ,53.536263,-2.569823,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0173", , , , ,8, , , , , , ,SHLAA0173,,"1,287.00",147.9272137
"356,358.43","406,814.00",Former Keepers Inn Woodhouse Lane Wigan,OSGB36,0.11,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356058.43332273,406963.9953061,356658.43332273,406663.9953061,27700",Not owned by a public authority,A/14/79399 refers,01/04/2016, ,53.556139,-2.660247,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0287",Yes,Full planning permission,19/08/2014, ,14,"Erect 14  apartments""""", , , , , ,SHLAA0287,,"1,131.37",137.2525166
"366,061.33","400,085.10",Airflow 100 Lord Street Leigh,OSGB36,0.07,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365761.33439803,400235.10189776,366361.33439803,399935.10189776,27700",Not owned by a public authority,A/16/82071 refers,01/04/2016, ,53.49638,-2.513055,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0292",Yes,Full planning permission,16/11/2016, ,18,"Change of use from B1b to 18 apartments""""", , , , , ,SHLAA0292,,690.881353,113.0772784
"357,606.24","405,781.97",Land at Frog Lane and Prescott Street Wigan,OSGB36,1.45,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357306.23756109,405931.96651226,357906.23756109,405631.96651226,27700",Owned by public authority, ,01/04/2016, ,53.546966,-2.641272,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0322", , , , ,19, , , , , , ,SHLAA0322,,"14,499.12",552.3421561
"353,326.01","405,080.38",Land adjacent to 234 Orrell Road Orrell,OSGB36,0.33,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=353026.01221551,405230.3823818,353626.01221551,404930.3823818,27700",Not owned by a public authority, ,01/04/2016, ,53.540297,-2.705759,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0075", , , , ,21, , , , , , ,SHLAA0075,,"3,322.94",255.4433056
