OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR1,,"""Land at Three Acres, Toms Lane, Kings Langley""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,507905,203001,0.42,not owned by a public authority,yes,permissioned,full planning permission,17/11/2017,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVLA5PQFHRT00,,13,Demolition of existing dwelling and builders yard buildings and redevelopment of the site with four detached dwellings and associated gardens and car parking with access to the dwellings via existing entrance to the site from Toms Lane,,,13,17,,,"Has planning permission for four dwellings, however has also been put forward as a potential development site for the Brownfield Land Register. Part site put forward to  Call for Sites (CFS2).",12/12/2017,10/12/2018,CFS2
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR2,,"""Land at Chorleywood Station, Chorleywood""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,502616,196029,1.68,owned by a public authority,yes,not permissioned,,,,,84,,,,84,150,,,Part of site put forward to Call for Sites (CFS16),12/12/2017,10/12/2018,CFS16
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR3,,"""Knoll Oak, Sandy Lane, Northwood""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,510365,192410,0.07,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,7,,,Part of site put forward to Call for Sites (CFS22),12/12/2017,10/12/2018,CFS22
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR4,,"""Land at Maple Cross, Maple Lodge""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,503755,193012,3.18,not owned by a public authority,yes,not permissioned,,,,,95,,,,95,160,,,Part of site put forward to Call for Sites (CFS33),12/12/2017,10/12/2018,CFS33
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR5,,"""Land at Park Road, High Street, Rickmansworth""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,506158,194719,0.61,owned by a public authority,yes,not permissioned,,,,,36,,,,36,50,,,Part of site put forward to Call for Sites (CFS40),12/12/2017,10/12/2018,CFS40
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR6A,,"""Rickmansworth Station Car Park, Rickmansworth""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,505722,194615,0.11,owned by a public authority,yes,not permissioned,,,,,7,,,,10,15,,,Part of site put forward to Call for Sites (CFS41),12/12/2017,10/12/2018,CFS41
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR6B,,"""Land at Rickmansworth Station, Rickmansworth""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,505734,194577,0.31,owned by a public authority,yes,not permissioned,,,,,19,,,,19,25,,,Part of site put forward to Call for Sites (CFS41),12/12/2017,10/12/2018,CFS41
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR7,,"""Former Sir James Altham School, South Oxhey""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,512014,192327,0.72,owned by a public authority,yes,not permissioned,,,,,43,,,,43,60,,,Part of site put forward to Call for Sites (CFS52),12/12/2017,10/12/2018,CFS52
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR8, ,"""Kings Langley Employment Area, Kings Langley""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,507701,202742,30.93,not owned by a public authority,yes,permissioned,full planning permission,28/11/2018,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7D71GQF04900 | http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAAXA7QF6W000 | http://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PE86V3QF0D300 | http://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=P8V264QFK0800 | http://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OALWI7QF03N00,,200,,"Allocated housing site, parts of which are also identified as a mixed use allocation for employment.",,200,300,,,"Planning permission has been granted for parts of the site, however there are still sections of the site suitable for brownfield housing development.",12/12/2017,10/12/2018,
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR9,,"""Mansion House Farm Equastrian Centre, Bedmond Road, Abbots Langley""",http://www.mapsinteractive.co.uk/planvu/trdc/index.php,OSGB36,509665,202596,0.41,not owned by a public authority,yes,permissioned,full planning permission,12/07/2018,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=P3EU9AQFJ0Z00&activeTab=summary,,17,"Demolition of existing equestrian centre and redevelopment of the land for 15 dwellinghouses and 2 flats (17 units in total) with associated vehicular access, car parking, landscaping and engineering works",,,17,25,,,Part of site put forward to Call for Sites (CFS6),12/12/2017,10/12/2018,CFS6
