OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0005,,"''Beaconsfield Garden Centre, London Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.6,-0.65,493562.26,189817.8739,2.5,not owned by a public authority,Yes,permissioned,outline planning permission,27/04/2016,,9,"Outline application for: Erection of 9 dwellings, formation of new access and associated driveway",Alterations to garden centre carpark.,9,9,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0032,,"''Land North of M40 & South of Hedgerley Lane, including Harrias House''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.6,-0.63,495002.87,189499.0932,4.9,not owned by a public authority,,not permissioned,,,,5,,,5,11,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0034,,"''73 High Street and Land to Rear, Burnham''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.53,-0.66,493094.1,182550.624,0.23,not owned by a public authority,Yes,permissioned,full planning permission,13/11/2017,,6,Apartment building comprising 6 dwellings with associated works,,6,6,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0043,,"''Thorney Business Park, Thorney Lane South''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.51,-0.51,503397.29,180096.9394,42.95,not owned by a public authority,,not permissioned,,,,130,,,130,320,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0055,,"''Wilton Park Land Parcel 1, Wilton Park''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.6,-0.62,495923.57,190323.3818,36.89,not owned by a public authority,,not permissioned,,,,350,,,350,350,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0285,,"''4a The Broadway, Farnham Common, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.55,-0.62,496070.95,184907.3685,0.03,not owned by a public authority,Yes,not permissioned,,,,6,,,6,8,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0320,,"''Bulstrode, Oxford Road, Gerrards Cross, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.59,-0.58,498526.45,188344.1916,13.55,not owned by a public authority,Yes,not permissioned,,,,8,,,8,11,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0339,,"''53 Huntercombe Lane, Burnham, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.52,-0.66,493048.05,181451.4913,0.08,not owned by a public authority,Yes,not permissioned,,,,5,,,5,10,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0387,,"''77 Stomp Road, Burnham''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.53,-0.66,492939.3,181819.707,0.27,not owned by a public authority,Yes,permissioned,full planning permission,12/11/2015,,23,"Erection of 23 dwellings (comprising 3 one bedroom, 1 two bedroom apartments and 19 three bedroom houses), car parking, associated landscaping and ancillary works.",,23,23,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0391,,"''Old Slade Farm, 41 Old Slade Lane, Iver''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.5,-0.51,503517.24,178728.6018,1.28,not owned by a public authority,Yes,permissioned,full planning permission,25/06/2015,,5,Conversion of existing barn in to five dwellinghouses with associated parking.,,5,5,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0418,,"''Aston House, 62-68 Oak End Way, Gerrards Cross''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.59,-0.55,500583.36,188684.4768,0.12,not owned by a public authority,Yes,permissioned,full planning permission,07/03/2018,,32,Construction of a five storey building to provide 32 no. residential (Class C3) units including car parking and associated works.,,32,32,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0419,,"''Land Rear of St. Johns Church, Victoria Road, Farnham Common''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.55,-0.61,496212.81,184804.8232,0.44,not owned by a public authority,,permissioned,outline planning permission,15/07/2016,,7,Outline application for: Redevelopment of site to provide 7 dwellings and replacement of existing hall together with associated parking and access roads.,Includes replacement hall  ,7,7,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0421,,"''River Court, 50 Oxford Road, New Denham''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.55,-0.49,504963.61,184923.8421,0.46,not owned by a public authority,Yes,permissioned,other,10/10/2016,,22,"Notification under The Town and Country Planning (General Permitted Development) (England) Order 2015, Part 3 of Schedule 2 Class O for: Change of use from Offices (Class B1) to 22 Residential flats (Class C3).",,22,22,,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0428,,"''Gerrards Cross Police Station, Oxford Road''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.57,-0.53,501707.86,187212.271,0.75,owned by a public authority,Yes,permissioned,other,17/08/2018,,34,"Redevelopment of site to provide 34 new residential units (class C3), set out in 4 blocks of accommodation, comprising 6x1 bed and 28x2 bed apartments, together with associated car parking and access, private and shared amenity space, landscaping and other ancillary works.",,34,34,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0443,,"''Lillyfee Farm, Lillyfee Farm Lane''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.71,-0.68,492601.801,188449.4708,0.57,not owned by a public authority,,not permissioned,,,,8,,,8,10,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0444,,"''Lockwoods Farm, Wooburn Common''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.74,-0.61,492297.7558,187743.014,0.26,not owned by a public authority,,not permissioned,,,,5,,,5,6,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0446,,"''Tendercare Nurseries, Southlands Road''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.74,-0.6,503803.4467,186354.433,2.34,not owned by a public authority,Yes,not permissioned,,,,20,,,20,30,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08/12/2017,10/12/2018
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0451,,"""The Crown, Farnham Road""",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.54,-0.62,496014.35,182945.989,0.14,not owned by a public authority,,permissioned,full planning permission,31/05/2017,,5,Conversion of public house to provide two dwellings and erection of three terraced dwellings.,,5,5,,10/12/2018,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0452,,"""Huntercombe Park (formerly Pfizer Pharmaceuticals)""",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.52,-0.66,493281.798,180805.25,3.21,not owned by a public authority,Yes,permissioned,other,07/09/2017,,86,"Notification under The Town and Country Planning (General Permitted Development) Order 2015, Part 3 of Schedule 2 Class O for: Change of Use of from office (Class B1) to 86 units comprising 35 one-bed, 42 two-bed and 9 three-bed flats (Class C3).",,86,86,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,10/12/2018,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0453,,"""Landrecies""",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.57,-0.54,501471.986,187191.593,0.38,not owned by a public authority,Yes,permissioned,full planning permission,14/03/2018,,5,"Redevelopment to create 5 detached dwellinghouses, including alterations to existing vehicular accesses, landscaping and associated works. Part single storey, part two storey side/rear extension to Landrecies.",,5,5,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,10/12/2018,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0454,,"""Silchester Manor Day Nursery""",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.52,-0.7,490568.187,181287.136,0.46,not owned by a public authority,,permissioned,full planning permission,20/03/2018,,10,Replacement nursery and 10 no. 2 bedroom apartments.,Includes replacement nursery,10,10,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,10/12/2018,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0455,,"""Brockhurst Park""",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.55,-0.6,497168.634,184605.328,0.48,not owned by a public authority,,permissioned,outline planning permission,20/12/2017,,3,Outline Application for: Redevelopment of the site to provide three detached dwellings with detached garages.,,3,3,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,10/12/2018,
