OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0136                                        ,"Shouster House, Ridge Hill, Brierley Hill Road, Wordsley, DY8 5ST",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0136,52.482299,-2.155416,0.16,not owned by a public authority,permissioned,permission in principle,2020-02-20,https://mapping.dudley.gov.uk/atMyDudley.aspx,,4,4,,Planning Application reference P20/0059/PIP,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0051                                        ,Land on the corner of Thorns Road/Caledonia,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0051,52.463293,-2.114695,0.23,not owned by a public authority,permissioned,full planning permission,2017-06-28,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2017-11-27,2017-12-19,2020-03-12
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0053                                        ,"Excelsior Industrial Esate, Cakemore Road, Rowley Regis, B65 0QX",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0053,52.476225,-2.024893,7.51,not owned by a public authority,pending decision,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2017-11-27,2017-12-19,2020-03-12
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0050                                        ,"Former Ibstock Brickwork Site, Tansey Green Road, Pensnett, West Midlands, DY6 7NA",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0050,52.506962,-2.142114,7.25,not owned by a public authority,pending decision,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2017-11-27,2017-12-19,2020-03-12
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0019                                        ,"WAGGON AND HORSES PUBLIC HOUSE (DERELICT), 166, LONG LANE, HALESOWEN, B62 9EJ",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0019,52.463396,-2.026877,0.22,not owned by a public authority,permissioned,full planning permission,2015-04-23,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2016-06-30,2017-12-19,2017-12-19
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0004                                        ,"169, IVYHOUSE LANE, COSELEY, BILSTON, WV14 9LA",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0004,52.539817,-2.096126,0.18,not owned by a public authority,permissioned,full planning permission,2017-05-19,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2016-06-30,2017-12-19,2020-03-12
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0061                                        ,"Land between 4 and 12 Seymour Road, Stourbridge, DY9 8TB ",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0061,52.454109,-2.103961,0.08,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,5,5,,,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0008                                        ,"W MERRIS AND SON - HAULAGE, NARROW LANE, HALESOWEN, B62 9PB",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0008,52.470146,-2.026193,0.14,not owned by a public authority,permissioned,outline planning permission,2015-08-19,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2016-06-30,2017-12-19,2020-03-12
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0126                                        ,"The Straits, Lower Gornal",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0126,52.523916,-2.146812,0.64,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,23,23,,,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0097                                        ,"Land between Heath Road and Copse Road, Netherton",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0097,52.480913,-2.090541,0.79,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,27,27,,,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0082                                        ,"Griff Chains, Quarry Road, Netherton",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0082,52.474826,-2.090924,1.90,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,45,45,,,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0135                                        ,"The Claughton Centre, Blowers Green Road, Dudley, DY2 8UZ",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0135,52.504946,-2.089410,0.36,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,9,9,,,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0009                                        ,"Land at High Oak & Bradley Street, Pensnett, Brierley Hill, West Midlands",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0009,52.499964,-2.132258,0.05,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,6,6,,,2016-06-30,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0017                                        ,"Land at corner of Intended Street and HIghtown, Cradley, Halesowen, B63 2TR",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0017,52.462693,-2.082975,0.19,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,7,7,,,2016-06-30,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0111                                        ,"North of Providence Street / south of the railway line, Lye",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0111,52.459374,-2.112523,1.42,not owned by a public authority,not permissioned,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,140,140,,,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0005                                        ,"ASHLEIGH HOUSE, 2, EDNAM ROAD, DUDLEY, DY1 1HL",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0005,52.512274,-2.084685,0.16,owned by a public authority,permissioned,full planning permission,2015-04-24,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2016-06-30,2017-12-19,2017-12-19
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0003                                        ,"THE SUMMERHOUSE, THE PORTWAY, KINGSWINFORD, WEST MIDLANDS, DY6 8HW",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0003,52.492798,-2.157633,0.35,not owned by a public authority,permissioned,full planning permission,2015-05-01,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2016-06-30,2017-12-19,2020-03-12
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0077                                        ,"Former Factory Site, Park Lane, Cradley",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0077,52.462190,-2.094071,2.86,not owned by a public authority,pending decision,outline planning permission,,https://mapping.dudley.gov.uk/atMyDudley.aspx,,80,80,,,2020-03-12,2020-03-12,
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0046                                        ,"Mere Road, Norton",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0046,52.447772,-2.157522,0.61,owned by a public authority,permissioned,full planning permission,2017-03-29,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2017-11-27,2017-12-19,2020-03-12
http://opendatacommunities.org/id/metropolitan-district-council/dudley,DEVOPP0012                                        ,"FORMER FAMILY AND COMMUNITY SUPPORT SERVICES, GREYSTONE PASSAGE, DUDLEY, DY1 1SJ",https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0012,52.507771,-2.089267,0.17,owned by a public authority,permissioned,outline planning permission,2016-01-26,https://mapping.dudley.gov.uk/atMyDudley.aspx,,,,,,2016-06-30,2017-12-19,2020-03-12
