OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/teignbridge,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=01%2f03478%2fCOU,294282,73277,0.26,not owned by a public authority,permissioned,full planning permission,26/10/2001,,yes,15,15,,Part of this site was started in 2002,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=05%2f04278%2fFUL,284837,71739,0.12,not owned by a public authority,permissioned,full planning permission,22/03/2006,,yes,6,6,,Groundworks commenced keeping this live,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=08%2f01449%2fMAJ,292935,72171,0.47,not owned by a public authority,permissioned,full planning permission,01/07/2008,,yes,9,9,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=12%2f01811%2fFUL,296243,76779,0.04,not owned by a public authority,permissioned,full planning permission,31/07/2012,,yes,9,9,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f01497%2fMAJ,285183,70226,1.14,not owned by a public authority,permissioned,full planning permission,21/01/2013,,yes,13,15,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish  EX7 0JW",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f02517%2fFUL,295684,74777,0.73,not owned by a public authority,permissioned,full planning permission,10/10/2014,,yes,7,7,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f03658%2fFUL,295546,76614,0.04,not owned by a public authority,permissioned,full planning permission,10/10/2014,,yes,5,5,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR008,"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=17%2f02715%2fMAJ,285743,71200,0.18,not owned by a public authority,permissioned,full planning permission,10/10/2014,,yes,38,38,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR009,"Clay Lane, Teignmouth TQ14 8FW",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01918%2fMAJ,293729,73004,0.08,not owned by a public authority,permissioned,full planning permission,09/10/2014,,yes,21,21,,2 phase scheme part 1 completed in 2009 - this phase started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f02580%2fMAJ,282740,74738,26.45,not owned by a public authority,permissioned,full planning permission,01/06/2016,,yes,23,23,,,01/11/2017,21/12/2018
