OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,FirstAddedDate,LastUpdatedDate,HELAA Reference
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR073,N/A,"""5A, 7A, 9A, 11A, 13A West Street, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5155/rbbcblr073 ,OSGB36,525015.00,150296.00,0.10,Not owned by a public authority,Yes,Permissioned,Prior Approval,2018-06-01,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P79UWEMV0O800,12,Change of use from offices to residential,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR074,N/A,"""41 & 43 Doods Park Road, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5156/rbbcblr074 ,OSGB36,526471.00,150481.00,0.23,Not owned by a public authority,Yes,Permissioned,Full planning,2018-06-12,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OUAU29MVHF300,10,"Demolition of existing buildings and closure of vehicular accessories. Erection of detached building comprising 12 residential flats, bin store, formation of parking forecourt, provision of bike store, formation of new vehicular and pedestrian accesses, new hard and soft landscaping and associated works. ",N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,RC77
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR075,N/A,"""4-10 Church Street, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5157/rbbcblr075 ,OSGB36,525398.00,150252.00,0.10,Not owned by a public authority,Yes,Permissioned,Full planning,2019-10-04,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PPNC1IMVFU900,2,"Proposed demolition of the existing two storey rear extension and stand alone shed to allow construction of a four storey block of 6 no. 2 bed flats to the rear of 4-10 Church Street with new access staircase, car parking, refuse and cycling stores in addition to other alterations including improvements to the rear elevation of the existing building.",N/A,N/A,N/A,"Since 2018 Brownfield Land Register, a new permission has been approved:
•	Planning application 147/01534/F allowed at appeal 2018-11-01 for the demolition of part of the existing extension to allow for the construction of 9 flats. 
•	Planning permission 19/00715/F approved 2019-10-04 for the demolition of part of the existing extension and standalone shed to allow construction of 6 flats. ",2018-12-31,2019-12-31,RC20
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR076,N/A,"""105-125 Ashurst Road, Tadworth""",http://www.reigate-banstead.gov.uk/downloads/file/5158/rbbcblr076 ,OSGB36,522932.00,156773.00,0.10,Not owned by a public authority,Yes,Permissioned,Full planning,2017-11-30,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OSQ78UMVM6400,10,"The erection of 10 new flats, with associated parking areas and shared private amenity space. ",N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,TW20
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR077,N/A,"""Nutley Dean Business Park, Small Hills Road, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5159/rbbcblr077,OSGB36,524042.00,144627.00,1.10,Not owned by a public authority,Yes,Permissioned,Full planning,2018-08-21,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I6PIKFMVR5000,10,Removal of industrial buildings and erection of 10 dwellings. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,SS27
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR078,N/A,"""Horley Place, 17 Bonehurst Road, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5160/rbbcblr078 ,OSGB36,528397.00,144988.00,0.95,Not owned by a public authority,Yes,Permissioned,Full planning,2017-02-15,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=LFMWRDMV0FL00,8,Redevelop the guest house and demolition of existing attached residential wing and erection of 2-storey side and rear extensions to provide 9 flats. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,SS26
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR080,N/A,"""Kerriermuir & Wheattridge, Langshott, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5162/rbbcblr080 ,OSGB36,529088.00,144056.00,0.20,Not owned by a public authority,Yes,Permissioned,Full planning,2017-11-01,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OUB64LMVHGE00,6,Demolition of Kerriermuir and Wheatridge on Langshott Wood and development of a single detached property comprising eight apartments. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,HE35
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR083,N/A,"""Brockmere, 43 Wray Park Road, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5165/rbbcblr083 ,OSGB36,526038.00,151007.00,0.60,Not owned by a public authority,Yes,Permissioned,Full planning,2017-01-31,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000D2UMVLI000,0,"Extension and refurbishment of Brockmere for use as six apartments, demolition of the existing garage and erection of a coach house dwelling to the rear of the property; provision of a revised access and parking areas within the site. ",N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,RH07
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR084,N/A,"""19 Church Road and R/O 17-23 Church Road, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5166/rbbcblr084 ,OSGB36,527976.00,142924.00,0.40,Not owned by a public authority,Yes,Permissioned,Full planning,2018-02-14 and 2019-11-27,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OPMRKKMV0N900,7,"Planning permission 17/02261/F for the demolition of no. 19 Church Road and the erection of 7 new detached dwellings on land to the rear of 17-23 Church Road and 58-60 Massetts Road Horley, with access from Church Road, together with carparking and landscaping. 
Subsequent planning permission 19/01875/F approved for the subdivision of Plot 2 into a pair of semi-detached 3-bedroom houses. ",N/A,N/A,N/A,"Since 2018 Brownfield Land Register, a new permission has been approved:
•	Planning permission 17/02261/F approved for the demolition of no. 19 Church Road and the erection of 7 new detached dwellings on land to the rear of 17-23 Church Road and 58-60 Massetts Road 2017-12-21.
•	Planning permission 19/01875/F approved for the subdivision of Plot 2 2019-11-27.",2018-12-31,2019-12-31,HC39
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR088,N/A,"""Copperwood, 3 Russells Crescent, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5170/rbbcblr088 ,OSGB36,528274.00,142788.00,0.10,Not owned by a public authority,Yes,Permissioned,Full planning,2017-10-18,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0012YQMVLI000,5,"Conversion of existing property to 6 flats, proposed double storey rear and side extensions and roof extension with internal alterations to form three 1 bedroom flats and three 2 bedroom flats including external landscaping and associated carparking. ",N/A,N/A,N/A,"Since 2018 Brownfield Land Register, a new permission has been approved:
•	Planning permission 17/01097/F granted 2017-07-06 for the conversion of the existing property to 6 flats. 
•	Planning permission 17/020109/F granted 2017-10-18 for the conversion of the existing property to 6 flats. ",2018-12-31,2019-12-31,HC34
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR089,N/A,"""Garage Block Kingsley Grove, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5171/rbbcblr089 ,OSGB36,525667.00,148478.00,0.30,Not owned by a public authority,Yes,Permissioned,Full planning,2018-05-17,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IE3TEOMVR5000,6,"The development of land off Kingsley Grove. Currently the site has 44 disused garages, with the rear section vacant. The development proposes the demolition of the garages and creation of 6 new dwellings. ",N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,SPW17
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR090,N/A,"""Swaylands, 1 Ringley Avenue, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5172/rbbcblr090 ,OSGB36,528089.00,143065.00,0.10,Not owned by a public authority,Yes,Permissioned,Full planning,2017-06-20,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016BNMVLI000,4,Demolition of existing building and erection of 5 x 2-bedroom flats and associated facilities.  ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR091,N/A,"""Kimberley, 1A Castle Drive, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5173/rbbcblr091,OSGB36,525589.00,147893.00,0.60,Not owned by a public authority,Yes,Permissioned,Full planning,2018-01-31,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000NLOMVLI000,4,"Demolition of existing building, erection of a two-storey building comprising 5 flats.",N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR092,N/A,"""67 Vicarage Lane & R/O 1&3 Lee Street, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5174/rbbcblr092,OSGB36,527668.00,143778.00,0.20,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2018-06-22,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OTQTO5MVGHG00,4,Erection of 4 semi-detached houses and 1 detached bungalow with associate parking following the demolition of existing bungalow. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,HW47
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR094,N/A,"""131 London Road North, Merstham""",http://www.reigate-banstead.gov.uk/downloads/file/5176/rbbcblr094 ,OSGB36,528809.00,155648.00,0.40,Not owned by a public authority,Yes,Permissioned,Full planning,2018-09-21,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0008LCMVLI000,4,Extension of existing detached house and conversion into 5 self-contained flats. Demolish existing garages. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,CHW23
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR096,N/A,"""Building A, Wrays Farm, Horse Hill, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5178/rbbcblr096,OSGB36,525728.00,143555.00,0.02,Not owned by a public authority,Yes,Permissioned,Prior Approval,2018-10-15,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I4E8Q6MVR5000,5,Change of use of the existing storage building to residential use. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR097,N/A,"""Building B, Wrays Farm, Horse Hill, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5179/rbbcblr097 ,OSGB36,525728.00,143555.00,0.02,Not owned by a public authority,Yes,Permissioned,Prior Approval,2018-10-15,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I4E8Q6MVR5000,5,Change of use of the existing storage building to residential use. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR098,N/A,"""Building C, Wrays Farm, Horse Hill, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5180/rbbcblr098 ,OSGB36,525728.00,143555.00,0.02,Not owned by a public authority,Yes,Permissioned,Prior Approval,2018-10-15,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=I4E8Q6MVR5000,8,Change of use of the existing storage building to residential use. ,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR099,N/A,"""The Clinic and Youth Centre, The Horseshoe, Banstead""",http://www.reigate-banstead.gov.uk/downloads/file/5181/rbbcblr099 ,OSGB36,525026.00,159555.00,0.50,Partly owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015PUMVLI000,N/A,N/A,N/A,20,N/A,"The site has been identified as part of a wider site allocation in the DMP for mixed-use redevelopment including community and/or public services, small-scale retail/leisure/other commercial development and residential development (DMP site allocation policy BAN2). ",2018-12-31,2019-12-31,BV06
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR100,N/A,"""SECAmb HQ, The Horseshoe, Banstead""",http://www.reigate-banstead.gov.uk/downloads/file/5182/rbbcblr100 ,OSGB36,524899.00,159648.00,0.90,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015PKMVLI000,N/A,N/A,N/A,18,N/A,"The site has been identified as part of a wider site allocation in the DMP for mixed-use redevelopment including community and/or public services, small-scale retail/leisure/other commercial development and residential development (DMP site allocation policy BAN2).",2018-12-31,2019-12-31,BV07
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR101,N/A,"""Banstead Community Centre""",http://www.reigate-banstead.gov.uk/downloads/file/5183/rbbcblr101,OSGB36,525876.00,159831.00,0.50,Owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000PF9MVLI000,N/A,N/A,N/A,15,N/A,The site has been allocated in the DMP as part of a wider site allocation (DMP site allocation policy BAN3) for residential and community use. ,2018-12-31,2019-12-31,BV31
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR102,N/A,"""Banstead Library""",http://www.reigate-banstead.gov.uk/downloads/file/5184/rbbcblr102,OSGB36,525125.00,159605.00,0.20,Owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001G47MVLI000,N/A,N/A,N/A,8,N/A,"The site has been allocated as part of a wider site allocation in the Development Management Plan for mixed-use redevelopment including community and/or public services, small-scale retail/leisure/other commercial development and residential development (DMP site allocation policy BAN2).",2018-12-31,2019-12-31,BV35
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR103,N/A,"""Banstead Day Centre and Carpark, Horseshoe, Banstead""",http://www.reigate-banstead.gov.uk/downloads/file/5185/rbbcblr103,OSGB36,525041.00,159603.00,0.50,Owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IOATGPMVR5011,N/A,N/A,N/A,20,N/A,"The site has been allocated as part of a wider site allocation in the Development Management Plan for mixed-use redevelopment including community and/or public services, small-scale retail/leisure/other commercial development and residential development (DMP site allocation policy BAN2).",2018-12-31,2019-12-31,BV36
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR104,N/A,"""Bentley & The Squirrels, Banstead""",http://www.reigate-banstead.gov.uk/downloads/file/5186/rbbcblr104,OSGB36,524807.00,159747.00,0.50,Owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015OYMVLI000,N/A,N/A,N/A,20,N/A,"The site has been allocated as part of a wider site allocation in the Development Management Plan for mixed-use redevelopment including community and/or public services, small-scale retail/leisure/other commercial development and residential development (DMP site allocation policy BAN2).",2018-12-31,2019-12-31,BV37
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR105,N/A,"""Ashleigh, High Road, Chipstead""",http://www.reigate-banstead.gov.uk/downloads/file/5187/rbbcblr105,OSGB36,527937.00,157415.00,0.20,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000QF7MVLI000,N/A,N/A,N/A,6,N/A,N/A,2018-12-31,2019-12-31,CHW20
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR106,N/A,"""Stores and Workshop R/O 5 Waterhouse Lane, Kingswood""",http://www.reigate-banstead.gov.uk/downloads/file/5188/rbbcblr106,OSGB36,524592.00,156652.00,0.04,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NRW0BBMV0FL00,N/A,N/A,N/A,6,N/A,N/A,2018-12-31,2019-12-31,KBH31
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR107,N/A,"""Fairlawn, The Glade, Kingswood""",http://www.reigate-banstead.gov.uk/downloads/file/5189/rbbcblr107,OSGB36,525561.00,156600.00,0.07,Not owned by a public authority,Yes,Permissioned,Full planning,2019-12-12,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000JVKMVLI000,6,Demolition of an existing house and construction of a new building containing 7 flats and basement car park.,N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,KBH39
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR108,N/A,"""Winscombe Nursing Home, Kingswood""",http://www.reigate-banstead.gov.uk/downloads/file/5190/rbbcblr108,OSGB36,524767.00,156922.00,0.50,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001AT2MVLI000,N/A,N/A,N/A,14,N/A,N/A,2018-12-31,2019-12-31,KBH40
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR109,N/A,"""11 Woodlands Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5191/rbbcblr109,OSGB36,527764.00,149441.00,0.10,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000UCEMVLI000,N/A,N/A,N/A,8,N/A,N/A,2018-12-31,2019-12-31,EW30
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR110,N/A,"""8 Horley Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5192/rbbcblr110,OSGB36,527809.00,148025.00,0.04,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0008IWMVLI000,N/A,N/A,N/A,5,N/A,N/A,2018-12-31,2019-12-31,EW31
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR111,N/A,"""Hardstanding Brambletye Park Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5193/rbbcblr111,OSGB36,528357.00,149501.00,0.10,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=M03UI7MV0FL00,N/A,N/A,N/A,5,N/A,N/A,2018-12-31,2019-12-31,EW32
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR112,N/A,"""Moat House Surgery, Worstead Green, Merstham""",http://www.reigate-banstead.gov.uk/downloads/file/5194/rbbcblr112,OSGB36,529455.00,152805.00,0.30,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=J7NA7PMVR5001,N/A,N/A,N/A,10,N/A,N/A,2018-12-31,2019-12-31,M06
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR113,N/A,"""3A Brook Road, Redhill""",http://www.reigate-banstead.gov.uk/downloads/file/5195/rbbcblr113,OSGB36,529205.00,152931.00,0.02,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000UT2MVLI000,N/A,N/A,N/A,6,N/A,N/A,2018-12-31,2019-12-31,RE54
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR114,N/A,"""Garages Fir Tree Walk, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5196/rbbcblr114,OSGB36,526560.00,150245.00,0.07,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DH5MVLI000,N/A,N/A,N/A,12,N/A,N/A,2018-12-31,2019-12-31,RC68
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR115,N/A,"""Acacia House, Reigate Hill, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5197/rbbcblr115,OSGB36,525458.00,151105.00,0.30,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000P1GMVLI000,N/A,N/A,N/A,13,N/A,N/A,2018-12-31,2019-12-31,RH12
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR116,N/A,"""Mount Pleasant, Coppice Lane, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5198/rbbcblr116,OSGB36,524508.00,151180.00,1.40,Not owned by a public authority,Yes,Permissioned,Full planning,2018-07-04,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000W0CMVLI000,10,Demolition of existing care home  (C2) and erection of replacement apartment building comprising 10 apartments plus associated hard and soft landscaping measures.,N/A,N/A,N/A,"Number of planning permissions granted for differing schemes: 
•	17/00912/CU: Change of use from residential care home to residential dwelling granted 2017-06-29.
•	17/01061/F: Demolition of existing residential dwelling and erection of replacement building comprising 6 no. flats and 1 no. 5-bedroom dwelling house, plus associated hard and soft landscaping measures. Allowed at appeal 2018-07-04.
•	18/00640/F: Demolition of existing residential dwelling and erection of 3 x family dwellings plus associated hard and soft landscaping measures. Granted 2018-10-03.
•	18/00172/F: Demolition of existing residential dwelling (C3) and erection of replacement building comprising 6 flats and 1 x 5-bedroom dwelling, plus associated hard and soft landscaping measures. Allowed at appeal 2019-06-10.
•	18/02324/F: Demolition of existing care home and erection of replacement apartment building comprising 10 no. apartments, plus associated hard and soft landscaping measures. Allowed 2019-11-01. ",2018-12-31,2019-12-31,RH23
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR117,N/A,"""51-61 Brighton Road, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5199/rbbcblr117,OSGB36,527958.00,143253.00,0.50,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HWXHALMVR5000,N/A,N/A,N/A,20,N/A,The site has been allocated in the DMP for residential development (DMP site allocation policy HOR10).  ,2018-12-31,2019-12-31,HW10
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR118,N/A,"""11b Massetts Road, Horley""",http://www.reigate-banstead.gov.uk/downloads/file/5200/rbbcblr118,OSGB36,528477.00,142916.00,0.10,Not owned by a public authority,Yes,Not permissioned,N/A,N/A,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0019WNMVLI000 ,N/A,N/A,N/A,5,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR119,N/A,"""Land R/O 19-29 Shelvers Way, Tadworth""",http://www.reigate-banstead.gov.uk/downloads/file/5201/rbbcblr119,OSGB36,523904.00,156974.00,0.30,Not owned by a public authority,Yes,Permissioned,Full planning,2018-11-02,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001CXTMVLI000,6,"Erection of 6 dwellings comprising two pairs of semi-detached dwellings and 2 detached dwellings along with access to Shelvers Way utilising the approved access from 17/00016/S73, and all associated landscaping, and ancillary work. ",N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR120,N/A,"""The Croft Residential Carehome, Buckland Road, Reigate""",http://www.reigate-banstead.gov.uk/downloads/file/5202/rbbcblr120,OSGB36,524024.00,150612.00,0.90,Not owned by a public authority,Yes,Permissioned,Full planning,2018-11-02,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PJXEZNMV0FL00,8,"The proposed demolition of a former nursing home building and daycare outbuilding, and the erection of a single replacement building, comprising 8no. apartments with 16 surface carparking spaces, cycle and refuse storage enclosure, with associated hard and soft landscaping enhancements. ",N/A,N/A,N/A,N/A,2018-12-31,2019-12-31,RC16
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR121,N/A,"""Bracken House, Waterhouse Lane, Kingswood""",http://www.reigate-banstead.gov.uk/downloads/file/5937/rbbcblr121,OSGB36,525451.00,156302.00,0.40,Not owned by a public authority,Yes,Permissioned,Full planning,2019-09-30,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000JO8MVLI000,5,"Proposed sub-division into six apartments and external alterations to include two rear single storey extensions and alterations to fenestration and doors, together with associated parking, landscaping and ancillary works. ",N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR122,N/A,"""Land R/O 35-49 Warren Road, Banstead""",http://www.reigate-banstead.gov.uk/downloads/file/5938/rbbcblr122,OSGB36,524082.00,160029.00,0.41,Not owned by a public authority,Yes,Permissioned,Full planning,2019-11-13,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0011KFMVLI000,7,Demolition of 37 Warren Road and erection of 8 dwellings to the rear of 34-49 Warren Road.,N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
http://opendatacommunities.org/id/district-council/reigate-banstead  ,Reigate & Banstead  ,RBBCBLR123,N/A,"""Nicola Farm, 37 Woodmansterne Lane, Woodmansterne""",http://www.reigate-banstead.gov.uk/downloads/file/5939/rbbcblr123,OSGB36,527092.00,159979.00,0.32,Not owned by a public authority,Yes,Permissioned,Full planning,2019-09-05,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001H52MVLI000,6,The proposal seeks to erect 6 detached dwellings and associated parking on the existing previously developed land at Nicola Farm.,N/A,N/A,N/A,N/A,2019-12-31,2019-12-31,N/A
