OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR22,"""26 Southgates Road, Great Yarmouth""",652603,306355,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2589&p=0,0.07,not owned by a public authority,permissioned,full planning permission,2016-08-10,,yes,,,,"""06/16/0193/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR23,"""14 Camperdown, Great Yarmouth""",652936,306875,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2590&p=0,0.01,not owned by a public authority,permissioned,full planning permission,2016-12-23,,yes,,,,"""06/16/0126/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR24,"""11/12 South Quay, Great Yarmouth""",652374,307299,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2591&p=0,0.03,not owned by a public authority,permissioned,full planning permission,2017-03-08,,yes,,,,"""06/16/0661/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR25,"""84 North Denes Road, Great Yarmouth""",652861,308956,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2592&p=0,0.03,not owned by a public authority,permissioned,full planning permission,2016-10-28,,yes,,,,"""06/16/0523/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR26,"""Former trailer storage yard, Mill Road, Cobholm, Great Yarmouth""",651576,307687,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2593&p=0,0.17,not owned by a public authority,pending decision,,,,yes,,,,"""06/16/0431/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR27,"""132 Gordon Road, Great Yarmouth""",652212,306700,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2594&p=0,0.12,not owned by a public authority,permissioned,full planning permission,2018-12-06,,yes,,,,"""06/16/0188/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR28,"""Northgate Hospital, Great Yarmouth""",652584,308782,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2595&p=0,2.18,owned by a public authority,pending decision,,,,yes,,,,"""New planning application under consideration - 06/18/0582/F, potential for contaminated land associated with hospital, a Site Investigation Report has been considered with the application.""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR29,"""Atlantis Complex, Marine Parade, Great Yarmouth""",653063,307299,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2596&p=0,0.22,not owned by a public authority,permissioned,full planning permission,2017-12-05,,yes,,,,"""06/15/0769/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR31,"""Great Yarmouth Waterfront""",652016,307914,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2598&p=0,40,mixed ownership,not permissioned,,,,yes,,,,"""Site Allocation - Policy CS17, contains contaminated land associated with previous industrial uses and requires significant flood infrastructure to protect site and surrounding land.""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR32,"""73 Southtown Road, Great Yarmouth""",652223,306748,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2599&p=0,0.18,not owned by a public authority,permissioned,outline planning permission,2017-07-04,,yes,,,,"""06/16/0695/O""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR33,"""35-36 South Quay, Great Yarmouth""",652458,307102,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2600&p=0,0.01,not owned by a public authority,permissioned,full planning permission,2017-08-23,,yes,,,,"""06/16/0593/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR34,"""Former garage, Estcourt Road, Great Yarmouth""",652821,308573,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2601&p=0,0.01,not owned by a public authority,permissioned,full planning permission,2017-10-09,,yes,,,,"""06/17/0455/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR35,"""33 Marine Parade, Great Yarmouth""",653066,307732,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2602&p=0,0.01,not owned by a public authority,permissioned,full planning permission,2018-04-20,,yes,,,,"""06/16/0784/F""",2017-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR36,"""93-96 North Denes Road , Great Yarmouth""",652858,308841,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3995&p=0,0.01,not owned by a public authority,permissioned,full planning permission,2018-01-23,,yes,,,,"""06/17/0546/F""",2018-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR37,"""Land at, Church Road, Gorleston, Great Yarmouth""",652437,305097,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3996&p=0,0.12,not owned by a public authority,permissioned,full planning permission,2018-04-11,,yes,,,,"""06/17/0781/F""",2018-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR38,"""Land between 90 and 102, Regent Road, Great Yarmouth""",652747,307585,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3998&p=0,0.22,not owned by a public authority,permissioned,full planning permission,2018-07-09,,yes,,,,"""06/17/0469/F""",2018-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR39,"""Rear of, Rumbold Arms, Southtown Road, Great Yarmouth""",652325,306298,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=3999&p=0,0.18,not owned by a public authority,permissioned,full planning permission,2018-10-12,,yes,,,,"""06/18/0425/F""",2018-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BRF40,"""Land off Dock Tavern Lane Gorleston, Great Yarmouth""",652852,304465,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4000&p=0,0.17,not owned by a public authority,permissioned,full planning permission,2018-11-06,,yes,,,,"""06/17/0225/F""",2018-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR41,"""43 Market Row, Great Yarmouth""",652294,307652,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4001&p=0,0.05,not owned by a public authority,permissioned,full planning permission,2018-11-01,,yes,,,,"""06/18/0046/F""",2018-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR42,"""Former Ferryside Building, 98 High Road, Gorleston, Great Yarmouth""",652556,305483,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4002&p=0,0.48,not owned by a public authority,pending decision,,,,yes,,,,"""06/16/0190/F""",2018-12-20,2018-12-20,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR43,"""34 Marine Parade, Great Yarmouth""",653052,307360,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4003&p=0,0.01,not owned by a public authority,pending decision,,,,yes,,,,"""06/18/0039/F""",2018-12-20,2018-12-20,
