OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR227-17,,625037,161433,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR227-17.pdf,5.07,Not in public ownership,Permissioned,Reserved Matters,29/05/2015,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226312,Yes,70,70,,Under Construction,18/12/2017,18/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR229-17,,636420,150877,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR229-17.pdf,0.33,Not in public ownership,Permissioned,Full planning permission,17/01/2017,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_218321,Yes,14,14,,Not Started,18/12/2017,18/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR230-17,,630977,142515,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR230-17.pdf,0.14,Not in public ownership,Permissioned,Full planning permission,08/02/2012,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_216298,Yes,12,12,,Under Construction,18/12/2017,18/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR233-17,,631024,141329,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR233-17.pdf,0.2,Not in public ownership,Permissioned,Outline planning permission,28/06/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_219062,Yes,9,9,,Not Started,18/12/2017,18/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR238-17,,631271,141311,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR238-17.pdf,0.12,Not in public ownership,Permissioned,Full planning permission,23/09/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_227838,Yes,7,7,,Not Started,18/12/2017,18/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR239-17,,635988,144766,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR239-17.pdf,0.13,Not in public ownership,Permissioned,Full planning permission,02/11/2015,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_226012,Yes,6,6,,Under Construction,18/12/2017,18/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR240-17,,630695,141249,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR240-17.pdf,0.1,Not in public ownership,Permissioned,Full planning permission,02/12/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_228028,Yes,6,6,,Not Started,18/12/2017,18/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR246-17,,637897,146596,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR246-17.pdf,0.56,Not in public ownership,Permissioned,Full planning permission,11/06/2014,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223499,Yes,2,2,,Not Started,18/12/2017,19/12/2017,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR248-17,,624787,160620,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR248-17.pdf,0.54,Not in public ownership,Permissioned,Full planning permission,10/02/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_227357,Yes,2,2,,Under Construction,18/12/2017,19/12/2017,
,,,,,,,128.78,,,,,,,,,,,,,
