OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR16,"""Former Shepherd Engineering Premises, Riverside Road, Gorleston, Great Yarmouth""",652706,305017,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2583&p=0,0.06,not owned by a public authority,,permissioned,outline planning permission,09/05/2016,,5,,,yes,06/15/0736/O. Demolition of workshop and erection of 5 houses,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR17,"""1 Woodfarm Lane, Gorleston, Great Yarmouth""",651666,302240,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2584&p=0,0.02,not owned by a public authority,,permissioned,full planning permission,02/02/2017,,7,,,yes,06/16/0781/F. Demolition of existing building and erection of 7 dwellings,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR18,"""Horatio House, Southtown Road, Gorleston, Great Yarmouth""",652278,306596,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2585&p=0,0.5,not owned by a public authority,,permissioned,outline planning permission,29/06/2016,,24,,,yes,06/15/0348/O. Demolition of existing buildings and erection of 24 residential units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR19,"""Magdalen House, Magdalen Square, Gorleston, Great Yarmouth""",651744,303583,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2586&p=0,0.81,not owned by a public authority,,permissioned,full planning permission,08/08/2016,,46,,,yes,06/14/0773/F. Demolition of former care home and erection of 46 residential units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR20,"""North of Hertford Way, Gorleston, Great Yarmouth""",651632,303668,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2587&p=0,0.18,owned by a public authority,,permissioned,full planning permission,23/08/2016,,6,,,yes,06/16/0387/SU. Demolition of existing offices and erection of 6 residential units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR21,"""165 King Street, Great Yarmouth""",652491,307459,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2588&p=0,0.03,not owned by a public authority,,permissioned,full planning permission,16/07/2016,,8,,,yes,06/16/0278/F. Conversion of office space to 8 flats,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR22,"""26 Southgates Road, Great Yarmouth""",652603,306355,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2589&p=0,0.07,not owned by a public authority,,permissioned,full planning permission,10/08/2016,,6,,,yes,06/16/0193/F. Change of use of upper floor shop to 6 apartments,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR23,"""14 Camperdown, Great Yarmouth""",652936,306875,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2590&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,23/12/2016,,5,,,yes,06/16/0126/F. Change of use from HMO to 5 self-contained flats,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR24,"""11/12 South Quay, Great Yarmouth""",652374,307299,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2591&p=0,0.03,not owned by a public authority,,permissioned,full planning permission,08/03/2017,,7,,,yes,06/16/0661/F. Change of use from offices to 7 apartments,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR25,"""84 North Denes Road, Great Yarmouth""",652861,308956,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2592&p=0,0.03,not owned by a public authority,,permissioned,full planning permission,28/10/2016,,7,,,yes,06/16/0523/F. Sub-division of property to 7 self-contained flats,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR26,"""Former trailer storage yard, Mill Road, Cobholm, Great Yarmouth""",651576,307687,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2593&p=0,0.17,not owned by a public authority,,pending decision,,,,11,,,yes,06/16/0431/F. Redevelopment of site and construction of 11 dwellings,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR27,"""132 Gordon Road, Great Yarmouth""",652212,306700,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2594&p=0,0.12,not owned by a public authority,,pending decision,,,,22,,,yes,06/16/0188/F. Demolition of existing storgae buildings and erection of 22 residential units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR28,"""Northgate Hospital, Great Yarmouth""",652584,308782,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2595&p=0,2.18,owned by a public authority,,pending decision,,,,79,,,yes,"""06/13/0472/O, potential for contaminated land associated with hospital, a Site Investigation Report has been considered with the application"". Erection of up to 79 residential units on former hospital site",20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR29,"""Atlantis Complex, Marine Parade, Great Yarmouth""",653063,307299,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2596&p=0,0.22,not owned by a public authority,,pending decision,,,,18,,,yes,06/15/0769/F. Conversion of upper floors to residential uses,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR30,"""Clere House, Pippin Close, Ormesby St Margaret, Great Yarmouth""",649231,314867,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2597&p=0,0.11,not owned by a public authority,,permissioned,full planning permission,15/12/2016,,7,,,yes,06/16/0140/F. Demolition of care home and construction of 7 dwellings,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR31,"""Great Yarmouth Waterfront""",652016,307914,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2598&p=0,40,mixed ownership,,not permissioned,,,,1000,,,,"""Site Allocation - Policy CS17, contains comtaminated land associated with previous industrial uses and requires signficant flood infrastructure to protect site and surrounding land."". ""Mixture of types and tenures, 300 units delivered within plan period""",20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR32,"""73 Southtown Road, Great Yarmouth""",652223,306748,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2599&p=0,0.18,not owned by a public authority,,permissioned,outline planning permission,04/07/2017,,14,,,yes,06/16/0695/O. Demolition of existing buildings and erection of 14 residential units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR33,"""35-36 South Quay, Great Yarmouth""",652458,307102,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2600&p=0,0.01,not owned by a public authority,,permissioned,,23/08/2017,,14,,,yes,06/16/0593/F. Change of use from doctors surgery to residential units,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR34,"""Former garage, Estcourt Road, Great Yarmouth""",652821,308573,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2601&p=0,0.01,not owned by a public authority,,permissioned,full planning permission,09/10/2017,,6,,,yes,06/17/0455/F. Conversion of existing building to 6 terraced houses,20/12/2017,20/12/2017,
http://opendatacommunities.org/id/district-council/great-yarmouth,Great Yarmouth,BFR35,"""33 Marine Parade, Great Yarmouth""",653066,307732,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2602&p=0,0.01,not owned by a public authority,,pending decision,,,,16,,,,06/16/0784/F. Change of use of first floor from nightclub to form 16 residential flats,20/12/2017,20/12/2017,
