OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS019,FMR HASLINGDEN POLICE STATION,-2.32278,53.7024,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,not owned by a public authority,permissioned,full planning permission,03/10/2016,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQFS00DT02X,yes,,,,2017/0221 - Section 73 application to vary conditions 4 (construction method statement) and 5 (off-site highway works) pursuant to Planning Approval 2016/0320,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS020,"LAND OFF LEES ST, BRITANNIA",-2.18283,53.6919,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWVNDJV796,yes,,,,2006/393 (Reserved Matters) ; 2006/0189.  Houses still awaiting completion.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS021,"FMR OAKENHEAD RESOURCE CENTRE, RAWTENSTALL",-2.29026,53.7039,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.68,not owned by a public authority,not permissioned,,,,yes,,,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS022,"1 LABURNUM STREET, HASLINGDEN",-2.3284,53.7062,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.04,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXANDJV096,yes,,,,Outline permission (2012/0096) expired.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS023,"ALMA ST CHAPEL, BACUP",-2.19855,53.7023,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.1,not owned by a public authority,permissioned,full planning permission,05/09/2017,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQ7OP1NDGWS00,yes,,,,2017/0256,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS024,"BOLTON MILL, COWPE",-2.25185,53.6905,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,not owned by a public authority,not permissioned,,,,,,,,Identified as a potential allocation but no planning history.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS025,"CARR MILL, COWPE ROAD",-2.25244,53.6905,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,not permissioned,,,,,,,,Identified as a potential allocation but no planning history.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS026,"CROFT END MILL, STUBBINS",-2.31297,53.6591,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.44,not owned by a public authority,permissioned,full planning permission,29/03/2017,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O85OP6NDFJY00,yes,,,,2016/0228,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS028,"GLEN MILL, STACKSTEADS",-2.2407,53.6909,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.18,not owned by a public authority,pending decision,outline planning permission,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMX8STNDGNP00,yes,,,,2017/0130,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS029,"GREENBRIDGE MILL, RAWTENSTALL",-2.27883,53.6997,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.24,not owned by a public authority,not permissioned,,,,yes,,,,Identified as a potential allocation but no planning history.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS030,"KNOTT MILL WORKS, MILLAR BARN LANE, WATERFOOT",-2.25074,53.6928,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.06,not owned by a public authority,not permissioned,,,,yes,,,,Identified as a potential allocation but no planning history.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS031,"LAND AT ASHWORTH ROAD, PIERCY (Former Gordon Works)",-2.25017,53.7031,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,permissioned,full planning permission,15/11/2016,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODK4P8NDFZ100,yes,,,,2016/0440,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS032,"LAND AT BLACKWOOD ROAD, STACKSTEADS",-2.23073,53.6884,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.23,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXBNDJV233,yes,,,,2011/0548 - Permission expired as not implemented.,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS033,"LAND BY ST PETER'S SCHOOL, WATERFOOT",-2.25577,53.7001,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.31,not owned by a public authority,not permissioned,,,,,,,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS034,"MAGISTRATES COURT, RAWTENSTALL",-2.29152,53.7003,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.03,not owned by a public authority,permissioned,full planning permission,16/10/2014,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5XRCBNDKLH00,yes,,,,2014/0233,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS035,"OLD MARKET HALL, BACUP",-2.20192,53.7021,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXCNDJV042,,,,,"2010/0101, 2009/0562",15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS036,"PARK ROAD GARAGE SITE, WATERFOOT",-2.24443,53.6955,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.41,not owned by a public authority,not permissioned,,,,yes,,,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS037,REEDSHOLME WORKS,-2.2899,53.7176,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,3.24,not owned by a public authority,permissioned,outline planning permission,22/09/2017,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9AFD5NDFN400,yes,,,,2016/0267 (Outline),15/12/2017,15/12/2017,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS038,"WATERSIDE MILL, BACUP",-2.20301,53.7056,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.17,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZX0NDJV060,,,,,"2000/299 - 
Conversion of mill to 16 no self contained flats",15/12/2017,15/12/2017,
