OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR1,"The Tally Ho Inn, 45 Ploughley Road, Arncott",461025,218018,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.4,Not owned by a public authority,,Permissioned,full planning permission,2017-08-14,https://www.publicaccess.cherwell.gov.uk/online-applications/,9,,,yes,,2017-12-04,2018-12-03,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR2,1 To 4A Church Lane And 12 To 14 Parsons Street Banbury,445507,240613,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.12,Not owned by a public authority,,Permissioned,full planning permission,2016-11-17,https://www.publicaccess.cherwell.gov.uk/online-applications/,8,,,yes,,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR3,"15 - 16 South Bar Street, Banbury",445345,240259,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.02,Not owned by a public authority,,Permissioned,full planning permission,2018-02-13,https://www.publicaccess.cherwell.gov.uk/online-applications/,8,,,yes,,2017-12-04,2018-12-03,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR4,"27 Park Road, Banbury",444776,240472,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.07,Not owned by a public authority,,Permissioned,full planning permission,2015-12-04,https://www.publicaccess.cherwell.gov.uk/online-applications/,6,,,yes,,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR5,"3 West Bar Street, Banbury",445179,240322,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.14,Not owned by a public authority,,Permissioned,full planning permission,2016-12-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,12,,,yes,,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR6,"60 - 62 Broad Street, Banbury",445688,240512,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.06,Not owned by a public authority,,Permissioned,full planning permission,2017-04-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,12,,,yes,,2017-12-04,2018-12-03,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR7,"Admiral Holland, Woodgreen Avenue, Banbury",444442,240624,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.4,Owned by a public authority,,Not permissioned,,,,16,,,yes,This is a council owned site. Planning permission for the demolition of the public house has already been granted.,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR9,"Canalside, Banbury",446105,240254,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,24.78,Mixed ownership,,Not permissioned,,,,649,,,,2018 HELAA site - HELAA258. A Canalside Supplementary Planning Documents is being prepared. Planning permission for 51 homes at Crown House has already been given and is under construction. The 51 homes have been deducted from the total of 700 homes.,2017-12-04,2018-12-03,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR10,"Car Park Edmunds House, 40 South Bar Street, Banbury",445258,240190,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.08,Not owned by a public authority,,Permissioned,full planning permission,2017-07-31,https://www.publicaccess.cherwell.gov.uk/online-applications/,6,,,yes,,2017-12-04,2018-12-03,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR11,"Land at Bolton Road, Banbury",445482,240714,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2,Unknown ownership,,Not permissioned,,,,200,,,,2018 HELAA site - HELAA257.,2017-12-04,2018-12-03,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR12,"Land at Higham Way, Banbury",446500,240186,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,3,Not owned by a public authority,,Not permissioned,,,,150,,,yes,2018 HELAA site - HELAA254.,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR15,"P R Alcock And Sons Ltd, Castle Street, Banbury",445571,240807,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.16,Not owned by a public authority,,Permissioned,full planning permission,2015-11-26,https://www.publicaccess.cherwell.gov.uk/online-applications/,5,,,yes,,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR16,"Poundland, 1 - 6 Malthouse Walk, Banbury",445797,240546,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.07,Not owned by a public authority,,Permissioned,full planning permission,2015-11-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,20,,,yes,,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR17,"The Imperial Oriental, 13 - 14 South Bar Street, Banbury",445346,240268,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.03,Not owned by a public authority,,Not permissioned,,,,7,,,yes,,2017-12-04,2018-12-03,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR18,"The Unicorn, Market Place, Banbury",445612,240640,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.04,Not owned by a public authority,,Permissioned,full planning permission,2017-01-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,7,,,yes,,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR20,"Former Bicester Library, Old Place Yard, Bicester",458354,222208,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,0.04,Owned by a public authority,,Not permissioned,,,,6,,,yes,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011.,2017-12-04,2017-12-04,
