OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,,ROSBS001,"ALBERT MILL, WHITWORTH",-2.17781,53.6531,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.53,not owned by a public authority,,pending decision,,,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQHI00DT00L,49,,,yes,"2012/0588 outline approved; 2018/0498 full planning application withdrawn; 2019/0341 full planning application - minded to grant planning permission. Local Plan Submission version proposes to allocate the site (H65) for 49 dwellings.. Demolition of existing building and erection of 37 no. dwellings and 48  apartments for the over 55s, with associated works.",2017-12-15,2019-12-20,
,,ROSBS007,"REED STREET, BACUP",-2.19613,53.7044,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.42,not owned by a public authority,,permissioned,outline planning permission,2019-11-22,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PD1WOGNDINT00,13,,,yes,"2018/0414 outline planning application approved for 22 dwellings. Local Plan Submission version proposes to allocate the site (H21) for 13 dwellings.. Outline Application (including access, appearance, layout and scale): Residential development of 22 terraced properties.",2017-12-15,2019-12-20,
,,ROSBS009,"HARE AND HOUNDS GARAGE, STACKSTEADS",-2.23197,53.6923,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.15,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIUF3UND02K00,9,,,,2015/0030 - outline approval has expired. Local Plan Submission version proposes to allocate the site (H36) for 9 dwellings.. Demolition of existing workshop/garage and construction of 9 dwellings with access from Four Lane Ends Road,2017-12-15,2019-12-20,
,,ROSBS010,BACUP CONSERVATIVE CLUB,-2.19943,53.7031,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.05,not owned by a public authority,,permissioned,full planning permission,2019-09-19,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NL0FGYNDLPC00,6,,,yes,2015/0085 planning permission for 4 flats; building works started; 2019/0170 planning permission for 6 flats. Conversion of former Conservative Club to 6 no. flats,2017-12-15,2019-12-20,
,,ROSBS011,"FMR COMMERCIAL HOTEL, STACKSTEADS",-2.22431,53.6914,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.04,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQGNCUNDM2Y00,7,,,,Planning permission 2015/0261 has expired 12 November 2018. Local Plan Submission version proposes to allocate the site (H24) for 7 dwellings.. Conversion of public house and two retail units to 7 Apartments,2017-12-15,2019-12-20,
,,ROSBS012,"14 DEARDENGATE, HASLINGDEN",-2.32463,53.7062,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.06,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0H4WBND02K00,6,,,,2016/0001 planning permission expired in March 2019. Conversion of first floor into 6 no. residential flats.,2017-12-15,2019-12-20,
,,ROSBS013,LOVECLOUGH WORKING MENS CLUB,-2.28612,53.7399,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.44,not owned by a public authority,,permissioned,full planning permission,2013-03-11,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXANDJV936,10,,,yes,Extant planning permission. Part of the proposed allocation site H13 in the Local Plan Submission version.. Erection of 10 houses,2017-12-15,2019-12-20,
,,ROSBS017,"SHADLOCK SKIP, STACKSTEADS",-2.236242,53.690626,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.84,not owned by a public authority,,not permissioned,,,,22,,,,Identified as a potential allocation but no planning history.. Local Plan Submission version proposes to allocate for 22 dwellings (Site H35),2017-12-15,2019-12-20,
,,ROSBS019,FMR HASLINGDEN POLICE STATION,-2.32278,53.7024,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,not owned by a public authority,,permissioned,full planning permission,2016-10-03,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQFS00DT02X,8,,,yes,"2017/0221 - Section 73 application to vary conditions 4 (construction method statement) and 5 (off-site highway works) pursuant to Planning Approval 2016/0320. Police station has been demolished. Local Plan submission version proposes to allocate the site (H45) for 8 dwellings.. Demolition of existing police station and erection of 8 No. dwellings, and construction of access, car parking, landscaping and associated works.",2017-12-15,2019-12-20,
,,ROSBS020,"LAND OFF LEES ST, BRITANNIA",-2.18283,53.6919,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,,permissioned,reserved matters approval,2006-11-30,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWVNDJV796,4,,,,2006/393 (Reserved Matters) ; 2006/0189.. Erection of 4 dwellings,2017-12-15,2019-12-20,
