OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,P31,Land adjacent to 50 Jeremy Road Goldthorn Park.,391095,296074,,0.022,Unknown ownership,,Other Commitment,,,04/1188/FP/R,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,32730,Culwell Industrial Estate,392680,299655,,4.2055,Unknown ownership,,Adopted Local Plan,,,08/00104/OUT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,31850,"Cornerstone Veterinary Centre, Northwood Park Road, Bushbury",392447,302992,,0.092,Unknown ownership,,Other Commitment,,,06/0978/OP/R,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,32860,Garage Site Rear Of 104 And 106 Mount Road Lanesfield Wolverhampton West Midlands,392742,294974,,0.0544,Unknown ownership,,Completed During 2016/17,,,12/00268/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,27430,Goldthorn Hill Pumping Station and Allotments,391035,296715,,0.48,Unknown ownership,,Other Commitment,,,08/00223/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,37610,85 Northwood Park Road Wolverhampton West Midlands WV10 8EX,392107,303228,,0.0289,Unknown ownership,,Outline Planning Permission,,,14/00359/OUT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,32700,"Former Dale House, Showell Circus",392458,301500,,0.36,Unknown ownership,,Other Commitment,,,07/01566/OUT / SS0010,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33530,20 Lawley Road Wolverhampton West Midlands WV14 0NB,393965,296910,,0.1137,Unknown ownership,,Full Planning Permission,,,16/00484/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,32710,"New Cross Hospital, Wolverhampton Road",393660,300070,,23.59,Unknown ownership,,Adopted Local Plan,,,08/00696/OUT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33320,Land Adjacent To 1 Howard Road Britannia Road Wolverhampton West Midlands,395781,295170,,0.0608,Unknown ownership,,Full Planning Permission,,,08/00706/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33500,50-52 Willenhall Road Bilston Wolverhampton West Midlands WV14 6NW,395704,297084,,0.1281,Unknown ownership,,Other Commitment,,,07/01652/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,32950,Store Adjacent 35 Claremont Road Wolverhampton West Midlands WV3 0EA,390455,297458,,0.0188,Unknown ownership,,Other Commitment,,,08/00689/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,29850,"Land between 66 & 68 Redcotts Close, The Scotlands",393206,301533,,0.0433,Unknown ownership,,Other Commitment,,,04/0256/FP/R,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,31930,99 Wellington Road Bilston,394090,296963,,0.401,Unknown ownership,,Full Planning Permission,,,16/00482/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,32230,21 Lichfield Street Bilston Wolverhampton West Midlands WV14 0AG,395108,296487,,0.0331,Unknown ownership,,Other Commitment,,,10/00949/EXT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34470,"1 Princess Street, City Centre WV1 1HQ",391569,298657,,0.02,Unknown ownership,,Full Planning Permission,,,10/00226/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34390,"Old Vine PH, Lower Vauxhall",390284,298968,,0.1,Unknown ownership,,Under Construction,,,09/00776/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34770,"Former Sons Of Rest, Hackett Close WV14 9SD",393015,294301,,0.1,Unknown ownership,,Outline Planning Permission,,,10/01153/DWO,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33760,48 Bolton Road Wolverhampton West Midlands WV11 1UA,394566,300006,,0.04,Unknown ownership,,Full Planning Permission,,,12/01245/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34190,1-3 Hunter Street,390292,299662,,0.04,Unknown ownership,,Under Construction,,,10/00008/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35620,"Land adjacent to and rear of 6 Bridgnorth Road, Wolverhampton, West Midlands",388345,298775,,0.28,Unknown ownership,,Under Construction,,,11/00568/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35170,"106 Rosemary Crescent West, Wolverhampton, West Midlands, WV4 5AN",390905,296045,,0.065,Unknown ownership,,Full Planning Permission,,,11/00736/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35640,"60 Avondale Road, Wolverhampton, West Midlands, WV6 0AJ",390110,299388,,0.021,Unknown ownership,,Full Planning Permission,,,16/01198/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35440,"Land adjacent to 26 Rooker Crescent, Wolverhampton, West Midlands, WV2 2DU",392639,296890,,0.049,Unknown ownership,,Full Planning Permission,,,11/01191/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34510,"Oriel Lodge, 796 Stafford Road WV10 6NT",391663,303696,,0.17,Unknown ownership,,Full Planning Permission,,,10/00281/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33690,176 Newhampton Road East Wolverhampton West Midlands WV1 4PQ,390558,299451,,0.04,Unknown ownership,,Other Commitment,,,09/00737/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33900,Garage Site To The Rear Of 15 To 21 Bradley Lane Wolverhampton West Midlands,396169,295314,,0.1,Unknown ownership,,Other Commitment,,,09/00588/DWO,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35120,"57 Wellington Road, Wolverhampton, West Midlands, WV14 6AQ",394597,296755,,0.032,Unknown ownership,,Full Planning Permission,,,11/00359/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,33490,Slade Hill Riches Street Wolverhampton West Midlands WV6 0EJ,389872,299262,,0.3446,Unknown ownership,,Other Commitment,,,11/00674/EXT,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35530,"187 Tettenhall Road, Wolverhampton, West Midlands, WV6 0BZ",389733,299343,,0.1,Unknown ownership,,Full Planning Permission,,,11/01072/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,35450,"122B Castlecroft Road, Castlecroft, Wolverhampton, West Midlands, WV3 8LU",301329,297720,,0.0053,Unknown ownership,,Full Planning Permission,,,11/01199/FUL,,,,,,,
http://opendatacommunities.org/id/metropolitan-district-council/wolverhampton,,34260,1 Wolseley Road,394054,297177,,0.05,Unknown ownership,,Other Commitment,,,09/00502/FUL,,,,,,,
