OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chesterfield,,94,"""Allen & Orr Timber Yard""",438161,371424,https://www.chesterfield.gov.uk/media/824279/94-allen-orr-timber-yard-chesterfield.pdf,0.86,not owned by a public authority,,not permissioned,,,,,1,39,Yes,"Included within draft local plan. The site has no significant physical or environmental constraints and those identified, including access, highway network limitations, heritage impact, air pollution, land stability should be mitigable.",11/12/2018,11/12/2018,
http://opendatacommunities.org/id/district-council/chesterfield,,108,"""Goldwell Rooms (Former) and 6 Ashgate Road, Chesterfield""",437502,371432,https://www.chesterfield.gov.uk/media/562093/108-goldwell-rooms-former-and-6-ashgate-road-chesterfield.pdf,0.62,owned by a public authority,,permissioned,full planning permission,06/11/2019,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=K5L2ZLEP00M00&activeTab=summary&previousCaseNumber=CHE%2F08%2F00553%2FFUL&keyVal=K5L3V6EP00200,,1,70,Yes,"The site is appropriate for residential development in terms of access to centres, services and facilities. Identified constraints are likely to be mitigable.",19/12/2017,11/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,111,"""Ringwood Centre, Victoria Street, Brimington, Chesterfield""",440847,374330,https://www.chesterfield.gov.uk/media/562096/111-ringwood-centre-victoria-street-brimington.pdf,0.97,not owned by a public authority,,permissioned,reserved matters approval,05/04/2016,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OTLJRQEP04100&activeTab=summary&previousCaseNumber=CHE%2F17%2F00533%2FTPO&keyVal=0019FWEPLI000,,37,37,Yes,Site has full planning permission and development is currently underway.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,125,"""292 Manor Road, Brimington, Chesterfield""",440772,371971,https://www.chesterfield.gov.uk/media/562099/125-292-manor-road-brimington-chesterfield.pdf,0.87,not owned by a public authority,,permissioned,reserved matters approval,20/11/2018,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NPO7KTEP00T00&activeTab=summary&previousCaseNumber=CHE%2F15%2F00344%2FOUT&keyVal=000Q6SEPLI000,,26,26,Yes,Site has reserved matters permission.,19/12/2017,11/12/2018,
http://opendatacommunities.org/id/district-council/chesterfield,,126,"""Inkersall Social Club, Inkersall Green, Inkersall""",442200,372862,https://www.chesterfield.gov.uk/media/562102/126-inkersall-social-club-inkersall-green-inkersall.pdf,0.53,unknown ownership,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=KUFQ6DEP01X00&activeTab=summary&previousCaseNumber=CHE%2F09%2F00756%2FOUT&keyVal=0017SQEPLI000,,1,16,Yes,The loss of the site to residential development has been accepted by the Council on the basis of alternative provision being within the same catchment as the Social Club. The site is appropriate for residential development and identified constriants are likely to be mitigable.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,128,"""North East Derbyshire District Council Offices (Former), Saltergate, Chesterfield""",437984,371380,https://www.chesterfield.gov.uk/media/562915/128-former-ne-derbyshire-district-council-offices-saltergate-chesterfield.pdf,0.65,not owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=LW33IPEP02W00&activeTab=summary&previousCaseNumber=CHE%2F11%2F00835%2FCA&keyVal=001A6AEPLI000,,1,29,Yes,"The site is appropriate for residential development, the loss of the offices on the site is policy compliant, there being no overriding planning reasons to protect the premises and land from other town centre uses. Identified constraints are likely to be mitigable. application awaiting decision (care units). Full application awaiting decision.",19/12/2017,10/12/2019,
http://opendatacommunities.org/id/district-council/chesterfield,,145,"""Elm Street, Hollingwood, Brimington,""",440948,374219,https://www.chesterfield.gov.uk/media/562108/145-elm-street-hollingwood-brimington.pdf,0.71,unknown ownership,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=K9JUV7EP00M00&activeTab=summary&previousCaseNumber=CHE%2F08%2F00727%2FFUL&keyVal=IPSH33EPN1000,,1,23,Yes,The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time. Whilst nearby schools are at capacity certain types of residential development would be possible without an increase in demand for school places. Furthermore the potential for expansion of the nearby schools is as yet undetermined. The site has constraints but non appear to be unmitigable and the site is appropriate for residential development.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,150,"""Derwent House HOP, Ulverston Road, Chesterfield""",436807,373029,https://www.chesterfield.gov.uk/media/562111/150-derwent-house-hop-ulverston-road-chesterfield.pdf,0.57,owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=N7DAM7EP00T00&activeTab=summary&previousCaseNumber=CHE%2F14%2F00441%2FDEM&keyVal=0014PGEPLI000,,1,17,Yes,The site is an appropriate location for residential development. Identified constraints are likely to be mitigable.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,151,"""Red House HOP & Spire Lodge, Sheffield Road, Chesterfield""",438477,372363,https://www.chesterfield.gov.uk/media/562114/151-red-house-hop-spire-lodge-sheffield-road-chesterfield.pdf,0.91,owned by a public authority,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=I00PCGEP20000&activeTab=summary&previousCaseNumber=CHE%2F04%2F00537%2FCPO&keyVal=0009EDEPLI000,,1,25,Yes,On the basis that the site would only be available should Derbyshire County Council have concluded that the service/facility provided is no longer necessary the site is an appropriate location for residential development. The constraints posed by Sheffield Road to the west is not significant. Other identified constraints are likely to be mitigable.,19/12/2017,19/12/2017,
http://opendatacommunities.org/id/district-council/chesterfield,,154,"""Ash Glen Nursery (Former), Sheffield Road, Unstone""",437586,375927,https://www.chesterfield.gov.uk/media/562117/154-ash-glen-nursery-former-sheffield-road-unstone.pdf,1.12,unknown ownership,,not permissioned,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=8400130OLD&activeTab=summary&previousCaseNumber=CHE%2F0384%2F0184&keyVal=000DVTEPLI000,,1,30,Yes,The site is not essential to ensuring an adequate supply of employment land or premises in terms of quantity. There is a need for further information on the relationship with adjoining commercial/industrial land uses and whether or not a good level of amenity might be feasible should adjoining land uses continue in commercial/industrial use. The site is not within walking distance of a centre and is not within a Regeneration Priority Area. There is insuffiicent information on the adequacy of education and GP provision in the locality. Accordingly the site is not currently considered to be appropriate for residential development.,19/12/2017,19/12/2017,
