OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR14,"Zenith House (formely Tagent court), Highlands Road, Shirley",-1.807955,52.398414,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-14.pdf,0.55,not owned by a public authority,,permissioned,full planning permission,01/11/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000D2XOELI000,,26,26,N,,23/03/2018,03/12/2018,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR15,95 Tamar Drive,-1.751153,52.502628,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-15.pdf,0.1,not owned by a public authority,,permissioned,full planning permission,15/11/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0006SIOELI000,,11,11,N,,23/03/2018,03/12/2018,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR16,"Cleobury Barn, Cleobury Lane",-1.838665,52.375921,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-16.pdf,0.1,not owned by a public authority,,permissioned,full planning permission,05/04/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OLTKS3OE03G00,,1,1,Y,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR17,"Garage Oakfield Farm, Bradnocks Marsh Lane",-1.675695,52.408733,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-17.pdf,0.08,not owned by a public authority,,permissioned,full planning permission,27/02/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OFPGA8OE03G00,,1,1,Y,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR18,"Stable Cottage, Warwick Road",-1.699148,52.355969,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-18.pdf,0.03,not owned by a public authority,,permissioned,full planning permission,13/06/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000Q8BOELI000,,1,1,N,,23/03/2018,03/12/2018,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR20,"Wyevale Garden Centre, Barston Lane, Barston",-1.714313,52.408734,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-20.pdf,2.15,not owned by a public authority,,permissioned,full planning permission,29/08/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000EWZOELI000,,30,30,Y,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR21,"Land to Rear of 242 Prince of Wales Lane, Solihull Lodge",-1.868466,52.406875,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-21.pdf,0.03,not owned by a public authority,,permissioned,full planning permission,04/10/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0020UVOELI000,,1,1,Y,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR22,"Village Hall, 3 Elmdon Lane",-1.744966,52.464309,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-22.pdf,0.26,not owned by a public authority,,permissioned,full planning permission,22/12/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0011GDOELI000,,10,10,Y,,23/03/2018,03/12/2018,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR23,"Site 11 - Powergen, Haslucks Green Road, Shirley west",-1.830375,52.415565,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-23.pdf,1.49,mixed ownership,,permissioned,full planning permission,14/06/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0005G2OELI000,,261,261,N,,23/03/2018,03/12/2018,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR25,"1 Hermitage Road, Solihull B91 2FW",-1.776282,52.42193,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-25.pdf,0.01,owned by a public authority,,permissioned,full planning permission,22/06/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00024OOELI000,,2,2,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR26,"Sapphire House (West), Streetsbrook Road, Solihull B91 1RD",-1.792215,52.417167,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-26.pdf,0.83,not owned by a public authority,,permissioned,other,16/03/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001Q1AOELI000,,105,105,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR27,"Sapphire House (East), Streetsbrook Road, Solihull B91 1RD",-1.791041,52.416599,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-27.pdf,0.77,not owned by a public authority,,permissioned,other,16/03/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001Q1AOELI000,,111,111,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR28,"Marlborough House, 679 Warwick Road, Solihull B91 3DA",-1.777799,52.415478,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-28.pdf,0.09,not owned by a public authority,,permissioned,full planning permission,16/03/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000R4JOELI000,,4,4,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR29,"Hedgerows, Cleobury Lane, Earlswood B94 6AF",-1.836628,52.374543,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-29.pdf,0.4,not owned by a public authority,,permissioned,full planning permission,18/05/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DGFOELI000,,2,2,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR30,"Yew Tree Cottage, Box Trees Road, Hockley Heath B94 6EB",-1.77487,52.36698,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-30.pdf,0.14,not owned by a public authority,,permissioned,full planning permission,01/06/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YFJOELI000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR31,"Keepers Cottage, 22 Park Road, Solihull B91 3SU",-1.772338,52.411107,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-31.pdf,0.06,not owned by a public authority,,permissioned,full planning permission,15/07/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DLMOELI000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR32,"Beechnut House, 36 School Lane, Solihull B91 2QQ",-1.767278,52.417058,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-32.pdf,0.17,not owned by a public authority,,permissioned,full planning permission,15/08/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0005NXOELI000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR33,"Beanit Livery Yard, Hob Lane, Burton Green CV7 7GX",-1.622922,52.379233,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-33.pdf,0.59,not owned by a public authority,,permissioned,full planning permission,24/11/2016,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MSP5DYOE00300,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR34,"17 Newborough Road, Shirley, B90 2HA",-1.835374,52.411563,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-34.pdf,0.03,not owned by a public authority,,permissioned,full planning permission,26/01/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0005G9OELI000,,7,7,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR35,"179-189 Warwick Road, Olton B92 7AW",-1.804374,52.437218,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-35.pdf,0.18,not owned by a public authority,,permissioned,full planning permission,12/04/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001SWAOELI000,,7,7,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR36,"Mason House, Green Lane, Shirley B90 1AF",-1.846652,52.402723,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-36.pdf,1.07,not owned by a public authority,,permissioned,full planning permission,11/08/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00066KOELI000,,13,13,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR37,"Five Oaks, Church Lane, Meriden CV7 7HX",-1.628014,52.434044,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-37.pdf,0.24,not owned by a public authority,,permissioned,full planning permission,11/10/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NMHROKOE03G00,,1,1,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR38,"36 Hazeloak Road, Shirley B90 2AY",-1.83293,52.404951,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-38.pdf,10.06,not owned by a public authority,,permissioned,full planning permission,17/11/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0002UPOELI000,,4,4,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR39,"Linacre House, Heathmere Drive, Fordbridge B37 5EW",-1.755202,52.479146,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-39.pdf,0.09,owned by a public authority,,permissioned,full planning permission,19/12/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000BKAOELI000,,2,2,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR40,"144 Stratford Road, Shirley B90 3BB",-1.828028,52.414177,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-40.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,18/12/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000G6GOELI000,,2,2,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR41,"293 Lugtrout Lane, Catherine de Barnes B91 2TW",-1.747596,52.423886,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-41.pdf,0.15,not owned by a public authority,,permissioned,full planning permission,05/01/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000FKXOELI000,,1,1,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR42,"Building & land opposite 26 Houndsfield Lane, Tidbury Green B90 1PR",-1.852213,52.387752,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-42.pdf,0.14,not owned by a public authority,,permissioned,full planning permission,13/12/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OJXAJ3OE03G00,,2,2,Y,,03/12/2018,09/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR43,"20, Lock House, Waterside, Dickens Heath B90 1UD",-1.83551,52.382893,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-43.pdf,0.03,not owned by a public authority,,permissioned,other,13/07/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=K6K95COE00300,,1,1,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR44,"Regent House/Royal House/Consort House, Princes Gate 2-6 Homer Road, Solihull B91 3QQ",-1.785967,52.413767,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-44.pdf,0.89,not owned by a public authority,,permissioned,other,21/06/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000RKKOELI000,,100,100,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR45,"The Green, Stratford Road, Shirley B90 4LA",-1.817754,52.39575,http://www.solihull.gov.uk/Portals/0/Planning/BLR/CfS-124.pdf,1.53,mixed ownership,,permissioned,full planning permission,07/09/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=J1VP3TOE30000,,66,66,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR46,"33 Elmdon Road, Marston Green B37 7BU",-1.746452,52.464456,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-46.pdf,0.12,not owned by a public authority,,permissioned,full planning permission,23/03/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0011LDOELI000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR47,"Berkswell Museum, Lavender Hall Lane, Berkswell CV7 7BL",-1.64182,52.409274,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-47.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,05/04/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IB6H3LOE20000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR48,"Shiloh, Hob Lane, Burton Green CV7",-1.63182,52.381437,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-48.pdf,0.15,not owned by a public authority,,permissioned,full planning permission,30/04/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000XX6OELI000,,1,1,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR49,"1-3 Thimble Lane & 1678-1680High Street, Knowle B93 0LY",-1.733946,52.387698,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-49.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,25/04/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0007TSOELI000,,3,3,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR50,"167a Wood Lane, Earlswood B94 5JL",-1.843062,52.366407,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-50.pdf,0.39,not owned by a public authority,,permissioned,outline planning permission,01/05/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001S15OELI000,,3,3,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR51,"354 Bradford Road, Castle Bromwich B36 9AE",-1.77215,52.501789,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-51.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,08/06/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0006CBOELI000,,3,3,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR52,"Shirley Police Station, Stratford Road, Shirley B90 3AR",-1.825063,52.409345,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-52.pdf,0.19,owned by a public authority,,permissioned,full planning permission,18/06/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000QAEOELI000,,32,32,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR53,"Grand View, Birmingham Road, Millisons Wood CV7 7HY",-1.620444,52.435126,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-53.pdf,0.25,not owned by a public authority,,permissioned,full planning permission,29/06/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000CXSOELI000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR54,"De Mulder Enterprises Ltd, Fillongley Road, Meriden CV7 7HU",-1.62187,52.45418,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-54.pdf,0.11,not owned by a public authority,,permissioned,other,16/07/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000GCVOELI000,,1,1,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR55,"73 Cranmore Road, Shirley B90 4PU",-1.810514,52.397869,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-55.pdf,0.03,not owned by a public authority,,permissioned,full planning permission,12/07/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0009BZOELI000,,3,3,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR56,"69-71 Cranmore Road, Shirley B90 4PU",-1.810676,52.397942,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-56.pdf,0.05,not owned by a public authority,,permissioned,full planning permission,12/07/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0009DXOELI000,,6,6,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR57,"Luna Rose and Knowle Interiors, (#20), St Johns Way, Knowle B93 0LE",-1.736507,52.389556,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-57.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,18/07/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000QRUOELI000,,2,2,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR58,"Luna Rose and Knowle Interiors, (#5), St Johns Way, Knowle B93 0LE",-1.736213,52.389591,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-58.pdf,0.01,not owned by a public authority,,permissioned,full planning permission,18/07/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000QRUOELI000,,2,2,Y,,03/12/2018,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR59,"46B Castle Lane, Olton, B92 8DD",-1.796562,52.437349,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-59.pdf,0.01,not owned by a public authority,,permissioned,full planning permission,20/08/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000IXIOELI000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR60,"Grange Farm, Fillongley Road, Meriden CV7 7HU",-1.627936,52.446881,http://www.solihull.gov.uk/Portals/0/Planning/BLR/PR-60.pdf,0.01,not owned by a public authority,,permissioned,full planning permission,24/08/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000Z4JOELI000,,1,1,N,,03/12/2018,,09/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR61,"Land rear of 214, Cooks Lane, Kingshurst  B37 6NH",-1.75269,52.485982,https://www.solihull.gov.uk/Portals/0/Planning/BLR/PR61.pdf,0.2,not owned by a public authority,,permissioned,full planning permission,29/11/2018,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ZLSOELI000,,8,8,Y,,09/12/2019,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR62,"Spar Stores, 1 The Green, Meriden CV7 7LN",-1.649295,52.43811,https://www.solihull.gov.uk/Portals/0/Planning/BLR/PR62.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,24/04/2019,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DVBOELI000,,2,2,Y,,09/12/2019,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR63,"Kixley Farm, Kixley Lane, Knowle B93 0JF",-1.724545,52.391992,https://www.solihull.gov.uk/Portals/0/Planning/BLR/PR63.pdf,0.38,not owned by a public authority,,permissioned,outline planning permission,11/03/2019,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YUVOELI000,,1,1,Y,,09/12/2019,,
http://opendatacommunities.org/id/metropolitan-district-council/solihull,,PR64,"The Green, Stratford Road, Shirley B90 4LA",-1.817754,52.39575,http://www.solihull.gov.uk/Portals/0/Planning/BLR/CfS-124.pdf,19.84,mixed ownership,,permissioned,outline planning permission,28/03/2019,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=J1VP3TOE30000,,330,330,Y,,09/12/2019,,
