OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.02,"""The Paddocks Trading Estate, Cherry Hinton Road""",547446.998,256577.913,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-02.pdf,2.80,not owned by a public authority,,not permissioned,,,https://idox.cambridge.gov.uk/online-applications/,,,,"
""Housing Allocation""
https://www.cambridge.gov.uk/local-plan-2006",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.04,"""379-381 Milton Road""",546619.060,261244.074,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-04.pdf,2.41,not owned by a public authority,,not permissioned,,,https://idox.cambridge.gov.uk/online-applications/,,,,"
""Housing Allocation""
https://www.cambridge.gov.uk/local-plan-2006",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.06,"""British Telecom Site, Long Road""",545064.283,255778.919,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-06.pdf,1.67,not owned by a public authority,,not permissioned,,,https://idox.cambridge.gov.uk/online-applications/,,,,"
""Housing Allocation""
https://www.cambridge.gov.uk/local-plan-2006",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.07,"""Willowcroft, Histon Road""",544220.193,259937.570,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-07.pdf,1.47,mixed ownership,,permissioned,full planning permission,,https://idox.cambridge.gov.uk/online-applications/,,,yes,"Part of site permissioned: See planning applications 14/1254/FUL, 15/1286/S73, 15/1369/FUl and 17/0412/S73
""Housing Allocation""
https://idox.cambridge.gov.uk/online-applications/",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.12,"""Land at Parkside Police Station, Parkside""",545691.022,258277.711,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-12.pdf,0.48,owned by a public authority,,not permissioned,,,https://idox.cambridge.gov.uk/online-applications/,,,,"""Part of larger allocation including the firestation site, which has now been redeveloped""
""Housing Allocation""
https://www.cambridge.gov.uk/local-plan-2006",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.14,"""Ridgeons, Cavendish Road""",546680.139,258090.985,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-14.pdf,0.80,not owned by a public authority,,pending decision,,,https://idox.cambridge.gov.uk/online-applications/,,,yes,"""Application 16/1904/OUT pending consideration for larger site area""
""Housing Allocation""
https://idox.cambridge.gov.uk/online-applications/",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.15,"""Henry Giles House Chesterton Road""",544969.453,259404.970,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-15.pdf,0.77,mixed ownership,,not permissioned,,,https://idox.cambridge.gov.uk/online-applications/,,,,"
""Housing Allocation""
https://www.cambridge.gov.uk/local-plan-2006",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,5.18,"""Sandy Lane""",545884.324,259576.279,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-5-18.pdf,0.60,not owned by a public authority,,permissioned,full planning permission,2005-05-20,https://idox.cambridge.gov.uk/online-applications/,,,,"""Three applications on site: 03/0406/FUL, 03/1241/FUL and 06/1305/FUL""
""Residential""
https://idox.cambridge.gov.uk/online-applications/",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,9.04,"""Cambridge Northern Fringe East""",547540.226,261495.530,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-9-04.pdf,52.64,mixed ownership,,not permissioned,,,https://idox.cambridge.gov.uk/online-applications/,,,,"""Minimum number of dwellings has not yet been determined. Larger site proposed through emerging Local Plan""
""Mixed-use Area Action Plan Designation""
https://www.cambridge.gov.uk/cambridge-northern-fringe-east-area-action-plan",2017-12-15,2017-12-15,
http://opendatacommunities.org/id/district-council/cambridge,Cambridge City Council,06/0552/FUL,"""Betjeman House Broadcasting House Botanic House and Public Houses at 106 -108 Hills Road""",545789.674,257244.574,https://www.cambridge.gov.uk/sites/default/files/brownfield-site-06-0552-ful.pdf,0.70,not owned by a public authority,,permissioned,full planning permission,2001-08-02,https://idox.cambridge.gov.uk/online-applications/,,,,"""Also housing allocation 7.02 in the Cambridge Local Plan 2006. The Botanic House building has been redeveloped""
""156 residential units including 40% affordable housing""
https://idox.cambridge.gov.uk/online-applications/",2017-12-15,2017-12-15,
