OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,31NH,"""Newhaven Marina, Fort Road, Newhaven""",4040581.89,3741.53,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,5.7,not owned by a public authority,,permissioned,full planning permission,2012-07-26,,,,Yes,". ""Erection of 319 residential apartments & 12 town houses arranged in 11 blocks (between 3 & 9 storeys high) with car parking""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR03,"""Marco Trailers, Railway Road, Newhaven""",4039925.07,3917.53,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,1.43,not owned by a public authority,,permissioned,full planning permission,2017-06-16,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015MSJDLI000,,,Yes,". ""The proposals provide for 10 No dwellings each of gross floor area of approximately 144m2""
over 3 floors one of which comprises entirely garage and utility areas.",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,19PT,"""The Old Motel Site, 1 South Coast Road, Peacehaven""",4040412.16,1458.35,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.42,not owned by a public authority,,pending decision,,,,,,Yes,". ""Planning approval granted July 2012 for 25 units now lapsed, recent application submitted June 2015 (LW/15/0462) for 26 units – approved subject to S106""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,64PT,"""Peacehaven Police Station and Car Park, 264 South Coast Road, Peacehaven""",4039984.57,343.62,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.12,not owned by a public authority,,permissioned,full planning permission,2017-05-04,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWGMTFJD1W000,,,Yes,". ""Demolition of existing buildings and redevelopment to form 31 one and two bedroom sheltered apartments for the elderly including communal facilities, access, car parking and landscaping""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR05,"""184 South Coast Road, Peacehaven""",4040084.5,207.17,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.1,not owned by a public authority,,permissioned,full planning permission,2015-06-10,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LTNZUAJD1W000,,,Yes,". ""Creation of an additional storey and alterations to ground floor layout to the block of flats approved under LW/11/1318 to provide a total of 10 flats and 1 retail unit plus revisions to the external treatment of the building""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR06,"""272 South Coast Road, Peacehaven""",4039971.49,-413.2,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.05,not owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ4IJDXD369,,,,". ""Application is for change of use and conversion of a former Heating Engineers offices and depot (Sui generis use) to 8 residential apartments""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,02RG,"""Diplocks Yard, Bishops Lane, Ringmer""",4030922.32,4248.85,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,1,not owned by a public authority,,permissioned,full planning permission,2017-06-22,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ43JDXD821,,,Yes,". ""Demolition of commercial buildings, retention of industrial units and erection of 10 dwellings with garages, parking, replacement access road and external works""",2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,15RG,"""Busy Bee Garage, Lewes Road Ringmer""",4031215.23,4221.62,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.12,not owned by a public authority,,not permissioned,,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,36RG,"""Shopping precinct, Springett Avenue, Ringmer""",4031288.71,4019.97,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.49,not owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRVQ8ZJDK4600,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,24SF,"""Station Approach/ Dane Road, Seaford""",4041676.28,7081.87,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,0.03,not owned by a public authority,,not permissioned,,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KREM3MJD00G00,,,,,2017-12-21,2017-12-21,
