OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR1,396584,269318,0.48,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR2,398856,271440,1.213,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR3,396627,269830,0.32,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR4,394552,288474,8.5,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR5,38995,279775,0.239,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR6,395111,271919,0.27,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR7,398727,272059,2.06,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR8,395144,269751,0.28,,
http://opendatacommunities.org/id/district-council/bromsgrove,BBLR9,402739,272841,0.25,,
http://opendatacommunities.org/doc/district-council/bromsgrove,BBLR10,400390,267409,0.81,,
