OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0002,"Land south of Graylingwell Drive, Chichester, West Sussex",-0.771201,50.852481,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30974,7.42,owned by a public authority,,permissioned,reserved matters approval,2017-01-20,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0003,"St Wilfrids Hospice, Grosvenor Road, Donnington, West Sussex, PO19 8FP",-0.784682,50.825203,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30975,0.68,not owned by a public authority,,permissioned,outline planning permission,2015-11-11,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0004,"Home Farm Hostel, Chichester Road, Selsey, West Sussex, PO20 9DX",,,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30976,0.14,not owned by a public authority,,permissioned,full planning permission,2017-06-21,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0005,"Land west of Maddoxwood Cottage, Lavant Road, Chichester, PO19 5RD",-0.784978,50.85919,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30977,0.5,not owned by a public authority,,permissioned,full planning permission,2018-08-15,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,Allocated for housing development within the made Lavant Neighbourhood Development Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0007,"Brewhurst Mill, Brewhurst Lane, Loxwood, Billingshurst, West Sussex, RH14 0RJ",-0.508624,51.06946,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30978,1.47,not owned by a public authority,,permissioned,full planning permission,2015-10-14,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0008,"Co-operative Food, Malcolm Road, Tangmere, Chichester, West Sussex, PO20 2HS",-0.716976,50.851421,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30979,0.27,not owned by a public authority,,permissioned,full planning permission,2017-03-14,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0009,"Land at the Tannery, Westgate, Chichester, West Sussex, PO19 3HN",-0.788437,50.835889,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30980,0.55,owned by a public authority,,not permissioned,,,,,,,Density calculated using 30 dwellings per hectare,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0010,"Metro House, Northgate, Chichester, West Sussex, PO19 3HN",-0.778902,50.840493,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30981,0.2,not owned by a public authority,,not permissioned,,,,,,,Density calculated using 30 dwellings per hectare,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0011,"Land at Police Station, Kingsham Road, Chichester, PO19 8AD",-0.777759,50.830949,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30982,0.69,owned by a public authority,,not permissioned,,,,,,,Density calculated using 30 dwellings per hectare,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0012,"Former Portfield Depot and UMA House, Oving, Chichester, West Sussex, PO19 7UW",-0.751196,50.838761,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30983,2.15,not owned by a public authority,,permissioned,outline planning permission,2017-03-01,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,571 student bedspaces equivalent to 130 dwellings,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0013,"Tangmere Academy, Bishops Road, Tangmere, West Sussex, PO20 2JB",-0.713131,50.853834,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30984,1.21,owned by a public authority,,not permissioned,,,,,,,Allocated for housing development within the made Tangmere Neighbourhood Development Plan. Density calculated using 30 dwellings per hectare,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0014,"98 Fishbourne Road, Fishbourne, West Sussex, PO19 3JL",-0.811002,50.835933,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30985,0.33,not owned by a public authority,,permissioned,full planning permission,2018-05-31,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0015,"Clark's Yard, Billingshurst Road, Wisborough Green",-0.498607,51.021256,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30986,0.6,not owned by a public authority,,not permissioned,,,,,,,Allocated for housing development within the made Wisborough Green Neighbourhood Development Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0016,"Jutland House, Kiln Drive (Lion Park), Hambrook, PO18 8FJ",-0.883735,50.846318,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30987,0.16,not owned by a public authority,,permissioned,full planning permission,2017-12-01,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,,2018-12-31,2018-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0017,"Greenacre Nursery, Main Road, Chidham, PO18 8TP",-0.880723,50.841604,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30988,0.75,not owned by a public authority,,permissioned,outline planning permission,2018-04-18,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=OIJAOZERLME00&activeTab=summary,,,yes,,2018-12-31,2018-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0018,"Royal Oak, Stocks Lane, East Wittering, West Sussex, PO20 8BS",,,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30989,0.24,not owned by a public authority,,permissioned,full planning permission,2018-07-23,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,,yes,,2018-12-31,2018-12-31,
http://opendatacommunities.org/id/district-council/chichester,Chichester District Council,BLR0019,49-51 Fishbourne Road East,-0.804074,50.835304,http://www.chichester.gov.uk/CHttpHandler.ashx?id=31066,0.62,not owned by a public authority,,permissioned,full planning permission,2018-12-05,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=OPBR5TERFWN00&activeTab=summary,,,yes,,2018-12-31,2018-12-31,
