OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH02,-3.55662,50.3982,4.53,20,30,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH03,-3.56542,50.395,0.14,4,8,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH05,-3.51716,50.4003,0.29,8,15,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH06,-3.51733,50.3926,0.32,8,15,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH07,-3.51997,50.3919,0.19,5,10,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH08,-3.50852,50.3903,0.15,6,12,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH09,-3.52697,50.3839,0.2,4,7,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH10,-3.51482,50.3836,0.21,5,9,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,BPNPH11,-3.51356,50.3831,0.79,13,25,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,PNPH03,-3.55617,50.447564,0.17,10,20,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,PNPH05,-3.56002,50.4445,0.04,3,6,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,PNPH06,-3.56155,50.4431,0.15,4,8,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,PNPH08,-3.57341,50.4381,0.21,4,8,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,PNPH09,-3.55921,50.4387,0.03,6,12,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,PNPH11,-3.56549,50.4363,0.89,70,150,2016-06-24,2017-12-13,
http://opendatacommunities.org/id/unitary-authority/torbay,PNPH12,-3.55959,50.4367,0.17,10,20,2016-06-24,2017-12-13,
