OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF001,ETRS89,-1.464039874,52.50850573,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,The site comprises of former allotment land adjoining the canal,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF002,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.498977539,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,"The site comprises of informal car parking, a residential property and club with some old industrial buildings.",2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF003,ETRS89,-1.459777868,52.52202534,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,The site comprises of light industrial/office/education  buildings and associated parking.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF004,ETRS89,-1.460220774,52.52196443,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,"""This is a clear site with rubble hard-core in situ.",,,,
"The site is adjacent to BF003""""""",2017-12-31,,,,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF005,ETRS89,-1.463804259,52.48550813,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,The site comprises of a series of lock-ups and garages on an existing estate. The surrounding hard standing has overgrown and is now derelict. This site offers good infill opportunity.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF006,ETRS89,-1.510772624,52.47560642,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,The site is scrub land and an area of informal parking. The site is adjacent to a popular well maintained pub.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF007,ETRS89,-1.417343853,52.4764877,,
Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),,,,,,
"Planning permission granted for 14 dwellings""""""",,"""Existing public house",garden and carpark.,,,
"Planning permission was granted on 13/04/2017 for 14 dwellings Ref: 034236""""",,,,,,
",2017-12-31,2017-12-31,OSGB36,439671,286664,SHLAA:NUN065
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,Nuneaton and Bedworth Borough Council,BF008,,""""Rear of Park Road flats",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,owned by a public authority,yes,not permissioned,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Vacant land - disused play area,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF009,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.464397818,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Previously used as garage courts and parking,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF010,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.469164039,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Council depot site. The depot has  relocated.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF011,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.483805848,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,"""Formerly Council owned garages in a residential area.",,,,
"Application for 13 dwellings Ref 032092 was refused on 6/11/2013""""""",2017-12-31,,,,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF012,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.468723568,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,"""The site is a small area of hardstanding used partly as a carpark and open space. The site is part of the old Engine House.",,,,
"The site is located in a residential estate.""""""",2017-12-31,,,,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF013,ETRS89,-1.508786948,52.51643093,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Existing garage/parking court shops with flats above.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF014,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.455950915,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Commercial and Residential unit in a local centre with existing residential properties.  There is a public house (The Fox) to the south and a Liberal Club to the north.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF015,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.475103994,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,The site consists of a wooden Scout Hut and derelict land.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF016,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.433024592,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,The site is located in the Greenbelt consisting of farm buildings and farmland.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF017,ETRS89,-1.460847621,52.48402934,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Garage and parking site.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF018,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.498256559,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,"Former prefab site, the site has been cleared and laid out.",2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF019,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.45846103,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Disused garage site. Some garages have been demolished.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF020,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.479200755,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,The site was a former garage site that was demolished and changed to a play area. The play area has now been demolished and the site is part grass/ part concrete.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF021,"CV12 9BH""""""",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,,
"Allocated as a proposed Non-strategic site in the """"Borough Plan 2011-2031 Publication (2017)""""""""""",,Community centre and play area. No longer in use.,2017-12-31,2017-12-31,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF022,ETRS89,-1.470832023,52.48155713,"""Planning permission 012181 granted consent for 19 dwellings. 10 flats are complete and have been for a number of years",but they have never been occupied. The 9 houses are yet to be built.
"The planning permission is extant.""""""",2017-12-31,,,,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF023,ETRS89,-1.509650173,52.4613345,"Planning permission 012088. Some trench foundations have been dug, but no dwellings have been built. The site is overgrown, but considered Extant",2017-12-31
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF024,ETRS89,-1.493531589,52.51285171,"""Planning permission 010399. Some works on site have commenced but no dwellings have been built. The site is overgrown",but considered extant.
October 2017 land For Sale with Howkins & Harrison,2017-12-31,FPP:953,,,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF025,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.480888452,,"""Planning Permission 010197. Some works on site have commenced but no dwellings have been built. The site is overgrown"
"October 2017 the site For Sale with Loveitts.""""""",2017-12-31,,,,,
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF026,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.46982685,,The site presently comprises of two single story bungalows. Planning permission  Ref: 032373 gives permission for the existing bungalows to be demolished.
http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,BF027,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,ETRS89,-1.468108204,,"Planning permission Ref: 032815 gives permission for 28 apartments and 2 houses. There is currently a disused Public House and former Cinema on the development site, both are in a poor condition."
