OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/newcastle-staffs,AB17,"Former working men's club, New Road, Audley",-2.292382,53.055588,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSLI1MBMGW500,0.33,not owned by a public authority,,permissioned,full planning permission,2016-05-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016SIBMLI000,,,yes,15/00692/FUL - Erection of 12 dwellings. Now completed,2017-12-18,2019-12-12,2019-05-22
http://opendatacommunities.org/id/district-council/newcastle-staffs,AB29,"Land at Wedgewood Avenue, Wood Lane",-2.284465,53.04953,,0.16,not owned by a public authority,,not permissioned,,,,,,,Site promoted by registered provider,2019-12-12,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,BL24,"Land adjacent 31 Banbury Street, Talke",-2.258781,53.084966,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MZJMHBBM4V000,0.27,not owned by a public authority,,not permissioned,,2016-03-14,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001NSIBMLI000,,,,14/00027/FUL - Erection of 13 dwellings. Now lapsed,2017-12-18,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,BL7,West Avenue (North West Site) Kidsgrove,-2.267113,53.087567,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PYA1YPBM01S00,0.98,not owned by a public authority,,pending decision,full planning permission,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O2PBMLI000,,,,"19/00760/FUL - Residential development for 71 dwellings, 53 dwellinghouses and 18 apartments. Pending decision",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,BL8,"Land adjacent to roundabout at West Avenue, Kidsgrove",-2.265407,53.086337,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNMN7MBMN3F00,1.42,not owned by a public authority,,permissioned,outline planning permission,2016-09-07,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017IRBMLI000,,,yes,15/00368/OUT - Residential development for 44 dwellings,2017-12-18,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,CH12,"Land between Johnson Avenue and Liverpool Road, Cross Heath",-2.236159,53.027163,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KEA2Q4BM06500,0.23,not owned by a public authority,,permissioned,full planning permission,2009-03-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015ADBMLI000,,,,09/00045/FUL - Demolition of existing bungalow and erection of eight dwellings,2019-12-12,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,CH4,"Wilmott Drive, Cross Heath, Newcastle-under-Lyme",-2.243963,53.023674,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOB4WBMK6800,8.79,not owned by a public authority,,permissioned,full planning permission,2018-05-16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IIY4TKBMY3000,,,yes,17/00281/FUL - Development of 276 dwellings,2017-12-18,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,CT12,"Dragon Square, Rosevale Court",-2.253582,53.043811,,0.35,not owned by a public authority,,not permissioned,,,,,,,Site promoted by registered provider,2019-12-12,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,CT13,"Heathcote Street, Chesterton (Chesterton Ex-Servicemens Club)",-2.250345,53.043764,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PC1SPJBMJF700,0.1,not owned by a public authority,,permissioned,full planning permission,2019-03-08,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,,,yes,18/00559/FUL - Proposed 10 no. two bedroom self contained flats,2017-12-18,2019-12-12,
http://opendatacommunities.org/id/district-council/newcastle-staffs,CT22,Ex Servicemens Club Heathcote Street,-2.250515,53.043873,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQ3EWWBMH0G00,0.31,not owned by a public authority,,permissioned,full planning permission,2017-09-28,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,,,yes,17/00417/FUL - Residential development of 14 dwellings. Now completed,2017-12-18,2019-12-12,2019-05-22
