OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/02727/BRWN,"Dell Mount, Bedford Road, Houghton Regis",-0.524563,51.908063,https://centralbedfordshire.box.com/s/xxa8354gzmoun3pxde5v4j3r0wmoathk,0.75,not owned by a public authority,,not permissioned,,,,20,25,,"Existing Gospel Hall. Promoted for redevelopment, will be subsumed within HRN development. 2015 pre-app for demolition/erection of 20-25 dwellings",2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/02732/BRWN,"Henlow Greyhound Stadium, Bedford Road, Lower Stondon",-0.307983,52.008922,https://centralbedfordshire.box.com/s/q7d3ldacyghgb7dlzy8c52jcpvx07w97,2.85,not owned by a public authority,,not permissioned,,,,53,77,,Greyhound Racing Stadium - commercial & leisure. Adjacent to Henlow Airfield and Lower Stondon,2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/02756/BRWN,"Meppershall Nursing Home, Shefford Road, Meppershall",-0.334809,52.022998,https://centralbedfordshire.box.com/s/r3v8jiqcjmr20e5yay5az027d4xnr6sz,1.1,not owned by a public authority,,not permissioned,,,,30,40,,Existing care home in operation adjacent to the village boundary. Narrow site access may be an issue,2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/02767/BRWN,"Former Trico Site, High Street North, Dunstable",-0.535667,51.89431,https://centralbedfordshire.box.com/s/nj9toe9b9ilc1xbe9zdz1b04sphdrp0s,1.19,not owned by a public authority,,not permissioned,full planning permission,2017-09-29,,60,70,,Part of larger redeveloped site in Dunstable,2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/02769/BRWN,"Dukeminster Estate, Church Street, Dunstable",-0.514494,51.888524,https://centralbedfordshire.box.com/s/hb0ntrke3j2tg5an6fvwkuav6ydwxc9g,5.04,not owned by a public authority,,permissioned,reserved matters approval,2016-03-16,,170,170,,Site benefits from planning permission for 170 dwellings,2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/02794/BRWN,"Former Interbrew, Eastern Avenue Industrial Estate, Eastern Avenue, Dunstable",-0.505483,51.885937,https://centralbedfordshire.box.com/s/pgjihz0u96htke5optnsr273aqh8k7x8,3.19,not owned by a public authority,,permissioned,outline planning permission,2016-08-31,,100,100,,Outline Planning Permission for 100 dwellings,2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/03020/BRWN,"Roker Park, The Green, Stotfold",-0.224024,52.021866,https://centralbedfordshire.box.com/s/vwve6jdjte4xq97epi2czs6jc46hm956,1.39,owned by a public authority,,pending decision,full planning permission,,,43,62,,Extant planning permission for 43 dwellings,2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/16/03103/BRWN,"Peckworth Industrial Estate, Bedford Road, Lower Stondon",-0.305035,52.00673,https://centralbedfordshire.box.com/s/56lym1tbgbkootvfygc3ndr316zbwgc0,0.38,not owned by a public authority,,not permissioned,,,,13,13,,Site allocation HA29 (North CBC Site Allocation DPD). No planning application to date,2016-07-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/17/05977/BRWN,"RAF Henlow, Henlow",-0.30209,52.014088,https://centralbedfordshire.box.com/s/ff6xgoz8sgp0y0ph9l5mpig2957ezpa3,2.2E+2,owned by a public authority,,not permissioned,,,,700,1000,,Site constraints exist which require significant mitigation,2017-12-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/17/05982/BRWN,"Land North of Dawes Garage, 25 High Road, Shillington",-0.357088,51.995716,https://centralbedfordshire.box.com/s/n7gyh9bwen40at0067qwtvs1idoruow9,2.3,not owned by a public authority,,not permissioned,,,,23,42,,Site contains agricultural buildings which require demolition,2017-12-18,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/18/04745/BRWN,"Land r/o Hilldene Close, Steppingley Road",-0.497574,52.005819,https://centralbedfordshire.box.com/s/w5t1cdrgmk4enwg8cs5zrgifrzn3r79p,0.76,not owned by a public authority,,permissioned,full planning permission,2016-09-21,,56,56,,,2018-11-19,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/18/04775/BRWN,"Land at RAF Stanbridge, Leighton Linslade",-0.632425,51.909707,https://centralbedfordshire.box.com/s/kqa2aegkg5eov0jz62wfknk5fy7xp6a8,7.43,not owned by a public authority,,permissioned,reserved matters approval,2015-02-10,,175,175,,,2018-11-19,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/19/00001/BRWN,"Brickyard Quarry, Leighton Linslade",-0.659374,51.904946,https://centralbedfordshire.box.com/s/6q9szxnzaeekng0hfzmrwdwtj4fiu567,5.9,not owned by a public authority,,permissioned,reserved matters approval,2018-07-23,,165,165,,,2018-11-19,2018-12-31,
http://opendatacommunities.org/id/unitary-authority/central-bedfordshire,CB/19/00227/BRWN,"Land r/o 33-57 Shortmead Street, Biggleswade",-0.269185,52.089579,https://centralbedfordshire.box.com/s/i6e10sq5suhd9fjlbhvc5qzn1lyfckno,0.66,not owned by a public authority,,permissioned,full planning permission,2017-03-23,,30,30,,,2018-11-19,2018-12-31,
