OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H1343,433386.132,409506.019,0.5,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H1628,435234.972,406315.443,0.5,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H1916,437475.32,407477.69,0.3,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H1973,445483.517,402714.743,0.3,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2198,446599.247,404269.238,0.3,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2237,424401.497,403408.085,0.6,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2256,434253.059,407198.92,1.9,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2260,435886.497,411375.044,1,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2281,445047.155,402709.245,1.2,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2317,438521.692,403876.181,0.2,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2322,433462.069,407103.197,0.3,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2371,433914.146,405703.168,0.9,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2389,437441.565,405508.744,0.5,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2441,440712.347,411230.666,0.3,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2447,435874.277,403655.304,1.5,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H2129,441203.662,410165.711,4.3,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H0214,438118.451,400215.049,0.5,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H0594,446294.534,404233.149,0.4,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H0819,439564.973,402901.32,1.8,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H1162,437132.243,401341.037,0.3,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H1290,434511.517,405848.416,0.9,02/08/2017,02/08/2017
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,H1388,440470.536,403622.973,3.7,02/08/2017,02/08/2017
