OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/cannock-chase,C105,OSGB36,398278,308597,"Application CH/08/0006 was planning permission for 16 flats, now expired. Owner now considering revised scheme of 7 houses, in medium term. Site owned by intended developers. Requires relocation of business but this business is owned by landowner/developer so not considered a constraint.",2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C299,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,400886,,"Cleared site for former car garage. Planning permission CH/05/0161 for 9 flats and 2 dwellings granted June 2006 - now expired. Site owned by developer, Tudorworth Properties, who do wish to develop site in medium-longer term. Site capacity estimated based on provision of no flats - dwellings only.  ",
http://opendatacommunities.org/id/district-council/cannock-chase,C389,OSGB36,401793,311985,CH/14/0176 is a withdrawn planning application for the erection of 5 dwellings as well as the demolition of an existing dwelling (4 net dwellings).  Landowner expressed interest in continuing to pursue development on site.,2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,N5,OSGB36,402626,307718,Cabinet decision 21/08/08 to set in motion course of action for disposal of garage courts. Site is still with Housing Services. Site is accessible from both sides.  Identified as being suitable for 5 dwellings- currently being considered for development in medium term.,2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C220(a), Cannock,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,,,
http://opendatacommunities.org/id/district-council/cannock-chase,C220(b), Cannock,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,,,
http://opendatacommunities.org/id/district-council/cannock-chase,R18,OSGB36,405014,317472,"Site previously considered restricted due to access issues. However, the owner of the site has now purchased land which would enable a widened access to the development. However, there are now landownership issues which require resolution before the site can progress.  Net developable area circa 1.3ha.",2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,R43(a),http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,404767,,Site comprises the former Kodak Finishing Works and Transport Depot. Identified as low quality employment area.  Net developable area circa 1.7ha.,
http://opendatacommunities.org/id/district-council/cannock-chase,R43(b),http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,404819,,Site comprises the former Kodak Finishing Works and Transport Depot. Currently occupied by business. Identified as low quality employment area.  Net developable area circa 0.68ha.,
http://opendatacommunities.org/id/district-council/cannock-chase,"R43(c,d,e,f,g)",OSGB36,404723,316458,Site forms part of current industrial estate- buildings partly occupied. Multiple landowners. Identified as low quality employment area.  Net developable area circa 0.7ha.,2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,R43(h),OSGB36,404800,316397,Site forms part of current industrial estate- buildings partly occupied. Identified as low quality employment area.  Net developable area circa 0.6ha.,2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C13,OSGB36,399104,311851,CH/10/0384 is planning permission for the conversion of The Old School House into 6 mews houses granted in December 2010. 5 completions to date. ,2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C439,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,397926,,"CH/17/210 is full planning permission for the change of use of existing college building/council offices to leisure, restaurant and ancillary retail use, retention of part offices and 7no. Apartments, granted September 2017. CH/17/395 is resubmission of CH/17/210 of 8no. apartments, granted December 2017.  Development has commenced.",
http://opendatacommunities.org/id/district-council/cannock-chase,C456,OSGB36,401992,308859,"CH/18/315 is full planning permission for the erection of 6no. 2 bedroom apartments, granted October 2018.  Dwellings to be erected on existing building footprint- all brownfield.",2018-11-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C222(d),http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,398593,,"CH/18/035 is full planning permission for the erection of 12no apartments, granted September 2018.  Shares access with site C382.  Development has commenced.",
http://opendatacommunities.org/id/district-council/cannock-chase,C457,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,397920,,"CH/18/041 is prior notification for change of use from office space to residential apartments, granted January 2019.  Development has commenced.",
http://opendatacommunities.org/id/district-council/cannock-chase,R23,OSGB36,405394,316242,"CH/18/016 is full planning permission for the change of use of the Cedar Tree Hotel and annex to provide 11 no apartments/dwellings and development of the car park to provide 16 no dwellings, granted February 2019.  Developer is site owner and advises in process of procuring contractors for works.",2018-11-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C478,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,397947,,"CH/19/049 is a planning application for the conversion of former Public House to 8no. Flats, 2no. Bedsits and 2-storey extensions, not yet determined.",
http://opendatacommunities.org/id/district-council/cannock-chase,C481(b), Cannock,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,,,
http://opendatacommunities.org/id/district-council/cannock-chase,N70,OSGB36,401890,308277,"CH/19/021 is a planning application for the demolition of existing retail unit and erection of 5no. New dwellings, not yet determined",2019-11-01,
http://opendatacommunities.org/id/district-council/cannock-chase,R186,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,404392,,Site suggested for conversion to residential apartments.  No capacity suggested by applicant.  Capacity has potential to increase with higher density proposal.,
http://opendatacommunities.org/id/district-council/cannock-chase,C469,OSGB36,400406,313324,"CH/18/145 is a planning application for the erection of 6no. 2 bed houses and 2no. 3 bed houses, not yet determined.  Former workshop/yard.",2019-11-01,
