OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org.id/unitary-authority/herefordshire,143737,348892.000,230205.000,0.08,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,151492,348211.000,231249.000,0.12,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,163531,365002.000,240685.000,0.03,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,162150,338006.000,248147.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160258,359674.000,247281.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160489,347753.000,227993.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161033,349428.000,267741.000,0.14,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,151944,339274.000,258214.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,152982,335129.000,238506.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,143204,356414.000,226096.000,0.7,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,152872,355555.000,246948.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,150419,349452.000,269562.000,0.44,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,142121,359883.000,224067.000,0.16,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160868,341378.000,262241.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,152414,362580.000,250318.000,0.06,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153149,361713.000,240786.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160774,336745.000,237281.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153570,358669.000,218765.000,4.82,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161689,358664.000,218820.000,1.46,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,170294,360285.000,220371.000,0.26,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160358,349805.000,218194.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,143436,363636.000,224127.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160282,341548.000,268698.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,140905,366871.000,261731.000,0.12,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161056,360295.000,235036.000,0.02,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,123177,350534.000,239190.000,0.29,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,142197,351518.000,241715.000,0.29,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,143495,351018.000,240143.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,143799,349129.000,241850.000,0.07,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,150244,351219.000,240048.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,150630,351124.000,240281.000,0.07,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,151031,349969.000,240263.000,0.02,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,151077,349965.000,240113.000,0.04,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,151352,352236.000,241134.000,0.04,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,152246,350829.000,239538.000,0.03,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,152422,352707.000,239267.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153057,352040.000,239378.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153254,351078.000,240312.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,153506,350938.000,239864.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160076,351084.000,240340.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160322,352866.000,240002.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,160687,351446.000,240113.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161205,351832.000,240156.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161356,351028.000,240891.000,0.07,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,161414,349495.000,239356.000,0.26,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,163176,350883.000,238538.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,163301,350805.000,240042.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,163501,350682.000,240335.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,163555,350251.000,240192.000,0.03,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,163719,350646.000,240053.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,163751,350852.000,240014.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,164042,351168.000,240124.000,0.03,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,164105,350824.000,239709.000,0.01,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,164135,349758.000,240314.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,164111,349940.000,239610.000,0.2,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,170350,348730.000,241065.000,0,,,
http://opendatacommunities.org.id/unitary-authority/herefordshire,130784,360145.000,224062.000,0,,,
