OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/hart,16/01445/PRIOR,"Oak House, Harvest Crescent, Fleet",-0.825867,51.298164,https://publicaccess.hart.gov.uk/online-applications/,0.61,not owned by a public authority,,permissioned,other,2016-07-26,,31,31,yes,. Change of use from offices (Class B1a) to form 31 apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,13/02633/MAJOR,"Guillemont Park, Minley Road, Blackwater",-0.791993,51.30451,https://publicaccess.hart.gov.uk/online-applications/,3.4,not owned by a public authority,,permissioned,full planning permission,2014-11-21,,102,102,yes,. Demolition of the existing part-built steel framed structures. Redevelopment of the site for the construction of 150 dwellings,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,16/03072/PRIOR,"White Hart House, London Road, Blackwater",-0.777402,51.331569,https://publicaccess.hart.gov.uk/online-applications/,0.16,not owned by a public authority,,permissioned,other,2017-01-19,,18,18,yes,. Change of use from B1(a) to 18 dwellings: 17 1-bed and 1 2-bed,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/01111/FUL,"Land to the rear of Acorn House, Elms Road, Hook",-0.962408,51.283277,https://publicaccess.hart.gov.uk/online-applications/,0.18,not owned by a public authority,,permissioned,full planning permission,2017-08-18,,5,5,yes,. Erection of 5 dwellings,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,15/02201/REM,"Winkworth Business Park, Hartley Wintney",-0.923157,51.292094,https://publicaccess.hart.gov.uk/online-applications/,0.5,not owned by a public authority,,permissioned,,2016-01-08,,5,5,yes,. Reserved Matters for 14/01093/OUT erection of 5 dwellings,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,14/02942/FUL,"Land to the rear of Chantryland, New Road, Eversley",-0.859848,51.344998,https://publicaccess.hart.gov.uk/online-applications/,0.36,not owned by a public authority,,permissioned,full planning permission,2015-02-24,,6,6,yes,". Demolition of Chantryland and erection of one 5 bedroom, two 4 bedroom and three 2 bedroom houses",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,15/00230/FUL,"Fleet Autos, St James Road, Fleet",-0.845728,51.277733,https://publicaccess.hart.gov.uk/online-applications/,0.05,not owned by a public authority,,permissioned,full planning permission,2015-07-06,,5,5,yes,". Residential development to provide five residential units, comprising one x studio unit, three x one bed houses and one x two-bed house",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,15/02977/FUL,"Clare Park Private Retirement Residences Ltd, Clare Park",-0.84632,51.224316,https://publicaccess.hart.gov.uk/online-applications/,2.15,not owned by a public authority,,permissioned,full planning permission,2016-04-22,,6,6,yes,. Extension of original General Managers Cottage to form additional cottage for residents. Construction of five new residents cottages,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,15/02225/FUL,"32 Reading Road, Fleet",-0.844271,51.277539,https://publicaccess.hart.gov.uk/online-applications/,0.03,not owned by a public authority,,permissioned,full planning permission,2016-01-12,,6,6,yes,. Conversion of existing B2 premises to 6 apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,14/02454/PNDW,"Branksome Chambers, Branksomewood Road, Fleet",-0.843132,51.281215,https://publicaccess.hart.gov.uk/online-applications/,0.08,not owned by a public authority,,permissioned,other,2014-12-03,,5,5,yes,. Change of use from office under Class B1(a) to dwelling under Class C3- 5 x 2-bed flats,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/00244/PRIOR,"Silvergate Redfields Industrial Park, Feet",-0.849156,51.252445,https://publicaccess.hart.gov.uk/online-applications/,0.45,not owned by a public authority,,permissioned,other,2017-04-12,,44,44,,Scheme has no SANG mitigation and therefore can not be considered deliverable. Change of use from office (B1a) to dwellings (C3) for 44 dwellings,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/01039/FUL,"144 Clarence Road, Fleet",-0.84097,51.279395,https://publicaccess.hart.gov.uk/online-applications/,0.05,not owned by a public authority,,permissioned,full planning permission,2017-09-07,,5,5,yes,. Demolition of existing building and erection of a new building to house 5 2-bedroom apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/02008/PRIOR,"Victoria House, 18-22 Albert Street, Fleet",-0.837751,51.283661,https://publicaccess.hart.gov.uk/online-applications/,0.1,not owned by a public authority,,permissioned,other,2017-10-05,,5,5,yes,. Change of use of ground floor from B1a offices to 5 1-bed flats,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/02010/PRIOR,"Victoria House, 18-22 Albert Street, Fleet",-0.837751,51.283661,https://publicaccess.hart.gov.uk/online-applications/,0.1,not owned by a public authority,,permissioned,other,2017-10-05,,5,5,yes,. Change of use of first floor from B1a offices to 5 1-bed flats,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/00477/PRIOR,"Lorica House, Lorica Consulting Ltd, Minley Road, Fleet",-0.830018,51.296227,https://publicaccess.hart.gov.uk/online-applications/,0.32,not owned by a public authority,,permissioned,other,2017-04-26,,18,18,yes,. Change of use from B1a offices to 18 apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/00475/PRIOR,"Infineon House, Fleet Mill, Minley Road, Fleet",-0.830029,51.29692,https://publicaccess.hart.gov.uk/online-applications/,0.43,not owned by a public authority,,permissioned,other,2017-04-26,,20,20,yes,. Change of use from B1a office to form 20 apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/00947/PRIOR,"Zenith House, 3 Rye Close, Fleet",-0.824679,51.298611,https://publicaccess.hart.gov.uk/online-applications/,0.29,not owned by a public authority,,permissioned,other,2017-05-25,,20,20,,Scheme has no SANG mitigation and therefore can not be considered deliverable. Change of use from B1a offices to 20 dwellings,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/00530/FUL,"White Hart House, London Road, Blackwater",-0.777402,51.331569,https://publicaccess.hart.gov.uk/online-applications/,0.16,not owned by a public authority,,permissioned,full planning permission,2017-09-07,,5,5,yes,. Construction of 5 apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/00525/PRIOR,"Vantage House, Meridian Office, Osborn Way, Hook",-0.959224,51.278869,https://publicaccess.hart.gov.uk/online-applications/,0.15,not owned by a public authority,,permissioned,other,2017-04-27,,15,15,,Scheme has no SANG mitigation and therefore can not be considered deliverable. Change of use of offices (B1a) on first and second floors to form 15 apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/00814/PRIOR,"Building 260-270 Bartley Wood, Bartley Wood Business Park, Bartley Way, Hook",-0.949984,51.278517,https://publicaccess.hart.gov.uk/online-applications/,2.15,not owned by a public authority,,permissioned,other,2017-05-30,,116,116,,Scheme has no SANG mitigation and therefore can not be considered deliverable. Change of use of offices (B1a) to dwellinghouse (C3),2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL100 17/00771/FUL,"Sun Park, Guillemont Park North",-0.793088,51.305951,https://publicaccess.hart.gov.uk/online-applications/,12,not owned by a public authority,,pending decision,,,,323,323,yes,. Demolition of the existing office buildings. Construction of 313 residential dwellings,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL197 17/00471/OUT,"Hartland Park, Farnborough",-0.807072,51.283946,https://publicaccess.hart.gov.uk/online-applications/,56,not owned by a public authority,,permissioned,permission in principle,,,1500,1500,yes,. 1500 units,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,17/02644/PRIOR,"Wimpey Homes Holdings Ltd, Stratfield House, Station Road, Hook",-0.962624,51.2813,https://publicaccess.hart.gov.uk/online-applications/,0.19,not owned by a public authority,,pending decision,,,,22,22,yes,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL320 17/01710/FUL,"125-147 Fleet Road, Fleet",-0.83853,51.283453,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.59,not owned by a public authority,,not permissioned,,,Withdrawn planning application 17/01710/FUL,40,40,yes,. Erection of 40 residential apartments following the demolition of 2 office blocks,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL041,"Imac Systems, Fleet",-0.841553,51.279563,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.05,not owned by a public authority,,not permissioned,,,,6,6,yes,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL104,Land at Elvetham Heath,-0.872956,51.28941,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.84,not owned by a public authority,,not permissioned,,,,40,40,yes,Part of SHLAA site SHL104. The southern part of the whole site is not brownfield land,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL113,"Thurlston House, Fleet",-0.850197,51.283074,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.68,not owned by a public authority,,not permissioned,,,,16,16,yes,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL192,"140-150 Fleet Road, Fleet",-0.842462,51.282179,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.21,not owned by a public authority,,not permissioned,,,,12,12,yes,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL195,"Lismoyne Hotel, 45 Church Road, Fleet",-0.845671,51.284036,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.98,not owned by a public authority,,not permissioned,,,,40,40,yes,. Potential for 40-unit residential (C3 use) or a 70-unit care home (C2 use),2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL208,"Admiral House, Fleet",-0.847457,51.279684,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.46,not owned by a public authority,,not permissioned,,,,20,20,yes,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL038,"Rawlings, Hook",-0.961076,51.278769,https://www.hart.gov.uk/Evidence-base#SHLAADocs,1.13,not owned by a public authority,,not permissioned,,,Two pre-applications: 17/01453/PREAPP and 16/03353/PREAPP,50,50,yes,. Either 50 residential units including extra care assisted living development (C2 use) or 110 residential units plus 400m2 of retail space,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL200,"Scrapyard, Totters Lane, Potbridge",-0.847443,51.279684,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.29,mixed ownership,,not permissioned,,,Pre-application 17/01436/PREAPP includes this land as part of a larger area. The proposal for the land SHL200 is for 5 dwellings,5,5,yes,"""There are a number of enforcement cases on site which would need to be resolved prior to submission of a planning application, therefore the site os not considered deliverable""",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL039,"Fermoy, Farnham Road",-0.907746,51.254346,https://www.hart.gov.uk/Evidence-base#SHLAADocs,1.29,not owned by a public authority,,not permissioned,,,Pre-application 16/03257/PREAPP proposes 9 new dwellings,9,9,yes,Part of SHLAA site SHL039. The eastern part of the whole site is not brownfield land,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL128,"Rose Court, Crondall",-0.878259,51.247125,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.92,not owned by a public authority,,not permissioned,,,,15,15,yes,Part of SHLAA site SHL128. The eastern part of the whole site is not brownfield land,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL357,"Land at Sankey Lane, Fleet",-0.815593,51.294419,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.89,not owned by a public authority,,not permissioned,,,,20,20,yes,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,SHL034,Land adjoining Winchfield Court,-0.880304,51.281477,https://www.hart.gov.uk/Evidence-base#SHLAADocs,0.29,not owned by a public authority,,not permissioned,,,17/02620/FUL Erection of 10 no. dwellings pending decision. 17/02621/FUL Erection of 17 no. dwellings pending decision. 14/00707/MAJOR Erection of 18 dwellings - refused,6,6,yes,Part of SHLAA site SHL034. The southern and northern parts of the whole site are not brownfield land,2017-12-22,2017-12-22,
