OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0001,567017,145472,0.20,10,10,2017-11-23,2017-11-23,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0002,555792,141679,2.00,5,5,2017-11-23,2017-11-23,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0003,570626,140390,0.97,30,30,2017-11-23,2017-11-23,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0004,557986,138608,0.7,127,127,2017-11-23,2017-11-23,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0008,558118,142443,0.062,6,6,2017-11-23,2017-11-23,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0009,567422,145024,0.14,9,9,2017-11-23,2017-11-23,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0010,558694,139615,0.22,77,112,2017-11-23,2017-11-23,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0011,567081,145137,0.07,5,5,2017-11-27,2017-11-27,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0012,557677,140411,0.17,8,8,2017-11-27,2017-11-27,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0013,558294,140000,0.06,9,24,2017-11-27,2017-11-27,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0016,559240,137870,0.19,6,6,2017-11-27,2017-11-27,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0024,557964,142612,0.03,12,12,2017-11-27,2017-11-27,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0026,558037,144680,0.6,9,9,2017-11-27,2017-11-27,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0028,559051,138199,0.99,24,24,2017-11-30,2017-11-30,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0029,557217,139193,0.32,15,15,2017-11-30,2017-11-30,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0030,559406,141174,1.78,170,170,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0031,558606,139916,0.17,47,47,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0032,558851,140297,0.39,27,27,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0033,558929,140352,0.25,20,20,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0034,558947,141059,0.23,18,18,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0035,558316,139925,0.45,30,30,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0036,558204,141898,0.12,10,10,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0037,577048,135994,0.20,7,7,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0038,575876,131047,2.25,24,40,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0039,569133,144266,1.10,6,6,2017-12-06,2017-12-06,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0041,558296,140030,0.049023,8,8,2018-11-20,2018-11-20,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0042,562463,140712,0.071432,9,9,2018-11-20,2018-11-20,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0043,558431,139865,0.100066,14,14,2018-11-20,2018-11-20,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0044,558413,139281,0.141384,15,15,2018-11-20,2018-11-20,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0045,558169,142028,0.21,17,17,2018-11-20,2018-11-20,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0046,576209,130505,0.234066,7,7,2018-11-20,2018-11-20,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0047,557418,137601,0.236661,5,5,2018-11-20,2018-11-20,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0048,558348,137886,0.22,9,9,2018-12-12,2018-12-12,
http://opendatacommunities.org/id/district-council/tunbridge-wells,BFR_0049,558360,140145,0.54,89,89,2018-12-12,2018-12-12,
