OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,1,The Angle,544186,210030,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/1-The%20Angle_0.pdf,0.33,Not owned by a public authority,Permissioned,Full planning Permission,2016-09-28,,YES,,,,Consent on appeal,2017-11-10,2017-11-10,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,9,Princess Alexandra Hospital (Including Parndon Hall),543980,210153,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/9%20-%20Princess%20Alexandra%20Hospital%20%28Including%20Parndon%20Hall%29.pdf,14,Owned by a public authority,Not permissioned,,,,,650,700,,Site for new hospital being explored in Garden Town area,2017-11-10,2017-11-10,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,14,Purford Green School,546294,208905,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/14%20-%20Purford%20Green%20School.pdf,0.96,Owned by a public authority,Not permissioned,,,,,30,30,,ECC to finalise future of this site,2017-11-10,2017-11-10,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,23,Former Scout Hut Elderfield,547758,211440,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/23%20-%20Former%20Scout%20Hut%20Elderfield.pdf,0.21,Owned by a public authority,Not permissioned,,,,,6,6,,,2017-11-13,2017-11-13,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,27,Manor Hatch,546498,209049,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/27%20-%20Manor%20Hatch.pdf,0.22,Owned by a public authority,Not permissioned,,,,,7,7,,,2017-11-13,2017-11-13,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,36,Garage blocks adjacent to Nicholls Tower,546472,209388,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/36%20-%20Garage%20blocks%20adjacent%20to%20Nicholls%20Tower.pdf,0.34,Owned by a public authority,Not permissioned,,,,,11,11,,,2017-11-10,2017-11-10,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,38,Elm Hatch,545636,209310,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/38%20-%20Elm%20Hatch.pdf,0.19,Owned by a public authority,Not permissioned,,,,,,,,,2017-11-20,2017-11-20,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,39,Stewards Farm,545269,207723,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/39%20-%20Stewards%20Farm.pdf,0.5,Owned by a public authority,Not permissioned,,,,,10,10,,,2017-11-10,2017-11-10,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,44,Kingsmoor House and gardens,543870,207720,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/44%20-%20Kingsmoor%20House%20and%20gardens.pdf,1.11,Owned by a public authority,Permissioned,Full planning Permission,2012-08-02,,YES,,,,Development under way,2017-11-10,2017-11-10,
http://opendatacommunities.org/id/district-council/Harlow,Harlow District Council,45,Pollard Hatch plus garages and adjacent land,543627,208346,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/45%20-%20Pollard%20Hatch%20plus%20garages%20and%20adjacent%20land.pdf,0.44,Owned by a public authority,Not permissioned,,,,YES,20,20,,Mixed development required,2017-11-10,2017-11-10,
