OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/south-ribble,BBE01,-2.6586608,53.72445,6.5,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,SS05,-2.723845,53.690925,0.67,03/06/2016,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,FW09b,-2.69215,53.70295,6.49,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,MF02b,-2.698432,53.739244,9.45,03/06/2016,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,MF02c,-2.698695,53.740492,1.17,03/06/2016,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,TG03,-2.696715,53.73351,12,03/06/2016,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,MF05,-2.7958497,53.724453,1.7,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,SS11,-2.718471,53.690148,0.18,03/06/2016,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,1803,-2.7793639,53.698423,0.3,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,1921,-2.7298887,53.7225,0.31,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,WLDW01,-2.681393,53.737526,0.2,03/06/2016,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,HP01,-2.761513,53.74658,2.4,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,BBW05,-2.666867,53.729689,0.46,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,BBN06,-2.660319,53.735478,0.47,03/06/2016,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,WLD01,-2.672273,53.745523,0.41,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,SS09,-2.720243,53.688394,0.39,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,LHU12,-2.821668,53.722526,0.37,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,FE05,-2.68474,53.700934,0.34,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,TG02,-2.681282,53.731604,0.29,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,GH03,-2.705694,53.698556,0.23,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,HP02,-2.746744,53.743213,0.23,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,BBE15,-2.659579,53.728876,0.2,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,BBW02,-2.669507,53.727913,2.7,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,TG05,-2.687989,53.725498,1.5,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,MS02,-2.727647,53.700627,40.6,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,SW13,-2.645411,53.74204,2.3,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,TG08,-2.692176,53.733105,1.9,20/09/2017,20/09/2017
http://opendatacommunities.org/id/district-council/south-ribble,LYC03,-2.6972758,53.692305,0.19,20/09/2017,20/09/2017
