OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH3,-1.178175,52.678164,1.7,36,36,2017-11-15,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH10,-1.187489,52.672016,0.13,12,12,2017-11-15,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH108,-1.192513,52.661837,2.8,40,40,2017-11-15,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH17,-1.191331,52.675404,0.07,8,8,2017-11-15,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH4,-1.186049,52.67473,0.28,8,8,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH9,-1.193288,52.672757,0.3,9,9,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH281,-1.134956,52.741757,2.5,35,35,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH374,-1.147415,52.750801,0.2,5,5,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH18,-1.142992,52.747407,0.67,10,10,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH182,-1.122577,52.782876,3.1,60,60,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH373,-1.130466,52.786503,0.3,6,6,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH33,-1.253735,52.79225,0.21,6,6,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH119,-1.212972,52.769836,0.49,12,12,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH171,-1.202874,52.775747,0.27,8,8,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH202,-1.22405,52.774521,2.29,39,39,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH245,-1.208681,52.771902,0.22,10,10,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH304,-1.191681,52.770188,0.53,30,30,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH311,-1.206511,52.770593,0.02,10,10,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH32,-1.194793,52.767799,1.25,35,35,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH362,-1.210242,52.767552,0.57,49,49,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH364,-1.222443,52.753186,0.76,30,30,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH366,-1.215035,52.771324,0.03,5,5,2017-11-16,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH368,-1.203837,52.772517,0.04,9,9,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH380,-1.201268,52.774406,0.07,40,40,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH382,-1.204331,52.773078,0.19,30,30,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH385,-1.19637,52.768295,0.09,9,9,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH386,-1.238853,52.768881,0.24,17,17,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH102,-1.206192,52.768568,0.13,5,20,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH34,-1.229059,52.776306,0.35,34,34,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH49,-1.218063,52.776109,1.64,35,35,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH51,-1.208397,52.769563,1.3,32,32,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH56,-1.202012,52.771831,0.13,10,10,2017-11-17,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH60,-1.201876,52.773574,0.08,10,10,2017-11-21,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH64,-1.197904,52.76871,1.42,101,101,2017-11-21,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH65,-1.191053,52.768907,4.8,62,62,2017-11-21,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH67,-1.213484,52.769408,0.57,14,14,2017-11-21,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH75,-1.204089,52.7701,0.06,12,12,2017-11-21,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH76,-1.213512,52.77776,0.34,10,10,2017-11-21,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH77,-1.193724,52.767136,3.03,57,57,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH78,-1.203308,52.770644,0.61,16,16,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH80,-1.21376,52.776314,1.4,96,96,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH81,-1.201348,52.775701,1.46,36,36,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH82,-1.207365,52.764369,0.14,6,6,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH84,-1.203737,52.771528,2.06,50,50,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH127,-1.135249,52.723204,0.5,14,14,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH233,-1.152102,52.736792,0.51,13,13,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH112,-1.147378,52.735212,0.29,9,9,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH370,-1.167235,52.74241,0.18,9,9,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH398,-1.161761,52.737418,0.3,9,9,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH299,-1.136338,52.711552,1.14,16,16,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH55,-1.123971,52.716361,9.76,117,117,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH119,-1.140149,52.707426,0.29,9,9,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH138,-1.291428,52.757681,11,200,200,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH141,-1.283552,52.759099,5.6,105,105,2017-11-22,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH157,-1.285352,52.760458,1.47,44,44,2017-11-23,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH263,-1.296458,52.766494,3.56,79,79,2017-11-23,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH351,-1.294272,52.766984,0.25,7,7,2017-11-23,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,SH121,-1.290491,52.770701,0.23,15,15,2017-11-23,2019-12-19,
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,PSH402,-1.316397,52.760461,0.7,9,9,2017-11-23,2019-12-19,
