OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
WestSuffolk,,,"""WarrenClose,Brandon""",,,MyWestSuffolk,,not owned by a public authority,pending decision,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""LandOffGasHouseLane,Brandon""",,,MyWestSuffolk,,not owned by a public authority,permissioned,outline planning permission,2019-01-09,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""Landrearof65,69,73StationRoad,Lakenheath""",,,MyWestSuffolk,,unknown ownership,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""DistrictCouncilOffices,CollegeHeathRoad,Mildenhall""",,,MyWestSuffolk,,owned by public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""LandAtWamilCourt,Mildenhall""",,,MyWestSuffolk,,owned by public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""FormerSwimmingPoolSite,Newmarket""",,,MyWestSuffolk,,not owned by a public authority,permissioned,outline planning permission,2016-03-10,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""StFelixMiddleSchoolSite,Newmarket""",,,MyWestSuffolk,,owned by public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""LandOffTurnpikeRoad,RedLodge""",,,MyWestSuffolk,,mixed ownership,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""BuryStEdmundsGardenCentre,BuryStEdmunds""",,,MyWestSuffolk,,not owned by a public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""GaragesAndBusDepot,CottonLane,BuryStEdmunds""",,,MyWestSuffolk,,not owned by a public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""HospitalSite,HospitalRoad,BuryStEdmunds""",,,MyWestSuffolk,,owned by public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""LandAtRamMeadow,BuryStEdmunds""",,,MyWestSuffolk,,owned by public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""SchoolYard,BuryStEdmunds""",,,MyWestSuffolk,,mixed ownership,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""StationHill,BuryStEdmunds""",,,MyWestSuffolk,,not owned by a public authority,permissioned,full planning permission,2017-01-17,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""TayfenRoad,BuryStEdmunds""",,,MyWestSuffolk,,mixed ownership,permissioned,outline planning permission,2017-12-01,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""WeymedSite,BuryStEdmunds""",,,MyWestSuffolk,,not owned by a public authority,permissioned,full planning permission,2017-08-08,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""AttertonAndEllisSite,Haverhill """,,,MyWestSuffolk,,not owned by a public authority,permissioned,full planning permission,2010-04-30,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""FormerGasworks,WithersfieldRoad,Haverhill""",,,MyWestSuffolk,,not owned by a public authority,not permissioned,,,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""FormerWestfieldPrimarySchool,ManorRoad,Haverhill""",,,MyWestSuffolk,,owned by public authority,permissioned,full planning permission,2019-10-04,,yes,,,,,2017-09-01,2019-12-16,
WestSuffolk,,,"""CornwallisCourtBuryStEdmunds""",,,MyWestSuffolk,,not owned by a public authority,not permissioned,,,,yes,,,,,2019-12-01,2019-12-16,
WestSuffolk,,,"""RLInsulationsNorfolkRoadBuryStEdmunds""",,,MyWestSuffolk,,not owned by a public authority,permissioned,full planning permission,2019-10-15,,,,,,,2019-12-01,2019-12-16,
WestSuffolk,,,"""LandwestofThingoeHill""",,,MyWestSuffolk,,not owned by a public authority,not permissioned,,,,yes,,,,,2019-12-17,2019-12-17,
WestSuffolk,,,"""SocialServicesCampsRoad",,,MyWestSuffolk,,owned by public authority,permissioned,outline planning permission,2017-11-02,,yes,,,,,2019-12-01,2019-12-16,
WestSuffolk,,,"""OakfieldSurgeryVicaridgeRoad""",,,MyWestSuffolk,,not owned by a public authority,permissioned,full planning permission,2018-06-06,,yes,,,,,2019-12-01,2019-12-16,
WestSuffolk,,,"""WindsorRoadValleyWaygarages""",,,MyWestSuffolk,,not owned by a public authority,permissioned,full planning permission,2018-05-23,,yes,,,,,2019-12-01,2019-12-16,
WestSuffolk,,,"""5HighStreetHaverhill""",,,MyWestSuffolk,,not owned by a public authority,permissioned,full planning permission,2019-01-14,,yes,,,,,2019-12-01,2019-12-16,
WestSuffolk,,,"""TheVixenMillfieldsWay""",,,MyWestSuffolk,,mixed ownership,permissioned,full planning permission,2017-09-06,,yes,,,,,2019-12-01,2019-12-16,
